SA3_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
50101,639,5539,6176,7112,1423,8536,2982,305,3282,2818,245,3064,1098,96,1190,419,41,462,15066,7651,22716
50102,1067,11139,12206,13140,1815,14954,5670,418,6089,5307,243,5548,2292,110,2399,1048,59,1111,28531,13783,42309
50103,256,2873,3131,3433,604,4033,1039,108,1146,945,78,1021,462,38,497,197,28,227,6326,3734,10060
50201,1239,11834,13073,14639,1698,16336,5631,379,6004,4839,215,5058,2002,102,2113,961,58,1017,29308,14289,43597
50301,513,6390,6898,7503,1072,8580,3507,361,3865,4298,195,4488,1941,69,2011,499,14,513,18258,8101,26355
50302,1025,18822,19844,13885,3333,17221,5329,955,6284,4822,353,5170,1400,82,1485,319,22,342,26775,23572,50349
50401,775,10435,11204,10122,1695,11817,5084,458,5545,4387,225,4605,1386,80,1465,652,47,696,22405,12940,35348
50402,395,3473,3868,5174,488,5663,2429,126,2554,2206,69,2277,999,45,1044,435,25,461,11638,4231,15867
50403,1211,11297,12508,14121,1863,15982,8915,559,9478,8771,310,9082,3592,133,3729,2294,84,2377,38902,14253,53156
50501,1365,11022,12390,18814,1492,20300,9859,430,10294,10818,216,11037,3747,87,3836,1199,38,1244,45800,13289,59093
50502,1698,25817,27513,23790,4107,27890,11908,1223,13125,11266,537,11801,3802,194,3994,1619,91,1707,54082,31966,86042
50503,1761,13957,15723,19659,2048,21711,13010,628,13640,13196,413,13611,5434,189,5621,2831,100,2928,55904,17337,73237
50601,684,7283,7965,8978,1180,10152,5632,355,5991,5686,222,5900,2367,123,2484,1398,60,1458,24740,9218,33956
50602,729,10731,11459,8760,2086,10844,4171,737,4916,3309,316,3623,1102,111,1215,571,53,626,18647,14033,32679
50603,585,8265,8850,8970,1407,10376,5659,678,6338,5998,436,6432,2396,200,2596,1238,96,1338,24845,11077,35928
50604,743,9615,10355,11158,1588,12747,7223,564,7789,7361,345,7704,3324,173,3496,2181,94,2278,31996,12376,44372
50605,485,4808,5298,6828,647,7476,3388,150,3535,3369,98,3467,1460,35,1504,631,32,659,16165,5774,21938
50606,260,1598,1856,2959,312,3264,1849,83,1933,1947,47,1992,897,33,933,584,20,600,8492,2087,10578
50607,339,5874,6213,5477,991,6473,2269,333,2595,2123,103,2228,668,42,711,215,19,241,11092,7364,18452
50701,1036,10338,11371,12442,1667,14107,7301,466,7763,7137,232,7366,2486,103,2590,1028,45,1069,31427,12851,44274
50702,395,5585,5980,4862,1022,5883,2136,284,2422,1926,130,2059,616,43,657,184,26,209,10119,7092,17214
50703,392,3796,4187,4112,657,4768,2714,182,2899,2550,110,2657,1133,58,1195,634,31,667,11540,4838,16373
50704,720,9579,10304,12229,1265,13491,6133,396,6524,6614,201,6813,2415,86,2502,815,33,851,28923,11554,40478
50705,1444,11683,13125,14297,1760,16056,7957,470,8427,7495,296,7796,3191,148,3336,1573,61,1638,35958,14423,50382
50901,547,7358,7906,7945,1344,9287,2981,337,3321,2576,175,2757,1158,91,1255,666,61,726,15882,9373,25248
50902,634,6777,7410,7280,1612,8891,2510,334,2844,2003,269,2273,991,110,1102,589,58,642,14002,9165,23168
50903,203,2507,2703,2575,530,3110,821,128,947,726,83,810,355,59,410,163,12,173,4842,3320,8162
51001,279,3990,4269,2261,4263,6527,1430,575,2008,1353,505,1856,820,259,1078,894,138,1032,7035,9740,16774
51002,211,2735,2950,1553,1006,2559,970,230,1205,952,175,1128,507,75,577,412,45,456,4604,4269,8873
51003,267,2687,2950,1920,1746,3670,1171,313,1478,1445,280,1721,744,140,882,357,83,445,5904,5243,11148
51101,190,2008,2196,1856,487,2346,739,105,841,659,77,737,300,48,349,142,13,162,3894,2741,6634
51102,112,1522,1642,945,2640,3577,382,246,630,393,288,674,157,110,266,112,71,189,2104,4876,6981
51103,295,4558,4860,3326,1174,4496,1786,286,2080,1646,209,1851,804,97,895,514,37,547,8373,6358,14732
51104,624,6706,7332,6348,2193,8536,2642,432,3077,2182,298,2477,1002,167,1170,583,97,682,13382,9890,23274
59797,0,8,8,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
