SA3_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
50101,7045,415,33,232,19,7742,7327,279,17,17,10,7655,1980,287,10,7,11,2289,319,257,10,0,0,582,31,69,0,0,0,105,1591,135,22,24,18,1790,227,24,3,161,9,432,20,8,0,0,0,26,4170,780,44,191,38,5226,399,198,19,35,12,659,1058,152,11,189,26,1431,19992,1814,130,672,104,22716
50102,11840,725,115,255,19,12965,15461,443,63,29,22,16004,3779,852,301,15,8,4965,545,592,66,0,4,1198,83,201,78,0,4,370,2487,373,66,17,4,2949,317,79,14,173,9,588,44,19,5,0,0,72,7261,2111,529,207,28,10134,518,277,25,22,14,861,1613,363,89,255,20,2342,36694,3921,821,770,101,42309
50103,3963,35,9,53,14,4071,2937,19,3,19,15,2989,600,85,13,0,0,698,165,67,3,0,4,242,19,46,18,0,0,78,609,23,6,11,0,650,155,9,4,13,12,196,9,4,0,0,0,12,1566,228,45,20,25,1875,284,34,5,6,15,345,665,28,10,44,23,771,9413,339,69,152,87,10060
50201,12485,1254,298,292,14,14338,14637,555,169,20,8,15377,4500,966,331,12,3,5811,327,409,35,0,5,776,177,168,69,0,4,420,2401,372,73,14,3,2858,215,106,10,64,6,394,47,23,6,7,0,81,7657,2042,529,92,25,10345,548,895,25,14,0,1478,1464,356,87,138,10,2050,36786,5097,1105,548,59,43597
50301,8666,1233,987,0,7,10896,6069,726,552,0,3,7355,1590,769,1934,0,3,4292,59,179,137,0,0,380,12,55,47,0,0,113,645,303,533,0,4,1486,193,39,66,0,3,301,4,10,8,0,0,21,2507,1348,2725,3,8,6589,222,157,294,0,3,673,370,149,314,5,6,844,17833,3613,4879,9,22,26355
50302,6978,1714,2570,12,16,11286,6825,2160,4070,18,12,13086,2151,2335,10917,28,19,15459,51,375,894,0,0,1319,17,65,298,0,6,381,1175,818,2518,15,14,4542,68,83,321,0,7,480,13,18,58,0,0,90,3471,3700,15001,44,53,22269,236,233,447,0,3,919,401,282,1647,430,29,2789,17913,8095,23728,504,106,50349
50401,8654,1183,339,7,6,10183,10113,1847,628,4,10,12598,3159,1700,1254,5,3,6118,359,555,169,0,0,1080,71,110,22,0,0,199,1793,660,385,0,7,2847,178,90,39,0,5,313,22,23,12,0,0,53,5582,3144,1870,8,16,10620,265,166,35,0,0,473,842,403,188,34,12,1474,25455,6744,3057,42,47,35348
50402,5454,177,7,7,7,5656,7245,95,5,0,0,7352,784,108,0,0,0,892,101,181,0,0,0,289,11,43,0,0,0,59,637,59,0,4,8,715,61,20,0,0,0,79,10,14,0,0,0,24,1609,425,9,8,9,2056,148,26,5,0,3,187,526,80,0,12,0,622,14984,811,30,34,18,15867
50403,10124,795,65,183,8,11180,26369,1120,116,10,21,27636,4595,1214,539,3,11,6371,595,540,97,0,4,1234,118,91,22,4,0,231,2429,406,62,7,13,2908,321,48,3,55,4,434,48,11,0,5,0,67,8109,2313,722,69,30,11242,394,86,20,7,0,513,1657,362,89,445,47,2590,46653,4666,1019,709,111,53156
50501,19077,1644,252,94,6,21075,24773,1352,272,6,3,26413,4295,857,632,6,10,5805,146,188,24,0,0,357,35,56,14,0,0,103,2251,449,196,9,6,2909,138,22,20,10,3,191,33,14,3,0,0,49,6899,1596,886,23,17,9409,332,255,37,3,4,635,1017,233,151,124,28,1558,52099,5090,1595,251,48,59093
