SA3_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
50101,296,271,204,231,88,14,1281,8,121,263,258,204,164,48,7,1068,132,1126,1677,1397,1031,896,349,84,6698,89,528,851,946,959,815,369,84,4651,681,1540,1986,1819,1597,1133,445,102,9300,279,110,109,116,92,72,28,5,805,55,74,137,193,200,191,80,14,950,1013,1727,2232,2126,1889,1393,546,125,11056,14,37,53,56,68,85,48,17,368,379,519,554,575,613,600,435,251,3931,1636,4239,5926,5624,4972,4186,1885,574,29039
50102,398,349,288,190,55,10,1566,21,192,310,329,298,167,51,10,1387,287,1675,2033,1818,1297,879,324,86,8400,209,897,1291,1359,1375,938,375,100,6557,2238,4013,4071,3795,3249,1964,738,152,20229,772,407,259,202,168,93,31,11,1933,116,141,245,357,351,259,105,22,1590,3127,4560,4575,4352,3766,2313,877,184,23756,29,64,94,82,95,124,58,23,577,715,820,859,910,891,916,775,494,6393,4414,8469,9573,9206,8015,5539,2511,900,48625
50103,86,84,76,83,37,8,418,4,29,51,65,86,76,16,0,335,53,310,411,382,378,335,117,20,2012,31,156,256,282,391,342,126,19,1601,342,601,681,732,838,564,197,47,4000,152,74,50,36,41,29,12,0,406,20,31,54,75,86,81,39,7,395,510,707,783,843,971,684,248,52,4799,0,8,8,21,18,37,19,0,117,196,186,248,308,371,371,290,88,2062,804,1446,1846,1978,2294,1934,846,183,11334
50201,324,321,288,210,80,15,1443,20,147,226,286,262,209,66,19,1239,346,1310,1547,1406,1119,980,427,97,7237,305,910,1267,1436,1538,1236,599,148,7450,1746,3246,3194,3287,3222,2475,1270,310,18727,631,276,203,162,159,134,50,10,1629,118,164,238,296,336,314,210,57,1731,2494,3681,3635,3737,3713,2922,1522,376,22084,34,56,86,82,116,149,127,36,687,668,671,718,755,755,1066,1110,731,6483,3892,6975,7808,8017,7794,6782,3943,1414,46619
50301,1812,2095,1585,1054,502,168,8695,32,275,437,646,559,351,169,41,2511,1716,3065,3362,4162,3069,2352,1208,394,19322,244,372,546,855,1003,886,648,254,4818,507,450,430,472,479,373,236,92,3053,190,37,30,34,47,27,29,10,402,42,32,61,137,137,154,140,58,749,736,521,523,640,666,553,404,154,4202,37,46,67,87,70,109,102,62,580,410,377,397,348,383,440,514,390,3265,3330,5987,7153,8833,7337,5751,3557,1453,43391
50302,3535,2133,1382,922,303,59,12536,73,933,910,809,609,399,107,20,3853,2189,9603,7054,4324,3101,1932,700,213,29126,759,1913,1780,1490,1426,1009,476,154,8998,1142,2075,1569,1305,1249,752,342,147,8587,357,156,108,73,81,53,30,10,861,80,153,173,232,262,209,88,45,1242,1578,2388,1851,1605,1593,1017,456,201,10691,63,185,157,122,105,115,80,24,845,873,1995,1460,1136,972,912,643,441,8436,5752,21001,16745,11625,9191,6306,2768,1107,74491
50401,1423,750,450,249,79,15,4287,29,440,514,450,331,190,66,13,2033,844,4259,3754,2264,1383,919,322,73,13816,460,1373,1407,1281,1085,791,356,76,6830,980,2264,1996,1750,1633,1204,563,155,10547,364,185,122,113,97,69,14,4,975,75,127,195,221,248,211,107,29,1218,1419,2578,2317,2084,1976,1489,682,191,12741,38,79,106,71,76,84,64,21,544,416,713,642,511,497,481,469,263,4000,3287,10665,10158,7416,5796,4211,2042,661,44241
50402,258,282,245,166,68,8,1173,12,101,167,212,196,94,40,3,838,193,733,1003,1007,701,581,250,41,4506,133,363,554,710,672,563,250,57,3312,672,1338,1235,1319,1262,885,361,79,7166,220,104,74,73,43,39,16,0,568,46,44,97,132,168,136,64,13,697,933,1486,1408,1517,1478,1063,445,96,8430,14,37,32,35,52,55,40,6,269,229,249,270,273,307,275,276,179,2051,1524,3111,3693,4026,3654,2802,1369,393,20574
50403,1280,610,397,226,72,7,3580,56,422,538,410,274,127,36,10,1882,933,4028,3999,2485,1469,833,278,61,14086,627,2336,2792,2208,1660,855,325,63,10862,2666,5739,4906,4138,3406,1777,677,126,23442,837,450,334,239,155,80,31,3,2133,202,299,411,480,427,244,106,22,2185,3705,6483,5653,4860,3993,2101,814,161,27762,74,126,200,154,152,109,62,24,904,961,1296,1216,1052,874,748,608,367,7123,6404,15629,15677,11782,8816,5006,2195,689,66197
50501,1752,1655,1140,626,161,31,6475,58,535,935,986,789,440,100,13,3863,1592,4612,6126,5233,3505,2271,704,120,24180,664,1578,2609,3176,3061,2222,763,171,14240,2209,3746,4357,4294,4325,3031,1120,250,23331,662,185,206,166,197,169,52,6,1653,151,182,358,588,592,520,230,54,2666,3022,4118,4920,5037,5115,3717,1402,306,27651,55,100,156,203,189,239,137,38,1121,563,655,824,828,757,847,724,557,5752,6054,12623,17324,17126,14558,10363,3990,1238,83276
