SA3_CODE_2021,M_Agr_fstry_fsh_15_19,M_Agr_fstry_fsh_20_24,M_Agr_fstry_fsh_25_34,M_Agr_fstry_fsh_35_44,M_Agr_fstry_fsh_45_54,M_Agr_fstry_fsh_55_64,M_Agr_fstry_fsh_65_74,M_Agr_fstry_fsh_75_84,M_Agr_fstry_fsh_85_yr_over,M_Agr_fstry_fsh_Tot,M_Min_15_19_yr,M_Min_20_24_yr,M_Min_25_34_yr,M_Min_35_44_yr,M_Min_45_54_yr,M_Min_55_64_yr,M_Min_65_74_yr,M_Min_75_84_yr,M_Min_85_yr_over,M_Min_Tot,M_Manf_15_19_yr,M_Manf_20_24_yr,M_Manf_25_34_yr,M_Manf_35_44_yr,M_Manf_45_54_yr,M_Manf_55_64_yr,M_Manf_65_74_yr,M_Manf_75_84_yr,M_Manf_85_yr_over,M_Manf_Tot,M_Elec_gas_wtr_wst_sv_15_19,M_Elec_gas_wtr_wst_sv_20_24,M_Elec_gas_wtr_wst_sv_25_34,M_Elec_gas_wtr_wst_sv_35_44,M_Elec_gas_wtr_wst_sv_45_54,M_Elec_gas_wtr_wst_sv_55_64,M_Elec_gas_wtr_wst_sv_65_74,M_Elec_gas_wtr_wst_sv_75_84,M_Elec_gas_wtr_wst_sv_85_over,M_Elec_gas_wtr_wst_sv_Tot,M_Con_15_19_yr,M_Con_20_24_yr,M_Con_25_34_yr,M_Con_35_44_yr,M_Con_45_54_yr,M_Con_55_64_yr,M_Con_65_74_yr,M_Con_75_84_yr,M_Con_85_yr_over,M_Con_Tot,M_Whl_trd_15_19_yr,M_Whl_trd_20_24_yr,M_Whl_trd_25_34_yr,M_Whl_trd_35_44_yr,M_Whl_trd_45_54_yr,M_Whl_trd_55_64_yr,M_Whl_trd_65_74_yr,M_Whl_trd_75_84_yr,M_Whl_trd_85_yr_over,M_Whl_trd_Tot,M_Re_trd_15_19_yr,M_Re_trd_20_24_yr,M_Re_trd_25_34_yr,M_Re_trd_35_44_yr,M_Re_trd_45_54_yr,M_Re_trd_55_64_yr,M_Re_trd_65_74_yr,M_Re_trd_75_84_yr,M_Re_trd_85_yr_over,M_Re_trd_Tot,M_Acc_food_svc_15_19,M_Acc_food_svc_20_24,M_Acc_food_svc_25_34,M_Acc_food_svc_35_44,M_Acc_food_svc_45_54,M_Acc_food_svc_55_64,M_Acc_food_svc_65_74,M_Acc_food_svc_75_84,M_Acc_food_svc_85_yr_over,M_Acc_food_svc_Tot,M_Trp_pos_wh_15_19,M_Trp_pos_wh_20_24,M_Trp_pos_wh_25_34,M_Trp_pos_wh_35_44,M_Trp_pos_wh_45_54,M_Trp_pos_wh_55_64,M_Trp_pos_wh_65_74,M_Trp_pos_wh_75_84,M_Trp_pos_wh_85_yr_over,M_Trp_pos_wh_Tot,M_In_med_tcom_15_19,M_In_med_tcom_20_24,M_In_med_tcom_25_34,M_In_med_tcom_35_44,M_In_med_tcom_45_54,M_In_med_tcom_55_64,M_In_med_tcom_65_74,M_In_med_tcom_75_84,M_In_med_tcom_85_yr_over,M_In_med_tcom_Tot,M_Fin_in_svc_15_19,M_Fin_in_svc_20_24,M_Fin_in_svc_25_34,M_Fin_in_svc_35_44,M_Fin_in_svc_45_54,M_Fin_in_svc_55_64,M_Fin_in_svc_65_74,M_Fin_in_svc_75_84,M_Fin_in_svc_85_yr_over,M_Fin_in_svc_Tot,M_Rnt_hrg_rea_est_serv_15_19,M_Rnt_hrg_rea_est_serv_20_24,M_Rnt_hrg_rea_est_serv_25_34,M_Rnt_hrg_rea_est_serv_35_44,M_Rnt_hrg_rea_est_serv_45_54,M_Rnt_hrg_rea_est_serv_55_64,M_Rnt_hrg_rea_est_serv_65_74,M_Rnt_hrg_rea_est_serv_75_84,M_Rnt_hrg_rea_est_serv_85_ov,M_Rnt_hrg_rea_est_serv_Tot,M_Prof_sc_tech_serv_15_19,M_Prof_sc_tech_serv_20_24,M_Prof_sc_tech_serv_25_34,M_Prof_sc_tech_serv_35_44,M_Prof_sc_tech_serv_45_54,M_Prof_sc_tech_serv_55_64,M_Prof_sc_tech_serv_65_74,M_Prof_sc_tech_serv_75_84,M_Prof_sc_tech_serv_85_over,M_Prof_sc_tech_serv_Tot,M_Adm_sup_serv_15_19,M_Adm_sup_serv_20_24,M_Adm_sup_serv_25_34,M_Adm_sup_serv_35_44,M_Adm_sup_serv_45_54,M_Adm_sup_serv_55_64,M_Adm_sup_serv_65_74,M_Adm_sup_serv_75_84,M_Adm_sup_serv_85_over,M_Adm_sup_serv_Tot,M_PubAd_saf_15_19,M_PubAd_saf_20_24,M_PubAd_saf_25_34,M_PubAd_saf_35_44,M_PubAd_saf_45_54,M_PubAd_saf_55_64,M_PubAd_saf_65_74,M_PubAd_saf_75_84,M_PubAd_saf_85_over,M_PubAd_saf_Tot,M_Ed_trng_15_19,M_Ed_trng_20_24,M_Ed_trng_25_34,M_Ed_trng_35_44,M_Ed_trng_45_54,M_Ed_trng_55_64,M_Ed_trng_65_74,M_Ed_trng_75_84,M_Ed_trng_85_over,M_Ed_trng_Tot,M_Hlth_cre_socia_assist_15_19,M_Hlth_cre_socia_assist_20_24,M_Hlth_cre_socia_assist_25_34,M_Hlth_cre_socia_assist_35_44,M_Hlth_cre_socia_assist_45_54,M_Hlth_cre_socia_assist_55_64,M_Hlth_cre_socia_assist_65_74,M_Hlth_cre_socia_assist_75_84,M_Hlth_cre_socia_assist_85_ov,M_Hlth_cre_socia_assist_Tot,M_Arts_rec_svc_15_19,M_Arts_rec_svc_20_24,M_Arts_rec_svc_25_34,M_Arts_rec_svc_35_44,M_Arts_rec_svc_45_54,M_Arts_rec_svc_55_64,M_Arts_rec_svc_65_74,M_Arts_rec_svc_75_84,M_Arts_rec_svc_85_yr_over,M_Arts_rec_svc_Tot,M_Oth_svc_15_19_yr,M_Oth_svc_20_24_yr,M_Oth_svc_25_34_yr,M_Oth_svc_35_44_yr,M_Oth_svc_45_54_yr,M_Oth_svc_55_64_yr,M_Oth_svc_65_74_yr,M_Oth_svc_75_84_yr,M_Oth_svc_85_yr_over,M_Oth_svc_Tot,M_Inad_desc_Ns_15_19,M_Inad_desc_Ns_20_24,M_Inad_desc_Ns_25_34,M_Inad_desc_Ns_35_44,M_Inad_desc_Ns_45_54,M_Inad_desc_Ns_55_64,M_Inad_desc_Ns_65_74,M_Inad_desc_Ns_75_84,M_Inad_desc_Ns_85_yr_over,M_Inad_desc_Ns_Tot
50101,37,44,146,149,185,189,121,36,9,927,10,41,197,400,333,181,31,3,0,1194,54,68,201,293,253,206,78,11,0,1172,0,6,21,47,58,57,8,0,0,190,144,206,467,606,551,402,116,10,0,2494,12,13,36,46,71,51,24,0,0,247,192,107,157,148,181,167,65,3,0,1026,318,117,252,242,156,132,68,11,0,1294,18,17,48,60,119,128,86,7,0,474,4,10,7,12,19,10,4,0,0,76,0,3,19,33,45,33,19,6,0,164,0,5,15,29,49,39,25,4,0,176,3,6,78,98,154,124,66,11,0,549,10,31,72,100,133,120,34,3,0,497,9,11,63,115,152,145,37,3,0,525,8,7,60,119,127,122,44,8,0,488,12,15,100,123,157,147,45,3,0,609,24,8,31,33,35,27,13,0,0,173,36,40,79,94,91,63,36,0,0,445,30,40,84,112,118,101,48,15,5,551
50102,52,50,189,155,170,213,150,65,7,1058,43,175,601,794,801,571,80,0,0,3076,140,301,776,906,865,595,109,4,0,3700,18,54,153,205,227,205,33,5,0,893,219,437,920,971,937,774,205,21,5,4481,22,44,98,133,149,107,24,3,0,580,290,207,317,238,211,202,64,11,0,1546,502,116,162,109,77,73,27,4,0,1073,21,77,174,250,328,385,139,16,0,1396,15,13,33,24,22,11,11,0,0,129,3,10,26,33,66,34,12,0,0,192,9,6,34,31,59,47,24,8,3,219,19,40,152,175,169,131,70,3,0,760,24,47,73,102,105,108,39,5,0,503,14,58,152,213,288,294,69,7,0,1102,14,31,103,146,192,213,84,3,0,792,25,69,220,249,231,226,70,5,0,1097,32,20,34,26,26,28,14,0,0,182,66,112,176,187,198,157,48,7,0,952,83,116,243,246,229,174,72,21,3,1189
50103,46,82,190,215,245,286,219,89,9,1381,5,32,122,172,175,134,32,0,0,662,31,32,45,74,80,105,29,4,0,396,4,0,10,27,36,35,4,0,0,112,54,63,118,112,105,158,47,5,0,661,10,4,10,17,23,30,20,0,0,121,47,27,50,44,66,44,26,4,0,297,39,25,28,28,39,38,30,0,0,231,4,16,17,33,67,86,34,4,0,261,0,5,4,0,5,9,0,0,0,22,0,3,3,5,5,3,3,0,0,22,0,0,9,0,5,12,7,3,0,37,4,5,22,22,33,32,28,0,0,147,5,8,26,29,26,29,15,3,0,144,0,6,36,62,109,100,18,0,0,337,0,5,15,33,39,37,21,0,0,152,8,0,18,28,36,56,27,5,0,183,0,0,6,3,11,21,10,0,0,52,14,18,27,22,43,35,18,0,0,186,18,29,45,45,47,63,31,18,0,285
50201,12,22,45,53,53,58,53,17,0,316,40,169,646,824,788,587,103,0,0,3159,86,165,424,511,692,608,79,14,0,2577,6,21,87,122,135,87,19,0,0,474,171,365,722,719,726,644,160,7,0,3517,23,32,57,76,92,102,36,3,0,434,290,289,287,203,204,188,74,9,0,1540,487,186,157,127,103,87,35,4,0,1172,18,51,115,175,261,272,127,26,0,1044,6,15,16,20,27,21,7,0,0,106,0,7,13,36,39,31,18,4,0,157,0,15,24,28,52,47,36,8,0,223,12,52,129,147,160,171,68,3,0,745,24,46,112,114,118,124,55,8,0,600,5,38,170,203,281,234,70,7,0,1012,11,36,103,114,153,188,67,12,0,689,10,70,129,161,137,166,69,13,0,750,31,37,41,36,32,41,15,11,0,235,67,74,167,121,149,136,50,5,4,770,75,111,214,198,213,170,73,21,3,1084
50301,17,9,26,21,34,37,34,19,3,210,10,41,221,404,544,313,100,11,0,1646,37,48,84,97,131,112,64,16,0,601,0,9,20,45,49,44,16,5,0,177,57,116,205,240,318,229,86,13,4,1262,13,34,39,61,110,85,21,16,0,376,215,254,161,95,164,106,72,12,3,1081,340,284,130,102,77,63,33,10,0,1031,27,51,67,79,119,77,41,7,0,470,15,23,44,35,35,41,20,6,0,207,9,51,133,180,246,198,66,29,0,906,15,23,50,94,166,113,73,31,6,577,29,217,461,561,747,623,322,76,7,3043,35,44,48,53,67,57,33,11,0,342,12,40,174,187,194,164,62,11,0,840,125,209,203,182,194,208,96,15,3,1237,35,124,343,403,553,480,247,54,0,2233,93,78,67,31,50,27,18,4,0,377,16,44,55,62,53,49,37,6,0,336,53,73,119,148,216,172,76,22,8,881
50302,0,11,35,22,35,31,15,8,0,158,7,121,883,1043,712,427,65,11,0,3261,14,69,316,304,235,165,65,9,3,1174,8,17,117,111,91,54,20,0,0,416,66,191,774,658,514,406,119,12,0,2726,14,37,166,220,165,122,37,5,0,765,225,369,593,363,246,162,92,11,0,2048,313,506,979,435,155,130,47,5,0,2569,19,97,333,331,250,194,71,11,0,1305,7,41,157,120,80,47,13,8,0,475,0,63,356,342,237,168,63,12,0,1235,3,28,137,127,117,96,68,17,3,597,12,298,1664,1568,1045,662,264,36,0,5562,20,91,331,287,132,117,37,20,0,1028,13,87,485,445,406,360,91,9,0,1894,62,135,459,381,339,315,122,10,0,1824,29,138,955,718,454,395,155,25,0,2866,65,104,266,141,100,79,28,6,0,791,25,58,216,170,119,117,47,7,0,753,34,137,467,381,235,164,63,19,3,1501
50401,0,11,19,25,10,10,13,3,0,91,6,71,423,493,322,181,35,3,0,1539,42,98,277,306,344,266,71,6,0,1419,3,10,71,77,65,55,9,0,0,301,90,227,759,740,511,398,99,6,0,2831,13,45,155,176,149,122,50,3,0,715,225,307,414,280,216,193,65,8,0,1700,285,249,345,243,148,127,28,0,0,1425,25,110,321,334,320,292,105,13,0,1506,4,22,56,85,72,47,12,0,0,308,4,29,132,172,123,53,19,9,0,541,5,21,73,58,61,52,23,9,0,288,10,123,626,696,414,240,92,14,0,2214,16,46,182,144,137,99,30,5,0,658,10,77,320,395,373,331,65,8,0,1584,22,72,245,255,229,216,53,9,0,1101,3,98,375,304,234,225,70,3,0,1316,55,81,136,88,66,50,19,0,0,495,29,76,184,160,171,133,60,7,0,826,32,105,339,298,233,198,58,13,5,1285
50402,7,11,21,8,22,32,14,7,0,116,10,64,204,284,294,229,43,0,0,1124,39,83,140,158,188,163,34,5,0,819,0,6,18,29,35,34,14,0,0,136,62,156,280,315,316,287,72,5,0,1487,29,30,77,82,114,104,19,4,0,453,140,131,110,68,93,88,34,8,0,674,173,80,37,31,34,29,5,6,0,389,21,46,114,142,176,209,76,10,0,786,8,7,11,13,16,17,3,0,0,83,3,14,12,29,34,35,10,0,0,130,3,4,14,25,25,37,16,6,0,131,8,27,104,124,169,127,61,10,0,622,13,40,43,46,51,61,21,0,0,280,0,23,104,120,220,207,52,4,0,737,8,21,76,70,101,111,69,10,0,474,4,12,55,62,94,95,35,3,0,371,25,20,20,19,19,28,15,3,0,143,27,54,89,102,94,83,41,7,0,489,46,59,104,109,147,109,41,7,5,635
50403,22,27,68,69,88,90,59,26,3,458,33,168,887,961,733,434,81,0,0,3296,126,231,676,878,842,578,144,14,0,3491,13,30,109,139,126,111,23,5,0,542,268,579,1397,1325,1027,727,143,14,0,5475,47,112,370,400,374,285,64,6,0,1657,490,562,723,597,398,293,89,3,0,3159,614,292,344,300,186,153,38,4,0,1927,73,173,771,958,742,655,186,14,0,3568,5,28,80,93,72,40,18,4,0,343,3,35,134,139,117,70,15,0,0,516,13,27,87,103,96,67,28,7,0,424,21,120,459,567,371,247,78,9,0,1882,45,95,221,202,197,158,55,5,0,984,17,148,481,544,519,449,102,7,0,2276,58,94,254,225,232,195,77,6,0,1138,23,120,413,440,340,277,104,8,0,1731,66,72,99,115,62,67,30,12,0,526,85,197,458,384,308,272,88,4,0,1804,105,281,556,601,479,329,95,16,5,2474
50501,8,23,38,35,52,28,21,7,0,212,26,118,635,974,964,539,108,0,0,3371,97,151,326,423,573,574,170,14,0,2322,3,26,87,176,204,163,33,0,0,694,389,651,1548,1991,1747,1258,300,8,3,7897,34,93,198,281,372,305,87,7,0,1368,565,669,441,362,407,361,156,25,0,2979,786,386,258,189,173,123,56,5,0,1971,45,91,240,346,466,466,173,17,0,1854,34,48,58,125,127,95,30,0,0,525,10,59,152,318,351,254,87,9,0,1243,7,25,77,116,117,119,67,10,3,538,45,274,614,1026,1121,712,255,37,0,4094,46,133,156,209,259,261,91,15,0,1167,28,120,406,661,782,702,178,13,0,2896,73,159,323,424,508,534,203,16,0,2245,40,171,336,417,449,439,163,19,0,2046,152,136,104,104,113,85,38,6,0,746,93,164,244,294,289,303,118,11,0,1510,107,182,365,405,414,393,126,13,5,2002
