SA4_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
501,42,1638,736,310,1891,0.7,1479,2.4
502,44,1733,617,300,1664,0.7,1283,2.4
503,38,2500,1122,400,3239,0.9,2232,2.3
504,37,1863,828,340,2164,0.8,1809,2.6
505,37,1950,857,360,2302,0.7,1916,2.6
506,36,1800,808,350,2139,0.8,1792,2.6
507,37,1900,852,350,2298,0.7,1890,2.6
509,45,1400,726,250,1757,0.7,1342,2.3
510,38,1950,1412,210,2795,0.9,2207,2.8
511,41,1517,933,260,2152,0.8,1665,2.4
597,45,1733,2700,0,1375,0.7,1833,1.7
