SA4_CODE_2021,Cntd_home_Cen_Nt_0_14_yr,Cntd_home_Cen_Nt_15_24_yr,Cntd_home_Cen_Nt_25_34_yr,Cntd_home_Cen_Nt_35_44_yr,Cntd_home_Cen_Nt_45_54_yr,Cntd_home_Cen_Nt_55_64_yr,Cntd_home_Cen_Nt_65_74_yr,Cntd_home_Cen_Nt_75_84_yr,Cntd_home_Cen_Nt_85_yr_over,Cntd_home_Cen_Night_Tot,Vis_from_Same_SA2_0_14,Vis_from_Same_SA2_15_24,Vis_from_Same_SA2_25_34,Vis_from_Same_SA2_35_44,Vis_from_Same_SA2_45_54,Vis_from_Same_SA2_55_64,Vis_from_Same_SA2_65_74,Vis_from_Same_SA2_75_84,Vis_from_Same_SA2_85_yr_over,Vis_from_Same_SA2_Tot,Vis_fro_Diff_SA2_NSW_0_14,Vis_fr_Diff_SA2_NSW_15_24,Vis_fr_Diff_SA2_NSW_25_34,Vis_fr_Diff_SA2_NSW_35_44,Vis_fr_Diff_SA2_NSW_45_54,Vis_fr_Diff_SA2_NSW_55_64,Vis_fr_Diff_SA2_NSW_65_74,Vis_fr_Diff_SA2_NSW_75_84,Vis_fr_Diff_SA2_NSW_85_over,Vis_fr_Diff_SA2_NSW_Tot,Vis_fro_Diff_SA2_Vic_0_14,Vis_fr_Diff_SA2_Vic_15_24,Vis_fr_Diff_SA2_Vic_25_34,Vis_fr_Diff_SA2_Vic_35_44,Vis_fr_Diff_SA2_Vic_45_54,Vis_fr_Diff_SA2_Vic_55_64,Vis_fr_Diff_SA2_Vic_65_74,Vis_fr_Diff_SA2_Vic_75_84,Vis_fr_Diff_SA2_Vic_85_over,Vis_fr_Diff_SA2_Vic_Tot,Vis_fro_Diff_SA2_Qld_0_14,Vis_fr_Diff_SA2_Qld_15_24,Vis_fr_Diff_SA2_Qld_25_34,Vis_fr_Diff_SA2_Qld_35_44,Vis_fr_Diff_SA2_Qld_45_54,Vis_fr_Diff_SA2_Qld_55_64,Vis_fr_Diff_SA2_Qld_65_74,Vis_fr_Diff_SA2_Qld_75_84,Vis_fr_Diff_SA2_Qld_85_over,Vis_fr_Diff_SA2_Qld_Tot,Vis_fro_Diff_SA2_SA_0_14,Vis_fr_Diff_SA2_SA_15_24,Vis_fr_Diff_SA2_SA_25_34,Vis_fr_Diff_SA2_SA_35_44,Vis_fr_Diff_SA2_SA_45_54,Vis_fr_Diff_SA2_SA_55_64,Vis_fr_Diff_SA2_SA_65_74,Vis_fr_Diff_SA2_SA_75_84,Vis_fr_Diff_SA2_SA_85_over,Vis_fr_Diff_SA2_SA_Tot,Vis_fro_Diff_SA2_WA_0_14,Vis_fr_Diff_SA2_WA_15_24,Vis_fr_Diff_SA2_WA_25_34,Vis_fr_Diff_SA2_WA_35_44,Vis_fr_Diff_SA2_WA_45_54,Vis_fr_Diff_SA2_WA_55_64,Vis_fr_Diff_SA2_WA_65_74,Vis_fr_Diff_SA2_WA_75_84,Vis_fr_Diff_SA2_WA_85_over,Vis_fr_Diff_SA2_WA_Tot,Vis_fro_Diff_SA2_Tas_0_14,Vis_fr_Diff_SA2_Tas_15_24,Vis_fr_Diff_SA2_Tas_25_34,Vis_fr_Diff_SA2_Tas_35_44,Vis_fr_Diff_SA2_Tas_45_54,Vis_fr_Diff_SA2_Tas_55_64,Vis_fr_Diff_SA2_Tas_65_74,Vis_fr_Diff_SA2_Tas_75_84,Vis_fr_Diff_SA2_Tas_85_over,Vis_fr_Diff_SA2_Tas_Tot,Vis_fro_Diff_SA2_NT_0_14,Vis_fr_Diff_SA2_NT_15_24,Vis_fr_Diff_SA2_NT_25_34,Vis_fr_Diff_SA2_NT_35_44,Vis_fr_Diff_SA2_NT_45_54,Vis_fr_Diff_SA2_NT_55_64,Vis_fr_Diff_SA2_NT_65_74,Vis_fr_Diff_SA2_NT_75_84,Vis_fr_Diff_SA2_NT_85_over,Vis_fr_Diff_SA2_NT_Tot,Vis_fro_Diff_SA2_ACT_0_14,Vis_fr_Diff_SA2_ACT_15_24,Vis_fr_Diff_SA2_ACT_25_34,Vis_fr_Diff_SA2_ACT_35_44,Vis_fr_Diff_SA2_ACT_45_54,Vis_fr_Diff_SA2_ACT_55_64,Vis_fr_Diff_SA2_ACT_65_74,Vis_fr_Diff_SA2_ACT_75_84,Vis_fr_Diff_SA2_ACT_85_over,Vis_fr_Diff_SA2_ACT_Tot,Vis_fro_Diff_SA2_OT_0_14,Vis_fr_Diff_SA2_OT_15_24,Vis_fr_Diff_SA2_OT_25_34,Vis_fr_Diff_SA2_OT_35_44,Vis_fr_Diff_SA2_OT_45_54,Vis_fr_Diff_SA2_OT_55_64,Vis_fr_Diff_SA2_OT_65_74,Vis_fr_Diff_SA2_OT_75_84,Vis_fr_Diff_SA2_OT_85_over,Vis_fr_Diff_SA2_OT_Tot,Vis_fro_Diff_SA2_TOT_0_14,Vis_fr_Diff_SA2_TOT_15_24,Vis_fr_Diff_SA2_TOT_25_34,Vis_fr_Diff_SA2_TOT_35_44,Vis_fr_Diff_SA2_TOT_45_54,Vis_fr_Diff_SA2_TOT_55_64,Vis_fr_Diff_SA2_TOT_65_74,Vis_fr_Diff_SA2_TOT_75_84,Vis_fr_Diff_SA2_TOT_85_over,Vis_fr_Diff_SA2_TOT_TTOT,Vis_from_Tot_Viss_0_14_yr,Vis_from_Tot_Viss_15_24_yr,Vis_from_Tot_Viss_25_34_yr,Vis_from_Tot_Viss_35_44_yr,Vis_from_Tot_Viss_45_54_yr,Vis_from_Tot_Viss_55_64_yr,Vis_from_Tot_Viss_65_74_yr,Vis_from_Tot_Viss_75_84_yr,Vis_from_Tot_Viss_85_over,Vis_from_Tot_Viss_Tot,OS_vis_0_14_yr,OS_vis_15_24_yr,OS_vis_25_34_yr,OS_vis_35_44_yr,OS_vis_45_54_yr,OS_vis_55_64_yr,OS_vis_65_74_yr,OS_vis_75_84_yr,OS_vis_85_yr_over,OS_vis_Tot,Tot_pop_pl_en_0_14_yr,Tot_pop_pl_en_15_24_yr,Tot_pop_pl_en_25_34_yr,Tot_pop_pl_en_35_44_yr,Tot_pop_pl_en_45_54_yr,Tot_pop_pl_en_55_64_yr,Tot_pop_pl_en_65_74_yr,Tot_pop_pl_en_75_84_yr,Tot_pop_pl_en_85_yr_over,Tot_pop_pl_en_Tot
501,34748,17504,18212,22203,23365,23068,20230,10612,3711,173645,53,23,58,42,62,83,119,75,28,539,10,14,17,22,9,36,26,4,0,134,16,9,31,17,20,44,46,3,5,189,8,3,23,20,22,54,56,3,0,194,11,5,4,10,35,24,0,3,0,97,859,1127,1365,1131,1165,1641,1260,461,191,9206,3,0,0,7,9,33,16,0,0,67,0,3,11,3,8,9,0,0,0,37,0,3,0,0,0,4,7,0,0,12,0,0,0,0,0,3,5,0,0,7,915,1167,1449,1214,1267,1842,1415,483,201,9958,963,1192,1511,1257,1329,1929,1535,556,224,10500,34,52,142,63,34,38,29,16,0,401,35752,18746,19857,23522,24727,25038,21786,11184,3940,184540
502,18420,10540,9919,10809,11896,12815,13241,8486,2953,99072,8,19,19,27,20,52,81,47,24,303,8,3,0,8,0,11,24,0,0,62,7,0,5,8,13,9,25,5,0,82,0,0,5,3,0,9,20,0,0,28,0,0,0,0,4,7,3,3,0,21,392,397,331,302,342,355,338,178,75,2715,0,0,0,0,4,0,9,0,0,23,0,3,3,0,5,3,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,410,404,353,319,374,398,421,192,75,2958,418,427,369,347,400,452,499,244,102,3262,11,6,19,15,12,16,21,4,5,116,18849,10978,10308,11171,12309,13280,13763,8737,3055,102451
503,26796,22381,28923,24845,22168,19120,15239,8843,4224,172537,34,33,57,54,52,52,38,20,10,350,16,66,82,83,91,80,28,11,3,457,11,47,99,66,61,74,40,9,0,417,9,26,78,69,73,76,19,4,3,352,0,10,21,26,47,35,16,8,0,165,883,1119,1491,1201,1134,964,888,612,294,8581,3,0,9,12,19,14,30,3,5,103,7,9,21,25,20,18,10,0,0,111,4,10,18,19,6,6,6,0,0,68,5,0,0,0,4,0,3,0,0,11,930,1291,1823,1513,1457,1262,1032,647,303,10261,969,1322,1882,1564,1507,1318,1069,667,314,10611,81,196,408,204,190,147,95,37,15,1368,27846,23903,31210,26609,23863,20586,16401,9550,4547,184521
504,52561,30983,38744,38579,34119,30188,22261,11680,4230,263347,41,32,49,50,40,70,60,46,18,402,9,9,11,14,10,23,22,10,0,113,6,12,28,24,22,30,20,12,0,160,0,7,4,10,9,15,22,3,0,71,0,0,10,5,12,15,5,3,0,51,840,1038,1040,871,748,614,468,302,174,6082,0,0,0,5,0,13,11,8,0,33,9,0,13,5,9,3,5,0,0,42,0,0,6,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,5,868,1068,1111,931,813,713,551,334,177,6563,910,1103,1156,977,848,780,615,383,192,6968,26,77,79,51,41,110,90,29,4,505,53502,32162,39978,39609,35012,31075,22956,12098,4427,270821
505,109802,66259,74435,80055,73577,61853,48485,26480,10442,551384,73,53,68,68,73,87,105,72,38,622,15,22,36,35,17,40,41,10,0,214,27,18,51,30,36,56,60,17,4,305,8,13,23,20,25,46,39,9,0,170,6,3,7,10,15,10,11,5,0,61,1375,1672,1831,1336,1065,1013,844,489,348,9985,3,3,6,5,7,13,25,5,0,75,4,3,8,6,6,3,3,0,0,47,8,0,10,4,3,4,0,0,0,40,3,0,3,0,0,5,0,0,0,16,1460,1742,1968,1446,1170,1191,1025,541,359,10905,1533,1786,2036,1510,1241,1277,1133,611,391,11530,88,85,193,120,122,199,147,61,15,1028,111416,68131,76665,81683,74939,63333,49767,27157,10850,563939
506,101563,63836,76412,76755,61994,52994,42166,22301,8836,506866,81,59,91,91,63,102,111,79,33,718,17,35,53,45,52,33,39,13,5,297,13,26,46,51,53,54,50,8,3,312,15,16,42,53,61,67,38,8,0,300,6,8,26,30,50,31,16,7,5,185,1487,1997,1884,1424,1330,1263,899,476,223,10988,3,4,6,9,14,29,29,6,0,107,5,4,9,8,9,11,8,4,0,50,0,6,12,0,3,3,0,3,0,33,5,4,4,5,7,12,13,5,0,44,1555,2098,2087,1634,1573,1507,1091,527,235,12307,1626,2166,2178,1728,1641,1612,1208,601,270,13023,85,112,210,147,160,282,282,84,24,1379,103279,66112,78799,78625,63794,54888,43648,22986,9130,521268
507,85196,50862,56170,59843,55253,47702,36868,20394,8484,420778,51,47,53,67,56,79,89,81,35,559,7,71,135,77,51,36,58,20,0,457,15,27,47,40,39,66,59,12,0,304,19,20,22,33,44,53,32,7,0,225,5,10,13,25,21,29,21,5,0,114,1225,1679,1681,1264,1127,1170,924,598,303,9975,11,7,13,7,6,23,24,6,0,101,9,10,18,20,5,10,0,0,0,80,0,3,13,11,11,8,7,0,0,61,0,0,0,0,4,0,0,0,0,5,1296,1827,1940,1470,1313,1395,1123,653,301,11320,1351,1873,1998,1541,1369,1475,1212,729,339,11876,82,99,179,114,120,175,166,47,11,998,86630,52837,58347,61499,56736,49352,38238,21175,8839,433656
509,23043,11757,12708,14222,16559,19058,16675,8909,3080,126013,46,48,34,38,47,83,111,69,29,502,13,11,12,15,11,37,60,4,0,162,16,12,28,19,11,42,71,4,0,199,12,4,14,7,23,44,49,10,0,165,4,10,17,17,28,35,40,13,0,165,645,1184,1342,1170,1435,1607,996,376,134,8876,0,10,25,15,12,12,24,4,0,96,0,0,0,3,3,6,9,0,0,31,0,0,0,0,0,4,3,0,0,12,0,0,0,0,0,0,0,0,0,0,693,1230,1440,1248,1522,1790,1245,405,135,9709,737,1279,1477,1288,1570,1877,1352,473,162,10207,8,46,119,63,17,11,18,10,4,301,23786,13078,14303,15569,18149,20945,18054,9394,3246,136524
510,20238,9385,15937,15033,11337,8220,3124,853,179,84314,66,53,70,64,65,60,40,30,0,447,223,80,255,318,293,499,513,62,9,2259,394,64,211,358,374,764,856,128,0,3161,162,69,275,441,449,672,560,73,3,2703,82,39,126,162,197,349,376,77,0,1407,973,2152,7291,6830,7261,6718,4792,1368,108,37508,33,12,48,55,68,123,88,17,0,442,35,28,108,72,77,82,29,8,0,444,35,6,8,33,11,27,25,0,0,145,0,0,0,0,0,0,0,0,0,0,1937,2447,8326,8266,8730,9245,7238,1734,127,48058,2005,2503,8394,8330,8798,9310,7274,1762,129,48505,18,133,306,125,80,83,60,5,0,814,22263,12027,24640,23486,20217,17613,10455,2620,313,133634
511,22320,12260,14751,14517,14869,14361,10156,5106,1631,109964,38,43,53,53,83,69,74,23,13,457,77,26,99,94,100,211,312,43,0,962,117,37,94,124,106,252,444,50,3,1232,44,43,105,112,109,259,284,20,0,969,23,29,60,63,72,164,261,36,0,714,1179,2016,4814,4204,4416,4742,3976,1388,176,26904,13,11,17,21,38,95,73,8,0,287,10,4,11,22,13,39,17,3,0,119,12,3,4,6,17,3,18,0,0,57,0,0,0,0,0,0,0,0,0,0,1469,2171,5215,4647,4859,5760,5388,1559,182,31248,1506,2213,5266,4701,4946,5836,5460,1582,190,31702,14,69,195,54,41,52,29,4,8,469,23847,14542,20213,19275,19859,20247,15647,6695,1832,142138
