SA4_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Oth_lt_health_cond_0_14,F_Oth_lt_health_cond_15_24,F_Oth_lt_health_cond_25_34,F_Oth_lt_health_cond_35_44,F_Oth_lt_health_cond_45_54,F_Oth_lt_health_cond_55_64,F_Oth_lt_health_cond_65_74,F_Oth_lt_health_cond_75_84,F_Oth_lt_health_cond_85_over,F_Oth_lt_health_cond_Tot,F_No_lt_health_cond_0_14,F_No_lt_health_cond_15_24,F_No_lt_health_cond_25_34,F_No_lt_health_cond_35_44,F_No_lt_health_cond_45_54,F_No_lt_health_cond_55_64,F_No_lt_health_cond_65_74,F_No_lt_health_cond_75_84,F_No_lt_health_cond_85_over,F_No_lt_health_cond_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Oth_lt_health_cond_0_14,P_Oth_lt_health_cond_15_24,P_Oth_lt_health_cond_25_34,P_Oth_lt_health_cond_35_44,P_Oth_lt_health_cond_45_54,P_Oth_lt_health_cond_55_64,P_Oth_lt_health_cond_65_74,P_Oth_lt_health_cond_75_84,P_Oth_lt_health_cond_85_over,P_Oth_lt_health_cond_Tot,P_No_lt_health_cond_0_14,P_No_lt_health_cond_15_24,P_No_lt_health_cond_25_34,P_No_lt_health_cond_35_44,P_No_lt_health_cond_45_54,P_No_lt_health_cond_55_64,P_No_lt_health_cond_65_74,P_No_lt_health_cond_75_84,P_No_lt_health_cond_85_over,P_No_lt_health_cond_Tot
501,12,4,20,45,65,118,165,149,119,697,23,19,16,50,142,385,601,412,162,1806,407,1489,1815,1915,1871,1669,985,408,244,10805,3,4,20,36,72,113,223,233,151,851,579,528,725,1004,1211,1557,1236,703,397,7945,13857,5798,6354,7672,7194,6097,3925,1486,353,52734,1566,827,862,950,1027,1004,808,513,271,7828,17273,9032,10281,12456,12901,13034,10973,5787,2373,94101,46,128,356,958,2194,4235,5605,3589,1464,18581,2479,1574,1745,2143,2006,1948,1850,881,290,14915,36,23,98,265,583,1299,1974,1316,423,6005,0,3,4,7,15,72,218,521,580,1417,63,111,224,454,1080,1904,2732,1608,533,8704,43,46,60,142,486,1256,2368,1964,965,7325,38,16,44,83,140,251,357,370,210,1508,46,30,44,87,242,737,1216,892,294,3586,856,2284,2744,2977,3018,2797,1803,750,351,17582,3,8,35,43,138,278,535,510,259,1797,1431,1035,1112,1611,2000,2700,2324,1280,611,14110,28027,12623,12754,14925,14284,12020,7868,2935,643,106072
502,9,5,11,25,41,63,163,183,82,579,13,5,8,39,107,261,467,430,164,1498,203,898,1108,1049,975,974,709,334,157,6414,3,8,3,10,49,92,165,188,119,640,371,310,443,587,718,919,928,553,286,5104,7528,3593,3390,3644,3624,3263,2437,1051,229,28757,834,482,409,446,505,463,410,370,289,4214,9397,5520,5601,6151,6659,7170,7185,4520,1781,53982,18,72,174,476,1110,2361,3855,3169,1179,12412,1247,910,976,1080,1082,1176,1244,751,216,8695,19,22,55,147,324,758,1357,1193,372,4255,0,0,3,0,12,33,134,321,312,827,31,82,112,266,591,1211,1925,1406,420,6055,20,28,48,83,277,880,1801,1741,747,5637,17,13,16,40,69,133,321,406,188,1205,31,17,24,66,164,464,935,849,307,2850,473,1395,1678,1627,1602,1564,1252,604,225,10420,6,9,12,35,95,192,393,445,208,1389,930,608,675,908,1193,1552,1664,987,435,8943,14719,7454,6577,6938,6938,6239,4583,2022,446,55923
503,12,14,20,24,52,65,104,89,97,469,16,19,17,24,74,170,301,297,195,1120,201,1933,2181,1374,1127,968,635,316,243,8990,8,9,10,22,38,68,103,150,149,557,421,721,994,923,993,1127,1030,711,491,7410,11585,8281,10668,9251,7816,5576,3518,1456,488,58637,787,892,1190,880,788,680,628,439,321,6613,13483,12236,15595,13173,11937,10226,8350,5018,2832,92855,34,108,317,457,1090,2088,3072,2522,1431,11117,1169,1765,2207,1851,1638,1418,1112,656,279,12091,46,53,113,237,579,1115,1477,1233,553,5414,5,3,0,4,8,51,177,506,739,1497,52,101,158,315,562,903,1363,1036,470,4963,28,41,70,99,361,905,1693,1674,1038,5913,18,31,33,67,107,148,201,263,184,1054,33,34,33,67,129,314,573,564,324,2079,419,2819,3533,2481,2048,1683,1124,569,330,15002,14,12,26,38,90,164,269,409,273,1286,993,1204,1573,1537,1768,2064,1917,1214,750,13024,23605,16810,21714,18633,15545,11367,6796,2709,806,117991
504,21,27,41,83,126,143,202,231,157,1022,28,9,39,57,208,466,667,492,201,2172,530,2403,3214,2750,2411,1890,988,485,270,14942,8,3,19,46,97,158,225,252,188,990,858,992,1449,1762,1876,2022,1628,898,542,12014,21466,10343,13501,12846,10228,7537,4251,1492,388,82060,1761,1190,1406,1289,1210,940,694,422,268,9183,25714,15480,20552,20065,18065,15926,11881,6392,2736,136799,44,167,543,1179,2494,4502,5435,3861,1593,19820,3095,2651,3412,3406,2975,2559,1926,1066,324,21424,53,51,164,422,869,1472,1976,1437,493,6932,3,3,6,7,34,67,242,625,750,1739,80,152,412,950,1904,3087,3436,2150,646,12821,69,77,106,239,757,1798,2756,2439,1087,9328,51,50,76,152,236,349,458,493,281,2132,73,38,79,121,391,879,1311,1028,405,4321,1098,3663,5000,4474,3940,3136,1722,818,387,24233,12,10,29,83,183,389,551,599,326,2188,2234,1816,2344,2823,3250,3579,2902,1557,816,21313,43695,22486,27024,25949,20405,14992,8188,2991,701,166424
505,38,43,73,117,176,269,400,467,314,1900,50,42,54,126,327,828,1256,1127,484,4298,1045,4705,5595,5272,4417,3478,2086,1131,755,28486,15,15,25,82,166,278,456,551,479,2079,1774,1905,2740,3391,3760,4078,3524,2155,1433,24762,45669,23155,27643,28503,23643,16771,9992,3703,976,180059,3455,2151,2458,2516,2318,1811,1354,939,514,17519,54130,33264,40172,42602,38848,33084,26339,14845,6714,289989,96,330,988,2159,4877,8721,11712,8633,3950,41459,6139,5181,6072,6538,5821,4659,3931,2123,768,41235,100,144,301,793,1764,3073,4558,3302,1253,15288,4,13,7,19,41,151,488,1494,1880,4104,176,332,643,1508,3035,5038,6657,4350,1415,23156,145,130,173,492,1509,3531,5842,5078,2587,19491,111,90,135,235,352,592,917,989,598,4015,118,82,134,252,618,1488,2433,2099,854,8081,2224,7128,8491,8305,7262,5724,3549,1813,1041,45545,27,30,51,157,341,629,1123,1241,819,4417,4404,3558,4265,5379,6266,7017,6255,3653,2138,42935,92157,49491,54854,56630,47167,32923,18912,6969,1702,360799
506,39,41,77,138,178,274,401,413,289,1842,59,25,78,135,354,838,1292,994,400,4178,839,4517,5432,4401,3751,3109,1785,884,541,25266,19,12,25,99,172,274,458,517,319,1900,1574,1833,2590,3110,3207,3509,2963,1692,862,21342,42253,22166,27620,26863,18810,13622,8345,2826,805,163307,3555,2295,2762,2542,2105,1695,1232,997,795,17976,50143,32028,39948,39756,32096,28131,22657,12297,5589,262644,95,334,935,2107,4293,7731,10207,7275,3134,36102,5252,4865,5743,5707,4795,4241,3591,1873,596,36653,86,126,293,761,1462,2553,3891,2668,953,12789,3,6,12,23,31,128,449,1193,1283,3137,170,349,748,2080,3874,5702,6819,3937,1285,24958,121,136,228,552,1459,3257,5275,4396,2179,17600,102,81,146,268,363,579,924,927,512,3903,134,74,147,264,663,1558,2415,1954,704,7904,1838,6781,8497,7267,6243,5130,3080,1483,780,41105,26,24,56,192,342,625,1103,1127,592,4097,3946,3365,4157,5208,5659,6210,5363,2931,1352,38182,85588,47750,56168,54502,38559,27075,15807,5537,1419,332407
507,24,33,64,103,139,252,326,346,280,1576,45,42,55,115,323,711,1085,875,355,3599,924,4184,5069,4383,3851,2997,1698,835,536,24465,8,12,27,52,138,243,371,419,297,1561,1495,1721,2316,2722,3050,3250,2628,1605,1000,19792,34907,17345,19443,20789,17291,12648,7525,2770,779,133492,2956,1907,2013,1988,1880,1515,1205,890,727,15086,42167,26145,30263,32124,29516,25745,20135,11267,5370,222738,83,305,899,1991,4143,7142,9005,6736,3052,33347,5296,4198,5063,5182,4419,3673,2922,1575,579,32909,80,94,284,642,1390,2550,3475,2487,938,11948,3,8,6,14,29,124,362,1048,1229,2829,126,287,558,1196,2498,4172,5074,3284,1173,18372,113,92,184,375,1138,2780,4419,4000,2043,15151,63,65,125,209,306,524,712,791,526,3333,104,75,108,217,582,1324,2009,1746,696,6860,1932,6309,7704,6996,6323,4924,2914,1385,740,39221,23,20,49,110,272,557,872,953,544,3400,3761,3031,3684,4304,5185,5541,4670,2762,1546,34478,70252,36777,38993,40990,34202,24746,14282,5294,1405,266928
509,8,7,14,26,56,85,141,143,77,556,16,15,7,39,121,344,465,305,126,1436,237,932,1177,1214,1334,1316,778,341,142,7471,4,0,9,30,37,103,183,195,122,685,374,316,476,637,912,1173,911,549,291,5641,9105,3793,4089,4454,4685,4609,3012,1162,309,35232,1330,719,761,836,951,1008,859,512,228,7202,11578,6055,6886,7755,8995,10296,8683,4691,1864,66799,34,80,245,577,1552,3449,4459,2960,1139,14494,1515,1193,1343,1447,1636,1737,1455,721,206,11253,26,21,65,141,434,1029,1565,1101,335,4716,0,0,0,8,17,43,138,417,455,1087,39,88,183,331,867,1737,2301,1406,394,7337,23,28,53,127,405,1218,2091,1669,741,6348,24,14,30,49,113,207,336,307,155,1231,36,23,23,60,226,661,1028,705,239,2996,511,1488,1800,1896,2185,2250,1462,601,220,12415,8,6,15,50,83,223,455,446,227,1500,930,642,763,1020,1578,2091,1762,1020,453,10265,18281,8469,8673,9184,9775,9610,6341,2319,609,73265
510,3,3,14,28,68,73,84,41,15,331,18,6,14,14,68,122,174,70,8,489,113,389,840,669,496,417,205,41,3,3172,3,0,7,9,49,53,62,25,4,205,261,179,383,442,466,524,368,82,20,2725,8258,3654,6425,5183,3679,3232,1757,301,29,32517,1850,1121,2113,1557,1448,1312,766,222,38,10431,10792,5592,10324,8528,7074,6923,4587,1112,150,55093,9,42,183,383,833,1649,1843,595,67,5602,775,566,1316,1280,1010,933,688,141,18,6726,3,16,52,160,273,589,677,244,28,2044,0,0,4,4,9,29,54,67,33,208,30,81,197,490,925,1274,1002,317,42,4354,54,54,80,153,418,820,927,423,44,2977,19,12,43,66,134,168,173,87,18,719,40,11,33,32,146,281,396,166,21,1119,212,602,1331,1187,963,835,446,93,4,5675,3,0,10,27,91,113,156,79,7,492,571,313,664,833,942,1047,795,178,36,5383,16829,7794,14738,13595,10372,7864,3987,753,54,75988
511,5,7,27,35,71,107,146,140,62,617,13,6,8,40,100,268,398,223,66,1133,155,807,1097,992,987,812,507,213,126,5688,0,0,14,20,51,71,133,103,73,459,314,265,493,573,718,835,736,336,186,4454,8899,4215,5268,4850,4446,4167,2592,782,155,35368,1720,1120,1430,1345,1273,1260,928,416,151,9637,11563,6753,8762,8390,8528,9106,7299,3167,1036,64595,27,78,240,530,1309,2611,3508,1917,599,10815,1345,1079,1420,1414,1354,1461,1196,504,132,9911,19,21,64,160,389,835,1237,802,214,3746,0,3,6,5,22,44,125,274,287,763,39,90,215,446,1007,1773,1965,1021,257,6816,42,33,69,125,445,1149,1740,1152,454,5215,19,18,54,67,148,213,346,303,125,1298,27,14,17,66,194,552,862,512,144,2407,345,1220,1676,1657,1704,1522,978,372,179,9657,5,9,16,24,92,193,324,269,119,1043,805,546,796,973,1243,1590,1394,630,282,8263,17937,9224,12011,10964,10375,9179,5515,1677,310,77182
