SA4_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
501,4162,8108,4024,2716,4476,1505,38,25038,2585,5574,4055,3319,4916,1307,29,21786,1235,2277,1712,1649,3360,937,16,11184,448,570,343,276,1708,589,0,3940,28446,41516,20169,16384,31582,10333,366,148794
502,2147,4105,2095,1433,2987,498,16,13280,1492,3320,2328,2029,3962,603,21,13763,932,1720,1258,1188,2990,642,4,8737,328,406,225,226,1389,480,5,3055,14912,21652,10635,9421,22225,4652,100,83597
503,4220,7619,3011,1445,3017,1117,147,20586,2465,5136,2843,1486,3341,1035,95,16401,1243,2304,1508,957,2680,820,37,9550,540,722,386,236,2048,607,15,4547,38340,46038,17116,10496,33265,10124,1288,156670
504,5429,9798,4325,2802,7271,1343,110,31075,2878,5865,3687,2938,6517,985,90,22956,1419,2512,1621,1479,4210,817,29,12098,552,593,339,254,2141,555,4,4427,45185,59332,24316,19028,56578,12402,474,217319
505,11851,21509,8964,5328,13531,1950,199,63333,6696,13681,8592,5884,13098,1666,147,49767,3155,5892,3967,3054,9345,1677,61,27157,1292,1659,810,565,5409,1104,15,10850,100642,127428,52655,37256,114972,18634,942,452521
506,9660,17086,7532,5121,12845,2365,282,54888,5540,11248,7289,5545,11878,1871,282,43648,2679,4702,3177,2689,7942,1708,84,22986,1016,1299,606,472,4258,1456,24,9130,86618,110015,45484,36188,114634,23757,1293,417991
507,8858,16677,7091,4417,10256,1877,175,49352,4859,10295,6379,4800,10035,1710,166,38238,2415,4521,2938,2420,7142,1682,47,21175,1002,1290,680,499,3960,1396,11,8839,74410,97636,40880,30932,83718,18537,915,347021
509,3534,6389,3188,2164,3803,1862,11,20945,2279,4260,2930,2832,4160,1571,18,18054,1061,1775,1340,1379,2801,1035,10,9394,394,468,281,252,1368,482,4,3246,20745,29269,14422,12364,23848,11790,294,112735
510,2838,3943,1323,797,4595,4037,83,17613,1501,2331,1079,733,3060,1694,60,10455,365,504,255,196,829,473,5,2620,36,41,17,13,136,73,0,313,18973,23840,8388,6130,27346,25895,796,111367
511,3097,5443,2352,1582,4633,3088,52,20247,1933,3518,2127,1910,4172,1955,29,15647,753,1190,799,813,2209,913,4,6695,194,255,138,137,813,294,8,1832,20141,28200,11900,9469,27935,20196,453,118291
597,39,46,15,11,208,218,29,560,20,20,9,7,67,53,0,178,3,11,3,0,7,6,0,32,0,0,0,0,0,0,4,3,221,231,78,61,1268,1385,164,3410
