SA4_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
501,2623,23378,28124,10562,5892,70574,4504,75085
502,1999,16139,15300,5274,2866,41580,2015,43597
503,7117,32116,24417,6344,3019,73015,3696,76713
504,4597,32996,39729,13961,8435,99718,4653,104364
505,8651,71012,87484,28072,14993,210215,8161,218372
506,9276,64608,74737,25654,14718,188994,8905,197902
507,7596,56037,66286,21043,10900,161863,6865,168725
509,2031,16143,18914,8342,6113,51536,5048,56577
510,3192,12481,9967,3501,1832,30977,5824,36799
511,2575,17112,16190,5973,3680,45528,6087,51619
597,11,0,0,0,0,13,0,13
