SAL_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SAL50001,5,0,5,5,0,5,4,0,4,6,0,7,6,0,6,0,0,0,26,4,25
SAL50002,13,86,103,159,30,195,53,3,60,93,5,98,32,0,35,7,3,8,361,126,490
SAL50003,0,6,6,9,3,7,4,0,4,4,0,4,6,0,6,0,0,0,15,16,34
SAL50004,0,0,0,3,0,3,0,0,0,4,0,4,4,0,4,0,0,0,9,0,13
SAL50005,0,13,13,4,8,10,4,0,0,0,0,0,3,0,3,0,0,3,7,25,26
SAL50006,18,255,274,211,37,245,65,9,72,39,4,41,8,0,8,10,0,8,346,303,654
SAL50007,0,7,7,5,0,7,0,0,0,3,0,3,0,0,0,0,0,0,10,3,15
SAL50008,33,486,517,799,65,861,478,13,491,453,11,465,230,3,236,134,3,133,2122,581,2701
SAL50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
SAL50010,17,252,272,336,35,366,155,13,166,199,0,204,66,3,71,17,0,21,792,302,1097
SAL50011,115,673,785,929,85,1016,750,23,774,682,19,698,244,9,251,93,0,94,2816,817,3629
SAL50012,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9
SAL50013,0,51,51,77,10,86,31,0,30,30,0,28,14,0,14,4,0,4,157,60,227
SAL50014,0,12,12,17,5,29,4,0,7,3,0,6,0,0,3,0,0,0,34,22,54
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
SAL50016,4,21,25,56,5,57,24,3,27,35,0,37,21,0,19,4,0,4,148,32,175
SAL50017,0,7,14,11,4,13,7,4,5,4,0,4,3,0,3,0,0,0,14,18,35
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL50019,0,21,22,27,3,35,12,3,17,13,0,13,9,0,9,5,0,5,76,28,99
SAL50020,0,6,6,10,0,10,0,0,0,3,0,3,0,0,0,0,0,0,12,3,20
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,55,710,763,942,100,1040,392,37,429,424,16,441,155,5,161,57,0,60,2028,864,2887
SAL50023,3,3,4,8,0,8,5,3,7,0,0,0,0,0,0,0,0,0,19,3,21
SAL50024,31,342,374,508,50,556,289,23,309,315,11,326,110,6,121,32,0,32,1290,428,1717
SAL50025,8,23,36,91,5,97,23,0,26,35,0,33,12,0,12,10,0,6,176,37,216
SAL50026,104,2190,2302,1525,334,1860,686,98,777,469,42,515,227,26,251,180,25,200,3189,2713,5902
SAL50027,0,6,6,4,0,6,3,0,3,0,0,3,5,0,5,0,0,0,10,10,22
SAL50028,0,6,6,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,3,15,16
SAL50029,0,4,11,10,5,16,0,0,0,0,0,5,0,0,0,0,0,0,18,7,28
