SED_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_ns,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arr_ns,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_ns,Canada_Tot,Ch_ex_SARs_Taiw_Before_1951,Ch_ex_SARs_Taiw_1951_1960,Ch_ex_SARs_Taiw_1961_1970,Ch_ex_SARs_Taiw_1971_1980,Ch_ex_SARs_Taiw_1981_1990,Ch_ex_SARs_Taiw_1991_2000,Ch_ex_SARs_Taiw_2001_2010,Ch_ex_SARs_Taiw_2011_2015,Ch_ex_SARs_Taiw_2016,Ch_ex_SARs_Taiw_2017,Ch_ex_SARs_Taiw_2018,Ch_ex_SARs_Taiw_2019,Ch_ex_SARs_Taiw_2020,Ch_ex_SARs_Taiw_2021,Ch_ex_SARs_Taiw_Yr_arr_ns,Ch_ex_SARs_Taiw_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_ns,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_ns,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_ns,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arr_ns,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_ns,Greece_Tot,Ho_Ko_SAR_China_Before_1951,Ho_Ko_SAR_China_1951_1960,Ho_Ko_SAR_China_1961_1970,Ho_Ko_SAR_China_1971_1980,Ho_Ko_SAR_China_1981_1990,Ho_Ko_SAR_China_1991_2000,Ho_Ko_SAR_China_2001_2010,Ho_Ko_SAR_China_2011_2015,Ho_Ko_SAR_China_2016,Ho_Ko_SAR_China_2017,Ho_Ko_SAR_China_2018,Ho_Ko_SAR_China_2019,Ho_Ko_SAR_China_2020,Ho_Ko_SAR_China_2021,Ho_Ko_SAR_China_arrival_ns,Ho_Ko_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arr_ns,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
SED50106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,16,14,22,19,20,11,0,0,10,13,0,3,123,0,0,0,0,3,0,27,22,0,0,4,11,0,0,6,78,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,15,46,32,22,14,17,15,38,4,6,6,3,0,0,0,12,206,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,3,0,4,0,0,0,0,0,0,5,20,0,0,16,5,5,10,41,35,5,0,4,3,4,0,4,129,0,4,0,0,5,4,14,13,0,6,8,7,0,0,0,70,0,0,0,0,9,0,0,0
SED50202,0,0,0,0,3,3,69,79,3,12,10,0,4,0,7,188,0,0,0,0,0,0,18,10,0,0,0,0,0,0,0,36,0,0,7,0,10,12,18,23,0,0,3,0,0,7,0,86,0,0,0,5,9,10,57,33,0,4,10,8,0,0,0,134,0,3,8,0,0,8,3,0,0,0,0,0,0,0,0,26,3,4,0,0,0,4,6,0,0,0,0,0,0,0,0,21,0,0,0,3,5,0,10,0,0,0,0,0,0,0,0,24,28,29,27,21,48,23,19,10,0,0,0,0,0,0,9,211,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,4,12,12,0,0,0,0,0,0,0,31,3,7,34,45,37,36,607,512,47,47,25,56,29,8,7,1505,0,0,0,7,11,34,74,60,3,11,8,8,5,0,0,238,0,0,0,0,12,7,18,25
SED50304,0,0,0,0,7,17,21,14,0,0,7,0,0,0,0,66,0,0,0,4,0,0,8,11,0,0,0,3,0,0,0,32,0,0,5,11,14,18,27,21,0,4,3,5,0,0,0,102,0,4,4,7,59,99,262,142,23,26,19,36,23,0,6,706,6,46,102,35,18,46,18,5,0,0,0,4,0,0,18,295,0,5,16,5,4,8,4,14,0,0,0,0,0,0,9,68,0,0,0,0,7,7,0,3,0,0,0,0,0,0,0,18,18,12,10,13,9,12,28,20,0,6,0,6,0,0,4,142,21,94,128,28,6,7,0,11,0,3,0,0,0,0,9,314,0,0,3,19,35,36,38,22,9,3,6,4,11,4,6,195,3,3,63,27,45,75,605,608,174,124,199,216,75,13,34,2259,0,0,0,3,3,50,46,30,15,13,6,5,15,0,7,194,0,0,0,0,25,40,53,115
SED50405,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,26,10,0,0,0,0,0,0,0,45,0,0,3,5,12,13,38,21,4,9,0,0,0,0,0,98,0,0,0,0,0,9,70,51,8,8,6,3,0,0,3,166,0,3,13,0,0,21,9,3,0,0,0,0,0,0,3,56,0,4,0,0,6,0,7,18,0,0,0,0,0,0,0,36,0,0,0,0,6,9,29,22,0,0,11,3,0,0,0,87,6,23,19,11,19,10,42,16,6,0,6,4,0,0,0,172,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,4,17,9,4,0,0,0,0,0,0,40,5,5,19,22,14,37,622,452,59,52,75,76,35,10,22,1515,0,0,0,0,11,24,63,38,6,4,6,4,3,0,6,166,0,0,0,0,3,3,4,34
SED50502,0,0,0,0,0,45,129,61,4,7,5,13,9,3,5,283,0,0,0,10,11,0,12,9,0,0,0,0,0,0,0,36,0,0,3,10,17,12,8,11,0,0,0,3,0,0,0,60,0,0,0,9,50,43,187,90,10,10,9,13,8,0,10,446,0,13,37,8,7,39,26,0,0,0,0,0,0,0,3,140,6,3,12,0,4,3,16,5,0,0,0,0,0,0,0,50,0,0,0,0,10,0,9,0,0,0,0,0,0,0,5,29,27,18,13,11,12,17,28,15,0,0,6,0,0,0,0,155,0,6,17,9,0,0,0,0,0,0,0,6,0,0,0,38,0,0,0,17,23,30,20,9,0,0,0,4,3,0,0,106,14,0,106,103,105,138,488,247,58,26,53,54,32,9,25,1442,0,0,6,0,29,26,45,26,4,5,5,5,7,6,4,156,0,0,0,0,5,24,54,38
SED50605,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,8,5,4,7,6,9,11,0,0,54,0,0,4,13,21,27,22,8,7,5,4,6,3,0,0,115,3,5,0,26,115,176,418,256,65,50,39,54,27,0,12,1239,8,7,26,8,13,14,0,0,0,0,0,0,0,0,0,77,3,3,15,3,4,3,6,15,0,0,0,5,0,0,0,59,0,0,3,3,8,3,4,0,0,0,0,0,0,0,0,26,15,20,5,7,36,24,39,6,0,3,5,0,0,0,0,161,4,5,8,3,0,0,0,0,0,0,0,0,0,0,0,28,0,4,11,48,119,78,63,26,17,12,12,12,9,6,6,414,15,9,65,60,91,169,249,123,27,25,39,47,21,5,16,960,0,3,13,22,280,433,241,76,14,13,31,34,61,0,31,1255,0,0,0,7,68,57,85,120
SED50702,0,0,0,0,3,19,68,110,16,3,11,7,10,3,3,251,0,0,0,0,0,11,104,82,15,8,13,11,10,0,3,253,0,0,3,8,9,13,6,22,0,4,5,7,4,0,3,81,0,0,6,9,53,95,470,219,67,58,48,80,17,5,29,1156,3,7,25,3,3,11,0,8,0,0,0,0,0,0,6,76,5,3,9,4,0,8,19,13,3,3,0,5,0,0,4,72,0,0,0,4,7,5,11,3,0,0,3,0,0,0,4,36,37,26,20,23,19,12,28,16,0,0,0,3,0,0,0,191,0,7,11,3,4,0,0,0,0,0,0,0,0,0,0,27,0,0,6,10,35,32,69,53,5,8,11,13,10,0,0,250,8,7,81,64,54,76,405,329,95,82,137,139,47,3,23,1556,0,0,0,0,21,91,109,71,9,15,20,22,29,0,17,403,0,0,0,0,8,15,26,68
SED50805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,8,24,15,12,36,16,0,3,0,12,3,8,0,137,0,4,0,3,14,21,49,47,7,4,4,10,6,0,0,162,3,19,27,7,4,3,3,0,0,0,0,0,0,0,4,83,3,10,8,4,0,0,4,6,0,0,4,0,0,0,0,43,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,18,15,17,12,26,20,39,25,0,0,0,6,3,0,0,187,0,6,10,3,0,0,0,6,4,0,0,0,0,0,0,35,0,0,5,8,3,5,4,7,3,0,0,5,0,0,0,47,9,5,36,14,13,17,58,35,10,16,10,8,7,0,7,244,3,3,4,7,21,33,34,20,4,10,3,5,9,0,3,156,0,0,0,0,16,5,26,24
SED50906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,16,0,6,6,0,0,0,0,33,0,0,5,10,8,14,20,14,0,0,7,0,0,0,3,90,0,0,0,0,0,6,44,29,6,11,12,9,0,0,0,117,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,4,4,0,0,0,13,0,0,0,26,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,35,23,23,12,24,6,24,3,0,0,0,4,0,0,6,159,0,5,3,3,0,0,0,0,0,5,0,0,0,0,0,18,0,0,0,0,0,0,5,9,3,3,0,3,5,0,0,37,11,0,11,8,4,16,100,134,19,18,25,29,15,4,8,401,0,0,3,0,5,13,29,20,13,5,3,3,0,0,3,91,0,0,0,0,3,0,0,11
SED51004,0,0,0,6,11,59,25,7,0,3,0,0,5,0,3,119,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,18,0,0,3,12,11,13,39,19,4,4,3,0,0,0,0,115,0,0,0,0,16,29,84,59,4,12,4,19,0,0,0,229,0,0,9,3,6,9,3,5,0,0,0,0,0,0,0,36,0,0,5,8,12,26,23,28,0,0,0,3,0,0,0,106,0,0,0,0,3,0,6,4,0,0,0,3,0,0,0,15,15,9,19,15,38,21,53,25,0,0,3,3,4,0,0,197,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,15,0,0,3,0,14,7,22,3,3,0,0,3,0,0,0,59,6,6,21,20,10,20,154,92,27,14,12,17,10,0,10,420,0,0,0,4,9,33,24,15,10,7,14,5,9,0,3,132,0,0,0,0,17,25,27,25
