SED_CODE_2021,M_Yr_12_eq_15_19_yr,M_Yr_12_eq_20_24_yr,M_Yr_12_eq_25_34_yr,M_Yr_12_eq_35_44_yr,M_Yr_12_eq_45_54_yr,M_Yr_12_eq_55_64_yr,M_Yr_12_eq_65_74_yr,M_Yr_12_eq_75_84_yr,M_Yr_12_eq_85_yr_over,M_Yr_12_eq_Tot,M_Yr_11_eq_15_19_yr,M_Yr_11_eq_20_24_yr,M_Yr_11_eq_25_34_yr,M_Yr_11_eq_35_44_yr,M_Yr_11_eq_45_54_yr,M_Yr_11_eq_55_64_yr,M_Yr_11_eq_65_74_yr,M_Yr_11_eq_75_84_yr,M_Yr_11_eq_85_yr_over,M_Yr_11_eq_Tot,M_Yr_10_eq_15_19_yr,M_Yr_10_eq_20_24_yr,M_Yr_10_eq_25_34_yr,M_Yr_10_eq_35_44_yr,M_Yr_10_eq_45_54_yr,M_Yr_10_eq_55_64_yr,M_Yr_10_eq_65_74_yr,M_Yr_10_eq_75_84_yr,M_Yr_10_eq_85_yr_over,M_Yr_10_eq_Tot,M_Yr_9_eq_15_19_yr,M_Yr_9_eq_20_24_yr,M_Yr_9_eq_25_34_yr,M_Yr_9_eq_35_44_yr,M_Yr_9_eq_45_54_yr,M_Yr_9_eq_55_64_yr,M_Yr_9_eq_65_74_yr,M_Yr_9_eq_75_84_yr,M_Yr_9_eq_85_yr_over,M_Yr_9_eq_Tot,M_Yr_8_bel_15_19_yr,M_Yr_8_bel_20_24_yr,M_Yr_8_bel_25_34_yr,M_Yr_8_bel_35_44_yr,M_Yr_8_bel_45_54_yr,M_Yr_8_bel_55_64_yr,M_Yr_8_bel_65_74_yr,M_Yr_8_bel_75_84_yr,M_Yr_8_bel_85_yr_over,M_Yr_8_bel_Tot,M_Did_not_go_to_school_15_19,M_Did_not_go_to_school_20_24,M_Did_not_go_to_school_25_34,M_Did_not_go_to_school_35_44,M_Did_not_go_to_school_45_54,M_Did_not_go_to_school_55_64,M_Did_not_go_to_school_65_74,M_Did_not_go_to_school_75_84,M_Did_not_go_to_school_85ov,M_Did_not_go_to_school_Tot,M_High_yr_sch_ns_15_19_yr,M_High_yr_sch_ns_20_24_yr,M_High_yr_sch_ns_25_34_yr,M_High_yr_sch_ns_35_44_yr,M_High_yr_sch_ns_45_54_yr,M_High_yr_sch_ns_55_64_yr,M_High_yr_sch_ns_65_74_yr,M_High_yr_sch_ns_75_84_yr,M_High_yr_sch_ns_85_yr_over,M_High_yr_sch_ns_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Yr_12_eq_15_19_yr,F_Yr_12_eq_20_24_yr,F_Yr_12_eq_25_34_yr,F_Yr_12_eq_35_44_yr,F_Yr_12_eq_45_54_yr,F_Yr_12_eq_55_64_yr,F_Yr_12_eq_65_74_yr,F_Yr_12_eq_75_84_yr,F_Yr_12_eq_85_yr_over,F_Yr_12_eq_Tot,F_Yr_11_eq_15_19_yr,F_Yr_11_eq_20_24_yr,F_Yr_11_eq_25_34_yr,F_Yr_11_eq_35_44_yr,F_Yr_11_eq_45_54_yr,F_Yr_11_eq_55_64_yr,F_Yr_11_eq_65_74_yr,F_Yr_11_eq_75_84_yr,F_Yr_11_eq_85_yr_over,F_Yr_11_eq_Tot,F_Yr_10_eq_15_19_yr,F_Yr_10_eq_20_24_yr,F_Yr_10_eq_25_34_yr,F_Yr_10_eq_35_44_yr,F_Yr_10_eq_45_54_yr,F_Yr_10_eq_55_64_yr,F_Yr_10_eq_65_74_yr,F_Yr_10_eq_75_84_yr,F_Yr_10_eq_85_yr_over,F_Yr_10_eq_Tot,F_Yr_9_eq_15_19_yr,F_Yr_9_eq_20_24_yr,F_Yr_9_eq_25_34_yr,F_Yr_9_eq_35_44_yr,F_Yr_9_eq_45_54_yr,F_Yr_9_eq_55_64_yr,F_Yr_9_eq_65_74_yr,F_Yr_9_eq_75_84_yr,F_Yr_9_eq_85_yr_over,F_Yr_9_eq_Tot,F_Yr_8_bel_15_19_yr,F_Yr_8_bel_20_24_yr,F_Yr_8_bel_25_34_yr,F_Yr_8_bel_35_44_yr,F_Yr_8_bel_45_54_yr,F_Yr_8_bel_55_64_yr,F_Yr_8_bel_65_74_yr,F_Yr_8_bel_75_84_yr,F_Yr_8_bel_85_yr_over,F_Yr_8_bel_Tot,F_Did_not_go_to_school_15_19,F_Did_not_go_to_school_20_24,F_Did_not_go_to_school_25_34,F_Did_not_go_to_school_35_44,F_Did_not_go_to_school_45_54,F_Did_not_go_to_school_55_64,F_Did_not_go_to_school_65_74,F_Did_not_go_to_school_75_84,F_Did_not_go_to_school_85ov,F_Did_not_go_to_school_Tot,F_High_yr_sch_ns_15_19_yr,F_High_yr_sch_ns_20_24_yr,F_High_yr_sch_ns_25_34_yr,F_High_yr_sch_ns_35_44_yr,F_High_yr_sch_ns_45_54_yr,F_High_yr_sch_ns_55_64_yr,F_High_yr_sch_ns_65_74_yr,F_High_yr_sch_ns_75_84_yr,F_High_yr_sch_ns_85_yr_over,F_High_yr_sch_ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Yr_12_eq_15_19_yr,P_Yr_12_eq_20_24_yr,P_Yr_12_eq_25_34_yr,P_Yr_12_eq_35_44_yr,P_Yr_12_eq_45_54_yr,P_Yr_12_eq_55_64_yr,P_Yr_12_eq_65_74_yr,P_Yr_12_eq_75_84_yr,P_Yr_12_eq_85_yr_over,P_Yr_12_eq_Tot,P_Yr_11_eq_15_19_yr,P_Yr_11_eq_20_24_yr,P_Yr_11_eq_25_34_yr,P_Yr_11_eq_35_44_yr,P_Yr_11_eq_45_54_yr,P_Yr_11_eq_55_64_yr,P_Yr_11_eq_65_74_yr,P_Yr_11_eq_75_84_yr,P_Yr_11_eq_85_yr_over,P_Yr_11_eq_Tot,P_Yr_10_eq_15_19_yr,P_Yr_10_eq_20_24_yr,P_Yr_10_eq_25_34_yr,P_Yr_10_eq_35_44_yr,P_Yr_10_eq_45_54_yr,P_Yr_10_eq_55_64_yr,P_Yr_10_eq_65_74_yr,P_Yr_10_eq_75_84_yr,P_Yr_10_eq_85_yr_over,P_Yr_10_eq_Tot,P_Yr_9_eq_15_19_yr,P_Yr_9_eq_20_24_yr,P_Yr_9_eq_25_34_yr,P_Yr_9_eq_35_44_yr,P_Yr_9_eq_45_54_yr,P_Yr_9_eq_55_64_yr,P_Yr_9_eq_65_74_yr,P_Yr_9_eq_75_84_yr,P_Yr_9_eq_85_yr_over,P_Yr_9_eq_Tot
SED50106,238,484,1038,1021,1034,929,867,399,114,6130,117,136,264,256,277,227,173,64,29,1548,181,209,545,514,686,974,755,347,111,4318,27,15,50,52,90,124,166,157,58,740,6,9,37,24,34,65,121,184,111,587,0,5,14,15,18,10,9,4,12,76,63,57,173,125,159,154,144,113,55,1045,632,913,2116,2004,2299,2491,2234,1267,487,14438,234,547,1345,1445,1442,1305,867,445,154,7789,60,101,217,224,321,354,287,115,20,1703,95,120,320,360,622,851,815,465,147,3793,16,14,21,35,48,98,144,156,76,615,5,0,8,16,17,45,97,164,120,475,0,0,5,6,17,12,11,7,10,74,54,46,122,116,120,134,125,161,129,1013,465,831,2033,2208,2583,2800,2356,1515,659,15453,473,1033,2378,2470,2475,2241,1739,847,271,13917,181,239,482,477,595,586,457,179,57,3250,278,327,867,867,1309,1828,1567,803,256,8102,44,30,73,86,139,218,314,312,136,1352
SED50202,356,951,1997,1827,1096,785,610,322,72,8015,99,209,455,409,388,264,143,63,17,2040,136,228,752,734,881,1007,730,292,64,4826,45,45,129,119,135,169,179,102,30,955,15,17,42,58,62,102,127,113,40,581,0,8,26,29,31,20,24,23,10,165,113,120,272,225,215,185,133,110,68,1439,770,1571,3667,3406,2817,2534,1941,1016,306,18031,382,1114,2467,2164,1324,917,639,314,80,9392,66,154,438,395,397,402,212,97,11,2166,132,230,670,626,796,981,837,314,117,4702,34,39,70,96,116,178,190,119,52,884,15,3,33,60,61,81,147,132,82,617,3,0,20,32,31,39,26,21,5,184,103,116,267,236,180,136,152,151,105,1439,729,1651,3962,3602,2909,2730,2203,1151,452,19393,740,2065,4461,3988,2418,1698,1245,639,151,17405,164,359,896,797,781,669,353,150,30,4208,266,460,1422,1364,1676,1987,1561,612,184,9529,76,76,196,215,252,342,363,218,84,1839
SED50304,278,994,3340,2843,1593,1128,729,327,91,11317,27,69,230,224,248,217,116,46,12,1186,48,78,279,312,491,579,411,220,67,2482,10,14,31,46,70,76,98,87,39,471,0,3,10,36,33,55,159,270,165,729,4,3,16,22,17,21,32,38,37,198,33,90,212,190,153,136,91,74,34,1008,400,1247,4119,3670,2604,2204,1633,1067,442,17393,280,1169,3841,2999,1684,1137,769,327,95,12304,24,53,195,159,246,281,145,56,18,1177,30,71,211,239,450,670,668,334,119,2799,15,6,40,35,43,75,130,132,62,534,3,6,21,25,52,64,227,352,216,976,3,0,23,27,30,39,60,66,50,297,36,59,245,145,120,106,121,117,104,1058,389,1364,4570,3634,2634,2383,2121,1377,674,19143,557,2165,7185,5845,3275,2266,1501,652,186,23619,52,121,420,379,501,502,258,97,31,2365,84,144,493,548,944,1254,1081,550,183,5280,28,19,63,82,113,146,225,220,100,1004
SED50405,466,1066,2539,2615,1628,826,493,247,42,9922,114,160,549,529,404,263,98,45,5,2175,138,190,765,660,777,748,506,204,37,4022,40,32,87,87,88,113,106,84,13,653,9,10,11,28,30,38,65,72,27,284,0,4,7,7,18,7,9,8,0,57,76,53,169,165,98,84,89,63,27,829,840,1518,4134,4091,3042,2079,1359,729,153,17945,461,1290,3459,3264,1912,1004,490,236,32,12151,60,141,545,465,446,323,157,66,9,2224,107,206,706,638,786,825,642,277,54,4245,36,27,71,80,63,106,160,69,23,643,7,6,16,31,28,48,87,73,21,322,3,0,4,22,15,17,6,3,3,77,71,70,217,177,127,79,109,97,40,993,744,1746,5026,4679,3379,2403,1654,830,183,20646,925,2360,5999,5880,3545,1825,977,485,73,22066,180,301,1094,999,851,589,258,113,15,4403,247,395,1477,1303,1560,1574,1147,483,89,8270,76,61,159,162,151,223,264,152,34,1291
SED50502,358,1050,1968,1942,1392,1079,738,298,69,8892,69,110,252,296,296,244,126,46,9,1441,61,115,373,433,626,863,612,209,67,3359,14,13,57,75,97,114,131,84,22,612,12,10,48,56,54,96,120,142,69,617,4,3,19,33,36,39,30,18,6,194,38,74,159,135,100,103,103,77,19,810,556,1381,2869,2976,2600,2539,1860,877,264,15929,374,990,2215,2263,1655,1204,747,292,103,9845,39,67,219,215,284,330,149,56,18,1375,60,84,305,317,575,777,709,307,103,3228,20,9,49,64,72,114,160,110,53,647,3,3,27,59,83,131,158,172,122,755,0,3,20,28,56,51,55,40,24,275,56,49,152,115,102,107,99,82,38,803,545,1212,2981,3059,2829,2709,2075,1049,463,16918,729,2038,4172,4208,3047,2281,1490,587,169,18737,101,181,471,514,577,571,279,104,30,2815,120,204,680,746,1202,1636,1316,509,172,6583,39,22,106,135,166,228,286,195,79,1256
SED50605,480,1321,1928,2304,2143,1832,1582,760,205,12555,29,48,105,122,141,181,117,73,17,831,31,30,74,131,255,421,397,251,92,1699,8,0,11,16,13,36,63,69,28,247,0,3,6,4,5,19,63,74,62,243,0,0,5,0,4,5,16,7,9,54,28,28,77,72,78,58,72,62,25,502,572,1435,2212,2658,2649,2548,2314,1301,445,16139,449,1206,1990,2712,2486,2047,1545,632,210,13285,17,32,58,79,162,249,172,100,34,903,32,41,79,128,304,481,657,401,193,2319,4,3,12,21,18,36,87,94,74,339,0,0,8,12,5,36,72,108,120,368,0,0,3,6,10,10,17,22,27,88,22,25,63,68,62,85,91,62,61,537,531,1312,2205,3023,3050,2948,2639,1413,725,17840,927,2529,3921,5020,4634,3879,3129,1389,413,25841,49,79,160,203,309,423,286,173,50,1737,68,70,162,257,559,900,1057,655,292,4017,12,3,19,34,35,70,154,162,102,593
SED50702,310,1307,3509,2743,1649,1169,759,312,86,11838,72,118,334,286,333,299,148,55,12,1664,67,123,426,441,634,841,527,229,68,3349,19,21,57,55,100,133,119,83,29,609,4,10,30,38,56,55,99,165,77,534,4,7,37,35,37,37,22,17,11,191,62,149,357,312,297,209,142,89,62,1677,533,1732,4756,3903,3098,2743,1811,939,351,19868,365,1351,3692,2753,1769,1191,775,297,107,12296,34,95,260,213,275,341,163,68,26,1473,39,94,303,325,477,693,679,312,138,3051,16,20,35,54,50,82,123,128,62,570,6,8,24,44,60,57,127,176,136,640,0,9,27,28,38,30,29,24,17,196,54,119,309,254,221,176,141,139,115,1531,508,1690,4653,3670,2888,2580,2038,1134,585,19757,672,2657,7199,5493,3412,2364,1533,607,190,24135,107,213,594,503,608,648,313,122,39,3135,98,215,723,767,1105,1536,1208,543,206,6405,33,42,98,111,150,212,242,202,89,1181
SED50805,385,847,1496,1801,1907,1390,1019,475,163,9480,36,39,122,154,204,201,123,38,17,947,26,39,133,145,337,503,419,237,104,1940,6,6,13,18,23,44,59,70,58,297,0,0,0,3,8,18,37,95,69,238,0,0,0,0,0,10,9,8,11,39,19,16,71,62,74,64,78,88,86,560,477,949,1835,2187,2561,2228,1741,1014,511,13495,412,969,1937,2341,2292,1690,1019,506,204,11374,17,27,78,98,217,270,154,78,36,975,23,24,70,129,325,474,596,381,221,2255,3,4,5,10,18,32,73,114,83,349,4,0,0,5,8,7,61,120,131,340,0,0,0,6,0,3,12,7,13,48,26,26,70,77,81,61,98,134,187,755,489,1051,2165,2672,2947,2535,2011,1345,867,16086,794,1817,3431,4141,4201,3077,2040,983,368,20853,57,64,200,253,425,472,278,122,55,1923,49,65,199,278,670,975,1014,623,323,4193,16,16,15,27,40,71,130,184,138,638
SED50906,277,704,1365,1377,1237,933,677,305,75,6950,100,156,335,373,381,258,163,50,20,1835,138,218,646,707,857,1037,773,355,69,4799,31,26,82,70,96,176,177,141,44,837,8,5,12,19,29,52,133,154,86,502,0,3,13,9,17,20,12,7,9,94,64,68,211,176,183,153,139,93,57,1140,613,1185,2667,2741,2794,2633,2073,1094,362,16161,306,854,1778,1794,1614,1117,686,306,108,8573,68,102,286,356,378,389,227,68,33,1907,109,145,428,497,824,978,917,446,169,4509,21,22,58,57,58,101,193,154,85,748,0,13,17,23,30,45,117,180,130,553,3,0,6,4,3,14,10,13,7,63,64,62,177,138,148,139,142,117,121,1103,575,1192,2754,2865,3058,2779,2288,1289,655,17455,586,1558,3150,3175,2849,2050,1365,610,181,15527,167,254,618,728,757,648,388,122,46,3738,244,365,1076,1204,1678,2022,1683,797,243,9313,53,50,145,125,150,275,370,293,129,1583
SED51004,460,1263,1805,1813,2034,1513,730,273,67,9959,95,97,288,296,325,292,116,43,5,1557,116,139,368,409,676,780,472,173,38,3158,39,14,50,47,57,70,81,58,20,437,3,0,4,19,27,26,56,52,24,207,0,3,0,3,8,4,7,5,6,38,35,50,94,110,101,80,50,49,26,590,745,1568,2614,2688,3228,2774,1508,642,180,15951,486,1265,2132,2335,2616,1619,687,318,55,11515,48,97,264,266,352,356,162,48,20,1615,82,93,280,317,610,698,525,231,63,2894,31,14,18,34,41,74,101,65,26,400,7,7,10,34,20,44,54,49,38,263,4,0,3,15,16,20,14,8,11,80,44,50,98,96,99,85,61,65,48,641,695,1521,2812,3097,3756,2885,1605,781,254,17418,946,2525,3942,4148,4647,3134,1420,592,120,21476,143,192,552,565,678,653,278,91,20,3171,193,226,652,724,1288,1477,997,398,103,6055,69,36,72,82,101,140,177,124,43,835
