SED_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SED50106,9,12,46,43,55,106,217,349,231,1066,0,5,18,27,38,19,18,12,17,146,122,104,291,241,277,286,277,279,179,2054,1099,1748,4154,4213,4881,5286,4591,2784,1142,29894
SED50202,26,24,74,120,126,186,276,249,125,1200,0,4,48,61,64,62,47,40,15,351,220,230,536,461,402,320,282,257,171,2887,1499,3226,7628,7010,5728,5264,4144,2166,760,37416
SED50304,3,8,37,58,85,117,390,618,381,1704,3,0,36,54,48,59,89,105,91,495,69,141,460,332,271,243,207,197,142,2064,792,2614,8691,7304,5236,4586,3749,2447,1112,36533
SED50405,16,15,31,57,52,85,154,153,50,609,0,4,15,28,34,21,19,13,3,140,144,128,383,347,226,163,198,162,66,1821,1585,3264,9165,8769,6422,4477,3015,1562,333,38588
SED50502,17,11,76,117,139,227,275,318,190,1370,3,5,38,60,95,97,86,60,28,473,94,127,306,252,207,210,207,161,57,1613,1099,2585,5853,6034,5428,5249,3939,1927,724,32847
SED50605,4,4,8,16,14,55,130,187,185,607,0,0,5,10,13,20,31,29,36,146,49,56,137,142,136,146,162,123,84,1041,1103,2743,4415,5685,5699,5499,4956,2716,1170,33982
SED50702,12,13,57,83,112,115,227,345,214,1173,4,9,69,66,79,65,52,35,21,388,121,276,663,566,518,384,285,227,173,3208,1044,3421,9410,7578,5987,5317,3855,2079,937,39625
SED50805,4,3,5,12,12,24,97,221,196,575,0,0,5,12,0,12,18,12,22,86,51,40,140,144,151,130,177,219,273,1314,965,2002,3998,4860,5506,4766,3752,2360,1381,29588
SED50906,8,13,31,38,59,98,251,331,212,1053,4,3,17,9,22,37,24,21,18,155,120,138,385,319,329,289,281,208,182,2247,1183,2385,5420,5603,5851,5408,4360,2385,1015,33615
SED51004,13,7,21,51,46,67,113,102,60,473,5,7,5,18,22,28,17,15,10,116,83,99,189,207,202,163,111,113,72,1236,1448,3091,5425,5790,6984,5661,3116,1424,434,33363
SED51104,20,14,36,59,63,87,123,177,81,662,0,5,21,28,42,26,30,11,11,178,162,134,337,324,265,191,168,226,150,1966,1728,3331,8102,7820,7051,4783,3407,2046,751,39018
SED51205,12,27,98,126,167,207,318,331,140,1430,7,17,79,100,100,116,101,74,46,620,134,253,614,417,273,219,188,176,116,2398,1179,4092,10055,8122,5596,4896,4054,2123,768,40874
SED51304,5,0,5,5,7,20,82,170,133,434,0,0,10,7,5,8,11,16,6,64,25,23,86,94,108,66,135,185,112,825,945,1899,3066,5530,5803,4875,5256,2779,848,31001
SED51401,12,13,31,43,72,129,330,372,215,1213,5,3,3,13,8,15,10,16,11,75,197,254,637,644,742,728,572,443,184,4408,900,1630,4110,4376,5225,6033,5149,2633,895,30954
SED51504,3,5,8,16,19,24,67,138,152,429,0,0,17,14,19,21,12,16,19,121,36,36,167,140,95,72,151,143,137,984,1040,2302,4866,6190,6223,4726,3610,2387,1300,32646
SED51605,8,9,12,43,76,131,245,255,107,892,0,3,18,18,25,39,49,44,20,218,87,105,236,229,167,153,148,139,64,1320,1323,3042,6759,7524,6733,4810,3104,1439,450,35187
SED51706,11,12,28,43,51,97,267,345,172,1024,3,4,14,9,8,23,23,17,11,111,124,89,247,258,298,291,329,295,198,2135,1179,1932,4713,5332,5559,5782,4845,2520,816,32673
SED51804,0,5,5,14,17,21,57,86,87,298,0,0,0,4,9,14,13,6,4,52,84,102,181,192,185,188,229,250,283,1680,1141,2517,4266,4682,5989,5432,4636,3202,1488,33361
SED51902,10,10,18,34,53,76,144,188,81,623,0,3,5,23,24,17,20,17,7,111,87,76,203,219,212,167,143,129,66,1311,1384,2447,6052,6410,6093,5325,3821,1748,461,33743
SED52006,13,9,19,39,49,84,238,366,184,997,0,0,6,16,13,17,16,19,6,85,79,54,127,135,152,149,226,288,167,1368,1044,1771,3474,4105,4905,5513,6125,3721,1088,31751
SED52102,16,8,57,64,104,130,219,229,107,931,0,3,49,62,61,71,40,28,14,330,111,112,246,298,205,211,172,142,90,1595,1152,2409,5573,6187,5184,4780,3676,1869,650,31479
SED52205,9,10,21,34,70,111,307,506,325,1377,5,9,11,17,27,37,43,78,84,309,89,185,458,398,408,363,332,315,283,2837,886,2578,6403,6126,5955,5700,4623,2505,1206,35981
SED52301,18,15,23,36,62,145,275,362,204,1140,0,12,16,21,22,30,34,36,28,191,224,190,436,500,419,387,337,279,149,2924,1245,2040,4549,4720,5088,4979,4044,2152,836,29657
SED52404,3,3,17,12,25,53,105,144,86,458,0,0,7,5,8,17,17,14,9,80,46,40,129,133,142,102,113,104,69,881,1051,2092,4725,5709,5486,5161,4425,1868,554,31069
SED52505,14,14,28,46,59,99,158,122,69,600,0,4,18,37,46,60,54,27,8,265,132,54,200,246,130,120,124,98,49,1150,1358,3137,8739,10271,6443,5305,3846,1355,355,40813
SED52604,7,4,17,21,32,49,124,108,54,414,5,4,11,6,17,15,12,19,4,83,70,107,225,209,193,201,193,260,266,1727,1169,2816,4564,5031,5813,5971,4109,1820,736,32032
SED52702,11,0,14,11,21,50,142,200,131,571,4,3,4,6,4,8,17,12,13,76,44,41,90,105,130,144,147,172,119,1005,1016,1793,2803,4294,5586,5325,4794,2928,984,29519
SED52803,15,18,33,81,93,158,195,136,54,788,3,5,14,37,25,27,15,11,4,148,245,678,2023,1812,1656,1356,609,184,78,8641,1152,3074,8225,7391,6930,5890,2868,897,229,36661
SED52903,93,46,120,130,177,226,335,195,39,1370,12,9,18,28,48,47,66,63,23,326,327,474,1312,1057,1105,1125,821,299,62,6585,1444,2726,7636,6850,6342,7289,6318,1687,216,40512
SED53004,8,0,18,12,22,39,142,209,169,627,3,0,9,12,17,11,18,35,31,137,43,35,79,132,113,85,125,129,83,821,1011,2036,3929,5616,5283,5099,5097,2344,1001,31416
SED53105,21,17,47,67,94,128,222,221,99,916,4,0,28,50,61,32,30,21,7,238,133,134,364,367,267,205,189,124,73,1856,1327,3054,7720,8414,5958,4317,2936,1415,502,35652
SED53204,8,9,39,81,132,156,230,205,105,964,0,4,40,106,119,131,99,43,28,573,66,69,171,153,133,114,124,78,57,964,1330,2987,6259,7703,6586,4845,3050,1425,476,34659
SED53306,26,12,26,53,78,140,308,430,289,1372,4,6,11,21,18,23,31,20,7,130,125,153,299,303,317,277,360,438,407,2675,1239,2463,5123,5117,5189,5293,5155,3564,1565,34705
SED53402,10,3,32,55,71,137,171,243,205,925,0,3,18,20,39,39,38,36,36,235,62,115,300,274,226,188,195,188,134,1696,828,2567,7503,7072,5556,4627,3556,1850,907,34463
SED53502,18,13,34,61,93,150,287,373,223,1252,0,3,25,47,20,35,35,44,31,240,122,175,412,379,397,329,312,346,337,2814,1273,2917,6623,6278,5954,5589,4276,2525,1061,36491
SED53602,9,17,196,290,334,394,483,432,195,2359,5,17,159,281,291,290,205,115,75,1424,156,244,459,479,357,251,271,257,145,2624,1282,3417,7266,6502,5678,5219,4141,2149,725,36381
SED53701,5,15,38,44,57,138,296,357,144,1098,0,5,15,9,7,13,14,24,7,95,192,209,498,578,670,832,768,436,114,4284,863,1520,3638,4381,5259,6647,6049,2766,678,31802
SED53802,10,14,60,118,126,220,392,479,289,1698,0,10,42,52,89,107,84,87,65,530,85,129,338,309,202,203,194,171,72,1697,996,2821,7214,6499,5318,4946,4325,2687,961,35764
SED53902,6,6,27,31,51,73,179,362,314,1058,0,0,17,22,43,34,31,52,67,275,51,92,274,242,192,157,201,259,197,1665,847,2641,6651,6009,5252,4712,3816,2733,1618,34276
SED54006,8,10,30,33,67,121,304,413,202,1186,0,3,12,6,15,11,9,18,10,90,164,106,237,268,319,302,332,305,156,2181,1240,1830,4133,4927,5427,5703,5149,2744,816,31959
SED54104,4,3,9,17,19,42,51,90,106,336,0,3,9,9,9,14,19,6,16,89,129,166,380,358,261,259,357,347,173,2424,1711,3922,6840,6257,5768,5257,4867,3108,1264,38990
SED54203,18,14,49,57,102,161,287,245,43,968,0,3,27,17,33,22,23,24,8,161,216,552,1900,1679,1778,1457,842,278,40,8738,737,2154,7185,6591,6638,7089,5903,1880,226,38398
SED54304,5,11,30,30,51,59,160,231,215,805,0,13,49,30,17,36,36,57,68,305,127,476,1396,959,752,626,445,263,130,5175,924,4524,14219,9764,6874,5720,3773,1688,781,48264
SED54403,19,18,45,71,124,145,168,94,14,696,3,8,28,34,50,39,17,19,10,205,391,873,3704,3673,3196,2265,690,144,21,14958,1327,3452,13617,13516,11003,7982,3037,693,77,54704
SED54505,7,4,13,39,53,68,170,195,132,678,3,3,14,24,20,30,41,46,47,221,46,50,76,130,102,122,123,164,134,950,1241,2530,3459,6415,6347,4975,4856,2691,1066,33580
SED54605,9,11,25,40,78,131,253,300,201,1045,0,4,9,25,17,19,32,23,11,144,113,310,491,336,287,276,266,391,288,2760,1033,2389,4719,4491,4998,5653,4872,3095,1283,32543
SED54701,18,9,45,45,71,122,239,345,177,1071,0,6,8,29,31,38,46,17,17,204,193,228,509,566,596,582,507,345,127,3648,1011,1827,4432,4650,5017,5447,4156,2287,774,29600
SED54804,4,0,18,21,39,51,117,213,195,661,0,0,13,13,17,26,23,27,10,121,68,99,401,316,191,162,204,233,252,1932,838,2355,7891,7216,5570,4512,3585,2324,1251,35528
SED54905,12,0,23,26,29,59,102,133,123,502,3,0,20,19,27,30,33,23,9,163,50,130,283,208,181,194,248,312,393,2003,1117,3421,6383,5595,5114,4988,4585,2452,1234,34889
SED55005,12,13,56,123,150,167,231,175,101,1024,0,13,69,101,112,76,83,47,32,526,107,87,299,240,202,138,147,150,103,1466,1520,3263,6338,8252,6698,4838,3532,1558,607,36619
SED55102,8,18,53,62,74,80,172,164,64,693,0,0,22,58,87,67,31,20,6,297,131,127,354,396,330,221,198,104,26,1896,1484,2732,6439,7293,6666,5257,3553,1496,325,35248
SED55202,20,32,118,175,157,232,333,282,196,1539,8,16,140,149,160,136,79,57,29,771,132,162,378,424,317,238,250,247,221,2369,1314,3034,6464,6918,5767,5061,4400,2559,1023,36549
SED55306,10,11,21,26,38,72,171,264,239,843,0,4,34,12,17,15,12,8,13,116,129,74,322,345,336,371,376,290,169,2412,981,1469,4138,5655,5848,5748,5658,2972,1072,33545
SED55405,6,10,40,61,57,102,167,237,216,898,3,8,38,45,48,63,39,44,22,311,102,299,642,404,287,254,255,360,427,3034,1246,4846,10534,7385,5095,4298,3248,1968,1219,39842
SED55504,11,10,33,51,63,93,154,188,95,690,0,7,19,30,46,43,31,24,6,208,87,75,177,225,185,141,145,171,126,1335,1421,2925,6487,7260,6237,4810,3598,1923,636,35296
SED55605,16,19,24,41,46,98,149,161,71,628,5,4,6,9,21,14,14,12,3,100,126,94,231,252,214,147,135,110,71,1378,1756,2925,5813,6357,6755,5250,2937,1530,465,33796
SED55706,18,19,49,42,65,91,216,275,160,929,5,7,28,28,27,19,9,25,12,152,169,133,358,461,576,590,522,356,179,3340,967,1342,3963,5214,5865,6815,6106,2871,910,34048
SED55802,8,8,76,119,135,158,220,207,102,1034,5,16,69,105,115,88,72,32,23,527,109,86,308,237,170,145,144,105,68,1374,1427,3419,8817,7839,6117,5228,3088,1607,560,38099
SED55905,6,8,24,26,72,132,303,418,216,1197,4,6,15,18,36,35,39,44,25,214,122,115,356,313,252,254,355,392,369,2534,1160,2759,5606,5126,5007,5043,4118,2734,1310,32856
SED59797,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,44,223,434,399,218,49,8,0,1387,20,116,521,957,893,533,176,32,0,3245
