SED_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
SED50106,90,163,247,54,82,137,34,198,231,61,359,416,216,893,1108,231,661,896,768,382,1156,618,442,1064,766,442,1211,879,268,1151,613,249,863,623,179,803,1279,281,1557,941,26,969,676,57,733,377,14,390,781,114,890,930,66,994,120,249,373,10060,5121,15183
SED50202,130,196,323,38,57,95,75,205,278,86,438,521,272,967,1239,354,603,962,886,375,1259,781,538,1317,990,596,1589,1123,484,1605,967,336,1301,908,235,1144,1772,311,2086,1226,26,1248,794,54,846,393,12,403,723,61,782,1217,114,1336,164,245,410,12892,5855,18747
SED50304,127,214,345,44,68,103,61,233,299,70,502,566,213,1081,1299,230,604,837,636,426,1063,572,525,1100,683,741,1428,807,629,1438,695,589,1285,670,435,1100,1552,685,2234,1065,85,1154,960,143,1107,641,39,679,1781,191,1968,860,128,994,125,182,311,11795,7514,19309
SED50405,107,112,222,39,38,80,44,87,128,56,178,238,153,442,589,280,353,635,628,232,863,580,287,864,699,404,1101,872,386,1262,815,341,1162,912,249,1159,2140,439,2582,1593,56,1648,1386,96,1480,901,17,922,1719,91,1813,2102,118,2219,133,120,257,15167,4051,19217
SED50502,92,168,264,43,57,98,46,146,191,82,331,407,183,782,968,224,414,638,667,285,960,584,373,956,739,433,1171,865,340,1206,660,283,936,654,224,873,1463,388,1856,1190,58,1251,887,79,971,592,22,617,1210,91,1303,1007,104,1109,122,147,273,11305,4740,16048
SED50605,148,154,298,86,61,143,69,127,196,51,224,282,167,483,647,140,394,536,442,262,698,475,290,770,562,328,893,679,249,928,472,246,721,531,198,728,1181,377,1558,934,50,980,965,111,1080,699,22,720,3678,242,3918,932,98,1030,89,86,172,12299,4012,16305
SED50702,145,239,384,45,87,129,48,218,272,98,444,542,171,958,1126,229,487,713,546,366,910,558,556,1115,655,703,1354,847,614,1465,678,560,1240,690,414,1105,1655,798,2456,1175,116,1293,1003,233,1234,700,54,754,1638,280,1916,1091,253,1340,114,205,321,12085,7586,19668
SED50805,88,165,253,56,63,121,23,184,206,31,277,309,140,725,866,132,508,643,382,355,735,312,363,675,486,395,877,506,366,877,363,331,701,431,257,691,970,492,1461,860,47,903,889,117,1007,642,23,663,3065,203,3265,886,74,962,65,140,204,10334,5089,15418
SED50906,94,160,248,36,67,103,62,228,289,74,439,507,214,989,1207,303,608,908,795,416,1210,646,490,1131,738,523,1260,809,415,1226,635,349,981,688,277,961,1388,434,1820,1063,41,1107,883,110,991,497,32,531,1189,154,1343,1191,93,1282,96,206,303,11380,6038,17412
SED51004,102,111,214,41,37,69,45,93,134,62,168,232,147,345,489,174,277,453,515,195,709,501,254,754,625,296,918,691,226,920,619,245,865,612,181,793,1627,286,1919,1298,33,1334,1165,69,1238,757,17,774,2208,89,2296,1424,62,1491,132,97,228,12736,3083,15817
