SED_CODE_2021,F_Mgmt_Cmrce_35_44_yr,F_Mgmt_Cmrce_45_54_yr,F_Mgmt_Cmrce_55_64_yr,F_Mgmt_Cmrce_65_74_yr,F_Mgmt_Cmrce_75_84_yr,F_Mgmt_Cmrce_85_yr_over,F_Mgmt_Cmrce_Tot,F_Scty_Cul_15_24_yr,F_Scty_Cul_25_34_yr,F_Scty_Cul_35_44_yr,F_Scty_Cul_45_54_yr,F_Scty_Cul_55_64_yr,F_Scty_Cul_65_74_yr,F_Scty_Cul_75_84_yr,F_Scty_Cul_85_yr_over,F_Scty_Cul_Tot,F_Crtve_Arts_15_24_yr,F_Crtve_Arts_25_34_yr,F_Crtve_Arts_35_44_yr,F_Crtve_Arts_45_54_yr,F_Crtve_Arts_55_64_yr,F_Crtve_Arts_65_74_yr,F_Crtve_Arts_75_84_yr,F_Crtve_Arts_85_yr_over,F_Crtve_Arts_Tot,F_FoodHos_PsnlSvcs_15_24_yr,F_FoodHos_PsnlSvcs_25_34_yr,F_FoodHos_PsnlSvcs_35_44_yr,F_FoodHos_PsnlSvcs_45_54_yr,F_FoodHos_PsnlSvcs_55_64_yr,F_FoodHos_PsnlSvcs_65_74_yr,F_FoodHos_PsnlSvcs_75_84_ye,F_FoodHos_PsnlSvcs_85_over,F_FoodHos_PsnlSvcs_Tot,F_Mix_Fld_Prog_15_24_yr,F_Mix_Fld_Prog_25_34_yr,F_Mix_Fld_Prog_35_44_yr,F_Mix_Fld_Prog_45_54_yr,F_Mix_Fld_Prog_55_64_yr,F_Mix_Fld_Prog_65_74_yr,F_Mix_Fld_Prog_75_84_yr,F_Mix_Fld_Prog_85_yr_over,F_Mix_Fld_Prog_Tot,F_Fld_stud_inad_desc_15_24,F_Fld_stud_inad_desc_25_34,F_Fld_stud_inad_desc_35_44,F_Fld_stud_inad_desc_45_54,F_Fld_stud_inad_desc_55_64,F_Fld_stud_inad_desc_65_74,F_Fld_stud_inad_desc_75_84,F_Fld_stud_inad_desc_85_over,F_Fld_stud_inad_desc_Tot,F_Fld_stud_ns_15_24_yr,F_Fld_stud_ns_25_34_yr,F_Fld_stud_ns_35_44_yr,F_Fld_stud_ns_45_54_yr,F_Fld_stud_ns_55_64_yr,F_Fld_stud_ns_65_74_yr,F_Fld_stud_ns_75_84_yr,F_Fld_stud_ns_85_yr_over,F_Fld_stud_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Nat_Phy_Sci_15_24_yr,P_Nat_Phy_Sci_25_34_yr,P_Nat_Phy_Sci_35_44_yr,P_Nat_Phy_Sci_45_54_yr,P_Nat_Phy_Sci_55_64_yr,P_Nat_Phy_Sci_65_74_yr,P_Nat_Phy_Sci_75_84_yr,P_Nat_Phy_Sci_85_yr_over,P_Nat_Phy_Sci_Tot,P_IT_15_24_yr,P_IT_25_34_yr,P_IT_35_44_yr,P_IT_45_54_yr,P_IT_55_64_yr,P_IT_65_74_yr,P_IT_75_84_yr,P_IT_85_yr_over,P_IT_Tot,P_Egnr_rel_Tech_15_24_yr,P_Egnr_rel_Tech_25_34_yr,P_Egnr_rel_Tech_35_44_yr,P_Egnr_rel_Tech_45_54_yr,P_Egnr_rel_Tech_55_64_yr,P_Egnr_rel_Tech_65_74_yr,P_Egnr_rel_Tech_75_84_yr,P_Egnr_rel_Tech_85_yr_over,P_Egnr_rel_Tech_Tot,P_Arc_Bld_15_24_yr,P_Arc_Bld_25_34_yr,P_Arc_Bld_35_44_yr,P_Arc_Bld_45_54_yr,P_Arc_Bld_55_64_yr,P_Arc_Bld_65_74_yr,P_Arc_Bld_75_84_yr,P_Arc_Bld_85_yr_over,P_Arc_Bld_Tot,P_Agric_Env_Rel_Stud_15_24,P_Agric_Env_Rel_Stud_25_34,P_Agric_Env_Rel_Stud_35_44,P_Agric_Env_Rel_Stud_45_54,P_Agric_Env_Rel_Stud_55_64,P_Agric_Env_Rel_Stud_65_74,P_Agric_Env_Rel_Stud_75_84,P_Agric_Env_Rel_Stud_85_over,P_Agric_Envir_Rel_Stud_Tot,P_Hlth_15_24_yr,P_Hlth_25_34_yr,P_Hlth_35_44_yr,P_Hlth_45_54_yr,P_Hlth_55_64_yr,P_Hlth_65_74_yr,P_Hlth_75_84_yr,P_Hlth_85_yr_over,P_Hlth_Tot,P_Edu_15_24_yr,P_Edu_25_34_yr,P_Edu_35_44_yr,P_Edu_45_54_yr,P_Edu_55_64_yr,P_Edu_65_74_yr,P_Edu_75_84_yr,P_Edu_85_yr_over,P_Edu_Tot,P_Mgmt_Cmrce_15_24_yr,P_Mgmt_Cmrce_25_34_yr,P_Mgmt_Cmrce_35_44_yr,P_Mgmt_Cmrce_45_54_yr,P_Mgmt_Cmrce_55_64_yr,P_Mgmt_Cmrce_65_74_yr,P_Mgmt_Cmrce_75_84_yr,P_Mgmt_Cmrce_85_yr_over,P_Mgmt_Cmrce_Tot,P_Scty_Cul_15_24_yr,P_Scty_Cul_25_34_yr,P_Scty_Cul_35_44_yr,P_Scty_Cul_45_54_yr,P_Scty_Cul_55_64_yr,P_Scty_Cul_65_74_yr,P_Scty_Cul_75_84_yr,P_Scty_Cul_85_yr_over,P_Scty_Cul_Tot,P_Crtve_Arts_15_24_yr,P_Crtve_Arts_25_34_yr,P_Crtve_Arts_35_44_yr,P_Crtve_Arts_45_54_yr,P_Crtve_Arts_55_64_yr,P_Crtve_Arts_65_74_yr,P_Crtve_Arts_75_84_yr,P_Crtve_Arts_85_yr_over,P_Crtve_Arts_Tot,P_FoodHos_PsnlSvcs_15_24,P_FoodHos_PsnlSvcs_25_34,P_FoodHos_PsnlSvcs_35_44,P_FoodHos_PsnlSvcs_45_54,P_FoodHos_PsnlSvcs_55_64,P_FoodHos_PsnlSvcs_65_74,P_FoodHos_PsnlSvcs_75_84,P_FoodHos_PsnlSvcs_85_over,P_FoodHos_PsnlSvcs_Tot,P_Mix_Fld_Prog_15_24_yr,P_Mix_Fld_Prog_25_34_yr,P_Mix_Fld_Prog_35_44_yr,P_Mix_Fld_Prog_45_54_yr,P_Mix_Fld_Prog_55_64_yr,P_Mix_Fld_Prog_65_74_yr,P_Mix_Fld_Prog_75_84_yr,P_Mix_Fld_Prog_85_yr_over,P_Mix_Fld_Prog_Tot,P_Fld_stud_inad_desc_15_24,P_Fld_stud_inad_desc_25_34,P_Fld_stud_inad_desc_35_44,P_Fld_stud_inad_desc_45_54,P_Fld_stud_inad_desc_55_64,P_Fld_stud_inad_desc_65_74,P_Fld_stud_inad_desc_75_84,P_Fld_stud_inad_desc_85_over,P_Fld_stud_inad_desc_Tot,P_Fld_stud_ns_15_24_yr,P_Fld_stud_ns_25_34_yr,P_Fld_stud_ns_35_44_yr,P_Fld_stud_ns_45_54_yr,P_Fld_stud_ns_55_64_yr,P_Fld_stud_ns_65_74_yr,P_Fld_stud_ns_75_84_yr,P_Fld_stud_ns_85_yr_over,P_Fld_stud_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr
SED50106,322,353,329,196,83,15,1721,128,245,306,330,332,196,62,9,1613,34,52,50,62,45,34,23,5,300,90,161,107,111,78,54,16,11,620,10,4,5,0,0,0,0,0,19,7,11,12,22,16,9,0,4,90,135,145,135,150,159,165,173,138,1191,798,1512,1661,1812,1777,1232,655,267,9710,37,57,91,94,85,58,29,5,458,31,66,68,48,32,17,3,0,273,166,446,366,440,482,391,197,62,2548,93,221,193,174,151,138,76,32,1069,96,122,169,180,200,124,60,17,969,141,408,397,428,481,333,173,59,2434,63,208,283,379,394,366,162,30,1878,237,337,472,507,476,329,134,30,2519,186,317,386,423,451,313,87,18,2181,55,83,90,92,69,59,32,6,488,118,245,189,182,133,79,38,13,993,15,9,5,0,0,0,0,0,32,15,24,30,48,39,36,11,8,212,302,355,303,339,346,326,287,205,2454,1560,2890,3037,3332
SED50202,564,370,292,136,65,10,2234,197,461,504,363,281,157,38,6,2022,67,108,86,46,31,17,11,0,373,171,284,206,121,69,57,25,0,930,12,8,0,5,0,0,0,0,26,14,24,35,23,17,0,3,0,116,272,338,279,220,173,174,170,108,1739,1301,2753,2558,1751,1372,864,431,169,11195,34,129,112,91,70,34,14,0,479,59,163,192,68,50,17,3,0,558,260,776,853,609,595,437,215,49,3794,107,269,189,136,131,133,56,16,1037,44,89,79,55,62,32,8,5,371,157,513,457,299,278,212,89,24,2029,117,320,305,271,231,138,58,17,1456,382,823,873,552,419,211,106,14,3378,292,615,669,478,382,219,54,13,2717,125,183,122,80,37,41,14,3,612,215,403,334,197,131,91,38,5,1411,20,12,0,6,0,4,0,0,50,36,66,69,57,39,16,21,4,300,556,687,565,483,386,331,296,177,3487,2405,5054,4803,3382
SED50304,904,535,331,189,64,21,3160,126,506,481,315,205,120,44,15,1805,95,198,153,62,35,27,10,6,580,110,277,179,134,85,44,9,6,836,10,4,4,0,5,4,0,0,26,9,57,52,20,15,7,3,0,162,120,294,195,140,136,128,139,123,1278,997,3895,3030,1829,1301,883,415,211,12563,100,307,231,160,95,46,13,3,956,59,333,303,160,61,22,8,0,943,155,1005,766,520,471,370,191,70,3552,96,354,293,180,143,104,76,17,1256,19,79,92,40,29,18,9,0,291,209,947,566,321,238,174,69,22,2530,75,402,340,287,281,194,93,17,1688,311,1610,1611,891,573,330,125,31,5477,206,739,672,445,315,190,66,24,2667,154,324,276,111,71,38,20,8,1009,159,446,306,228,144,73,23,14,1393,14,12,4,5,6,0,3,0,47,24,114,92,43,36,16,12,7,347,262,567,454,320,285,222,232,165,2511,1843,7245,6011,3714
SED50405,895,554,284,137,56,5,2954,218,590,611,435,254,105,35,0,2242,75,131,104,35,13,8,6,0,382,191,449,284,169,85,48,16,4,1249,15,6,3,4,0,0,0,0,35,12,43,51,28,18,10,3,0,177,182,301,241,159,101,111,101,45,1236,1382,3702,3564,2294,1275,645,312,63,13239,51,156,164,103,48,23,14,0,555,75,236,302,101,36,10,8,0,762,363,1183,1212,957,591,351,173,35,4866,121,341,237,211,137,87,44,12,1173,24,86,94,65,30,21,9,4,347,236,732,702,499,302,162,60,0,2694,125,500,553,397,256,100,58,7,1989,350,1067,1349,844,441,206,101,12,4374,314,775,800,578,318,141,47,3,2977,139,193,161,64,31,23,13,0,622,244,602,456,281,125,71,31,4,1815,23,9,9,5,3,0,0,0,48,26,94,112,71,46,26,6,0,384,360,574,483,314,214,208,177,72,2399,2455,6544,6626,4489
SED50502,577,414,327,172,62,8,2235,137,352,401,363,287,162,43,3,1749,75,123,136,67,46,16,12,5,483,103,200,173,109,85,37,15,8,725,13,4,0,0,0,0,0,0,30,15,21,39,30,21,9,6,3,147,138,202,162,132,124,112,94,49,1014,922,2241,2287,1771,1389,847,366,114,9937,81,137,156,140,80,47,15,0,659,46,136,192,105,41,18,9,0,550,176,633,668,533,616,471,196,42,3341,86,243,227,178,133,105,59,9,1040,22,63,81,56,33,24,8,5,290,160,483,370,302,247,180,71,22,1831,69,279,291,316,294,179,70,13,1509,294,790,909,669,541,275,106,17,3597,232,520,563,507,384,216,67,12,2499,125,227,228,102,71,42,19,5,817,150,287,287,171,144,67,20,7,1136,12,7,4,0,4,0,3,0,38,23,50,80,73,45,33,16,5,327,292,408,357,285,260,237,161,70,2076,1779,4263,4399,3436
SED50605,859,785,532,361,133,49,3360,120,250,367,395,327,237,113,19,1826,84,119,128,97,58,31,18,10,548,61,80,94,105,81,65,18,8,508,3,4,0,0,4,0,0,0,17,10,17,38,32,22,26,8,3,158,67,86,98,87,99,87,57,52,633,887,1950,2721,2521,2101,1604,702,275,12767,124,214,226,270,255,201,87,17,1389,56,141,265,199,135,45,10,0,844,189,597,752,667,683,680,303,85,3947,53,146,167,163,144,127,67,33,890,32,63,83,72,48,26,17,6,349,217,647,720,572,527,405,223,88,3393,78,222,277,382,450,464,217,65,2162,384,832,1437,1390,1019,760,291,91,6209,215,425,535,561,463,355,187,36,2779,160,194,197,140,88,56,25,12,878,84,114,137,145,114,79,37,7,724,8,5,0,0,4,3,0,0,20,22,33,69,59,49,38,34,6,313,144,193,220,181,186,158,110,79,1275,1754,3806,5090,4800
SED50702,840,505,365,183,72,18,3164,164,545,450,333,234,134,33,3,1887,83,177,114,56,41,17,8,7,498,161,299,196,114,71,61,15,8,927,9,10,5,0,0,3,0,0,21,14,41,31,33,22,13,5,0,160,219,385,312,255,209,149,142,102,1774,1277,3783,2954,1973,1454,905,414,194,12951,82,303,239,160,74,52,25,0,940,78,281,309,126,64,18,4,0,885,263,1198,963,736,638,437,220,63,4512,76,310,223,151,139,87,48,19,1057,29,76,84,59,43,25,15,8,340,240,839,519,340,248,190,83,25,2481,66,317,294,305,289,189,70,26,1554,477,1533,1438,845,628,312,121,32,5396,257,771,625,441,342,212,44,8,2708,146,318,176,106,60,38,14,11,867,255,539,382,186,142,95,29,10,1629,17,16,5,3,4,3,0,0,48,37,99,79,62,50,33,15,7,379,476,841,705,609,458,301,244,168,3802,2494,7451,6033,4129
SED50805,562,619,385,213,93,48,2414,105,288,363,372,272,218,95,18,1731,86,144,168,119,72,41,21,14,658,50,88,95,121,65,48,30,10,505,3,0,0,4,0,0,0,0,13,9,21,38,29,34,24,7,4,176,72,96,105,102,75,100,138,189,875,737,1901,2372,2456,1862,1225,678,399,11633,71,165,220,213,175,115,55,19,1035,34,38,82,87,60,20,8,0,336,117,401,551,599,533,442,216,106,2957,69,204,219,183,178,112,57,35,1047,19,46,86,85,61,29,24,7,369,134,607,608,602,538,297,162,64,3015,84,324,399,518,482,385,180,65,2427,258,624,966,1139,733,449,216,78,4457,175,447,490,547,420,312,140,33,2565,139,222,242,167,100,70,32,15,990,63,124,139,176,112,61,41,17,731,4,0,4,0,0,0,0,0,20,17,43,67,53,50,40,18,12,313,124,181,201,214,171,180,231,275,1587,1306,3423,4272,4580
SED50906,467,407,327,169,59,11,2132,211,266,373,379,286,164,43,3,1730,67,71,49,41,33,19,13,5,297,108,200,163,146,88,62,30,3,801,11,4,0,7,5,0,0,0,33,8,16,29,27,30,8,8,4,124,168,198,191,174,160,157,140,127,1310,1136,2042,2140,2040,1626,1058,477,228,10756,28,86,91,92,66,56,15,0,440,36,87,86,56,38,16,6,5,331,273,638,711,706,640,460,230,57,3715,87,271,231,220,203,142,69,19,1245,47,88,106,93,67,31,21,6,449,202,509,511,429,416,289,114,40,2525,121,259,364,483,385,275,114,33,2034,297,616,669,618,507,307,110,14,3136,285,361,473,476,383,226,61,15,2273,95,106,85,70,57,31,16,5,467,135,285,244,218,145,94,40,3,1159,19,10,0,9,7,6,0,0,54,21,34,60,63,58,24,14,6,289,327,451,422,415,333,321,247,195,2713,1986,3798,4050,3948
SED51004,630,754,421,165,63,13,2661,216,333,409,449,268,114,22,10,1817,78,108,122,70,40,11,5,0,438,143,247,195,232,135,43,13,7,1018,6,3,0,0,0,5,0,0,20,22,23,28,28,21,5,5,0,130,118,129,151,147,97,74,74,43,841,1098,2138,2459,2715,1759,688,287,91,11236,63,123,131,140,93,38,19,0,608,51,92,180,155,78,23,6,0,589,209,614,656,886,854,459,157,42,3871,112,314,337,402,296,133,35,10,1646,30,54,67,68,41,16,0,5,283,218,479,482,539,446,170,58,14,2408,121,336,382,438,346,132,57,8,1820,280,651,947,1160,710,283,99,18,4146,322,500,544,593,382,156,48,8,2555,162,191,177,120,60,29,13,0,752,192,295,274,305,204,80,20,7,1376,15,4,9,0,8,5,0,0,39,28,43,65,66,54,23,8,3,288,253,263,323,304,214,144,121,75,1698,2060,3970,4554,5165
