SED_CODE_2021,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Agr_fstry_fsh_15_19,F_Agr_fstry_fsh_20_24,F_Agr_fstry_fsh_25_34,F_Agr_fstry_fsh_35_44,F_Agr_fstry_fsh_45_54,F_Agr_fstry_fsh_55_64,F_Agr_fstry_fsh_65_74,F_Agr_fstry_fsh_75_84,F_Agr_fstry_fsh_85_yr_over,F_Agr_fstry_fsh_Tot,F_Min_15_19_yr,F_Min_20_24_yr,F_Min_25_34_yr,F_Min_35_44_yr,F_Min_45_54_yr,F_Min_55_64_yr,F_Min_65_74_yr,F_Min_75_84_yr,F_Min_85_yr_over,F_Min_Tot,F_Manf_15_19_yr,F_Manf_20_24_yr,F_Manf_25_34_yr,F_Manf_35_44_yr,F_Manf_45_54_yr,F_Manf_55_64_yr,F_Manf_65_74_yr,F_Manf_75_84_yr,F_Manf_85_yr_over,F_Manf_Tot,F_Elec_gas_wtr_wst_sv_15_19,F_Elec_gas_wtr_wst_sv_20_24,F_Elec_gas_wtr_wst_sv_25_34,F_Elec_gas_wtr_wst_sv_35_44,F_Elec_gas_wtr_wst_sv_45_54,F_Elec_gas_wtr_wst_sv_55_64,F_Elec_gas_wtr_wst_sv_65_74,F_Elec_gas_wtr_wst_sv_75_84,F_Elec_gas_wtr_wst_sv_85_over,F_Elec_gas_wtr_wst_sv_Tot,F_Con_15_19_yr,F_Con_20_24_yr,F_Con_25_34_yr,F_Con_35_44_yr,F_Con_45_54_yr,F_Con_55_64_yr,F_Con_65_74_yr,F_Con_75_84_yr,F_Con_85_yr_over,F_Con_Tot,F_Whl_trd_15_19_yr,F_Whl_trd_20_24_yr,F_Whl_trd_25_34_yr,F_Whl_trd_35_44_yr,F_Whl_trd_45_54_yr,F_Whl_trd_55_64_yr,F_Whl_trd_65_74_yr,F_Whl_trd_75_84_yr,F_Whl_trd_85_yr_over,F_Whl_trd_Tot,F_Re_trd_15_19_yr,F_Re_trd_20_24_yr,F_Re_trd_25_34_yr,F_Re_trd_35_44_yr,F_Re_trd_45_54_yr,F_Re_trd_55_64_yr,F_Re_trd_65_74_yr,F_Re_trd_75_84_yr,F_Re_trd_85_yr_over,F_Re_trd_Tot,F_Acc_food_svc_15_19,F_Acc_food_svc_20_24,F_Acc_food_svc_25_34,F_Acc_food_svc_35_44,F_Acc_food_svc_45_54,F_Acc_food_svc_55_64,F_Acc_food_svc_65_74,F_Acc_food_svc_75_84,F_Acc_food_svc_85_yr_over,F_Acc_food_svc_Tot,F_Trp_pos_wh_15_19,F_Trp_pos_wh_20_24,F_Trp_pos_wh_25_34,F_Trp_pos_wh_35_44,F_Trp_pos_wh_45_54,F_Trp_pos_wh_55_64,F_Trp_pos_wh_65_74,F_Trp_pos_wh_75_84,F_Trp_pos_wh_85_yr_over,F_Trp_pos_wh_Tot,F_In_med_tcom_15_19,F_In_med_tcom_20_24,F_In_med_tcom_25_34,F_In_med_tcom_35_44,F_In_med_tcom_45_54,F_In_med_tcom_55_64,F_In_med_tcom_65_74,F_In_med_tcom_75_84,F_In_med_tcom_85_yr_over,F_In_med_tcom_Tot,F_Fin_in_svc_15_19,F_Fin_in_svc_20_24,F_Fin_in_svc_25_34,F_Fin_in_svc_35_44,F_Fin_in_svc_45_54,F_Fin_in_svc_55_64,F_Fin_in_svc_65_74,F_Fin_in_svc_75_84,F_Fin_in_svc_85_yr_over,F_Fin_in_svc_Tot,F_Rnt_hrg_rea_est_serv_15_19,F_Rnt_hrg_rea_est_serv_20_24,F_Rnt_hrg_rea_est_serv_25_34,F_Rnt_hrg_rea_est_serv_35_44,F_Rnt_hrg_rea_est_serv_45_54,F_Rnt_hrg_rea_est_serv_55_64,F_Rnt_hrg_rea_est_serv_65_74,F_Rnt_hrg_rea_est_serv_75_84,F_Rnt_hrg_rea_est_serv_85_ov,F_Rnt_hrg_rea_est_serv_Tot,F_Prof_sc_tech_serv_15_19,F_Prof_sc_tech_serv_20_24,F_Prof_sc_tech_serv_25_34,F_Prof_sc_tech_serv_35_44,F_Prof_sc_tech_serv_45_54,F_Prof_sc_tech_serv_55_64,F_Prof_sc_tech_serv_65_74,F_Prof_sc_tech_serv_75_84,F_Prof_sc_tech_serv_85_over,F_Prof_sc_tech_serv_Tot,F_Adm_sup_serv_15_19,F_Adm_sup_serv_20_24,F_Adm_sup_serv_25_34,F_Adm_sup_serv_35_44,F_Adm_sup_serv_45_54,F_Adm_sup_serv_55_64,F_Adm_sup_serv_65_74,F_Adm_sup_serv_75_84,F_Adm_sup_serv_85_over,F_Adm_sup_serv_Tot,F_PubAd_saf_15_19,F_PubAd_saf_20_24,F_PubAd_saf_25_34,F_PubAd_saf_35_44,F_PubAd_saf_45_54,F_PubAd_saf_55_64,F_PubAd_saf_65_74,F_PubAd_saf_75_84,F_PubAd_saf_85_over,F_PubAd_saf_Tot,F_Ed_trng_15_19,F_Ed_trng_20_24,F_Ed_trng_25_34,F_Ed_trng_35_44,F_Ed_trng_45_54,F_Ed_trng_55_64,F_Ed_trng_65_74,F_Ed_trng_75_84,F_Ed_trng_85_yr_over,F_Ed_trng_Tot,F_Hlth_cre_socia_assist_15_19,F_Hlth_cre_socia_assist_20_24,F_Hlth_cre_socia_assist_25_34,F_Hlth_cre_socia_assist_35_44,F_Hlth_cre_socia_assist_45_54,F_Hlth_cre_socia_assist_55_64,F_Hlth_cre_socia_assist_65_74,F_Hlth_cre_socia_assist_75_84,F_Hlth_cre_socia_assist_85ov,F_Hlth_cre_socia_assist_Tot,F_Arts_rec_svc_15_19,F_Arts_rec_svc_20_24,F_Arts_rec_svc_25_34,F_Arts_rec_svc_35_44,F_Arts_rec_svc_45_54,F_Arts_rec_svc_55_64,F_Arts_rec_svc_65_74,F_Arts_rec_svc_75_84,F_Arts_rec_svc_85_yr_over,F_Arts_rec_svc_Tot,F_Oth_svc_15_19_yr,F_Oth_svc_20_24_yr,F_Oth_svc_25_34_yr,F_Oth_svc_35_44_yr,F_Oth_svc_45_54_yr,F_Oth_svc_55_64_yr,F_Oth_svc_65_74_yr,F_Oth_svc_75_84_yr,F_Oth_svc_85_yr_over,F_Oth_svc_Tot
SED50106,663,669,1519,1566,1820,1739,630,110,22,8737,10,9,34,47,68,75,61,20,5,323,0,0,11,7,8,5,0,0,0,31,17,20,38,47,51,45,11,0,0,230,0,0,10,18,5,11,0,0,0,45,3,10,49,59,61,32,8,0,0,221,3,11,21,12,23,20,3,0,0,97,218,114,190,197,220,195,44,0,0,1172,231,86,124,112,114,98,31,3,0,804,6,9,14,20,38,33,7,0,0,128,7,5,12,7,6,7,0,0,0,53,3,13,38,34,31,32,0,0,0,148,0,12,29,24,41,22,8,5,0,131,10,16,79,100,81,66,21,5,0,377,0,15,31,50,57,60,18,0,0,240,8,11,56,106,139,96,20,3,0,443,5,39,141,242,379,299,69,5,0,1189,52,154,394,479,573,543,126,8,0,2331,14,6,29,19,22,22,5,0,0,109,18,36,67,78,55,60,22,0,0,337
SED50202,566,1092,2767,2710,2032,1660,429,54,3,11303,6,7,13,16,11,7,4,4,0,64,3,28,54,53,39,19,0,0,0,192,17,40,74,81,79,56,6,0,0,356,0,3,9,15,10,11,0,0,0,52,7,33,92,46,41,38,7,0,0,265,10,17,52,43,50,26,3,0,0,203,139,213,285,232,234,161,39,0,0,1310,234,130,136,91,60,50,8,0,0,705,5,35,91,93,66,69,15,0,0,381,7,7,7,10,9,7,0,0,0,48,3,8,58,47,32,22,0,0,0,174,0,14,30,26,14,17,4,0,0,98,5,41,112,101,69,51,11,0,0,385,9,52,108,89,105,64,14,0,0,444,10,24,122,149,106,85,25,0,0,525,19,73,248,274,293,222,64,3,0,1208,37,217,614,651,488,439,94,0,0,2544,16,24,37,28,18,8,4,0,0,139,21,57,133,95,65,35,16,5,0,420
SED50304,384,940,3538,3112,2081,1493,474,70,5,12102,0,5,15,6,6,7,4,0,0,45,3,26,114,108,51,24,4,0,0,319,5,16,75,67,57,43,18,3,0,291,0,0,29,42,21,15,5,0,0,107,8,38,126,94,63,43,8,3,0,382,0,8,35,41,43,12,7,0,0,151,184,231,306,202,174,167,42,3,0,1313,113,137,285,155,88,56,10,5,0,852,4,14,41,49,46,28,6,0,0,195,0,11,42,25,14,11,0,6,0,103,3,16,104,123,97,40,9,0,0,385,0,11,50,53,34,25,16,0,0,189,8,56,359,301,162,79,40,0,0,997,4,47,187,157,77,72,21,0,0,563,8,26,192,188,149,105,22,0,0,687,14,87,327,310,293,226,59,0,0,1324,23,246,1004,649,464,382,132,0,0,2902,16,26,71,42,34,18,3,0,0,213,24,45,160,107,73,66,26,4,0,499
SED50405,830,1177,3573,3631,2612,1557,323,29,3,13732,0,7,16,18,18,6,5,0,0,68,0,37,110,115,62,36,4,0,0,374,10,26,116,132,110,34,5,0,0,444,3,8,25,24,19,9,0,0,0,90,4,29,120,95,72,34,3,0,0,360,4,13,63,46,34,17,0,0,0,181,214,236,440,341,271,170,33,0,0,1702,416,184,178,138,89,21,3,0,0,1037,3,25,85,67,60,33,12,0,0,290,10,3,17,12,11,7,0,0,0,57,8,20,116,133,63,34,0,0,0,380,8,11,52,57,33,21,9,4,0,194,9,42,177,191,96,57,12,0,0,578,16,48,150,144,103,60,18,0,0,543,13,75,223,234,202,103,7,0,0,855,31,98,409,507,443,193,35,0,0,1720,50,270,859,868,692,458,61,0,0,3260,24,30,63,30,17,8,4,0,0,178,30,56,164,125,95,51,4,0,0,524
SED50502,494,968,2323,2449,2118,1781,504,45,3,10682,0,3,11,7,6,6,0,0,0,30,0,21,59,71,46,26,5,0,0,230,9,14,57,89,104,62,10,0,0,350,0,0,20,23,17,7,0,0,0,69,4,19,61,69,43,42,6,0,0,241,0,14,38,43,42,36,13,0,0,182,174,199,201,199,174,165,36,4,0,1140,191,136,141,108,89,65,14,0,0,736,4,16,58,56,71,55,9,0,0,266,0,3,16,19,15,16,3,0,0,77,0,17,60,86,61,36,14,4,0,274,0,7,26,24,28,19,7,4,0,117,3,47,173,187,115,71,17,0,0,608,7,20,69,92,65,65,14,0,0,328,3,26,139,145,184,123,25,0,0,658,26,70,217,285,316,247,57,3,0,1218,34,169,526,494,499,433,136,7,0,2289,21,33,46,35,33,27,8,3,0,203,19,33,133,111,83,59,13,4,0,453
SED50605,656,1094,1850,2364,2353,1939,773,140,13,11176,0,4,3,6,16,16,7,0,0,49,0,16,71,111,86,45,9,3,0,354,15,26,35,64,77,50,22,0,0,288,0,6,14,43,31,12,0,0,0,101,0,23,47,72,71,47,14,0,0,287,4,15,30,35,36,27,7,0,0,154,233,201,130,125,151,149,48,7,0,1039,253,127,96,75,63,57,20,0,0,680,4,17,31,32,56,40,7,0,0,186,4,13,15,9,13,5,3,0,0,64,0,19,42,100,84,53,12,0,0,316,4,14,33,48,71,42,21,8,0,239,14,95,223,283,231,130,50,9,0,1027,6,12,35,52,45,39,16,0,0,199,3,33,80,152,165,116,25,0,0,591,37,95,216,344,448,386,115,11,0,1668,54,226,481,576,531,477,148,15,0,2505,28,38,36,25,35,21,9,0,0,198,18,42,72,83,77,59,22,0,0,382
SED50702,465,1227,3926,3174,2352,1848,535,65,10,13602,0,4,14,9,12,8,0,4,0,52,5,36,178,152,95,44,8,0,0,512,17,21,97,70,71,60,16,0,0,345,0,3,21,25,12,9,0,0,0,69,6,27,135,104,69,48,6,0,0,386,0,14,50,61,41,34,7,5,0,215,150,224,265,164,148,134,34,0,0,1115,190,178,272,154,109,67,21,0,0,986,7,42,88,91,93,53,17,0,0,380,4,7,23,18,15,11,7,0,0,90,0,24,103,103,65,47,3,0,0,346,4,25,70,39,46,29,14,0,0,225,3,80,322,230,123,77,29,3,0,863,3,47,148,111,89,81,29,4,0,515,3,38,177,179,160,126,24,0,0,712,23,72,274,263,278,213,46,4,0,1180,23,229,797,565,444,370,121,8,0,2546,24,51,102,71,46,32,12,3,0,339,10,55,157,122,76,46,21,0,0,489
SED50805,577,775,1600,1980,2259,1704,555,78,6,9530,0,4,10,8,10,3,3,0,0,35,3,9,70,89,86,28,4,0,0,287,32,19,49,71,58,49,6,3,0,287,0,0,11,15,13,8,0,0,0,44,0,10,52,77,69,42,7,0,0,255,4,13,23,39,50,29,7,0,0,169,195,160,103,115,149,123,44,0,0,886,246,154,93,65,57,24,15,0,0,657,3,6,30,43,55,38,8,0,0,183,5,7,22,24,16,11,0,0,0,88,0,13,42,77,76,42,3,5,0,260,0,16,41,48,54,36,24,4,0,224,14,56,187,235,213,108,44,4,0,861,4,12,29,56,48,38,19,0,0,209,11,30,103,140,169,130,21,3,0,609,47,85,293,378,530,429,92,4,0,1853,49,171,503,473,550,493,117,4,0,2365,29,33,37,47,42,23,6,0,0,229,26,43,71,88,71,47,12,0,0,354
SED50906,658,863,1980,2088,2181,1799,550,54,0,10182,5,16,24,12,18,13,10,0,0,97,5,24,37,39,43,24,0,0,0,177,32,35,73,89,87,43,8,0,0,367,0,7,14,17,15,19,0,0,0,72,9,22,74,73,59,53,8,0,0,293,5,7,20,20,39,17,11,0,0,111,201,149,231,240,249,186,39,0,0,1303,296,110,138,147,130,60,22,0,0,905,6,13,25,28,36,51,13,0,0,160,13,16,18,9,5,4,0,0,0,73,0,11,36,41,42,33,5,0,0,172,7,11,31,35,24,30,7,0,0,151,7,19,69,98,78,53,23,0,0,342,6,20,49,80,91,63,19,3,0,326,9,35,100,125,148,108,20,0,0,540,28,42,183,291,450,305,67,3,0,1375,70,222,566,575,609,510,115,3,0,2664,18,23,32,19,23,15,4,0,0,135,14,51,88,77,107,66,17,0,0,417
SED51004,814,1189,2201,2358,2874,2177,474,41,0,12137,3,6,17,16,20,9,0,0,0,69,0,11,63,65,60,30,8,0,0,234,18,16,38,66,64,58,0,0,0,267,0,11,17,25,23,13,0,0,0,95,9,26,68,103,121,76,18,0,0,418,11,12,25,35,49,34,4,0,0,166,249,234,225,194,283,190,41,0,0,1416,323,180,128,81,67,53,7,0,0,843,5,9,30,40,48,31,13,0,0,170,6,5,13,11,11,10,0,0,0,61,0,26,70,97,123,62,5,0,0,396,0,18,37,31,54,39,6,0,0,183,9,76,155,181,190,89,21,0,0,716,8,39,82,96,123,72,15,0,0,439,7,32,111,135,195,128,19,0,0,630,36,93,255,387,520,291,35,0,0,1628,55,260,499,560,779,590,94,0,0,2835,32,28,29,31,48,18,3,0,0,193,38,76,141,122,121,67,7,3,0,573
