SOSR_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
SOSR501,37,1900,846,350,2262,0.8,1858,2.6
SOSR511,39,1625,767,320,2003,0.7,1598,2.5
SOSR512,40,1560,792,300,2032,0.7,1565,2.4
SOSR513,36,1840,1167,300,2711,0.8,2241,2.6
SOSR514,41,1517,736,300,1807,0.7,1424,2.4
SOSR515,41,1500,783,240,1958,0.8,1503,2.4
SOSR521,44,1300,690,200,1640,0.8,1308,2.3
SOSR522,43,1200,605,150,1314,0.8,1215,2.4
SOSR531,44,1950,985,250,2042,0.8,1695,2.6
SOSR579,45,1733,2700,0,1375,0.7,1833,1.7
