SOSR_CODE_2021,M_PG_Deg_15_24_yr,M_PG_Deg_25_34_yr,M_PG_Deg_35_44_yr,M_PG_Deg_45_54_yr,M_PG_Deg_55_64_yr,M_PG_Deg_65_74_yr,M_PG_Deg_75_84_yr,M_PG_Deg_85_yr_over,M_PG_Deg_Tot,M_Grad_Dip_Cer_15_24,M_Grad_Dip_Cer_25_34,M_Grad_Dip_Cer_35_44,M_Grad_Dip_Cer_45_54,M_Grad_Dip_Cer_55_64,M_Grad_Dip_Cer_65_74,M_Grad_Dip_Cer_75_84,M_Grad_Dip_Cer_85_over,M_Grad_Dip_Cer_Tot,M_B_Deg_15_24_yr,M_B_Deg_25_34_yr,M_B_Deg_35_44_yr,M_B_Deg_45_54_yr,M_B_Deg_55_64_yr,M_B_Deg_65_74_yr,M_B_Deg_75_84_yr,M_B_Deg_85_yr_over,M_B_Deg_Tot,M_Adv_Dip_Dip_15_24_yr,M_Adv_Dip_Dip_25_34_yr,M_Adv_Dip_Dip_35_44_yr,M_Adv_Dip_Dip_45_54_yr,M_Adv_Dip_Dip_55_64_yr,M_Adv_Dip_Dip_65_74_yr,M_Adv_Dip_Dip_75_84_yr,M_Adv_Dip_Dip_85_yr_over,M_Adv_Dip_Dip_Total,M_Cer_III_IV_15_24_yr,M_Cer_III_IV_25_34_yr,M_Cer_III_IV_35_44_yr,M_Cer_III_IV_45_54_yr,M_Cer_III_IV_55_64_yr,M_Cer_III_IV_65_74_yr,M_Cer_III_IV_75_84_yr,M_Cer_III_IV_85_yr_over,M_Cer_III_IV_Tot,M_Cer_I_II_15_24_yr,M_Cer_I_II_25_34_yr,M_Cer_I_II_35_44_yr,M_Cer_I_II_45_54_yr,M_Cer_I_II_55_64_yr,M_Cer_I_II_65_74_yr,M_Cer_I_II_75_84_yr,M_Cer_I_II_85_yr_over,M_Cer_I_II_Tot,M_Cer_nfd_15_24_yr,M_Cer_nfd_25_34_yr,M_Cer_nfd_35_44_yr,M_Cer_nfd_45_54_yr,M_Cer_nfd_55_64_yr,M_Cer_nfd_65_74_yr,M_Cer_nfd_75_84_yr,M_Cer_nfd_85_yr_over,M_Cer_nfd_Tot,M_Cer_Tot_15_24_yr,M_Cer_Tot_25_34_yr,M_Cer_Tot_35_44_yr,M_Cer_Tot_45_54_yr,M_Cer_Tot_55_64_yr,M_Cer_Tot_65_74_yr,M_Cer_Tot_75_84_yr,M_Cer_Tot_85_yr_over,M_Cer_Tot_Tot,M_lvl_educ_inad_desc_15_24,M_lvl_educ_inad_desc_25_34,M_lvl_educ_inad_desc_35_44,M_lvl_educ_inad_desc_45_54,M_lvl_educ_inad_desc_55_64,M_lvl_educ_inad_desc_65_74,M_lvl_educ_inad_desc_75_84,M_lvl_educ_inad_desc_85ov,M_lvl_educ_inad_desc_Tot,M_lvl_educ_ns_15_24,M_lvl_educ_ns_25_34,M_lvl_educ_ns_35_44,M_lvl_educ_ns_45_54,M_lvl_educ_ns_55_64,M_lvl_educ_ns_65_74,M_lvl_educ_ns_75_84,M_lvl_educ_ns_85_yr_over,M_lvl_educ_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_PG_Deg_15_24_yr,F_PG_Deg_25_34_yr,F_PG_Deg_35_44_yr,F_PG_Deg_45_54_yr,F_PG_Deg_55_64_yr,F_PG_Deg_65_74_yr,F_PG_Deg_75_84_yr,F_PG_Deg_85_yr_over,F_PGuate_Deg_Tot,F_Grad_Dip_Cer_15_24_yr,F_Grad_Dip_Cer_25_34_yr,F_Grad_Dip_Cer_35_44_yr,F_Grad_Dip_Cer_45_54_yr,F_Grad_Dip_Cer_55_64_yr,F_Grad_Dip_Cer_65_74_yr,F_Grad_Dip_Cer_75_84_yr,F_Grad_Dip_Cer_85_yr_over,F_Grad_Dip_Cer_Tot,F_B_Deg_15_24_yr,F_B_Deg_25_34_yr,F_B_Deg_35_44_yr,F_B_Deg_45_54_yr,F_B_Deg_55_64_yr,F_B_Deg_65_74_yr,F_B_Deg_75_84_yr,F_B_Deg_85_yr_over,F_B_Deg_Tot,F_Adv_Dip_Dip_15_24,F_Adv_Dip_Dip_25_34,F_Adv_Dip_Dip_35_44,F_Adv_Dip_Dip_45_54,F_Adv_Dip_Dip_55_64,F_Adv_Dip_Dip_65_74,F_Adv_Dip_Dip_75_84,F_Adv_Dip_Dip_85_over,F_Adv_Dip_Dip_Total,F_Cer_III_IV_15_24_yr,F_Cer_III_IV_25_34_yr,F_Cer_III_IV_35_44_yr,F_Cer_III_IV_45_54_yr,F_Cer_III_IV_55_64_yr,F_Cer_III_IV_65_74_yr,F_Cer_III_IV_75_84_yr,F_Cer_III_IV_85_yr_over,F_Cer_III_IV_Tot,F_Cer_I_II_15_24_yr,F_Cer_I_II_25_34_yr,F_Cer_I_II_35_44_yr,F_Cer_I_II_45_54_yr,F_Cer_I_II_55_64_yr,F_Cer_I_II_65_74_yr,F_Cer_I_II_75_84_yr,F_Cer_I_II_85_yr_over,F_Cer_I_II_Tot,F_Cer_nfd_15_24_yr,F_Cer_nfd_25_34_yr,F_Cer_nfd_35_44_yr,F_Cer_nfd_45_54_yr,F_Cer_nfd_55_64_yr,F_Cer_nfd_65_74_yr,F_Cer_nfd_75_84_yr,F_Cer_nfd_85_yr_over,F_Cer_nfd_Tot,F_Cer_Tot_15_24_yr,F_Cer_Tot_25_34_yr,F_Cer_Tot_35_44_yr,F_Cer_Tot_45_54_yr,F_Cer_Tot_55_64_yr,F_Cer_Tot_65_74_yr,F_Cer_Tot_75_84_yr,F_Cer_Tot_85_yr_over,F_Cer_Tot_Tot,F_lvl_educ_inad_desc_15_24,F_lvl_educ_inad_desc_25_34,F_lvl_educ_inad_desc_35_44,F_lvl_educ_inad_desc_45_54,F_lvl_educ_inad_desc_55_64,F_lvl_educ_inad_desc_65_74,F_lvl_educ_inad_desc_75_84,F_lvl_educ_inad_desc_85ov,F_lvl_educ_inad_desc_Tot,F_lvl_educ_ns_15_24_yr,F_lvl_educ_ns_25_34_yr,F_lvl_educ_ns_35_44_yr,F_lvl_educ_ns_45_54_yr,F_lvl_educ_ns_55_64_yr,F_lvl_educ_ns_65_74_yr,F_lvl_educ_ns_75_84_yr,F_lvl_educ_ns_85_yr_over,F_lvl_educ_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_PG_Deg_15_24_yr,P_PG_Deg_25_34_yr
SOSR501,776,10301,14179,10026,7017,4644,1925,402,49269,183,2378,3317,3270,2660,1648,576,83,14100,8562,31439,32638,23652,16005,11257,4400,1053,129002,4087,11936,15181,13542,11046,8719,4087,983,69584,15022,34611,32375,29425,28018,20174,10058,2763,172444,5060,2029,1120,778,558,386,139,25,10101,871,1292,1643,1850,1715,1562,854,229,10009,20947,37938,35138,32054,30288,22119,11054,3020,192553,484,953,1242,1111,880,864,641,233,6411,6089,8555,8112,6790,5506,4943,4321,2699,47017,41122,103502,109807,90435,73403,54199,26997,8478,507944,858,13803,15582,9332,5473,2853,771,141,48818,611,5655,6902,6065,4538,2575,770,138,27267,12009,46795,45343,29961,18065,11395,4599,1251,169412,5545,15968,18721,18144,15495,9752,4182,1301,89102,14559,22639,19942,17456,13051,6335,1843,522,96350,5011,2458,2115,1820,1584,1052,412,87,14539,1239,1768,2831,4011,3918,2911,1493,534,18700,20813,26865,24881,23284,18551,10297,3751,1144,129584,420,1000,1199,1124,1139,1288,861,312,7343,5873,8639,7815,6518,6229,6905,6978,5442,54399,46121,118729,120443,94428,69491,45052,21913,9736,525913,1639,24110
SOSR511,3,80,157,150,104,82,22,10,611,0,29,68,78,72,48,9,4,310,73,428,522,500,384,277,106,22,2306,59,246,403,395,365,265,127,25,1892,706,1716,1717,1553,1409,958,419,102,8572,279,112,47,31,24,21,6,0,521,31,37,61,65,82,60,27,9,378,1024,1859,1829,1650,1513,1034,457,108,9472,6,21,32,27,31,30,24,4,179,230,289,276,270,257,238,169,111,1847,1399,2954,3286,3064,2729,1979,917,279,16615,15,137,175,145,107,64,18,0,660,12,116,185,175,132,81,21,0,724,172,912,1058,831,533,332,140,45,4016,98,469,581,568,579,379,149,53,2875,915,1239,1154,992,716,327,78,17,5424,270,195,133,108,85,48,18,6,860,56,68,127,181,172,104,43,9,754,1238,1500,1410,1279,973,473,138,32,7047,6,22,34,29,32,44,20,9,204,206,287,276,267,286,298,311,212,2142,1747,3446,3711,3310,2632,1666,797,353,17664,19,216
SOSR512,20,202,248,211,164,134,58,6,1043,5,67,100,119,103,76,18,0,490,123,700,803,678,546,455,146,48,3494,66,365,599,584,659,483,216,43,3008,1133,2741,2539,2465,2198,1537,721,200,13524,420,164,102,59,62,35,12,5,849,43,61,81,113,118,125,48,10,600,1597,2958,2721,2632,2374,1692,783,218,14975,12,38,39,46,39,41,35,11,257,592,802,795,720,755,579,408,212,4850,2415,5129,5302,4990,4642,3458,1654,533,28119,31,279,339,227,176,96,24,4,1177,25,197,297,288,240,138,40,7,1226,344,1407,1531,1239,883,565,262,62,6300,218,701,927,998,930,614,292,79,4753,933,1639,1524,1440,1080,508,150,36,7307,509,250,168,167,126,74,30,7,1328,77,120,140,248,233,178,65,27,1079,1516,2013,1834,1854,1440,757,244,66,9717,26,43,35,55,51,77,46,22,354,560,687,687,629,733,709,604,463,5065,2711,5329,5649,5295,4453,2949,1507,698,28590,52,484
SOSR513,3,182,202,138,108,80,24,5,744,5,59,92,77,56,30,6,0,326,70,680,648,464,353,235,102,10,2567,47,302,604,546,413,279,93,7,2292,614,2213,2353,1863,1430,806,263,32,9575,180,95,57,36,27,17,3,0,409,30,59,83,79,76,54,19,3,407,826,2362,2496,1976,1526,885,288,37,10387,20,17,38,39,29,24,15,4,191,704,1291,1412,1292,1081,498,232,60,6574,1676,4890,5491,4546,3565,2037,762,119,23085,12,279,263,159,128,69,13,0,923,23,192,245,172,130,77,16,0,855,235,1436,1218,714,451,290,83,15,4452,118,605,703,552,515,312,79,12,2885,414,1091,925,677,452,208,39,5,3817,209,177,159,85,63,44,11,0,740,32,77,107,137,112,69,30,7,570,651,1340,1195,900,634,323,77,8,5128,10,30,31,21,32,29,16,6,172,573,1084,850,762,676,453,254,91,4751,1616,4976,4506,3284,2561,1541,543,138,19157,18,460
SOSR514,0,39,45,42,38,53,19,4,239,0,6,26,24,18,17,4,0,103,22,161,246,185,127,153,75,15,983,8,98,163,128,129,112,65,9,706,201,555,583,575,508,374,132,31,2953,74,28,19,12,9,6,4,0,159,10,15,34,24,41,38,13,3,179,282,601,634,616,552,418,148,33,3287,6,3,9,8,19,12,7,4,84,157,178,168,168,157,132,112,55,1135,472,1078,1291,1175,1046,903,442,125,6533,5,46,96,46,31,36,11,0,267,6,47,80,61,54,38,14,3,302,32,338,471,356,202,178,81,13,1676,28,175,250,249,232,158,66,20,1174,174,318,400,327,215,112,27,5,1573,61,44,49,40,28,22,7,0,256,17,31,42,57,49,46,18,5,265,254,396,488,422,291,183,51,14,2089,4,11,18,19,16,25,10,0,103,133,163,168,162,160,160,139,107,1191,453,1180,1567,1309,986,779,372,155,6799,5,86
SOSR515,5,139,144,133,136,119,39,13,722,3,55,78,77,80,64,19,3,378,126,604,532,515,440,424,130,19,2795,63,277,404,455,469,429,174,26,2295,808,2224,2159,2026,2012,1491,554,133,11409,235,129,70,55,61,35,12,0,597,35,50,72,69,98,122,55,13,527,1073,2405,2306,2157,2175,1644,619,151,12532,13,38,21,36,23,41,20,5,197,760,959,914,977,859,681,429,173,5761,2052,4476,4389,4350,4178,3410,1436,396,24678,11,188,231,151,128,104,23,0,834,14,191,187,189,180,119,24,5,912,252,1264,1151,798,676,479,184,43,4846,110,578,674,710,726,595,197,40,3633,627,1266,1173,966,831,453,94,15,5434,314,217,126,121,108,67,22,0,970,49,86,123,160,187,130,52,13,797,985,1567,1430,1252,1127,649,168,27,7209,11,35,49,39,47,58,38,7,282,667,814,785,771,728,793,529,295,5387,2054,4636,4512,3911,3606,2803,1163,426,23107,15,326
SOSR521,3,46,49,51,60,37,13,0,262,0,11,20,23,41,17,0,0,120,33,191,201,182,152,136,47,9,948,16,99,157,182,218,197,66,12,943,229,781,744,735,895,676,234,34,4327,89,36,17,26,25,17,4,0,211,10,22,28,31,30,39,17,8,192,327,839,791,790,948,737,257,42,4732,0,7,6,14,11,15,11,4,70,297,537,529,615,553,415,230,54,3238,680,1737,1760,1862,1973,1556,621,125,10305,12,71,66,56,66,44,11,0,320,4,54,62,65,61,49,9,0,303,64,402,387,305,302,171,79,23,1739,32,185,232,248,299,222,65,18,1296,216,446,404,350,378,181,36,8,2023,104,80,54,45,54,29,7,0,369,25,43,43,58,68,63,18,3,322,345,572,502,452,499,273,62,15,2713,0,7,10,13,15,22,21,7,98,265,379,355,365,446,436,261,102,2601,721,1673,1608,1499,1680,1213,503,166,9070,11,117
SOSR522,0,26,24,28,39,38,19,0,178,0,7,10,26,24,16,4,0,81,21,118,129,91,88,121,34,5,615,14,51,86,85,129,132,43,0,541,157,418,395,413,454,402,124,28,2386,42,31,14,14,20,13,0,0,144,7,17,17,20,28,29,3,4,122,205,471,422,444,503,439,131,28,2648,0,7,5,11,11,16,4,0,57,154,200,217,244,276,287,147,39,1568,394,880,894,932,1076,1054,387,78,5696,0,40,49,35,47,26,9,0,199,0,30,26,32,44,38,4,0,188,47,225,198,140,185,143,41,6,987,21,110,112,126,196,130,35,10,742,114,217,202,191,204,99,28,0,1071,40,46,32,27,23,22,0,0,195,14,14,32,32,50,41,11,0,199,171,272,274,254,278,164,43,4,1462,0,3,12,3,13,18,13,0,58,172,157,166,153,248,261,143,56,1357,415,843,832,739,1007,788,292,78,4993,0,70
SOSR531,40,319,383,370,403,342,135,17,2009,0,85,140,205,217,166,29,8,846,329,1589,1583,1552,1344,1081,309,30,7811,160,658,1035,1491,1448,1178,369,48,6383,1754,4841,5265,5381,5285,3157,926,107,26715,480,218,179,121,102,61,15,3,1185,63,103,170,228,269,246,93,18,1192,2294,5170,5612,5734,5655,3463,1031,122,29085,29,55,71,95,101,110,48,8,516,1896,4633,4696,4645,3552,1673,664,131,21887,4756,12506,13515,14087,12716,8014,2576,366,68542,24,348,445,389,425,249,41,4,1922,18,250,356,431,438,287,39,5,1823,462,2107,2359,2234,1811,1204,305,51,10521,229,802,1153,1560,1942,1196,315,61,7250,1113,1672,1883,1942,1676,714,138,12,9149,419,234,262,251,223,128,27,0,1549,99,121,227,374,442,317,82,16,1673,1628,2024,2373,2571,2338,1157,247,33,12374,25,36,66,85,108,111,48,13,496,1138,1615,1460,1686,1678,1374,660,113,9724,3527,7180,8206,8955,8732,5581,1665,263,44114,69,661
SOSR579,0,5,5,14,8,0,0,0,43,0,3,8,6,0,0,0,0,15,3,49,62,58,27,15,0,0,208,6,19,86,85,47,9,3,0,257,23,107,217,191,102,17,0,0,659,3,7,0,5,0,0,0,0,22,0,3,10,7,9,3,0,0,39,28,118,231,201,112,18,4,0,722,0,4,12,3,6,4,0,0,24,40,193,416,385,196,40,0,0,1274,75,396,816,754,397,86,7,0,2532,0,4,0,3,0,0,0,0,16,0,0,3,0,3,7,0,0,15,3,23,11,9,15,8,0,0,68,4,5,5,11,7,6,0,0,34,12,16,3,4,3,0,5,0,43,0,3,0,0,3,0,0,0,9,0,0,0,0,0,3,0,0,4,14,21,4,8,12,3,5,0,57,0,0,0,0,0,0,0,0,0,12,29,20,22,26,14,10,0,136,32,82,44,51,69,38,14,0,325,0,13
