SOSR_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
SOSR501,118609,240888,143197,122436,126522,81117,66162,86429,16577,1001946
SOSR511,2929,5700,6225,4174,3907,3111,3319,4319,543,34235
SOSR512,5578,9198,9942,7122,6098,5045,5488,6429,854,55766
SOSR513,4351,6230,7457,3856,4309,2423,3721,3699,853,36899
SOSR514,1401,1906,2284,1573,1162,1132,956,1749,205,12359
SOSR515,4612,6328,8044,5033,4496,3011,5022,5720,912,43179
SOSR521,1935,2220,2813,1834,1603,982,2170,2227,365,16141
SOSR522,1319,1352,1436,1059,859,473,1117,1201,226,9040
SOSR531,20193,13557,18371,7209,8771,4373,13098,11183,1679,98440
SOSR579,96,324,627,58,45,6,172,344,23,1697
