SUA_CODE_2021,A_0_4_Indig_M,A_0_4_Indig_F,A_0_4_Indig_P,A_0_4_Non_Indig_M,A_0_4_Non_Indig_F,A_0_4_Non_Indig_P,A_0_4_Indig_status_ns_M,A_0_4_Indig_status_ns_F,A_0_4_Indig_status_ns_P,A_0_4_Tot_M,A_0_4_Tot_F,A_0_4_Tot_P,A_5_9_Indig_M,A_5_9_Indig_F,A_5_9_Indig_P,A_5_9_Non_Indig_M,A_5_9_Non_Indig_F,A_5_9_Non_Indig_P,A_5_9_Indig_status_ns_M,A_5_9_Indig_status_ns_F,A_5_9_Indig_status_ns_P,A_5_9_Tot_M,A_5_9_Tot_F,A_5_9_Tot_P,A_10_14_Indig_M,A_10_14_Indig_F,A_10_14_Indig_P,A_10_14_Non_Indig_M,A_10_14_Non_Indig_F,A_10_14_Non_Indig_P,A_10_14_Indig_status_ns_M,A_10_14_Indig_status_ns_F,A_10_14_Indig_status_ns_P,A_10_14_Tot_M,A_10_14_Tot_F,A_10_14_Tot_P,A_15_19_Indig_M,A_15_19_Indig_F,A_15_19_Indig_P,A_15_19_Non_Indig_M,A_15_19_Non_Indig_F,A_15_19_Non_Indig_P,A_15_19_Indig_status_ns_M,A_15_19_Indig_status_ns_F,A_15_19_Indig_status_ns_P,A_15_19_Tot_M,A_15_19_Tot_F,A_15_19_Tot_P,A_20_24_Indig_M,A_20_24_Indig_F,A_20_24_Indig_P,A_20_24_Non_Indig_M,A_20_24_Non_Indig_F,A_20_24_Non_Indig_P,A_20_24_Indig_status_ns_M,A_20_24_Indig_status_ns_F,A_20_24_Indig_status_ns_P,A_20_24_Tot_M,A_20_24_Tot_F,A_20_24_Tot_P,A_25_29_Indig_M,A_25_29_Indig_F,A_25_29_Indig_P,A_25_29_Non_Indig_M,A_25_29_Non_Indig_F,A_25_29_Non_Indig_P,A_25_29_Indig_status_ns_M,A_25_29_Indig_status_ns_F,A_25_29_Indig_status_ns_P,A_25_29_Tot_M,A_25_29_Tot_F,A_25_29_Tot_P,A_30_34_Indig_M,A_30_34_Indig_F,A_30_34_Indig_P,A_30_34_Non_Indig_M,A_30_34_Non_Indig_F,A_30_34_Non_Indig_P,A_30_34_Indig_status_ns_M,A_30_34_Indig_status_ns_F,A_30_34_Indig_status_ns_P,A_30_34_Tot_M,A_30_34_Tot_F,A_30_34_Tot_P,A_35_39_Indig_M,A_35_39_Indig_F,A_35_39_Indig_P,A_35_39_Non_Indig_M,A_35_39_Non_Indig_F,A_35_39_Non_Indig_P,A_35_39_Indig_status_ns_M,A_35_39_Indig_status_ns_F,A_35_39_Indig_status_ns_P,A_35_39_Tot_M,A_35_39_Tot_F,A_35_39_Tot_P,A_40_44_Indig_M,A_40_44_Indig_F,A_40_44_Indig_P,A_40_44_Non_Indig_M,A_40_44_Non_Indig_F,A_40_44_Non_Indig_P,A_40_44_Indig_status_ns_M,A_40_44_Indig_status_ns_F,A_40_44_Indig_status_ns_P,A_40_44_Tot_M,A_40_44_Tot_F,A_40_44_Tot_P,A_45_49_Indig_M,A_45_49_Indig_F,A_45_49_Indig_P,A_45_49_Non_Indig_M,A_45_49_Non_Indig_F,A_45_49_Non_Indig_P,A_45_49_Indig_status_ns_M,A_45_49_Indig_status_ns_F,A_45_49_Indig_status_ns_P,A_45_49_Tot_M,A_45_49_Tot_F,A_45_49_Tot_P,A_50_54_Indig_M,A_50_54_Indig_F,A_50_54_Indig_P,A_50_54_Non_Indig_M,A_50_54_Non_Indig_F,A_50_54_Non_Indig_P,A_50_54_Indig_status_ns_M,A_50_54_Indig_status_ns_F,A_50_54_Indig_status_ns_P,A_50_54_Tot_M,A_50_54_Tot_F,A_50_54_Tot_P,A_55_59_Indig_M,A_55_59_Indig_F,A_55_59_Indig_P,A_55_59_Non_Indig_M,A_55_59_Non_Indig_F,A_55_59_Non_Indig_P,A_55_59_Indig_status_ns_M,A_55_59_Indig_status_ns_F,A_55_59_Indig_status_ns_P,A_55_59_Tot_M,A_55_59_Tot_F,A_55_59_Tot_P,A_60_64_Indig_M,A_60_64_Indig_F,A_60_64_Indig_P,A_60_64_Non_Indig_M,A_60_64_Non_Indig_F,A_60_64_Non_Indig_P,A_60_64_Indig_status_ns_M,A_60_64_Indig_status_ns_F,A_60_64_Indig_status_ns_P,A_60_64_Tot_M,A_60_64_Tot_F,A_60_64_Tot_P,A_65_and_over_Indig_M,A_65_and_over_Indig_F,A_65_and_over_Indig_P,A_65_and_over_Non_Indig_M,A_65_and_over_Non_Indig_F,A_65_and_over_Non_Indig_P,A_65_and_over_Indig_stat_ns_M,A_65_and_over_Indig_stat_ns_F,A_65_and_over_Indig_stat_ns_P,A_65_and_over_Tot_M,A_65_and_over_Tot_F,A_65_and_over_Tot_P,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_Non_Indig_M,Tot_Non_Indig_F,Tot_Non_Indig_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
5000,1310,1160,2466,6081,5669,11750,719,664,1384,8109,7498,15605,1384,1303,2691,7014,6479,13487,946,874,1827,9348,8661,18010,1310,1354,2659,6717,6248,12968,926,861,1784,8953,8458,17410,1302,1248,2545,5515,4868,10376,818,699,1519,7630,6813,14442,1176,1060,2240,5859,4630,10486,1519,978,2501,8565,6671,15226,1158,953,2110,7972,6383,14349,2609,1234,3837,11736,8564,20302,1162,923,2089,9299,7280,16577,3117,1253,4368,13571,9458,23031,1028,885,1913,9800,7564,17366,3195,1136,4332,14025,9585,23608,905,814,1722,9291,7073,16367,2838,1044,3883,13035,8934,21971,885,726,1615,9889,7568,17464,2953,1138,4090,13735,9433,23170,738,806,1537,10990,8564,19558,3118,1182,4304,14846,10551,25400,661,660,1322,11137,9487,20622,2613,1232,3845,14409,11385,25793,556,520,1078,11058,9848,20900,2090,1030,3121,13698,11400,25101,798,919,1718,27954,24716,52666,3234,2598,5831,31982,28230,60216,14376,13341,27720,138583,116366,254947,30694,15927,46619,183651,145633,329284
5001,71,67,136,790,752,1539,29,20,53,890,845,1733,78,49,129,902,878,1779,41,44,84,1019,969,1990,58,83,144,1086,1012,2099,48,48,96,1190,1144,2338,77,63,146,1018,947,1965,50,33,82,1146,1044,2190,70,40,110,736,705,1439,31,34,62,835,778,1611,93,40,132,812,825,1636,37,33,66,942,897,1841,64,35,91,878,872,1749,49,47,97,988,954,1939,60,32,92,826,922,1743,40,40,75,925,995,1917,43,26,68,804,942,1741,39,49,88,888,1010,1898,35,45,81,905,1046,1950,48,46,91,987,1133,2120,36,43,78,950,1105,2055,62,39,98,1051,1186,2233,31,39,73,987,1119,2103,41,53,95,1065,1209,2270,22,17,44,1037,1214,2248,54,40,94,1114,1277,2392,32,53,86,3428,4006,7435,145,183,322,3603,4236,7842,776,637,1416,15147,16339,31486,712,691,1400,16633,17670,34302
5002,194,166,352,339,344,683,79,73,154,613,582,1191,223,177,397,395,401,793,99,83,180,716,663,1380,203,210,411,356,309,667,78,80,153,636,603,1233,128,153,282,208,231,440,53,57,109,386,438,829,126,120,244,233,316,555,60,65,129,427,502,927,98,143,244,348,557,906,81,129,209,536,823,1356,134,142,273,483,636,1114,98,145,246,715,923,1633,110,117,229,495,635,1128,92,111,201,702,860,1558,110,126,238,434,489,923,74,81,155,620,693,1312,76,71,149,441,461,905,90,92,177,605,628,1232,89,86,178,481,477,962,97,113,216,677,678,1353,70,79,146,452,507,958,98,112,211,617,696,1311,56,85,138,525,622,1151,99,121,219,680,830,1505,89,105,192,1628,1405,3029,220,225,447,1932,1737,3669,1694,1793,3488,6820,7379,14203,1329,1482,2807,9841,10651,20493
5003,152,143,296,2113,1966,4080,73,85,150,2336,2195,4530,165,137,301,2440,2257,4697,103,76,173,2709,2471,5178,159,166,326,2533,2365,4890,98,113,215,2794,2636,5430,128,160,292,2134,2140,4270,82,70,153,2344,2374,4714,115,119,237,1740,1681,3423,98,74,168,1948,1873,3821,110,105,212,1875,2002,3876,103,104,206,2093,2208,4299,94,74,169,2122,2347,4471,93,102,201,2314,2527,4840,72,86,161,2224,2451,4671,95,90,183,2385,2620,5006,58,62,116,2174,2323,4497,92,79,169,2324,2464,4784,60,81,146,2153,2352,4502,95,83,173,2315,2511,4825,49,63,116,2134,2408,4539,86,85,173,2273,2561,4831,46,53,100,2052,2215,4267,94,88,182,2194,2357,4551,38,41,75,2039,2233,4265,79,78,153,2149,2349,4494,53,79,130,5509,6427,11935,287,382,666,5843,6887,12730,1302,1376,2676,33231,35154,68385,1473,1505,2977,36010,38032,74044
5004,67,33,99,935,982,1919,53,43,95,1049,1054,2105,51,53,102,1259,1162,2418,48,76,120,1357,1287,2644,63,56,114,1384,1328,2715,64,73,136,1508,1450,2960,45,49,90,1085,976,2066,46,58,100,1172,1081,2257,36,23,63,667,609,1276,23,30,53,727,665,1392,30,23,46,701,804,1504,58,58,111,790,876,1667,22,24,48,922,1048,1966,57,68,126,1004,1138,2143,17,21,36,1003,1306,2309,53,72,121,1069,1393,2461,27,19,47,1089,1296,2382,54,59,110,1176,1373,2546,24,29,48,1186,1375,2559,62,52,120,1269,1457,2730,9,24,32,1132,1318,2447,51,61,114,1193,1400,2589,12,11,26,1111,1278,2392,59,77,136,1182,1369,2554,13,9,24,1147,1396,2540,67,82,145,1230,1484,2711,18,30,46,4069,4599,8672,234,245,477,4318,4879,9200,420,391,813,17695,19479,37168,937,1043,1977,19049,20919,39963
5005,46,26,74,265,270,534,30,29,59,344,322,666,35,21,58,343,312,654,53,43,99,427,381,804,37,34,72,348,334,681,52,55,104,430,425,859,48,38,86,318,269,586,39,29,68,401,337,739,16,22,43,246,232,477,35,23,66,295,283,581,11,21,31,271,273,548,35,27,66,326,326,647,12,13,29,288,314,605,37,34,74,337,368,703,9,13,19,307,335,641,35,49,81,355,394,744,9,11,20,291,306,593,35,32,65,330,352,682,10,19,29,327,338,667,53,35,88,388,398,781,13,20,30,368,328,700,53,29,84,428,380,814,17,12,29,359,390,747,42,34,70,415,434,852,11,8,24,363,327,689,32,33,68,405,374,777,26,13,38,992,1136,2131,119,127,248,1138,1270,2412,296,279,577,5081,5170,10255,649,587,1231,6028,6037,12063
5006,198,188,381,872,866,1741,89,103,189,1156,1158,2315,221,212,432,1011,958,1967,130,121,255,1362,1294,2653,234,218,448,1069,1027,2093,106,114,219,1410,1353,2762,187,181,372,972,927,1900,109,82,188,1274,1190,2460,139,159,300,766,793,1561,70,93,163,980,1044,2027,137,130,262,864,906,1772,99,88,191,1098,1126,2221,116,124,234,869,1011,1876,86,99,183,1066,1233,2299,110,109,221,933,1009,1941,99,115,213,1143,1236,2380,103,115,209,881,1013,1899,113,104,212,1089,1225,2320,98,101,198,976,1115,2091,94,80,175,1168,1294,2465,88,92,181,1045,1171,2216,86,90,172,1214,1353,2566,67,88,157,1054,1106,2154,84,74,157,1199,1270,2470,63,88,151,1073,1059,2133,84,69,151,1218,1218,2436,113,154,267,2935,3205,6145,239,264,501,3279,3628,6905,1863,1955,3814,15318,16176,31494,1475,1494,2971,18649,19624,38278
5007,128,110,244,924,871,1804,85,63,145,1144,1047,2189,110,101,209,934,876,1807,86,94,182,1129,1068,2198,141,114,258,793,762,1558,108,73,185,1053,951,2003,89,94,177,710,605,1314,57,55,110,852,747,1599,122,72,194,866,765,1628,110,76,183,1091,912,2003,115,86,203,1058,957,2013,148,118,266,1327,1151,2484,106,66,168,1010,1041,2052,123,99,220,1240,1205,2445,67,82,148,1078,972,2053,137,101,236,1287,1156,2444,83,57,140,925,804,1729,128,75,206,1136,933,2070,71,64,127,922,804,1727,130,58,190,1122,925,2049,63,55,114,875,783,1660,111,87,198,1044,929,1967,44,51,97,908,729,1635,137,79,217,1090,858,1950,45,44,81,748,599,1354,140,79,219,934,719,1657,50,69,116,1219,1078,2305,224,152,381,1498,1306,2800,1234,1055,2280,12980,11654,24633,1722,1221,2941,15935,13922,29861
5008,79,88,167,602,530,1131,107,67,171,789,681,1475,103,90,196,589,598,1185,128,134,261,818,821,1638,80,89,168,533,482,1018,95,75,167,712,646,1356,70,72,141,361,289,652,75,42,118,506,406,913,69,45,111,358,306,665,116,86,201,540,437,978,55,75,130,596,540,1139,172,124,294,822,739,1564,66,57,125,742,750,1495,226,139,362,1028,951,1980,58,51,107,846,751,1593,249,134,381,1150,933,2078,45,38,93,748,517,1261,251,96,350,1046,658,1708,42,45,88,682,480,1162,209,92,294,932,615,1543,24,27,56,544,404,943,210,79,292,779,513,1293,18,21,34,479,276,753,183,53,234,675,344,1023,12,17,32,382,253,638,121,65,182,515,336,851,21,20,37,431,330,756,120,67,185,568,421,992,751,736,1484,7885,6506,14393,2252,1254,3504,10895,8490,19385
5009,2447,2286,4733,61610,58292,119902,2099,1926,4021,66153,62502,128658,2482,2257,4745,64496,61464,125959,2331,2293,4625,69308,66014,135327,2395,2357,4754,64393,60691,125083,2333,2145,4478,69121,65193,134311,2146,2000,4154,58346,55796,114137,1980,1938,3918,62472,59739,122210,1912,1823,3735,60665,59913,120581,2556,2271,4827,65134,64010,129144,1680,1777,3459,63167,65842,129006,2911,2908,5821,67760,70527,138288,1461,1551,3009,68432,76371,144806,3011,2918,5925,72906,80837,153743,1215,1259,2474,71898,77374,149281,2813,2908,5721,75924,81550,157469,1006,1055,2068,63730,68133,131861,2607,2146,4751,67352,71334,138679,946,1030,1981,61067,65574,126641,2277,2138,4414,64293,68742,133035,839,1017,1862,60031,64140,124169,2153,1885,4037,63029,67044,130066,748,840,1589,55156,59355,114509,1967,1693,3658,57873,61890,119755,559,648,1207,49856,54995,104853,1628,1511,3143,52045,57158,109202,858,1110,1966,142529,167018,309543,5507,6554,12065,148896,174689,323583,20702,21028,41729,945373,994967,1940338,36186,35231,71418,1002264,1051221,2053484
5010,159,133,299,488,461,952,63,55,118,714,656,1370,149,142,290,437,443,884,74,73,150,660,664,1319,142,141,287,330,333,659,79,70,144,548,544,1094,135,118,252,224,195,422,61,50,110,424,361,784,97,104,198,268,255,521,112,90,200,473,447,922,102,116,221,551,512,1066,236,133,370,892,763,1654,121,110,232,673,640,1315,238,126,367,1038,880,1912,93,95,188,772,598,1370,270,104,374,1135,794,1932,78,86,161,597,386,983,245,75,325,927,545,1473,77,75,153,533,334,864,214,81,293,822,491,1306,82,86,169,522,277,799,230,95,324,837,455,1297,61,83,141,485,266,758,199,73,274,748,428,1171,39,50,82,396,232,632,162,54,217,598,335,933,58,84,141,402,287,694,132,64,199,598,433,1038,1404,1419,2820,6686,5238,11918,2325,1136,3461,10405,7793,18199
