SUA_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
5000,3018,567,566,810,1291,544,324,527,14533,117,24,21,0,3,0,14,8,3,891,1086,32928,8578,6746,1045,941,1310,2074,842,482,3021,57974
5001,381,98,62,83,83,25,41,27,1760,16,0,0,0,0,0,0,0,0,94,105,4168,1035,657,149,98,120,148,45,64,271,6760
5002,229,47,46,61,164,68,14,23,1078,5,0,0,0,0,0,0,0,0,6,13,1692,518,472,72,80,91,217,87,14,103,3348
5003,1307,204,249,226,293,130,44,74,4844,10,0,0,0,3,0,0,0,0,83,101,7508,3059,2463,314,350,337,427,209,75,404,15148
5004,412,84,64,71,88,35,21,26,1565,6,0,0,0,0,0,3,0,0,16,26,4876,1078,963,148,122,120,173,93,36,248,7861
5005,96,12,23,20,35,11,6,9,402,0,0,0,0,0,0,0,0,0,0,3,933,241,196,24,39,33,62,29,6,56,1624
5006,529,96,85,84,78,72,40,31,1988,15,0,0,0,0,0,0,0,0,16,34,2901,989,936,132,146,115,109,96,49,159,5630
5007,843,131,155,202,279,120,63,51,3045,4,9,0,0,0,0,0,0,0,28,39,2233,1689,1593,206,239,338,394,173,90,163,7122
5008,483,110,76,92,126,70,18,43,1687,0,0,0,0,0,0,0,0,0,3,10,1339,900,896,143,114,124,175,99,33,88,3918
5009,73650,14308,13088,15011,19257,8310,1885,5953,339964,361,109,96,23,19,23,30,20,6,1314,2001,355335,149071,126569,20205,18249,20326,25287,11751,3395,14882,745077
5010,427,79,76,101,139,36,9,26,1579,0,0,0,0,0,0,6,0,0,10,11,1174,884,820,124,120,152,204,70,26,89,3667
