SUA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
5000,2000,1925,3925,8486,7775,16260,1822,1723,3546,1015,991,2005,11337,10504,21835,5570,5101,10670,982,1078,2061,929,1059,1990,7483,7253,14733,313,292,602,170,311,478,784,453,1233,848,1534,2377,20,11,22,2127,2602,4726,252,508,752,229,512,742,100,218,320,687,1339,2025,7,0,11,1271,2577,3848,3396,5184,8581,259,267,534,377,664,1035,18,11,28,657,940,1597,35017,17192,52210,1041,526,1564,60930,43516,104443
5001,286,249,533,875,818,1694,120,128,243,261,307,568,1260,1253,2510,845,767,1614,120,133,253,301,350,647,1270,1247,2516,71,69,136,32,84,118,157,71,225,114,238,352,0,6,3,369,469,838,44,85,130,34,74,108,20,37,53,80,221,299,0,0,0,175,414,589,546,879,1425,20,36,50,94,119,216,0,0,3,116,151,268,1204,863,2067,31,19,47,4713,4658,9375
5002,146,118,267,594,547,1139,194,157,346,22,20,34,804,721,1527,316,363,680,118,134,259,11,7,19,452,504,955,14,16,27,12,14,31,34,29,61,69,141,212,0,0,0,127,207,337,27,77,103,22,78,94,0,30,30,56,161,219,0,0,0,103,347,450,232,554,790,19,23,42,20,51,70,0,0,0,39,74,112,1528,1621,3150,56,74,128,3256,3669,6922
5003,708,659,1368,2473,2227,4700,513,527,1041,491,406,900,3482,3174,6649,1805,1860,3667,556,572,1128,442,450,898,2806,2890,5696,137,143,277,78,199,278,320,177,491,208,464,674,6,3,7,753,983,1735,90,249,342,78,227,299,34,86,114,178,429,611,0,4,0,380,997,1381,1132,1984,3116,75,82,160,168,244,408,4,0,4,241,326,569,2247,1734,3980,43,49,92,10663,10810,21465
5004,324,333,658,1087,973,2060,404,400,803,315,315,628,1811,1690,3502,783,695,1486,364,416,777,329,328,655,1480,1437,2919,64,33,98,25,83,113,141,79,217,113,226,341,0,0,3,346,426,770,36,109,142,31,113,144,11,33,41,68,250,321,0,0,0,148,509,650,494,936,1430,39,37,75,62,138,197,0,5,5,104,177,278,1086,1159,2243,40,38,74,5342,5759,11105
5005,90,99,183,406,405,816,43,32,75,35,34,63,484,475,957,353,327,675,7,11,21,74,69,144,429,405,836,21,15,39,7,11,16,38,32,62,28,88,117,0,4,3,88,142,230,4,35,33,8,23,29,3,10,16,23,39,60,0,0,0,34,104,142,124,245,370,12,9,14,15,28,47,0,0,0,24,33,54,707,607,1310,14,6,23,1869,1874,3735
5006,337,326,667,958,800,1757,447,485,927,242,265,504,1647,1551,3200,720,653,1371,412,470,880,180,203,385,1312,1331,2646,55,98,153,38,79,122,154,126,276,145,323,464,0,5,0,395,619,1019,29,91,116,25,100,127,23,43,60,92,250,336,3,0,3,166,481,640,561,1105,1670,29,39,70,69,114,188,3,0,5,108,150,260,1795,1648,3437,27,19,47,5800,6132,11934
5007,290,296,589,1023,937,1957,253,238,489,79,83,168,1354,1266,2628,493,529,1020,311,278,589,68,48,121,877,862,1735,44,32,77,31,33,63,140,86,224,144,248,395,6,0,9,360,405,766,84,62,142,74,68,144,14,25,34,93,189,275,3,3,8,257,343,603,622,749,1367,40,19,60,58,104,165,4,4,6,102,126,231,2105,1414,3522,47,40,85,5399,4753,10159
5008,193,186,387,753,708,1465,165,141,310,30,36,67,949,889,1835,420,394,809,147,138,290,6,6,9,580,536,1111,22,12,33,20,19,40,57,45,98,98,161,257,6,0,6,195,236,435,7,23,29,14,34,50,4,14,16,62,124,180,0,0,0,88,191,279,285,425,711,10,11,22,34,60,102,0,0,0,44,70,118,2252,1276,3525,75,27,99,4375,3414,7790
5009,19098,17576,36680,63607,59681,123286,14499,14415,28909,12337,12187,24525,90584,86446,177029,41228,38385,79612,15201,14983,30182,16149,15829,31981,72657,69295,141956,4884,4608,9496,3896,6612,10512,6161,3594,9752,6766,11984,18744,94,89,182,21799,26889,48689,22343,28662,51001,8887,11775,20659,3726,4686,8412,8549,14387,22938,98,121,219,43603,59629,103237,65528,86648,152174,3138,3424,6563,5252,8220,13475,97,97,198,8491,11742,20236,45595,43657,89250,2715,2603,5323,304671,317972,622645
