SUA_CODE_2021,M_15_19_Ud_wk_L_5_hrs,M_15_19_Ud_wk_5_14_hrs,M_15_19_Ud_wk_15_29_hrs,M_15_19_Ud_wk_30h_more,M_15_19_no_Ud_wk,M_15_19_Ud_wk_ns,M_15_19_OS_vis,M_15_19_yr_Tot,M_20_24_Ud_wk_L_5_hrs,M_20_24_Ud_wk_5_14_hrs,M_20_24_Ud_wk_15_29_hrs,M_20_24_Ud_wk_30h_more,M_20_24_no_Ud_wk,M_20_24_Ud_wk_ns,M_20_24_OS_vis,M_20_24_yr_Tot,M_25_34_Ud_wk_L_5_hrs,M_25_34_Ud_wk_5_14_hrs,M_25_34_Ud_wk_15_29_hrs,M_25_34_Ud_wk_30h_more,M_25_34_no_Ud_wk,M_25_34_Ud_wk_ns,M_25_34_OS_vis,M_25_34_yr_Tot,M_35_44_Ud_wk_L_5_hrs,M_35_44_Ud_wk_5_14_hrs,M_35_44_Ud_wk_15_29_hrs,M_35_44_Ud_wk_30h_more,M_35_44_no_Ud_wk,M_35_44_Ud_wk_ns,M_35_44_OS_vis,M_35_44_yr_Tot,M_45_54_Ud_wk_L_5_hrs,M_45_54_Ud_wk_5_14_hrs,M_45_54_Ud_wk_15_29_hrs,M_45_54_Ud_wk_30h_more,M_45_54_no_Ud_wk,M_45_54_Ud_wk_ns,M_45_54_OS_vis,M_45_54_yr_Tot,M_55_64_Ud_wk_L_5_hrs,M_55_64_Ud_wk_5_14_hrs,M_55_64_Ud_wk_15_29_hrs,M_55_64_Ud_wk_30h_more,M_55_64_no_Ud_wk,M_55_64_Ud_wk_ns,M_55_64_OS_vis,M_55_64_yr_Tot,M_65_74_Ud_wk_L_5_hrs,M_65_74_Ud_wk_5_14_hrs,M_65_74_Ud_wk_15_29_hrs,M_65_74_Ud_wk_30h_more,M_65_74_no_Ud_wk,M_65_74_Ud_wk_ns,M_65_74_OS_vis,M_65_74_yr_Tot,M_75_84_Ud_wk_L_5_hrs,M_75_84_Ud_wk_5_14_hrs,M_75_84_Ud_wk_15_29_hrs,M_75_84_Ud_wk_30h_more,M_75_84_no_Ud_wk,M_75_84_Ud_wk_ns,M_75_84_OS_vis,M_75_84_yr_Tot,M_85ov_Ud_wk_L_5_h,M_85ov_Ud_wk_5_14_h,M_85ov_Ud_wk_15_29_h,M_85ov_Ud_wk_30h_more,M_85ov_no_Ud_wk,M_85ov_Ud_wk_ns,M_85ov_OS_vis,M_85_yr_over_Tot,M_Tot_Ud_wk_L_5_hrs,M_Tot_Ud_wk_5_14_hrs,M_Tot_Ud_wk_15_29_hrs,M_Tot_Ud_wk_30h_more,M_Tot_no_Ud_wk,M_Tot_Ud_wk_ns,M_Tot_OS_vis,M_Total_Tot,F_15_19_Ud_wk_L_5_hrs,F_15_19_Ud_wk_5_14_hrs,F_15_19_Ud_wk_15_29_hrs,F_15_19_Ud_wk_30h_more,F_15_19_no_Ud_wk,F_15_19_Ud_wk_ns,F_15_19_OS_vis,F_15_19_yr_Tot,F_20_24_Ud_wk_L_5_hrs,F_20_24_Ud_wk_5_14_hrs,F_20_24_Ud_wk_15_29_hrs,F_20_24_Ud_wk_30h_more,F_20_24_no_Ud_wk,F_20_24_Ud_wk_ns,F_20_24_OS_vis,F_20_24_yr_Tot,F_25_34_Ud_wk_L_5_hrs,F_25_34_Ud_wk_5_14_hrs,F_25_34_Ud_wk_15_29_hrs,F_25_34_Ud_wk_30h_more,F_25_34_no_Ud_wk,F_25_34_Ud_wk_ns,F_25_34_OS_vis,F_25_34_yr_Tot,F_35_44_Ud_wk_L_5_hrs,F_35_44_Ud_wk_5_14_hrs,F_35_44_Ud_wk_15_29_hrs,F_35_44_Ud_wk_30h_more,F_35_44_no_Ud_wk,F_35_44_Ud_wk_ns,F_35_44_OS_vis,F_35_44_yr_Tot,F_45_54_Ud_wk_L_5_hrs,F_45_54_Ud_wk_5_14_hrs,F_45_54_Ud_wk_15_29_hrs,F_45_54_Ud_wk_30h_more,F_45_54_no_Ud_wk,F_45_54_Ud_wk_ns,F_45_54_OS_vis,F_45_54_yr_Tot,F_55_64_Ud_wk_L_5_hrs,F_55_64_Ud_wk_5_14_hrs,F_55_64_Ud_wk_15_29_hrs,F_55_64_Ud_wk_30h_more,F_55_64_no_Ud_wk,F_55_64_Ud_wk_ns,F_55_64_OS_vis,F_55_64_yr_Tot,F_65_74_Ud_wk_L_5_hrs,F_65_74_Ud_wk_5_14_hrs,F_65_74_Ud_wk_15_29_hrs,F_65_74_Ud_wk_30h_more,F_65_74_no_Ud_wk,F_65_74_Ud_wk_ns,F_65_74_OS_vis,F_65_74_yr_Tot,F_75_84_Ud_wk_L_5_hrs,F_75_84_Ud_wk_5_14_hrs,F_75_84_Ud_wk_15_29_hrs,F_75_84_Ud_wk_30h_more,F_75_84_no_Ud_wk,F_75_84_Ud_wk_ns,F_75_84_OS_vis,F_75_84_yr_Tot,F_85ov_Ud_wk_L_5_h,F_85ov_Ud_wk_5_14_h,F_85ov_Ud_wk_15_29_h,F_85ov_Ud_wk_30h_more,F_85ov_no_Ud_wk,F_85ov_Ud_wk_ns,F_85ov_OS_vis,F_85_yr_over_Tot,F_Tot_Ud_wk_L_5_hrs,F_Tot_Ud_wk_5_14_hrs,F_Tot_Ud_wk_15_29_hrs,F_Tot_Ud_wk_30h_more,F_Tot_no_Ud_wk,F_Tot_Ud_wk_ns,F_Tot_OS_vis,F_Total_Tot,P_15_19_Ud_wk_L_5_hrs,P_15_19_Ud_wk_5_14_hrs,P_15_19_Ud_wk_15_29_hrs,P_15_19_Ud_wk_30h_more,P_15_19_no_Ud_wk,P_15_19_Ud_wk_ns,P_15_19_OS_vis,P_15_19_yr_Tot,P_20_24_Ud_wk_L_5_hrs,P_20_24_Ud_wk_5_14_hrs,P_20_24_Ud_wk_15_29_hrs,P_20_24_Ud_wk_30h_more,P_20_24_no_Ud_wk,P_20_24_Ud_wk_ns,P_20_24_OS_vis,P_20_24_yr_Tot,P_25_34_Ud_wk_L_5_hrs,P_25_34_Ud_wk_5_14_hrs,P_25_34_Ud_wk_15_29_hrs,P_25_34_Ud_wk_30h_more,P_25_34_no_Ud_wk,P_25_34_Ud_wk_ns,P_25_34_OS_vis,P_25_34_yr_Tot,P_35_44_Ud_wk_L_5_hrs,P_35_44_Ud_wk_5_14_hrs,P_35_44_Ud_wk_15_29_hrs,P_35_44_Ud_wk_30h_more,P_35_44_no_Ud_wk,P_35_44_Ud_wk_ns,P_35_44_OS_vis,P_35_44_yr_Tot,P_45_54_Ud_wk_L_5_hrs,P_45_54_Ud_wk_5_14_hrs,P_45_54_Ud_wk_15_29_hrs,P_45_54_Ud_wk_30h_more,P_45_54_no_Ud_wk,P_45_54_Ud_wk_ns,P_45_54_OS_vis,P_45_54_yr_Tot
5000,2960,762,119,58,2643,1087,8,7635,2244,1282,250,104,2761,1917,167,8728,5184,4826,1131,620,6554,7011,362,25676,5155,6118,1790,1009,5785,7205,206,27268,5451,6761,1838,976,6715,6845,142,28721,5599,6797,2134,1212,7241,5136,86,28195,3692,5182,2337,1727,5856,2574,41,21411,1233,1763,1015,849,2731,1078,4,8683,235,310,175,131,788,299,3,1944,31749,33798,10787,6684,41069,33155,1020,158262,2718,984,173,67,1925,949,7,6820,1574,1591,472,370,1569,1090,96,6764,2647,4560,2189,3001,2929,2691,229,18253,1820,5160,3508,3797,1855,2379,57,18575,2102,6459,3740,2669,2533,2484,29,20019,2365,6729,4321,3409,3567,2396,45,22826,1380,3817,3566,3727,3836,1808,33,18167,546,1259,1227,1484,2172,990,9,7691,270,317,205,197,1017,410,7,2419,15425,30874,19406,18719,21407,15191,514,121528,5682,1743,291,129,4559,2039,14,14459,3817,2876,725,472,4328,3008,260,15493,7830,9383,3319,3616,9478,9704,593,43929,6968,11280,5297,4806,7646,9581,263,45840,7554,13218,5584,3638,9246,9329,171,48735
5001,516,101,7,0,452,72,0,1146,291,137,20,7,310,73,8,845,514,503,125,57,487,249,4,1936,440,627,173,64,299,206,9,1817,533,728,180,70,359,162,0,2034,538,774,209,79,449,123,3,2180,351,627,256,166,467,116,0,1986,181,285,125,117,381,66,4,1162,74,68,39,43,202,43,0,471,3446,3845,1129,605,3405,1111,27,13564,489,135,9,3,351,57,0,1046,191,264,52,37,187,50,0,779,275,576,277,374,260,95,4,1853,194,664,461,393,199,99,0,2006,263,892,503,298,255,97,0,2318,292,891,554,297,342,103,3,2490,159,496,482,470,433,118,0,2158,125,256,243,265,455,99,0,1437,76,86,59,51,300,73,0,644,2067,4254,2622,2195,2785,791,19,14731,1011,231,16,8,803,124,0,2190,480,401,68,48,499,123,6,1621,786,1075,397,424,747,345,13,3791,631,1293,636,456,502,303,6,3822,795,1625,679,368,616,264,0,4350
5002,135,23,3,0,150,75,0,386,126,49,10,3,140,95,9,432,314,311,50,24,306,241,33,1276,320,403,119,52,202,231,6,1324,287,390,78,45,246,241,0,1285,290,307,88,35,339,238,6,1297,260,330,105,57,448,165,7,1374,106,110,38,20,151,79,0,503,5,4,6,5,22,16,0,56,1839,1926,505,235,2003,1371,55,7936,183,49,3,3,112,88,0,438,138,119,18,8,122,93,19,515,342,476,126,132,329,341,37,1778,186,492,262,213,163,231,6,1559,185,441,213,89,156,228,3,1309,185,459,203,120,301,256,0,1526,117,310,227,146,330,176,8,1314,38,72,61,42,95,72,0,375,6,3,0,3,23,14,0,56,1379,2425,1103,765,1641,1490,74,8879,321,73,6,3,259,157,0,829,266,170,28,16,263,188,25,947,652,787,177,158,639,579,67,3059,508,892,384,262,370,462,12,2885,468,828,293,131,400,469,5,2594
5003,1054,166,12,4,999,106,4,2351,652,346,64,16,714,159,0,1948,1245,1198,227,106,1181,442,14,4419,1173,1596,407,175,955,400,9,4714,1224,1550,408,143,930,321,6,4591,1077,1415,372,197,1049,239,5,4347,611,982,485,226,952,204,0,3476,266,426,243,148,609,116,3,1808,57,110,40,40,233,92,0,569,7356,7792,2259,1068,7623,2082,44,28217,1131,295,37,17,793,104,0,2373,510,531,138,103,502,91,0,1875,635,1384,675,973,802,263,7,4746,415,1593,1073,1171,617,213,4,5091,593,1916,1015,688,655,207,6,5072,474,1525,994,734,779,192,7,4711,247,867,817,733,936,176,3,3784,192,412,349,367,663,171,7,2153,90,136,76,57,414,190,0,959,4285,8653,5179,4843,6165,1604,41,30766,2184,463,48,19,1792,209,6,4723,1163,872,199,119,1216,249,3,3824,1883,2585,903,1080,1984,703,26,9164,1582,3190,1479,1350,1568,618,8,9802,1817,3469,1422,832,1586,531,9,9668
5004,569,82,10,5,437,74,0,1172,297,122,19,8,255,33,0,729,574,490,104,49,431,145,12,1802,575,847,223,89,368,139,0,2242,692,920,231,97,386,139,5,2469,625,819,219,102,476,170,6,2413,479,809,371,200,554,149,0,2556,234,364,194,117,366,105,4,1374,60,59,40,29,161,55,0,396,4090,4496,1401,695,3434,1008,31,15162,557,109,13,4,318,85,0,1084,216,190,36,17,160,45,0,665,323,637,291,368,252,140,12,2030,244,881,635,668,208,138,3,2769,335,1126,627,371,272,126,4,2863,305,1001,618,363,384,181,7,2860,182,646,680,582,518,165,5,2773,111,268,273,265,427,123,0,1468,74,92,57,45,325,53,0,643,2351,4951,3229,2684,2860,1054,32,17155,1127,186,22,6,760,156,0,2256,518,314,50,22,420,72,0,1395,893,1130,398,420,682,292,23,3833,821,1721,855,758,573,277,5,5015,1018,2049,856,468,660,270,13,5330
5005,161,31,3,0,151,55,0,401,106,50,11,0,94,44,5,301,235,177,26,10,123,91,4,662,209,233,49,17,106,78,0,692,217,235,61,31,161,117,0,817,218,244,54,32,178,85,5,822,114,153,68,44,198,70,0,641,47,77,47,29,123,64,0,400,20,23,3,5,45,9,0,100,1316,1222,326,174,1168,605,14,4839,144,37,3,0,95,46,0,337,81,83,21,14,61,26,0,283,109,209,103,138,72,62,4,699,62,247,168,134,54,88,0,746,88,313,151,85,70,67,0,780,82,274,152,121,104,68,3,812,44,134,145,147,130,69,0,663,46,79,59,66,135,54,0,439,16,36,13,16,73,20,0,170,671,1413,818,714,793,502,6,4917,306,66,9,4,248,101,0,739,189,135,23,17,149,65,5,583,340,386,133,149,191,152,9,1362,267,475,211,149,158,166,0,1429,306,548,216,115,231,186,0,1599
5006,505,86,9,6,515,146,0,1275,306,166,30,11,352,109,4,983,546,618,115,57,537,292,5,2167,519,694,190,92,434,302,0,2234,584,779,199,77,508,233,0,2385,514,782,224,121,578,207,3,2426,310,535,218,156,546,145,0,1907,142,201,98,82,377,122,5,1018,39,43,38,31,156,54,3,357,3458,3912,1130,625,3999,1607,21,14754,509,145,13,11,405,107,0,1190,236,284,83,55,282,107,0,1046,325,675,340,444,352,228,10,2360,208,757,461,485,300,249,0,2462,266,984,490,344,363,207,3,2652,239,767,479,346,481,170,3,2490,140,433,397,404,504,160,0,2051,92,171,160,183,357,142,4,1104,46,67,32,35,219,91,0,480,2061,4270,2456,2298,3263,1466,16,15838,1010,235,25,14,919,256,0,2458,546,446,112,68,634,213,5,2025,865,1289,455,503,889,515,11,4530,728,1448,655,578,732,555,0,4704,852,1762,689,417,871,443,7,5037
5007,303,76,6,4,378,87,0,853,269,172,24,11,449,165,0,1098,634,598,105,59,765,412,11,2583,575,640,161,82,572,389,6,2425,487,625,133,45,556,317,4,2171,434,515,127,63,571,317,8,2033,156,251,96,65,322,186,3,1082,43,62,28,22,150,53,0,362,4,4,3,4,31,13,0,66,2911,2934,682,353,3802,1929,42,12662,281,106,17,11,263,79,0,750,227,243,40,48,246,100,9,918,345,640,291,394,417,268,10,2367,184,607,377,387,309,223,3,2089,213,623,329,204,293,189,3,1852,145,468,259,172,357,184,4,1582,65,171,141,120,220,129,9,855,33,43,49,40,130,39,0,328,7,15,8,5,83,21,0,136,1509,2894,1515,1391,2321,1224,36,10888,584,178,19,12,641,163,5,1600,507,408,72,60,699,269,4,2015,980,1237,394,457,1181,682,22,4949,760,1243,537,473,878,613,9,4519,700,1249,464,258,844,503,10,4022
5008,178,47,3,0,203,81,0,506,144,82,10,3,179,120,4,547,435,430,74,44,475,406,22,1876,466,620,137,62,401,512,14,2213,359,406,88,43,379,436,8,1721,229,283,61,24,292,309,14,1207,62,97,32,24,139,96,0,458,15,14,10,9,41,26,3,113,0,0,0,0,3,6,0,9,1886,1976,409,205,2109,1994,65,8646,159,48,3,5,129,59,0,406,84,123,26,17,101,88,8,436,217,478,190,258,261,285,8,1697,116,481,260,318,183,234,0,1587,131,357,193,116,161,173,0,1127,80,214,86,67,110,120,4,681,27,77,40,32,90,58,9,339,8,11,9,14,25,4,0,77,0,4,0,0,0,4,0,13,825,1799,803,831,1056,1021,25,6368,334,91,6,5,332,138,0,913,229,199,36,19,283,212,8,986,651,910,263,304,732,690,27,3576,582,1100,398,373,584,747,16,3799,483,769,277,163,538,607,9,2847
5009,27939,4694,372,207,26415,2845,63,62538,23083,9695,1163,507,26838,3852,209,65341,41694,37116,6361,2788,43548,9159,581,141247,37332,47769,11891,5112,33167,7998,400,143672,34121,43462,10183,4251,29086,6218,377,127696,27991,35965,9125,4083,28031,4732,408,110322,16101,25979,10578,5265,24908,3717,345,86890,7104,11239,5553,3366,16276,3135,123,46802,2041,2535,1181,857,7061,1995,28,15696,217407,218455,56407,26436,235329,43644,2529,800206,27755,6626,686,301,21670,2699,71,59808,22539,14999,2794,1719,18761,3193,191,64199,28807,46027,17620,20423,30603,7879,488,151848,16512,46775,29761,30956,22193,6678,247,153127,15718,48781,27638,19026,19428,5195,268,136051,13798,40055,23488,16131,21446,4121,517,119568,7629,23199,20217,17147,23582,3993,447,96213,4679,10269,8801,8314,17803,4133,140,54135,2668,3386,1857,1374,12065,3579,50,24977,140099,240124,132871,115394,187553,41473,2421,859927,55692,11320,1061,506,48090,5546,134,122343,45617,24699,3959,2222,45598,7048,394,129538,70498,83147,23988,23209,74149,17038,1069,293094,53849,94545,41649,36075,55360,14671,649,296804,49835,92240,37825,23280,48513,11409,641,263742
