SUA_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
5000,94755,231813,4172,7204,531,968,4700,8173,1006,1603,50,79,0,0,3,5,41,91,1104,1783,9339,18497,842,1532,953,1649,316,715,11445,22400,2426,4331,114434,268504,28071,..,142509,268504
5001,12650,30524,1022,1498,121,184,1146,1676,51,67,0,0,0,0,0,0,20,49,74,109,112,175,148,212,40,41,3,6,312,435,39,79,14220,32824,1927,..,16140,32824
5002,4095,12098,607,1274,272,509,877,1783,138,298,0,0,0,0,0,0,3,5,147,306,1343,2841,3,14,46,89,34,77,1430,3020,137,226,6679,17442,722,..,7399,17442
5003,25191,64923,2988,4654,487,886,3480,5543,507,771,123,194,24,35,36,60,8,19,697,1078,200,269,174,239,102,101,18,28,483,636,60,105,29920,72287,2894,..,32807,72287
5004,14021,34854,1262,2087,247,497,1507,2590,42,64,0,0,20,33,0,0,31,64,85,158,130,241,224,347,72,102,15,51,438,735,50,93,16103,38426,5103,..,21202,38426
5005,4193,10197,431,700,46,84,473,786,111,149,0,3,0,0,0,0,4,3,115,154,112,189,38,63,21,38,3,9,179,301,43,93,5009,11530,911,..,5918,11530
5006,12942,32776,1410,2277,337,660,1747,2936,250,399,15,22,4,7,0,0,13,18,285,447,269,474,54,92,72,85,20,26,404,684,77,126,15458,36967,1978,..,17434,36967
5007,8765,23448,1588,2905,248,541,1837,3447,140,217,0,0,0,0,0,0,3,6,141,219,109,159,481,728,70,74,24,35,686,1000,30,55,11453,28161,1686,..,13141,28161
5008,4647,13915,721,1468,168,281,889,1754,148,230,42,59,57,102,192,280,0,0,441,677,220,452,89,145,13,17,3,19,318,631,69,109,6372,17078,1240,..,7610,17078
5009,617849,1680640,83418,156047,32600,65644,116020,221690,20304,32693,15501,24564,17585,28536,10139,17352,855,1763,64386,104902,1267,1879,1228,1783,1593,1743,451,924,4538,6328,1091,1941,803884,2015508,72131,..,876011,2015508
5010,3854,10973,809,1745,313,727,1121,2473,412,610,137,204,148,225,0,0,0,0,695,1045,172,331,186,283,99,115,32,78,482,805,78,131,6239,15439,1462,..,7701,15439
