SUA_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
5000,584,2541,10702,37843,28308,4538,1313,8925,94755,28,632,1693,879,192,21,21,706,4172,5,54,152,151,65,14,0,83,531,31,688,1842,1029,254,35,19,795,4700,19,223,335,178,31,4,12,214,1006,6,9,22,8,0,0,0,10,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,13,5,3,0,0,5,41,23,246,363,191,31,3,14,228,1104,3056,4212,693,565,466,79,66,2300,11445,339,602,222,268,192,53,127,618,2426,4033,8292,13828,39898,29264,4713,1541,12867,114434
5001,23,164,1236,5697,4361,536,134,501,12650,8,256,428,234,18,0,0,78,1022,5,14,49,28,11,0,0,18,121,13,272,479,267,29,0,5,95,1146,0,26,5,17,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,4,3,0,0,0,20,0,30,19,22,6,0,0,0,74,30,102,85,30,4,0,0,66,312,0,13,6,9,9,0,0,4,39,60,568,1811,6016,4400,540,143,673,14220
5002,36,141,314,1582,1309,169,33,512,4095,18,107,208,109,23,0,0,133,607,9,30,124,72,9,0,0,23,272,34,141,333,184,33,0,0,150,877,0,15,79,19,4,0,0,19,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,80,21,4,0,0,21,147,467,685,77,45,50,11,4,94,1430,27,49,14,8,9,0,3,23,137,569,1036,821,1845,1394,181,39,803,6679
5003,23,119,1006,8621,13011,1263,192,958,25191,7,337,1115,1160,83,0,7,273,2988,0,24,98,285,47,3,0,31,487,7,359,1215,1450,132,6,7,302,3480,4,135,213,92,4,0,0,51,507,0,10,70,25,0,0,0,12,123,0,0,12,3,0,0,0,9,24,0,0,13,23,0,0,0,6,36,3,0,0,0,0,0,0,0,8,6,147,311,144,11,0,0,77,697,26,173,79,20,3,0,0,186,483,5,12,10,13,12,0,0,10,60,64,809,2619,10245,13169,1272,195,1541,29920
5004,38,179,836,4831,6656,728,142,616,14021,4,143,446,465,100,9,4,98,1262,0,17,27,99,57,11,0,23,247,4,163,473,566,166,21,4,121,1507,0,3,20,8,4,0,0,4,42,0,0,0,0,0,0,0,0,0,0,4,10,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,9,6,7,7,0,0,0,31,0,14,41,15,9,0,0,4,85,39,103,132,35,21,0,0,107,438,0,5,12,8,3,0,0,14,50,81,464,1496,5448,6856,757,147,865,16103
5005,11,84,280,1817,1388,209,44,369,4193,4,69,190,89,15,4,0,65,431,0,0,21,15,3,0,0,0,46,4,67,207,111,22,3,0,66,473,0,38,35,8,0,0,0,21,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,38,39,10,0,0,0,21,115,33,55,21,9,5,0,0,59,179,0,6,10,13,9,4,0,3,43,52,254,549,1945,1424,215,44,522,5009
5006,24,129,792,4929,5461,610,111,872,12942,4,119,668,397,31,3,0,184,1410,0,14,93,104,84,13,0,28,337,8,130,769,501,114,21,4,206,1747,0,66,95,48,6,0,0,44,250,0,4,16,0,0,0,0,4,15,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,13,0,74,113,44,6,0,0,44,285,83,168,28,23,14,0,0,84,404,8,30,18,8,3,0,0,13,77,125,536,1721,5509,5595,635,119,1233,15458
5007,17,117,536,3479,3324,520,95,679,8765,3,228,536,566,45,0,4,198,1588,0,9,47,114,40,4,0,31,248,4,235,581,686,83,4,4,226,1837,0,47,66,10,3,0,0,10,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,47,66,9,3,0,0,10,141,68,150,25,19,8,4,0,413,686,0,10,3,3,10,0,0,11,30,91,560,1217,4199,3424,528,107,1340,11453
5008,5,45,133,1528,2124,183,31,603,4647,0,34,262,202,35,4,0,184,721,0,34,36,66,4,0,0,30,168,0,66,295,274,34,4,0,213,889,7,62,27,13,0,0,0,37,148,0,38,0,0,0,0,0,7,42,0,7,27,15,0,0,0,12,57,0,83,77,14,0,0,0,18,192,0,0,0,0,0,0,0,0,0,9,188,132,37,0,0,4,71,441,62,104,29,3,10,0,4,106,318,10,32,7,5,6,0,4,13,69,94,442,596,1839,2173,189,39,1005,6372
5009,565,3804,28830,219384,295959,41732,7186,20384,617849,146,5637,26686,41648,3949,339,149,4857,83418,90,2199,9224,15733,3282,338,113,1617,32600,231,7840,35910,57384,7232,674,265,6473,116020,125,4143,11036,3156,249,26,35,1543,20304,200,4131,8154,1823,74,6,9,1111,15501,241,5080,8385,2452,95,4,13,1311,17585,138,2283,5329,1634,61,3,18,677,10139,22,208,264,115,110,42,36,67,855,729,15845,33162,9177,586,85,105,4706,64386,299,1046,884,228,112,27,15,1932,4538,49,151,181,209,139,24,19,315,1091,1875,28684,98967,286378,304029,42538,7588,33813,803884
