SUA_CODE_2021,M_PG_Deg_15_24_yr,M_PG_Deg_25_34_yr,M_PG_Deg_35_44_yr,M_PG_Deg_45_54_yr,M_PG_Deg_55_64_yr,M_PG_Deg_65_74_yr,M_PG_Deg_75_84_yr,M_PG_Deg_85_yr_over,M_PG_Deg_Tot,M_Grad_Dip_Cer_15_24,M_Grad_Dip_Cer_25_34,M_Grad_Dip_Cer_35_44,M_Grad_Dip_Cer_45_54,M_Grad_Dip_Cer_55_64,M_Grad_Dip_Cer_65_74,M_Grad_Dip_Cer_75_84,M_Grad_Dip_Cer_85_over,M_Grad_Dip_Cer_Tot,M_B_Deg_15_24_yr,M_B_Deg_25_34_yr,M_B_Deg_35_44_yr,M_B_Deg_45_54_yr,M_B_Deg_55_64_yr,M_B_Deg_65_74_yr,M_B_Deg_75_84_yr,M_B_Deg_85_yr_over,M_B_Deg_Tot,M_Adv_Dip_Dip_15_24_yr,M_Adv_Dip_Dip_25_34_yr,M_Adv_Dip_Dip_35_44_yr,M_Adv_Dip_Dip_45_54_yr,M_Adv_Dip_Dip_55_64_yr,M_Adv_Dip_Dip_65_74_yr,M_Adv_Dip_Dip_75_84_yr,M_Adv_Dip_Dip_85_yr_over,M_Adv_Dip_Dip_Total,M_Cer_III_IV_15_24_yr,M_Cer_III_IV_25_34_yr,M_Cer_III_IV_35_44_yr,M_Cer_III_IV_45_54_yr,M_Cer_III_IV_55_64_yr,M_Cer_III_IV_65_74_yr,M_Cer_III_IV_75_84_yr,M_Cer_III_IV_85_yr_over,M_Cer_III_IV_Tot,M_Cer_I_II_15_24_yr,M_Cer_I_II_25_34_yr,M_Cer_I_II_35_44_yr,M_Cer_I_II_45_54_yr,M_Cer_I_II_55_64_yr,M_Cer_I_II_65_74_yr,M_Cer_I_II_75_84_yr,M_Cer_I_II_85_yr_over,M_Cer_I_II_Tot,M_Cer_nfd_15_24_yr,M_Cer_nfd_25_34_yr,M_Cer_nfd_35_44_yr,M_Cer_nfd_45_54_yr,M_Cer_nfd_55_64_yr,M_Cer_nfd_65_74_yr,M_Cer_nfd_75_84_yr,M_Cer_nfd_85_yr_over,M_Cer_nfd_Tot,M_Cer_Tot_15_24_yr,M_Cer_Tot_25_34_yr,M_Cer_Tot_35_44_yr,M_Cer_Tot_45_54_yr,M_Cer_Tot_55_64_yr,M_Cer_Tot_65_74_yr,M_Cer_Tot_75_84_yr,M_Cer_Tot_85_yr_over,M_Cer_Tot_Tot,M_lvl_educ_inad_desc_15_24,M_lvl_educ_inad_desc_25_34,M_lvl_educ_inad_desc_35_44,M_lvl_educ_inad_desc_45_54,M_lvl_educ_inad_desc_55_64,M_lvl_educ_inad_desc_65_74,M_lvl_educ_inad_desc_75_84,M_lvl_educ_inad_desc_85ov,M_lvl_educ_inad_desc_Tot,M_lvl_educ_ns_15_24,M_lvl_educ_ns_25_34,M_lvl_educ_ns_35_44,M_lvl_educ_ns_45_54,M_lvl_educ_ns_55_64,M_lvl_educ_ns_65_74,M_lvl_educ_ns_75_84,M_lvl_educ_ns_85_yr_over,M_lvl_educ_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_PG_Deg_15_24_yr,F_PG_Deg_25_34_yr,F_PG_Deg_35_44_yr,F_PG_Deg_45_54_yr,F_PG_Deg_55_64_yr,F_PG_Deg_65_74_yr,F_PG_Deg_75_84_yr,F_PG_Deg_85_yr_over,F_PGuate_Deg_Tot,F_Grad_Dip_Cer_15_24_yr,F_Grad_Dip_Cer_25_34_yr,F_Grad_Dip_Cer_35_44_yr,F_Grad_Dip_Cer_45_54_yr,F_Grad_Dip_Cer_55_64_yr,F_Grad_Dip_Cer_65_74_yr,F_Grad_Dip_Cer_75_84_yr,F_Grad_Dip_Cer_85_yr_over,F_Grad_Dip_Cer_Tot,F_B_Deg_15_24_yr,F_B_Deg_25_34_yr,F_B_Deg_35_44_yr,F_B_Deg_45_54_yr,F_B_Deg_55_64_yr,F_B_Deg_65_74_yr,F_B_Deg_75_84_yr,F_B_Deg_85_yr_over,F_B_Deg_Tot,F_Adv_Dip_Dip_15_24,F_Adv_Dip_Dip_25_34,F_Adv_Dip_Dip_35_44,F_Adv_Dip_Dip_45_54,F_Adv_Dip_Dip_55_64,F_Adv_Dip_Dip_65_74,F_Adv_Dip_Dip_75_84,F_Adv_Dip_Dip_85_over,F_Adv_Dip_Dip_Total,F_Cer_III_IV_15_24_yr,F_Cer_III_IV_25_34_yr,F_Cer_III_IV_35_44_yr,F_Cer_III_IV_45_54_yr,F_Cer_III_IV_55_64_yr,F_Cer_III_IV_65_74_yr,F_Cer_III_IV_75_84_yr,F_Cer_III_IV_85_yr_over,F_Cer_III_IV_Tot,F_Cer_I_II_15_24_yr,F_Cer_I_II_25_34_yr,F_Cer_I_II_35_44_yr,F_Cer_I_II_45_54_yr,F_Cer_I_II_55_64_yr,F_Cer_I_II_65_74_yr,F_Cer_I_II_75_84_yr,F_Cer_I_II_85_yr_over,F_Cer_I_II_Tot,F_Cer_nfd_15_24_yr,F_Cer_nfd_25_34_yr,F_Cer_nfd_35_44_yr,F_Cer_nfd_45_54_yr,F_Cer_nfd_55_64_yr,F_Cer_nfd_65_74_yr,F_Cer_nfd_75_84_yr,F_Cer_nfd_85_yr_over,F_Cer_nfd_Tot,F_Cer_Tot_15_24_yr,F_Cer_Tot_25_34_yr,F_Cer_Tot_35_44_yr,F_Cer_Tot_45_54_yr,F_Cer_Tot_55_64_yr,F_Cer_Tot_65_74_yr,F_Cer_Tot_75_84_yr,F_Cer_Tot_85_yr_over,F_Cer_Tot_Tot,F_lvl_educ_inad_desc_15_24,F_lvl_educ_inad_desc_25_34,F_lvl_educ_inad_desc_35_44,F_lvl_educ_inad_desc_45_54,F_lvl_educ_inad_desc_55_64,F_lvl_educ_inad_desc_65_74,F_lvl_educ_inad_desc_75_84,F_lvl_educ_inad_desc_85ov,F_lvl_educ_inad_desc_Tot,F_lvl_educ_ns_15_24_yr,F_lvl_educ_ns_25_34_yr,F_lvl_educ_ns_35_44_yr,F_lvl_educ_ns_45_54_yr,F_lvl_educ_ns_55_64_yr,F_lvl_educ_ns_65_74_yr,F_lvl_educ_ns_75_84_yr,F_lvl_educ_ns_85_yr_over,F_lvl_educ_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_PG_Deg_15_24_yr,P_PG_Deg_25_34_yr
5000,46,519,544,509,526,447,167,24,2790,7,148,219,289,310,240,48,5,1271,426,2343,2319,2044,1706,1447,437,62,10782,199,997,1598,1943,1970,1643,552,70,8974,2477,7670,7915,7709,7595,5011,1575,251,40197,727,392,270,195,197,109,25,7,1930,99,188,270,307,385,398,153,35,1843,3307,8244,8465,8221,8171,5513,1753,292,43962,39,95,98,138,133,157,66,15,739,2870,6336,6599,6665,5276,2936,1363,392,32440,6892,18692,19846,19809,18100,12382,4384,866,100959,43,591,697,503,545,352,78,4,2814,40,478,560,565,626,431,75,11,2779,692,3613,3591,2859,2521,1665,512,111,15574,303,1443,1829,2184,2692,1885,546,109,10989,1750,3195,3248,2993,2674,1288,270,37,15446,751,539,430,401,362,223,53,3,2758,146,236,350,496,606,461,136,28,2463,2644,3963,4030,3892,3641,1970,465,66,20666,36,76,117,107,146,190,98,26,800,2106,2854,2606,2811,2942,2636,1525,588,18066,5864,13017,13429,12921,13110,9129,3291,918,71678,86,1117
5001,5,47,56,57,51,65,26,4,303,3,19,27,42,41,26,6,3,173,38,164,201,227,197,195,73,18,1114,27,110,159,180,226,196,89,14,997,344,704,630,621,635,450,237,89,3711,146,44,30,16,24,8,6,0,267,9,13,17,30,37,51,20,7,187,498,758,679,671,694,514,258,100,4172,0,15,10,11,14,18,12,3,80,120,137,112,144,142,140,116,75,976,686,1249,1243,1323,1365,1162,581,218,7822,10,79,82,70,80,44,12,6,382,9,42,67,98,90,69,15,4,396,81,358,424,422,355,269,126,30,2069,62,191,269,324,338,246,137,36,1600,282,480,430,424,347,179,49,17,2206,161,61,48,47,44,20,8,0,404,17,31,37,89,98,64,22,8,364,467,574,511,557,485,266,79,27,2967,3,8,14,14,18,30,19,12,125,106,106,125,116,177,194,218,155,1197,742,1364,1494,1607,1549,1115,613,261,8736,9,124
5002,3,56,53,42,40,46,10,0,254,0,20,28,21,18,21,3,0,113,18,236,208,131,148,126,57,0,927,18,74,138,118,107,144,43,0,646,109,327,382,389,334,316,89,10,1949,36,12,8,7,6,8,0,0,81,12,12,19,18,21,32,10,3,129,154,357,403,414,363,360,97,13,2154,6,3,4,14,8,15,10,0,61,166,233,216,233,246,177,94,15,1376,367,981,1051,981,932,886,310,29,5535,3,117,102,56,71,35,6,0,393,5,66,95,58,69,42,3,0,339,79,501,377,260,204,152,23,7,1609,37,157,187,147,203,158,24,0,916,89,191,188,171,130,90,7,0,863,49,44,39,17,17,15,0,0,183,3,19,31,25,41,32,9,0,167,146,259,255,214,187,135,20,0,1211,3,4,9,4,12,13,7,0,53,171,354,250,244,289,208,81,15,1607,442,1458,1267,989,1030,743,172,25,6127,9,172
5003,3,80,162,154,109,89,22,10,624,0,29,68,80,75,48,9,4,316,73,430,527,515,400,287,106,22,2361,62,249,417,408,367,279,131,27,1929,717,1727,1742,1589,1448,990,427,103,8739,289,108,47,31,24,21,6,0,527,31,37,62,65,84,64,27,9,383,1037,1872,1853,1682,1556,1070,462,104,9644,6,21,32,27,34,32,24,4,186,235,289,281,271,261,241,169,111,1860,1414,2979,3341,3136,2796,2046,932,283,16925,15,137,175,151,109,61,18,0,667,12,115,185,184,135,81,21,0,745,174,920,1076,858,559,345,144,46,4114,100,479,595,583,601,384,149,52,2930,927,1250,1166,1009,725,329,78,14,5496,277,195,133,113,85,52,18,6,869,58,68,134,185,175,104,48,9,779,1254,1510,1428,1300,988,487,142,30,7148,6,22,32,29,32,44,20,9,205,212,292,279,270,288,302,308,214,2170,1767,3473,3776,3385,2711,1709,804,360,17984,19,216
5004,0,28,57,81,67,83,42,3,374,0,23,48,38,31,42,12,0,187,22,228,317,334,279,298,122,35,1626,15,127,215,239,263,268,146,23,1287,296,688,840,804,726,657,306,73,4387,111,43,19,23,10,12,9,0,223,11,19,29,49,46,52,23,3,227,421,748,891,874,779,721,338,79,4845,7,15,12,11,21,23,16,4,102,117,160,157,173,186,172,131,64,1144,578,1317,1697,1759,1618,1598,799,204,9571,4,70,119,101,59,61,15,0,431,6,62,127,140,100,70,17,6,520,75,452,734,588,415,320,140,36,2758,56,237,370,421,410,312,136,32,1973,243,444,537,509,397,215,62,13,2413,109,45,51,55,51,43,12,3,370,22,35,61,85,95,101,35,12,453,377,520,649,648,548,357,109,25,3238,8,18,11,19,21,37,21,7,146,134,178,179,159,233,253,205,127,1471,652,1543,2186,2082,1784,1409,647,235,10538,4,103
5005,0,15,14,16,14,11,3,0,69,0,0,14,8,6,0,0,0,33,13,59,44,69,51,34,20,9,287,6,26,51,48,46,38,27,8,249,118,271,258,240,231,125,65,12,1321,29,12,10,4,5,0,0,0,62,5,7,3,11,9,10,5,0,49,154,290,275,254,243,131,76,13,1427,4,0,0,4,7,0,0,4,24,101,87,86,135,95,90,79,10,682,271,480,493,534,466,302,202,40,2780,0,14,15,22,9,5,0,0,70,3,14,24,25,21,13,3,0,107,21,150,137,109,73,54,32,3,585,10,57,75,94,97,62,35,9,432,89,148,130,136,95,50,17,0,665,42,26,25,14,15,10,3,0,127,9,5,17,27,25,9,6,3,88,136,182,169,173,124,65,29,3,879,0,6,0,0,8,3,4,4,26,68,72,99,85,82,98,97,34,629,248,491,523,498,409,306,201,59,2725,3,33
5006,5,33,65,61,48,33,6,7,260,0,17,28,37,33,19,6,0,140,23,166,220,197,139,109,29,5,885,17,112,182,190,216,144,44,10,918,349,865,733,791,728,513,215,57,4259,115,57,39,25,30,13,4,0,285,5,15,36,35,39,42,13,0,188,471,933,806,852,800,570,233,62,4731,4,10,11,18,21,10,12,6,97,221,237,268,233,221,162,152,79,1573,751,1514,1588,1588,1481,1041,478,165,8606,9,69,95,68,49,26,3,0,311,9,84,95,92,64,39,7,0,391,120,448,460,412,229,139,55,13,1881,96,241,293,311,287,192,66,15,1507,292,501,489,491,366,166,43,8,2352,163,103,69,63,43,24,5,0,479,26,33,49,78,58,46,23,7,323,481,637,611,627,471,237,70,15,3156,4,12,5,17,13,17,11,7,94,221,234,272,241,227,235,207,149,1779,931,1722,1836,1772,1348,883,423,204,9116,8,99
5007,13,114,101,68,42,8,10,0,350,4,18,27,25,20,12,0,0,97,55,277,260,154,108,62,8,3,919,12,95,169,123,120,51,7,0,576,308,914,835,755,592,268,72,6,3750,98,38,19,17,6,8,0,0,181,17,23,25,31,23,15,6,0,140,417,975,877,804,621,284,79,6,4072,5,7,9,10,7,6,4,0,56,221,355,346,288,325,211,78,19,1843,730,1845,1792,1463,1238,637,190,29,7921,15,114,112,58,31,10,3,0,335,9,54,69,42,38,5,3,0,229,112,443,372,217,136,46,24,0,1352,36,188,205,204,149,52,12,3,845,224,440,340,268,175,46,10,3,1511,126,68,39,31,12,5,0,0,286,12,43,40,53,38,24,3,0,210,365,548,420,351,227,72,14,3,2004,3,25,9,14,11,4,6,0,70,175,274,234,218,236,175,49,53,1412,714,1650,1414,1097,830,368,110,61,6249,26,228
5008,0,65,77,39,23,6,0,0,217,5,15,28,24,14,3,0,0,86,21,202,194,148,78,35,3,0,672,3,76,193,154,114,30,5,0,583,188,694,751,569,354,136,27,0,2723,58,27,18,13,8,0,0,0,122,4,18,22,22,14,7,5,0,90,248,734,792,605,376,141,33,0,2937,3,6,12,10,4,4,0,0,38,213,426,521,436,328,108,30,6,2055,490,1526,1826,1413,931,326,71,4,6587,0,85,79,45,10,5,0,0,228,9,54,60,44,21,3,0,0,190,64,380,336,160,62,32,7,0,1049,27,149,172,131,74,34,6,0,599,101,282,257,159,70,19,4,0,887,51,40,34,23,14,5,0,0,170,8,16,30,34,23,8,5,0,117,156,345,316,216,106,38,7,0,1180,0,7,9,10,0,3,0,0,31,149,298,249,193,132,69,19,9,1110,410,1324,1217,794,407,183,38,9,4380,0,158
5009,786,10343,14258,10119,7139,4715,1964,411,49736,182,2396,3345,3324,2701,1681,578,87,14291,8662,31695,32905,23982,16306,11542,4495,1067,130648,4142,12088,15422,13941,11387,8996,4192,994,71163,15610,35678,33510,30670,29299,21007,10394,2829,178995,5231,2089,1145,808,573,394,147,25,10410,889,1316,1688,1905,1781,1613,882,237,10314,21729,39082,36346,33382,31652,23016,11419,3091,199721,492,968,1267,1123,910,891,667,233,6550,6463,8875,8402,7033,5727,5138,4474,2765,48884,42457,105445,111946,92907,75819,55988,27786,8643,520989,865,13875,15723,9457,5577,2921,781,141,49338,626,5726,7021,6201,4653,2642,782,144,27795,12141,47331,45972,30596,18497,11711,4688,1271,172209,5650,16316,19196,18672,15994,10004,4278,1324,91433,14993,23349,20628,18079,13555,6526,1900,529,99567,5167,2526,2191,1891,1646,1085,418,87,15013,1290,1821,2922,4164,4049,3001,1523,547,19304,21450,27686,25737,24137,19255,10615,3847,1166,133887,430,1010,1232,1154,1177,1326,888,313,7528,6108,8883,8078,6769,6446,7162,7160,5535,56138,47264,120824,122957,96992,71593,46378,22423,9892,538327,1649,24212
5010,0,40,41,30,21,8,0,0,148,3,14,20,13,12,7,0,0,69,11,156,158,84,56,26,9,0,504,5,98,173,143,100,38,7,0,564,133,679,738,474,368,112,25,7,2536,35,17,18,4,5,3,0,0,88,6,18,22,14,15,5,0,0,91,174,721,782,500,390,122,25,7,2714,3,5,14,9,10,3,0,0,41,201,509,555,492,391,128,32,9,2316,401,1546,1738,1269,985,330,68,11,6355,4,50,43,27,25,9,4,0,156,5,36,35,21,13,6,0,0,125,53,309,253,111,71,26,11,0,829,17,139,153,95,76,28,3,0,508,77,273,199,119,83,25,0,0,775,47,43,38,15,9,0,0,0,166,6,22,23,27,11,11,3,0,100,131,341,267,162,101,33,5,0,1040,6,4,4,6,6,0,0,0,29,160,325,225,211,156,71,25,5,1172,373,1206,977,633,450,177,40,9,3864,5,89
