UCL_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85_yr_over_Married,M_85_yr_over_Separated,M_85_yr_over_Divorced,M_85_yr_over_Widowed,M_85_yr_over_Never_married,M_85_yr_over_Tot,M_OS_visitors_Married,M_OS_visitors_Separated,M_OS_visitors_Divorced,M_OS_visitors_Widowed,M_OS_visitors_Never_married,M_OS_visitors_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85_yr_over_Married,F_85_yr_over_Separated,F_85_yr_over_Divorced,F_85_yr_over_Widowed,F_85_yr_over_Never_married,F_85_yr_over_Tot,F_OS_visitors_Married,F_OS_visitors_Separated,F_OS_visitors_Divorced,F_OS_visitors_Widowed,F_OS_visitors_Never_married,F_OS_visitors_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85_yr_over_Married,P_85_yr_over_Separated,P_85_yr_over_Divorced,P_85_yr_over_Widowed,P_85_yr_over_Never_married,P_85_yr_over_Tot,P_OS_vis_Married,P_OS_vis_Separated,P_OS_vis_Divorced,P_OS_vis_Widowed,P_OS_vis_Never_married,P_OS_vis_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
UCL501001,64,15,14,17,60540,60648,1234,81,43,32,61946,63332,40033,1900,1940,118,93945,137925,85145,5129,7332,204,42503,140322,78665,6171,12832,696,25387,123749,69407,4806,15605,1606,14851,106272,58504,3215,12414,3327,6152,83614,32378,1288,5027,4585,1956,45232,8983,269,955,4667,476,15345,1250,83,177,72,869,2453,375668,22954,56329,15322,308629,778901,69,21,10,21,57922,58036,2864,204,79,34,59475,62657,57789,3626,3452,195,83410,148478,93918,7196,10976,821,36574,149485,81521,7636,19109,2157,21453,131874,69671,5693,22922,5609,11454,115347,53623,3270,18352,12815,4853,92912,24045,1021,7660,18304,1673,52702,4699,170,1755,17290,627,24539,1042,60,169,380,735,2380,389246,28895,84490,57610,278163,838412,134,32,24,37,118461,118685,4097,283,126,61,121420,125988,97819,5529,5389,312,177350,286403,179063,12331,18305,1029,79080,289808,160182,13805,31940,2852,46842,255624,139080,10496,38521,7206,26310,221618,112129,6483,30761,16142,11012,176529,56423,2311,12695,22890,3621,97942,13679,438,2710,21958,1101,39885,2292,146,344,455,1600,4837,764914,51847,140821,72933,586797,1617314
UCL511001,0,0,0,0,2288,2294,58,3,0,0,1864,1933,1257,87,64,6,2964,4376,2595,224,295,3,1524,4645,2664,260,545,26,995,4493,2721,201,726,66,540,4249,2361,156,525,157,177,3369,1311,51,188,194,46,1790,341,8,27,168,19,561,11,3,8,0,22,44,13325,992,2375,626,10430,27749,9,0,0,0,2318,2323,96,5,0,5,1751,1856,1779,159,124,18,2620,4693,2902,317,417,42,1329,5009,2875,334,776,95,902,4973,2693,246,1025,216,416,4584,2147,148,726,531,138,3696,989,39,251,806,45,2122,173,5,50,700,21,949,13,0,0,7,21,41,13661,1247,3374,2413,9566,30255,8,0,4,0,4606,4624,152,8,0,0,3619,3782,3038,242,187,16,5582,9066,5498,537,713,47,2854,9652,5535,595,1314,124,1894,9467,5405,445,1750,282,954,8839,4511,301,1253,689,310,7068,2304,85,434,997,93,3914,510,18,75,866,37,1511,30,4,6,4,40,89,26988,2239,5744,3040,19993,58003
UCL512001,0,0,0,0,1006,1000,39,0,0,0,732,773,538,29,23,0,1200,1787,849,84,83,3,622,1642,1004,93,222,10,440,1768,1148,103,289,40,302,1882,1128,56,279,84,118,1664,738,22,101,116,39,1023,262,4,29,130,12,439,15,0,0,4,9,28,5727,395,1027,390,4473,12011,0,0,0,0,949,950,57,3,0,0,665,730,622,43,43,0,978,1688,929,120,157,17,574,1801,1112,131,336,38,445,2062,1181,104,481,114,286,2168,1069,75,357,264,113,1880,602,20,176,487,26,1315,141,11,46,411,11,609,3,3,0,0,3,18,5722,515,1596,1339,4042,13212,6,0,0,0,1948,1950,100,4,0,0,1396,1501,1160,74,65,3,2178,3476,1780,203,240,22,1194,3445,2117,221,558,44,884,3828,2326,204,773,156,581,4045,2195,132,636,345,230,3540,1348,43,278,604,67,2338,401,15,74,542,15,1047,21,0,3,3,12,40,11445,909,2620,1733,8518,25220
UCL512002,0,0,0,0,783,789,4,0,0,0,532,541,352,20,21,0,835,1225,805,71,71,0,486,1434,945,90,190,13,331,1566,967,69,236,25,217,1513,1192,44,253,69,94,1648,744,18,102,100,21,985,186,4,27,102,0,315,7,0,0,0,12,16,5194,322,894,315,3314,10033,3,0,0,0,768,764,17,3,0,0,490,508,506,36,32,4,767,1341,1000,112,140,14,466,1736,1074,120,312,39,338,1885,1116,82,413,83,186,1887,1141,56,368,218,90,1875,560,12,140,358,39,1108,108,4,32,407,17,563,7,0,4,0,7,18,5529,434,1445,1127,3159,11690,3,0,0,5,1550,1554,21,6,0,0,1021,1047,855,55,55,3,1596,2568,1803,185,217,11,949,3164,2022,211,500,54,666,3449,2081,151,649,111,407,3398,2335,97,622,282,190,3531,1301,31,241,462,60,2096,290,10,55,505,13,880,15,0,3,4,14,30,10722,750,2341,1435,6474,21726
UCL512003,0,0,0,0,1077,1084,21,4,0,0,824,847,479,23,27,3,1280,1807,936,69,123,8,754,1897,1070,134,181,17,564,1965,1166,127,293,43,422,2044,1044,72,256,94,122,1590,595,29,98,126,40,890,178,4,23,103,16,327,8,0,3,0,12,23,5507,452,1000,401,5101,12464,0,0,0,0,1014,1017,56,0,0,0,886,947,682,56,40,8,1213,1998,1085,139,191,12,709,2136,1205,144,330,53,502,2223,1135,128,426,128,317,2118,1002,67,296,285,76,1720,461,21,121,381,25,1007,90,4,20,331,7,449,6,0,0,5,10,20,5718,559,1417,1196,4751,13639,0,0,4,0,2091,2098,77,0,0,0,1710,1790,1158,77,72,7,2492,3802,2021,212,316,18,1459,4029,2274,277,516,70,1057,4186,2303,247,718,165,732,4169,2046,145,544,382,197,3313,1058,52,216,513,70,1902,270,6,42,438,20,776,14,0,3,8,16,43,11224,1014,2419,1600,9853,26103
UCL512004,8,0,0,0,840,852,31,4,0,0,1055,1091,658,45,47,0,1808,2570,1275,125,130,0,880,2419,1169,127,239,21,617,2161,1170,98,309,57,388,2024,610,76,186,57,140,1075,191,27,54,45,42,362,26,0,3,23,6,64,18,0,6,0,20,42,5162,513,978,208,5794,12655,0,0,0,0,749,747,37,14,4,5,858,912,803,59,53,8,1439,2362,1191,90,146,11,645,2093,1037,104,254,40,415,1848,952,84,260,86,201,1579,459,34,145,149,56,841,125,11,49,125,16,328,23,3,9,102,0,136,13,0,0,9,15,36,4651,392,920,531,4390,10888,7,0,0,0,1587,1599,65,19,3,4,1911,2003,1464,106,104,10,3248,4932,2472,212,275,21,1531,4508,2201,229,496,59,1032,4014,2123,186,569,147,586,3605,1069,110,330,210,195,1919,319,36,106,171,53,690,50,7,15,124,6,197,32,0,5,9,36,75,9815,905,1902,742,10185,23545
UCL513001,0,0,0,0,386,386,12,0,0,0,416,427,275,13,10,0,948,1247,675,42,62,3,535,1319,673,70,128,14,391,1277,789,40,196,31,242,1301,1057,42,148,39,78,1367,394,10,36,41,18,503,34,5,0,13,9,56,12,0,6,0,40,55,3911,221,596,147,3063,7936,0,0,0,0,438,438,12,0,0,0,489,502,377,25,28,5,1316,1747,737,62,74,14,666,1553,680,61,177,12,378,1306,920,87,251,70,200,1519,909,33,170,119,72,1307,236,7,45,75,16,378,10,4,0,37,0,56,12,0,0,0,54,74,3889,269,752,333,3633,8879,0,0,0,0,829,829,21,0,0,0,900,927,652,37,43,4,2263,2989,1408,104,137,20,1197,2875,1351,136,309,27,768,2589,1706,125,450,103,438,2819,1968,76,325,156,151,2670,631,10,87,117,39,882,43,3,6,52,9,111,19,0,6,3,100,123,7806,493,1345,479,6700,16818
UCL513002,0,0,0,0,360,360,3,0,0,0,251,258,170,8,12,0,420,610,297,15,40,0,240,595,351,32,72,5,211,670,413,38,112,16,119,697,348,31,71,27,61,530,218,17,38,54,16,340,53,3,4,32,0,96,5,0,0,0,6,12,1852,133,351,130,1688,4155,0,0,0,0,276,279,10,0,0,0,244,254,222,11,20,0,371,622,326,46,56,3,208,636,342,40,80,15,152,630,400,26,125,47,71,673,338,24,72,97,28,558,162,14,39,174,9,400,37,0,9,110,3,162,0,0,0,0,0,6,1844,172,403,449,1365,4230,0,0,0,0,636,639,18,4,0,0,493,513,391,17,35,0,788,1231,625,62,101,3,450,1233,694,73,151,14,366,1305,819,66,235,62,193,1370,681,51,136,122,86,1086,379,26,82,226,28,741,85,3,18,148,10,257,7,0,0,0,9,18,3696,298,753,577,3056,8392
UCL513003,0,0,0,0,506,506,11,0,0,0,532,540,510,23,19,0,1298,1854,1313,78,98,6,708,2198,1042,92,193,5,374,1711,789,63,188,12,137,1189,312,44,64,13,23,455,78,5,6,15,5,108,6,0,0,3,0,9,23,4,5,0,34,65,4082,312,575,55,3619,8646,4,0,0,0,404,406,14,0,0,0,415,437,658,36,38,0,959,1695,997,64,104,13,408,1585,686,69,139,19,218,1126,433,29,127,28,62,682,209,17,58,35,11,332,38,6,8,23,4,77,3,0,0,11,0,13,8,0,4,0,14,25,3048,225,462,122,2506,6368,5,0,0,0,909,913,26,0,0,0,948,978,1169,59,55,0,2263,3550,2312,138,201,14,1116,3787,1722,164,331,22,602,2837,1228,88,316,42,208,1873,521,60,115,51,37,785,113,8,12,38,7,181,3,0,0,10,0,22,35,4,5,0,43,94,7137,532,1038,182,6130,15017
UCL513004,0,0,0,0,425,424,17,0,0,0,461,473,496,21,42,5,1356,1924,1095,100,129,7,731,2063,922,113,190,0,436,1663,800,93,209,18,220,1343,299,28,77,27,35,470,57,0,19,19,14,109,9,0,3,4,3,16,25,0,4,0,9,34,3716,357,674,85,3689,8520,0,0,0,0,352,361,12,0,0,0,434,447,525,47,27,0,1036,1642,739,64,76,4,456,1340,468,65,134,15,264,945,422,47,123,39,133,759,190,18,55,53,24,340,31,0,13,33,3,80,0,0,3,10,3,15,10,0,0,0,11,26,2402,239,438,155,2729,5958,6,0,0,0,780,784,26,0,0,0,896,922,1026,68,69,3,2391,3567,1831,161,203,12,1189,3401,1392,180,326,15,698,2611,1221,135,336,55,355,2103,487,43,132,81,61,811,94,0,34,48,16,189,6,0,5,13,4,34,29,0,4,0,21,56,6116,591,1114,240,6415,14480
