UCL_CODE_2021,Uses_Eng_on_M,Uses_Eng_on_F,Uses_Eng_on_P,Uses_othr_lang_Afrikaans_M,Uses_othr_lang_Afrikaans_F,Uses_othr_lang_Afrikaans_P,Uses_othr_lang_Arabic_M,Uses_othr_lang_Arabic_F,Uses_othr_lang_Arabic_P,Uses_othr_lang_Aus_Ind_lang_M,Uses_othr_lang_Aus_Ind_lang_F,Uses_othr_lang_Aus_Ind_lang_P,Uses_othr_lan_Chin_lan_Cant_M,Uses_othr_lan_Chin_lan_Cant_F,Uses_othr_lan_Chin_lan_Cant_P,Uses_othr_lan_Chin_lan_Mand_M,Uses_othr_lan_Chin_lan_Mand_F,Uses_othr_lan_Chin_lan_Mand_P,Uses_othr_lan_Chin_lan_othr_M,Uses_othr_lan_Chin_lan_othr_F,Uses_othr_lan_Chin_lan_othr_P,Uses_othr_lan_Chin_lan_Tot_M,Uses_othr_lan_Chin_lan_Tot_F,Uses_othr_lan_Chin_lan_Tot_P,Uses_othr_lang_Croatian_M,Uses_othr_lang_Croatian_F,Uses_othr_lang_Croatian_P,Uses_othr_lang_French_M,Uses_othr_lang_French_F,Uses_othr_lang_French_P,Uses_othr_lang_German_M,Uses_othr_lang_German_F,Uses_othr_lang_German_P,Uses_othr_lang_Greek_M,Uses_othr_lang_Greek_F,Uses_othr_lang_Greek_P,Us_oth_lan_Indo_Ary_lan_Ben_M,Us_oth_lan_Indo_Ary_lan_Ben_F,Us_oth_lan_Indo_Ary_lan_Ben_P,Us_oth_lan_Indo_Ary_lan_Guj_M,Us_oth_lan_Indo_Ary_lan_Guj_F,Us_oth_lan_Indo_Ary_lan_Guj_P,Us_oth_lan_Indo_Ary_lan_Hin_M,Us_oth_lan_Indo_Ary_lan_Hin_F,Us_oth_lan_Indo_Ary_lan_Hin_P,Us_oth_lan_Indo_Ary_lan_Nep_M,Us_oth_lan_Indo_Ary_lan_Nep_F,Us_oth_lan_Indo_Ary_lan_Nep_P,Us_oth_lan_Ind_Ary_lan_Punj_M,Us_oth_lan_Ind_Ary_lan_Punj_F,Us_oth_lan_Ind_Ary_lan_Punj_P,Us_oth_lan_Ind_Ary_lan_Sinh_M,Us_oth_lan_Ind_Ary_lan_Sinh_F,Us_oth_lan_Ind_Ary_lan_Sinh_P,Us_oth_lan_Indo_Ary_lan_Urd_M,Us_oth_lan_Indo_Ary_lan_Urd_F,Us_oth_lan_Indo_Ary_lan_Urd_P,Us_oth_lan_Indo_Ary_lan_oth_M,Us_oth_lan_Indo_Ary_lan_oth_F,Us_oth_lan_Indo_Ary_lan_oth_P,Us_oth_lan_Indo_Ary_lan_Tot_M,Us_oth_lan_Indo_Ary_lan_Tot_F,Us_oth_lan_Indo_Ary_lan_Tot_P,Uses_othr_lang_Italian_M,Uses_othr_lang_Italian_F,Uses_othr_lang_Italian_P,Uses_othr_lang_Japanese_M,Uses_othr_lang_Japanese_F,Uses_othr_lang_Japanese_P,Uses_othr_lang_Khmer_M,Uses_othr_lang_Khmer_F,Uses_othr_lang_Khmer_P,Uses_othr_lang_Korean_M,Uses_othr_lang_Korean_F,Uses_othr_lang_Korean_P,Uses_othr_lang_Macedonian_M,Uses_othr_lang_Macedonian_F,Uses_othr_lang_Macedonian_P,Uses_othr_lang_Malayalam_M,Uses_othr_lang_Malayalam_F,Uses_othr_lang_Malayalam_P,Us_oth_lan_Persian_ex_Dari_M,Us_oth_lan_Persian_ex_Dari_F,Us_oth_lan_Persian_ex_Dari_P,Uses_othr_lang_Polish_M,Uses_othr_lang_Polish_F,Uses_othr_lang_Polish_P,Uses_othr_lang_Portugese_M,Uses_othr_lang_Portugese_F,Uses_othr_lang_Portugese_P,Uses_othr_lang_Russian_M,Uses_othr_lang_Russian_F,Uses_othr_lang_Russian_P,Uses_othr_lang_Samoan_M,Uses_othr_lang_Samoan_F,Uses_othr_lang_Samoan_P,Uses_othr_lang_Serbian_M,Uses_othr_lang_Serbian_F,Uses_othr_lang_Serbian_P,Us_oth_la_SE_As_Au_la_Fili_M,Us_oth_la_SE_As_Au_la_Fili_F,Us_oth_la_SE_As_Au_la_Fili_P,Us_oth_la_SE_As_Au_la_Indo_M,Us_oth_la_SE_As_Au_la_Indo_F,Us_oth_la_SE_As_Au_la_Indo_P,Us_oth_la_SE_As_Au_la_Tag_M,Us_oth_la_SE_As_Au_la_Tag_F,Us_oth_la_SE_As_Au_la_Tag_P,Us_oth_la_SE_As_Au_la_oth_M,Us_oth_la_SE_As_Au_la_oth_F,Us_oth_la_SE_As_Au_la_oth_P,Us_oth_la_SE_As_Au_la_Tot_M,Us_oth_la_SE_As_Au_la_Tot_F,Us_oth_la_SE_As_Au_la_Tot_P,Uses_othr_lang_Spanish_M,Uses_othr_lang_Spanish_F,Uses_othr_lang_Spanish_P,Uses_othr_lang_Tamil_M,Uses_othr_lang_Tamil_F,Uses_othr_lang_Tamil_P,Uses_othr_lang_Thai_M,Uses_othr_lang_Thai_F,Uses_othr_lang_Thai_P,Uses_othr_lang_Turkish_M,Uses_othr_lang_Turkish_F,Uses_othr_lang_Turkish_P,Uses_othr_lang_Vietnamese_M,Uses_othr_lang_Vietnamese_F,Uses_othr_lang_Vietnamese_P,Uses_othr_lang_Other_M,Uses_othr_lang_Other_F,Uses_othr_lang_Other_P,Uses_othr_lang_Tot_M,Uses_othr_lang_Tot_F,Uses_othr_lang_Tot_P,Lang_used_home_ns_M,Lang_used_home_ns_F,Lang_used_home_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
UCL501001,726344,751917,1478263,5383,5862,11244,7838,7497,15337,858,996,1848,8733,10317,19042,22207,26895,49095,1689,2056,3746,32622,39266,71891,2164,2533,4706,3886,4374,8259,3059,3729,6790,1970,2148,4118,1838,1790,3626,4957,4754,9709,5844,5404,11247,2422,2326,4750,10547,9283,19834,2969,2966,5933,4621,3355,7983,1289,1295,2578,34481,31177,65660,10463,11971,22439,2301,3325,5624,632,870,1503,3047,3449,6501,2771,2903,5674,4507,4408,8917,3677,3641,7322,2212,2902,5118,3443,4097,7533,1335,2143,3482,422,361,779,2624,2753,5377,4365,5539,9906,4838,6592,11425,6187,7992,14179,3321,4384,7704,18710,24503,43216,5281,6217,11504,4215,4161,8372,1807,4455,6255,987,937,1923,9757,11636,21391,34940,38172,73115,204703,229653,434358,44496,43161,87657,2636,2568,5203,978179,1027301,2005481
UCL511001,30338,32372,62711,310,331,641,84,80,163,39,64,104,46,55,101,206,307,512,4,12,20,257,376,633,7,12,26,52,65,112,44,58,105,24,54,72,21,27,46,45,33,76,53,50,107,34,32,63,95,81,173,31,28,56,59,45,103,14,8,25,345,306,650,220,244,463,27,42,75,19,6,27,74,60,131,8,5,8,120,119,235,24,23,46,46,61,110,37,33,69,40,58,98,5,3,10,6,10,17,158,186,345,43,68,121,177,256,431,92,117,211,477,629,1106,81,78,159,27,29,55,23,95,124,3,6,6,46,85,131,509,550,1054,2925,3416,6340,2171,1623,3793,43,49,92,35471,37465,72939
UCL512001,12683,13977,26656,79,96,169,5,0,4,12,16,28,22,25,41,38,53,93,4,8,9,57,88,141,0,5,4,37,25,67,38,62,101,12,5,20,0,0,4,0,0,9,12,12,20,5,8,15,19,14,29,12,7,14,0,0,3,0,7,6,52,39,90,75,75,156,4,13,21,0,0,0,0,9,13,4,0,8,19,19,36,0,5,6,16,21,34,3,0,7,4,11,12,0,0,3,0,0,0,94,120,212,25,34,58,97,120,220,41,50,94,252,326,578,18,10,31,13,9,20,8,38,50,7,0,6,21,16,32,288,262,546,1020,1148,2163,1039,727,1765,30,18,45,14767,15861,30630
UCL512002,11254,12624,23877,64,80,139,12,6,16,25,19,43,14,15,30,20,32,51,0,6,4,40,52,88,8,3,6,33,42,72,50,73,118,8,0,11,0,0,6,6,5,7,8,4,12,9,13,19,31,30,64,9,3,21,7,3,5,3,5,6,77,62,136,42,43,88,16,24,38,0,0,0,15,19,29,4,6,10,0,0,0,0,3,5,7,6,16,13,17,31,5,6,13,0,0,0,0,0,0,9,18,27,14,21,35,30,35,62,3,9,13,52,81,130,12,16,29,10,8,15,7,49,59,0,0,0,22,40,61,163,179,344,664,794,1460,639,690,1331,16,15,35,12570,14125,26699
UCL512003,12988,13809,26794,120,111,232,19,20,40,53,73,125,19,14,29,49,77,130,5,5,9,69,95,161,0,3,7,25,30,57,24,41,63,13,4,17,9,10,17,14,9,21,21,17,37,16,10,30,20,15,39,15,8,19,25,24,48,0,0,0,111,91,200,73,77,154,8,5,8,6,0,7,6,0,5,9,4,10,65,65,128,3,0,5,0,9,12,5,11,17,4,8,16,0,4,5,0,0,0,61,87,141,33,47,76,84,109,194,137,177,315,315,416,735,20,17,37,16,7,19,24,82,103,0,0,0,60,86,146,222,258,483,1233,1450,2682,1499,1571,3067,22,19,41,15744,16849,32590
UCL512004,11865,10599,22467,152,143,299,34,13,47,73,88,159,13,12,19,128,81,207,4,0,8,141,92,234,10,14,28,29,23,52,21,31,52,8,4,17,13,8,19,30,25,56,67,60,120,14,12,18,51,47,105,19,19,34,42,24,62,17,21,33,252,217,463,25,30,59,7,4,8,0,7,7,17,15,34,0,0,0,40,25,63,30,17,52,9,4,12,28,33,62,19,15,30,34,33,66,6,7,10,140,137,283,26,36,60,156,166,325,30,40,68,353,389,739,56,43,107,25,16,44,32,115,146,5,4,13,25,36,61,506,494,1007,1899,1854,3753,2170,1467,3635,47,40,85,15981,13964,29942
UCL513001,7533,7997,15529,22,22,37,8,6,7,165,218,383,13,31,43,35,69,104,0,0,5,50,96,150,7,7,7,49,47,95,31,62,96,10,11,20,5,3,5,6,0,6,7,5,16,0,0,4,4,0,9,11,8,20,9,9,18,0,0,0,46,33,79,60,64,122,12,25,32,0,0,0,4,4,8,4,3,7,5,0,5,0,3,3,8,14,20,7,14,17,5,0,6,0,0,0,3,0,0,36,50,83,4,9,16,45,45,90,7,9,16,86,113,202,53,80,133,8,5,14,18,56,76,6,4,10,10,19,25,264,307,571,763,1020,1783,1554,1633,3181,56,74,128,9897,10724,20620
UCL513002,4386,4439,8825,36,34,72,3,0,4,18,10,27,10,13,13,8,15,24,0,3,4,11,28,43,0,0,0,4,4,11,11,21,27,4,0,9,4,0,3,3,0,4,5,6,6,3,0,3,0,0,5,15,7,26,0,0,0,0,0,0,33,22,54,4,3,11,0,0,0,0,6,6,0,0,0,0,0,0,0,0,4,4,0,3,0,0,3,0,6,6,0,4,3,0,0,5,0,0,0,16,30,43,5,8,9,0,9,12,0,0,0,17,43,63,12,7,17,3,0,4,5,20,28,0,0,0,7,7,19,45,47,92,215,271,488,567,475,1045,12,6,18,5179,5189,10370
UCL513003,7463,6083,13547,45,48,100,18,11,30,65,72,135,10,19,28,53,64,122,8,3,11,78,87,160,6,4,12,28,26,54,15,15,35,12,10,20,10,6,22,17,12,33,54,34,90,19,24,48,31,28,62,19,14,36,29,18,50,17,12,21,200,155,355,30,10,40,8,11,19,9,7,11,5,3,11,13,10,22,16,17,32,4,0,5,6,9,13,23,16,32,11,4,11,8,3,10,6,8,18,69,76,145,22,23,44,116,106,224,11,18,32,224,220,441,28,31,64,16,9,24,38,93,128,0,4,3,22,17,38,250,241,494,1120,1083,2204,2306,1329,3634,75,27,99,10965,8520,19488
UCL513004,6656,5338,11994,57,46,96,26,5,30,110,128,242,14,13,24,44,42,87,0,3,3,54,60,117,8,10,13,35,15,42,18,19,41,11,8,15,7,0,3,46,43,84,32,18,48,3,0,3,16,15,31,22,16,39,5,8,12,5,5,12,138,96,238,16,11,31,0,0,3,0,0,0,10,14,20,8,9,13,12,9,22,11,8,14,5,5,6,14,9,24,5,4,11,8,0,8,6,3,13,74,77,149,38,50,88,117,115,230,136,151,286,369,386,754,25,19,45,9,12,20,31,64,94,7,8,12,18,29,48,331,271,601,1227,1127,2357,2524,1324,3850,34,21,54,10442,7818,18260
