UCL_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
UCL501001,2412,55421,2817,63,60713,2823,56805,3702,190,63523,6887,122025,9018,548,138475,10904,121475,7945,388,140711,13908,103772,6074,372,124118,14735,87040,4491,397,106670,10310,69758,3545,342,83955,5042,37171,3019,118,45355,1543,11828,1975,28,15374,68557,665295,42598,2453,778901,2738,52532,2764,67,58103,3740,55759,3154,187,62845,11247,129355,7866,478,148949,18434,124348,6703,242,149730,24015,102768,5094,262,132138,25526,85885,3941,513,115861,15914,73166,3830,446,93356,6008,42704,4001,140,52848,1180,19824,3528,45,24582,108809,686352,40875,2380,838412,5145,107960,5577,129,118813,6570,112569,6855,379,126375,18133,251386,16889,1024,287428,29336,245828,14650,632,290440,37922,206541,11163,635,256255,40264,172925,8437,910,222529,26227,142922,7381,788,177310,11049,79869,7021,267,98207,2723,31650,5510,78,39957,177360,1351640,83472,4837,1617314
UCL511001,86,2095,118,4,2300,74,1693,160,0,1932,221,3701,450,14,4384,396,3839,412,9,4653,474,3699,320,6,4504,590,3427,229,5,4253,409,2766,194,0,3372,197,1471,116,3,1790,41,433,89,0,561,2494,23125,2091,44,27749,128,2099,101,0,2329,103,1653,93,0,1860,389,4030,276,7,4706,748,4048,216,4,5014,923,3844,204,6,4978,1054,3356,174,7,4597,604,2927,168,3,3701,243,1707,174,7,2128,44,721,182,0,949,4246,24378,1593,41,30255,212,4188,220,6,4627,181,3347,257,3,3786,613,7731,723,26,9091,1142,7887,622,8,9666,1394,7548,525,9,9478,1649,6781,407,14,8854,1016,5687,361,11,7074,444,3183,285,3,3920,84,1155,270,0,1511,6737,47501,3680,89,58003
UCL512001,58,878,69,0,1000,33,673,68,8,780,92,1460,242,4,1796,139,1310,196,9,1649,230,1388,146,0,1768,297,1475,111,3,1886,191,1383,91,0,1668,116,849,57,4,1024,56,339,41,0,439,1212,9746,1026,28,12011,54,842,50,0,945,47,637,47,0,731,164,1440,88,8,1693,289,1420,93,0,1800,409,1571,81,0,2060,502,1566,98,3,2174,317,1457,100,0,1880,187,1036,97,0,1319,39,499,68,0,611,1995,10473,731,18,13212,106,1725,119,0,1952,79,1311,115,6,1510,245,2896,332,10,3492,429,2728,288,6,3452,638,2963,230,0,3829,795,3041,213,11,4055,510,2840,197,0,3545,306,1882,154,3,2343,98,844,108,0,1051,3207,20216,1753,40,25220
UCL512002,29,723,33,0,789,21,498,24,0,541,63,1066,100,7,1232,118,1227,91,0,1432,183,1298,88,5,1569,207,1211,96,5,1517,180,1389,81,0,1648,124,799,71,0,989,31,237,44,0,315,949,8453,623,16,10033,44,663,56,0,766,27,452,31,0,508,109,1148,85,8,1345,257,1408,72,0,1736,359,1455,80,4,1890,412,1374,106,0,1892,299,1484,98,0,1878,141,875,94,0,1108,35,471,55,0,568,1682,9325,664,18,11690,70,1386,89,0,1554,49,949,55,0,1047,173,2212,185,16,2581,370,2631,167,0,3169,540,2752,161,10,3457,621,2582,199,9,3406,476,2872,179,0,3529,264,1672,161,0,2099,69,711,100,0,877,2633,17769,1286,30,21726
UCL512003,52,895,139,0,1084,46,720,81,4,847,80,1518,207,8,1811,166,1497,229,0,1899,209,1563,186,0,1966,261,1610,177,3,2052,163,1311,121,0,1590,86,699,105,5,897,28,241,50,3,327,1086,10052,1298,23,12464,45,878,97,0,1017,46,799,101,0,947,196,1584,213,10,1999,327,1576,235,0,2135,373,1674,180,3,2230,442,1536,141,3,2122,248,1330,146,0,1726,100,786,120,3,1007,19,343,85,0,452,1800,10506,1309,20,13639,99,1769,232,0,2098,89,1520,184,4,1795,275,3105,419,9,3817,486,3072,464,0,4029,583,3244,363,7,4198,704,3148,315,8,4174,409,2641,263,3,3315,191,1485,228,5,1902,52,583,136,5,776,2891,20560,2611,43,26103
UCL512004,17,741,92,0,853,27,897,166,0,1098,87,2073,411,11,2583,128,1902,386,6,2425,145,1697,325,4,2169,155,1567,304,8,2033,82,799,192,3,1082,24,285,53,0,362,3,48,13,0,66,673,10008,1934,42,12655,24,640,87,0,750,41,775,102,9,918,135,1960,275,10,2367,210,1649,234,3,2089,220,1448,185,3,1852,202,1196,181,4,1582,93,623,130,9,855,31,261,34,0,328,5,110,17,0,136,950,8657,1239,36,10888,38,1378,177,5,1600,69,1667,268,4,2015,221,4028,681,22,4949,339,3551,621,9,4519,367,3149,509,10,4023,359,2768,480,14,3617,174,1426,315,19,1934,55,542,87,0,690,10,162,34,0,199,1625,18670,3169,75,23545
UCL513001,16,301,77,0,386,21,310,93,9,432,43,961,240,33,1276,87,999,233,6,1324,83,949,249,0,1285,69,993,238,6,1297,74,1138,160,7,1374,31,397,81,0,503,5,39,15,0,56,411,6090,1388,55,7936,16,331,89,0,438,20,394,93,19,515,101,1300,342,37,1778,126,1182,239,6,1559,139,941,222,3,1309,179,1094,248,0,1526,112,1018,176,8,1314,27,285,63,0,375,0,40,15,0,56,728,6590,1490,74,8879,30,635,168,0,829,36,698,188,25,947,145,2258,583,67,3059,212,2188,470,12,2885,220,1894,474,5,2594,248,2085,486,9,2824,182,2157,337,12,2687,52,689,151,0,882,6,84,26,0,111,1131,12682,2870,123,16818
UCL513002,13,299,46,0,360,8,209,34,5,255,26,491,91,4,614,51,476,72,0,599,70,511,93,0,675,88,527,74,5,699,44,425,56,0,530,25,259,49,0,340,9,77,11,0,96,343,3282,521,12,4155,16,229,36,0,279,10,220,27,0,254,54,511,58,4,630,87,478,74,0,636,107,464,58,0,631,116,510,52,3,678,85,426,48,0,558,46,310,46,0,400,12,133,15,0,162,527,3285,411,6,4230,29,525,86,0,639,21,426,61,5,514,81,1004,149,9,1242,139,957,143,0,1236,170,979,152,0,1303,207,1036,124,4,1373,133,854,100,0,1086,69,574,102,0,741,20,213,19,0,257,872,6567,934,18,8392
UCL513003,6,423,77,0,506,14,410,123,4,547,62,1385,410,22,1876,125,1556,515,14,2213,85,1193,431,8,1721,67,822,312,14,1207,16,339,100,0,458,5,79,21,3,113,0,3,6,0,9,373,6204,2000,65,8646,16,327,60,0,406,11,335,83,8,436,79,1330,285,8,1697,129,1219,237,0,1587,104,848,178,0,1127,55,514,118,4,681,24,247,60,9,339,7,59,4,0,77,0,6,4,0,13,441,4877,1027,25,6368,28,749,137,0,913,28,740,209,8,986,141,2712,697,27,3576,258,2771,754,16,3799,189,2041,609,9,2847,119,1332,423,19,1889,45,588,160,11,797,12,135,30,3,187,0,13,3,0,22,812,11084,3027,94,15017
UCL513004,12,331,82,0,424,7,344,121,0,473,61,1348,514,7,1932,82,1426,553,8,2075,70,1110,480,9,1666,70,894,380,8,1351,22,327,119,4,470,7,83,26,0,113,0,12,7,0,16,334,5869,2278,34,8520,9,286,65,0,359,17,333,95,3,451,74,1260,301,5,1651,120,1010,209,0,1342,75,674,200,5,949,64,561,138,0,762,33,246,60,3,342,10,48,23,0,80,0,14,0,0,15,406,4433,1097,26,5958,23,615,146,0,790,31,673,220,3,926,138,2606,817,12,3579,200,2435,765,18,3418,147,1783,676,9,2617,135,1448,518,7,2116,54,577,179,8,813,18,132,48,0,196,0,29,9,0,34,743,10301,3376,56,14480
