UCL_CODE_2021,F_Mgmt_Cmrce_35_44_yr,F_Mgmt_Cmrce_45_54_yr,F_Mgmt_Cmrce_55_64_yr,F_Mgmt_Cmrce_65_74_yr,F_Mgmt_Cmrce_75_84_yr,F_Mgmt_Cmrce_85_yr_over,F_Mgmt_Cmrce_Tot,F_Scty_Cul_15_24_yr,F_Scty_Cul_25_34_yr,F_Scty_Cul_35_44_yr,F_Scty_Cul_45_54_yr,F_Scty_Cul_55_64_yr,F_Scty_Cul_65_74_yr,F_Scty_Cul_75_84_yr,F_Scty_Cul_85_yr_over,F_Scty_Cul_Tot,F_Crtve_Arts_15_24_yr,F_Crtve_Arts_25_34_yr,F_Crtve_Arts_35_44_yr,F_Crtve_Arts_45_54_yr,F_Crtve_Arts_55_64_yr,F_Crtve_Arts_65_74_yr,F_Crtve_Arts_75_84_yr,F_Crtve_Arts_85_yr_over,F_Crtve_Arts_Tot,F_FoodHos_PsnlSvcs_15_24_yr,F_FoodHos_PsnlSvcs_25_34_yr,F_FoodHos_PsnlSvcs_35_44_yr,F_FoodHos_PsnlSvcs_45_54_yr,F_FoodHos_PsnlSvcs_55_64_yr,F_FoodHos_PsnlSvcs_65_74_yr,F_FoodHos_PsnlSvcs_75_84_ye,F_FoodHos_PsnlSvcs_85_over,F_FoodHos_PsnlSvcs_Tot,F_Mix_Fld_Prog_15_24_yr,F_Mix_Fld_Prog_25_34_yr,F_Mix_Fld_Prog_35_44_yr,F_Mix_Fld_Prog_45_54_yr,F_Mix_Fld_Prog_55_64_yr,F_Mix_Fld_Prog_65_74_yr,F_Mix_Fld_Prog_75_84_yr,F_Mix_Fld_Prog_85_yr_over,F_Mix_Fld_Prog_Tot,F_Fld_stud_inad_desc_15_24,F_Fld_stud_inad_desc_25_34,F_Fld_stud_inad_desc_35_44,F_Fld_stud_inad_desc_45_54,F_Fld_stud_inad_desc_55_64,F_Fld_stud_inad_desc_65_74,F_Fld_stud_inad_desc_75_84,F_Fld_stud_inad_desc_85_over,F_Fld_stud_inad_desc_Tot,F_Fld_stud_ns_15_24_yr,F_Fld_stud_ns_25_34_yr,F_Fld_stud_ns_35_44_yr,F_Fld_stud_ns_45_54_yr,F_Fld_stud_ns_55_64_yr,F_Fld_stud_ns_65_74_yr,F_Fld_stud_ns_75_84_yr,F_Fld_stud_ns_85_yr_over,F_Fld_stud_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Nat_Phy_Sci_15_24_yr,P_Nat_Phy_Sci_25_34_yr,P_Nat_Phy_Sci_35_44_yr,P_Nat_Phy_Sci_45_54_yr,P_Nat_Phy_Sci_55_64_yr,P_Nat_Phy_Sci_65_74_yr,P_Nat_Phy_Sci_75_84_yr,P_Nat_Phy_Sci_85_yr_over,P_Nat_Phy_Sci_Tot,P_IT_15_24_yr,P_IT_25_34_yr,P_IT_35_44_yr,P_IT_45_54_yr,P_IT_55_64_yr,P_IT_65_74_yr,P_IT_75_84_yr,P_IT_85_yr_over,P_IT_Tot,P_Egnr_rel_Tech_15_24_yr,P_Egnr_rel_Tech_25_34_yr,P_Egnr_rel_Tech_35_44_yr,P_Egnr_rel_Tech_45_54_yr,P_Egnr_rel_Tech_55_64_yr,P_Egnr_rel_Tech_65_74_yr,P_Egnr_rel_Tech_75_84_yr,P_Egnr_rel_Tech_85_yr_over,P_Egnr_rel_Tech_Tot,P_Arc_Bld_15_24_yr,P_Arc_Bld_25_34_yr,P_Arc_Bld_35_44_yr,P_Arc_Bld_45_54_yr,P_Arc_Bld_55_64_yr,P_Arc_Bld_65_74_yr,P_Arc_Bld_75_84_yr,P_Arc_Bld_85_yr_over,P_Arc_Bld_Tot,P_Agric_Env_Rel_Stud_15_24,P_Agric_Env_Rel_Stud_25_34,P_Agric_Env_Rel_Stud_35_44,P_Agric_Env_Rel_Stud_45_54,P_Agric_Env_Rel_Stud_55_64,P_Agric_Env_Rel_Stud_65_74,P_Agric_Env_Rel_Stud_75_84,P_Agric_Env_Rel_Stud_85_over,P_Agric_Envir_Rel_Stud_Tot,P_Hlth_15_24_yr,P_Hlth_25_34_yr,P_Hlth_35_44_yr,P_Hlth_45_54_yr,P_Hlth_55_64_yr,P_Hlth_65_74_yr,P_Hlth_75_84_yr,P_Hlth_85_yr_over,P_Hlth_Tot,P_Edu_15_24_yr,P_Edu_25_34_yr,P_Edu_35_44_yr,P_Edu_45_54_yr,P_Edu_55_64_yr,P_Edu_65_74_yr,P_Edu_75_84_yr,P_Edu_85_yr_over,P_Edu_Tot,P_Mgmt_Cmrce_15_24_yr,P_Mgmt_Cmrce_25_34_yr,P_Mgmt_Cmrce_35_44_yr,P_Mgmt_Cmrce_45_54_yr,P_Mgmt_Cmrce_55_64_yr,P_Mgmt_Cmrce_65_74_yr,P_Mgmt_Cmrce_75_84_yr,P_Mgmt_Cmrce_85_yr_over,P_Mgmt_Cmrce_Tot,P_Scty_Cul_15_24_yr,P_Scty_Cul_25_34_yr,P_Scty_Cul_35_44_yr,P_Scty_Cul_45_54_yr,P_Scty_Cul_55_64_yr,P_Scty_Cul_65_74_yr,P_Scty_Cul_75_84_yr,P_Scty_Cul_85_yr_over,P_Scty_Cul_Tot,P_Crtve_Arts_15_24_yr,P_Crtve_Arts_25_34_yr,P_Crtve_Arts_35_44_yr,P_Crtve_Arts_45_54_yr,P_Crtve_Arts_55_64_yr,P_Crtve_Arts_65_74_yr,P_Crtve_Arts_75_84_yr,P_Crtve_Arts_85_yr_over,P_Crtve_Arts_Tot,P_FoodHos_PsnlSvcs_15_24,P_FoodHos_PsnlSvcs_25_34,P_FoodHos_PsnlSvcs_35_44,P_FoodHos_PsnlSvcs_45_54,P_FoodHos_PsnlSvcs_55_64,P_FoodHos_PsnlSvcs_65_74,P_FoodHos_PsnlSvcs_75_84,P_FoodHos_PsnlSvcs_85_over,P_FoodHos_PsnlSvcs_Tot,P_Mix_Fld_Prog_15_24_yr,P_Mix_Fld_Prog_25_34_yr,P_Mix_Fld_Prog_35_44_yr,P_Mix_Fld_Prog_45_54_yr,P_Mix_Fld_Prog_55_64_yr,P_Mix_Fld_Prog_65_74_yr,P_Mix_Fld_Prog_75_84_yr,P_Mix_Fld_Prog_85_yr_over,P_Mix_Fld_Prog_Tot,P_Fld_stud_inad_desc_15_24,P_Fld_stud_inad_desc_25_34,P_Fld_stud_inad_desc_35_44,P_Fld_stud_inad_desc_45_54,P_Fld_stud_inad_desc_55_64,P_Fld_stud_inad_desc_65_74,P_Fld_stud_inad_desc_75_84,P_Fld_stud_inad_desc_85_over,P_Fld_stud_inad_desc_Tot,P_Fld_stud_ns_15_24_yr,P_Fld_stud_ns_25_34_yr,P_Fld_stud_ns_35_44_yr,P_Fld_stud_ns_45_54_yr,P_Fld_stud_ns_55_64_yr,P_Fld_stud_ns_65_74_yr,P_Fld_stud_ns_75_84_yr,P_Fld_stud_ns_85_yr_over,P_Fld_stud_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr
UCL501001,31171,24179,15825,8740,3522,1107,118754,7297,18314,19697,16173,12242,7276,2290,483,83782,3604,6207,5434,3238,1904,1192,595,205,22385,4999,9566,7650,5894,3676,2407,959,236,35400,331,166,101,89,110,94,56,26,965,561,1408,1636,1282,898,602,249,98,6744,5981,8835,7808,6101,5005,5262,5645,4848,49478,46121,118729,120443,94428,69491,45052,21913,9736,525913,3763,8753,9041,7247,5312,3544,1476,321,39452,2668,7549,10233,5551,2965,1092,217,20,30293,9586,34169,35979,30228,27101,20739,9754,2753,170315,3683,12016,10618,8637,7248,5336,2693,834,51055,1195,3206,3686,2923,2105,1258,595,178,15149,8617,28467,24801,19706,16295,10621,5176,1662,115340,4100,14139,16118,16370,14766,11266,5055,1349,83166,14564,41380,50968,40535,27637,16718,6938,1859,200599,11286,26239,27253,22807,17324,11252,3924,832,120920,6497,10318,8757,5171,3138,2158,922,289,37247,6924,14208,12304,9072,5931,3660,1541,355,53996,647,313,172,158,173,154,87,34,1748,1122,2931,3407,2897,2066,1348,683,237,14697,12590,18547,16914,13565,10828,10117,9852,7489,99895,87243,222239,230253,184862
UCL511001,844,678,539,280,109,18,3639,325,475,678,621,453,256,63,11,2880,90,125,98,72,52,39,20,11,503,204,379,300,238,148,96,46,12,1409,11,4,4,7,5,0,0,0,41,15,36,37,45,37,12,9,4,194,220,294,270,245,237,237,235,199,1944,1747,3446,3711,3310,2632,1666,797,353,17664,40,132,157,146,112,86,34,6,705,74,145,168,78,63,19,6,5,559,474,1275,1358,1276,1125,801,369,85,6765,164,460,398,326,310,215,107,30,2010,70,130,164,151,125,68,38,13,763,294,746,801,676,677,448,193,65,3913,187,437,648,770,615,441,176,51,3329,464,1055,1176,1004,805,477,177,32,5194,451,610,824,762,582,358,93,25,3701,143,172,154,110,81,51,26,11,754,251,510,438,358,247,150,64,10,2021,26,13,3,11,15,7,3,0,72,35,69,101,119,97,40,18,5,490,473,656,604,586,506,491,404,307,4020,3146,6409,7003,6377
UCL512001,264,285,268,149,69,15,1412,113,215,258,273,262,152,55,10,1341,28,44,39,44,40,29,20,5,244,84,141,97,81,53,40,14,11,517,10,4,5,0,0,0,0,0,16,7,9,12,21,10,9,0,4,68,101,102,107,110,129,129,157,125,952,685,1242,1343,1421,1353,950,555,244,7796,30,49,71,65,54,45,20,0,329,28,59,61,34,26,16,3,0,230,145,360,279,317,342,284,152,58,1939,79,182,150,125,119,95,71,30,845,77,90,114,123,134,76,48,13,682,130,346,328,337,374,258,149,54,1983,47,170,215,308,277,266,130,29,1439,212,294,388,396,390,250,110,25,2056,163,271,326,355,363,244,73,16,1816,52,64,73,72,53,46,21,6,391,104,214,169,146,97,57,36,13,838,15,10,5,0,0,0,0,0,28,15,14,31,35,31,24,11,6,175,226,250,243,248,259,249,240,181,1899,1314,2377,2445,2562
UCL512002,263,275,225,168,69,21,1316,65,158,206,246,176,142,31,3,1023,27,40,58,47,33,18,15,5,243,59,118,119,122,71,44,19,6,551,4,3,3,0,0,3,0,0,17,0,5,16,18,15,11,3,4,68,86,99,84,89,118,121,131,96,823,480,985,1316,1323,1125,873,448,196,6742,7,24,67,52,49,27,21,7,258,22,30,38,22,18,20,4,0,159,88,222,320,334,312,341,183,35,1840,58,174,140,150,144,140,79,23,902,26,58,100,83,73,45,26,4,421,84,203,294,263,288,223,103,46,1497,37,158,262,299,248,214,108,28,1351,150,279,359,419,348,272,126,33,1986,90,199,253,301,212,184,54,12,1298,45,64,82,60,53,36,20,5,360,93,199,200,192,122,86,26,5,919,11,12,3,0,0,6,4,0,30,9,15,30,31,24,20,8,4,141,148,207,208,193,226,231,217,148,1586,873,1843,2357,2396
UCL512003,322,281,230,119,37,18,1399,94,194,234,226,188,111,15,3,1059,44,37,47,28,28,9,6,0,203,84,110,124,111,49,34,22,3,533,10,6,3,3,5,0,0,0,24,9,10,9,9,16,5,4,5,58,202,235,247,200,177,169,165,127,1530,832,1455,1582,1459,1147,755,388,194,7802,31,59,66,50,32,28,6,0,261,26,65,39,31,23,11,4,0,200,193,458,474,474,470,355,144,52,2617,65,196,150,129,150,101,47,10,850,57,77,77,95,64,47,9,4,438,159,369,324,326,228,185,81,27,1709,52,212,271,320,296,150,61,17,1379,173,340,446,413,347,184,62,23,1991,119,243,303,285,239,146,27,9,1371,65,56,66,36,38,21,7,0,305,108,171,177,163,86,49,35,7,794,11,9,3,3,3,0,0,3,35,17,17,32,30,34,13,3,3,158,412,475,510,419,388,316,315,200,3031,1496,2750,2941,2768
UCL512004,313,241,150,43,6,0,1188,85,216,172,118,118,40,12,0,753,13,44,36,12,10,4,0,0,132,102,177,113,87,38,12,4,0,538,10,0,0,0,0,0,0,0,13,8,12,18,10,15,4,0,0,66,180,281,233,213,213,165,47,56,1381,714,1650,1414,1097,830,368,110,61,6249,33,140,134,66,39,16,7,0,435,13,36,43,27,9,3,3,0,129,297,978,879,696,519,226,62,5,3672,48,132,98,85,87,53,18,0,516,18,48,42,42,22,19,0,0,183,106,281,218,219,194,80,26,0,1123,65,212,223,207,155,63,20,5,951,159,399,453,336,236,78,6,6,1671,109,280,236,156,155,50,16,0,1012,33,60,50,27,16,5,5,0,205,124,230,165,136,69,26,8,0,748,13,4,3,0,3,0,0,0,28,11,31,47,39,34,17,0,0,175,414,658,608,519,552,388,127,69,3323,1449,3490,3210,2562
UCL513001,251,174,179,127,28,5,1075,41,161,176,129,125,76,11,0,717,14,57,54,25,23,15,5,0,195,32,87,64,71,40,39,0,0,334,0,0,0,0,0,0,0,0,3,0,9,17,13,15,10,0,0,70,175,359,251,252,272,179,65,12,1563,442,1458,1267,989,1030,743,172,25,6127,18,65,55,37,33,25,13,0,249,15,27,38,11,12,8,0,0,112,83,273,255,243,243,265,81,7,1457,17,132,131,115,100,97,21,0,605,25,54,68,61,43,37,13,0,300,66,317,240,185,231,165,46,4,1245,30,161,225,162,198,200,40,3,1018,77,350,377,280,276,254,53,11,1676,53,226,242,184,172,118,31,0,1028,24,81,76,46,33,32,11,0,307,45,114,103,113,60,52,7,0,495,6,0,0,0,4,6,0,0,15,6,25,34,29,30,22,10,0,160,349,600,475,506,514,362,159,29,2994,809,2438,2324,1971
UCL513002,87,93,62,30,15,5,438,27,54,62,44,59,29,10,0,287,7,16,15,17,5,5,9,0,70,23,58,35,40,22,14,0,0,190,0,0,0,0,0,0,0,0,0,3,4,0,3,7,0,0,0,25,57,66,84,65,58,59,69,20,481,212,441,449,414,349,240,174,54,2326,0,22,17,7,7,3,3,0,69,5,11,10,9,7,0,0,0,42,67,174,144,144,121,93,46,11,803,29,50,48,32,49,24,11,0,251,27,42,51,41,33,8,18,3,221,17,77,74,61,73,53,42,15,420,12,66,81,99,81,58,40,10,439,61,114,123,132,90,46,27,6,605,27,58,76,64,72,40,11,5,356,6,24,15,15,9,7,8,3,90,29,79,50,56,40,17,5,0,283,0,0,0,0,0,0,0,0,5,3,9,8,9,7,4,4,3,51,152,157,164,171,145,128,124,36,1078,454,881,868,840
UCL513003,277,167,61,32,9,0,904,46,139,133,98,40,18,3,0,479,6,39,24,20,9,0,0,0,100,25,77,73,56,26,7,0,0,275,3,3,0,0,0,0,0,0,3,4,12,9,9,7,4,0,0,45,147,302,249,191,120,59,14,9,1092,410,1324,1217,794,407,183,38,9,4380,12,39,54,48,6,14,0,0,167,8,31,40,16,5,3,0,0,103,176,702,739,556,319,106,22,0,2620,26,157,143,86,75,27,4,0,526,9,23,45,33,18,8,0,0,139,46,213,185,102,93,37,15,0,681,36,189,213,162,73,41,6,0,724,91,372,437,286,138,58,8,0,1388,66,175,182,144,75,31,7,0,671,12,56,46,23,10,0,0,0,145,42,124,119,85,48,10,3,0,432,6,4,0,0,0,0,0,0,9,12,29,40,33,23,7,0,0,150,369,742,801,643,454,162,42,11,3210,903,2857,3038,2213
UCL513004,227,113,80,14,9,0,724,38,123,105,67,48,17,0,0,400,10,33,18,8,5,5,0,0,87,18,82,62,46,17,6,0,0,226,0,4,0,0,0,0,0,0,3,9,8,13,3,8,3,0,0,40,165,324,240,206,153,68,25,5,1176,373,1206,977,633,450,177,40,9,3864,11,34,40,16,14,9,0,0,118,5,23,34,10,8,4,0,0,77,112,714,729,489,308,99,18,3,2479,24,123,106,57,54,21,4,0,392,5,25,38,20,20,0,3,0,118,44,166,177,105,97,35,10,0,637,27,156,121,98,79,39,3,0,533,63,313,348,188,141,47,13,5,1115,50,159,135,93,81,31,13,0,568,9,46,25,17,13,8,0,0,116,27,95,91,67,35,13,0,0,331,0,4,4,0,0,0,0,0,9,17,26,38,26,27,9,3,0,148,375,860,823,714,555,196,51,11,3583,771,2757,2715,1905
