UCL_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL501001,34123,50371,115401,116105,104897,74284,18029,1551,108,514862,21896,9693,26423,27737,22646,37635,71486,47465,21131,286120,2014,2599,6647,5648,4331,3433,3392,3688,3299,35048,58036,62657,148478,149485,131874,115347,92912,52702,24539,836033,9125,42190,146267,151666,138740,91505,16996,1010,50,597549,43433,46428,62067,67443,56307,48695,21688,3177,201,349444,1792,2819,11299,8778,6067,6549,2019,237,24,39585,837,2065,4559,3203,2431,1538,497,171,63,15375,55182,93507,224191,231089,203550,148292,41198,4597,334,1001946,2214,4235,6890,5617,5520,4306,650,44,3,29481,9190,3988,4289,3702,2887,2756,932,88,8,27840,11405,8222,11181,9316,8410,7061,1585,133,11,57316,66589,101731,235374,240404,211963,155352,42783,4724,346,1059262,47982,18823,37485,37542,34307,58940,127201,86803,34409,483491,4116,5439,13546,11859,9354,7324,6544,6413,5130,69726,118685,125988,286403,289808,255624,221618,176529,97942,39885,1612479
UCL511001,1503,1450,3373,3904,3987,2802,604,46,3,17672,750,315,1085,925,802,1612,2937,1930,785,11150,77,85,236,181,175,173,153,146,155,1391,2323,1856,4693,5009,4973,4584,3696,2122,949,30211,590,1700,4295,4696,4975,3526,567,24,0,20385,1693,902,1877,2459,2148,1814,782,89,3,11774,102,132,393,277,290,309,74,10,0,1595,41,58,121,102,86,48,17,4,6,486,2430,2794,6684,7536,7509,5696,1441,124,13,34235,124,137,220,174,165,145,21,0,0,975,263,95,137,117,117,89,26,5,0,848,389,241,355,285,282,229,42,5,0,1824,2818,3033,7042,7825,7789,5925,1484,127,13,36055,1640,553,1544,1443,1292,2562,5275,3538,1273,19112,166,196,482,386,386,347,311,246,231,2746,4624,3782,9066,9652,9467,8839,7068,3914,1511,57919
UCL512001,589,553,1212,1400,1636,1390,355,33,5,7179,320,141,397,311,344,688,1438,1189,544,5368,40,41,80,85,76,88,81,90,63,648,950,730,1688,1801,2062,2168,1880,1315,609,13196,278,641,1517,1546,1908,1418,271,17,3,7605,731,364,758,972,921,1045,471,62,11,5330,29,37,133,85,108,157,43,10,0,607,20,29,41,27,43,28,10,4,0,215,1064,1075,2455,2629,2984,2650,789,93,14,13756,37,48,61,44,51,40,10,0,0,296,90,27,53,31,29,45,14,0,0,294,126,76,118,75,84,85,22,0,0,584,1188,1155,2574,2707,3064,2732,810,95,16,14337,671,271,725,574,579,1133,2564,2098,933,9556,92,73,174,158,182,185,167,145,103,1284,1950,1501,3476,3445,3828,4045,3540,2338,1047,25177
UCL512002,527,410,990,1373,1577,1169,293,27,0,6377,194,69,275,294,232,617,1498,998,522,4711,47,24,75,65,70,95,89,78,40,585,764,508,1341,1736,1885,1887,1875,1108,563,11672,208,456,1174,1452,1724,1162,208,13,0,6394,691,302,613,928,958,897,395,46,4,4841,44,37,120,122,127,123,35,3,0,611,13,14,32,29,24,18,6,3,3,148,957,815,1930,2530,2837,2193,643,71,5,11998,24,36,60,42,42,26,4,0,0,229,73,13,36,44,29,36,13,0,0,248,92,49,95,84,73,70,17,0,0,473,1045,868,2032,2610,2911,2261,664,71,5,12470,439,138,374,414,393,956,2703,1877,794,8092,69,48,168,144,144,186,160,151,73,1138,1554,1047,2568,3164,3449,3398,3531,2096,880,21691
UCL512003,650,668,1351,1553,1719,1327,341,31,9,7644,286,187,442,364,345,664,1251,873,366,4777,78,92,201,221,160,134,132,106,84,1208,1017,947,1998,2136,2223,2118,1720,1007,449,13622,293,708,1683,1856,2024,1575,318,22,5,8476,759,445,776,891,921,845,366,57,3,5057,35,56,157,126,133,163,49,9,0,722,16,19,63,34,51,29,9,11,7,244,1102,1225,2683,2912,3135,2610,738,94,14,14505,52,73,88,89,91,71,9,0,0,475,102,39,56,54,55,67,17,0,0,391,153,109,145,143,142,136,26,0,0,865,1260,1339,2826,3051,3273,2747,768,92,8,15375,639,294,589,536,581,1123,2296,1592,629,8276,198,161,388,439,333,295,250,214,135,2410,2098,1790,3802,4029,4186,4169,3313,1902,776,26063
UCL512004,463,675,1681,1518,1451,1049,223,15,0,7079,219,148,428,363,234,358,496,278,113,2632,68,88,258,210,169,179,123,28,20,1143,747,912,2362,2093,1848,1579,841,328,136,10852,373,1073,2675,2522,2402,1802,354,17,0,11218,472,261,708,688,515,497,198,23,0,3365,28,58,164,102,114,130,30,0,0,628,11,49,78,52,49,40,11,6,0,297,884,1445,3629,3358,3088,2467,593,51,0,15512,35,46,62,69,67,42,3,0,0,338,61,21,33,27,17,31,6,0,0,200,99,76,103,99,85,75,10,0,0,539,980,1518,3730,3456,3169,2536,598,51,0,16044,481,259,621,523,411,603,1008,561,165,4637,136,226,578,528,432,466,310,83,32,2782,1599,2003,4932,4508,4014,3605,1919,690,197,23467
UCL513001,243,311,1184,1147,936,806,241,34,0,4909,128,100,241,193,159,471,889,286,41,2513,65,84,318,213,214,244,171,58,12,1379,438,502,1747,1553,1306,1519,1307,378,56,8809,100,319,1318,1354,1225,867,207,13,0,5411,263,147,425,522,362,369,230,41,0,2358,16,51,194,177,184,274,144,24,0,1066,14,19,61,51,28,25,5,6,0,213,392,532,1995,2098,1808,1535,585,85,0,9046,35,29,56,35,36,31,3,0,0,223,19,15,27,26,19,14,3,0,0,117,45,45,76,60,53,47,5,0,0,336,441,582,2075,2164,1861,1584,597,85,0,9387,258,172,384,313,295,778,1756,660,80,4699,129,170,529,400,430,458,321,141,22,2608,829,927,2989,2875,2589,2819,2670,882,111,16695
UCL513002,153,197,435,470,497,412,106,20,0,2281,102,35,142,98,85,216,398,335,141,1562,27,24,55,67,54,46,56,46,14,383,279,254,622,636,630,673,558,400,162,4225,118,261,598,592,688,552,99,12,0,2919,168,100,240,284,260,260,109,24,0,1447,16,18,58,42,39,56,13,3,0,248,14,9,23,20,17,20,0,0,0,105,320,384,915,945,1004,888,222,39,0,4719,9,12,10,16,13,7,0,0,0,68,17,10,8,14,9,14,7,0,0,71,28,22,18,26,21,18,13,0,0,145,349,404,936,968,1027,904,233,37,0,4857,232,53,173,134,137,348,751,615,228,2665,62,60,128,127,139,118,101,90,31,847,639,513,1231,1233,1305,1370,1086,741,257,8372
UCL513003,240,304,1155,1159,831,398,86,4,0,4169,115,44,263,203,125,171,188,62,11,1180,50,85,273,228,172,118,62,11,4,994,406,437,1695,1585,1126,682,332,77,13,6346,156,525,1821,2021,1586,886,167,0,0,7158,301,107,450,555,337,168,47,9,0,1968,18,22,183,146,80,101,27,6,0,578,14,10,52,34,17,17,3,0,0,143,488,667,2498,2749,2024,1169,243,13,0,9842,17,21,38,29,29,25,0,0,0,158,42,11,24,17,9,9,3,0,0,110,60,25,59,49,47,27,4,0,0,268,543,691,2561,2795,2067,1194,248,13,0,10110,247,77,315,256,181,259,387,137,16,1875,126,203,676,734,588,413,154,32,5,2936,913,978,3550,3787,2837,1873,785,181,22,14920
UCL513004,186,281,1109,946,612,413,70,0,0,3622,122,75,237,186,147,214,207,59,14,1266,53,92,289,206,190,133,60,23,0,1042,361,447,1642,1340,945,759,340,80,15,5935,144,386,1795,1783,1355,929,153,3,0,6540,202,93,378,380,210,172,48,0,0,1484,5,31,152,123,105,82,25,0,0,532,5,28,72,63,19,22,0,0,0,206,361,543,2396,2346,1683,1207,227,4,0,8763,21,45,41,33,33,27,5,0,0,203,24,8,18,23,9,12,4,0,0,99,45,56,61,56,41,40,3,5,0,299,411,598,2457,2401,1723,1245,231,7,0,9063,248,117,317,258,224,348,408,141,29,2088,129,205,792,742,656,513,173,43,5,3265,784,922,3567,3401,2611,2103,811,189,34,14419
