UCL_CODE_2021,M_15_19_Mgrs,M_15_19_Profnls,M_15_19_Techs_trades_workers,M_15_19_Comm_psnl_serv_wrkrs,M_15_19_Cler_admin_wrkrs,M_15_19_Sales_wrkrs,M_15_19_Mach_oper_dvrs,M_15_19_Labrs,M_15_19_Inad_desc_Ns,M_15_19_Tot,M_20_24_Mgrs,M_20_24_Profnls,M_20_24_Techs_trades_wrkrs,M_20_24_Comm_psnl_serv_wrkrs,M_20_24_Cler_admin_wrkrs,M_20_24_Sales_wrkrs,M_20_24_Mach_oper_dvrs,M_20_24_Labrs,M_20_24_Inad_desc_Ns,M_20_24_Tot,M_25_34_Mgrs,M_25_34_Profnls,M_25_34_Techs_trades_wrkrs,M_25_34_Comm_psnl_serv_wrkrs,M_25_34_Cler_admin_wrkrs,M_25_34_Sales_wrkrs,M_25_34_Mach_oper_dvrs,M_25_34_Labrs,M_25_34_Inad_desc_Ns,M_25_34_Tot,M_35_44_Mgrs,M_35_44_Profnls,M_35_44_Techs_trades_wrkrs,M_35_44_Comm_psnl_serv_wrkrs,M_35_44_Cler_admin_wrkrs,M_35_44_Sales_wrkrs,M_35_44_Mach_oper_dvrs,M_35_44_Labrs,M_35_44_Inad_desc_Ns,M_35_44_Tot,M_45_54_Mgrs,M_45_54_Profnls,M_45_54_Techs_trades_wrkrs,M_45_54_Comm_psnl_serv_wrkrs,M_45_54_Cler_admin_wrkrs,M_45_54_Sales_wrkrs,M_45_54_Mach_oper_dvrs,M_45_54_Labrs,M_45_54_Inad_desc_Ns,M_45_54_Tot,M_55_64_Mgrs,M_55_64_Profnls,M_55_64_Techs_trades_wrkrs,M_55_64_Comm_psnl_serv_wrkrs,M_55_64_Cler_admin_wrkrs,M_55_64_Sales_wrkrs,M_55_64_Mach_oper_dvrs,M_55_64_Labrs,M_55_64_Inad_desc_Ns,M_55_64_Tot,M_65_74_Mgrs,M_65_74_Profnls,M_65_74_Techs_trades_wrkrs,M_65_74_Comm_psnl_serv_wrkrs,M_65_74_Cler_admin_wrkrs,M_65_74_Sales_wrkrs,M_65_74_Mach_oper_dvrs,M_65_74_Labrs,M_65_74_Inad_desc_Ns,M_65_74_Tot,M_75_84_Mgrs,M_75_84_Profnls,M_75_84_Techs_trades_wrkrs,M_75_84_Comm_psnl_serv_wrkrs,M_75_84_Cler_admin_wrkrs,M_75_84_Sales_wrkrs,M_75_84_Mach_oper_dvrs,M_75_84_Labrs,M_75_84_Inad_desc_Ns,M_75_84_Tot,M_85_yr_over_Mgrs,M_85_yr_over_Profnls,M_85ov_Techs_trades_wrkrs,M_85ov_Com_psnl_serv_wrkrs,M_85_yr_over_Cler_admin_wrkrs,M_85_yr_over_Sales_wrkrs,M_85_yr_over_Mach_oper_dvrs,M_85_yr_over_Labrs,M_85_yr_over_Inad_desc_Ns,M_85_yr_over_Tot,M_Tot_Mgrs,M_Tot_Profnls,M_Tot_Techs_trades_wrkrs,M_Tot_Comm_psnl_serv_wrkrs,M_Tot_Cler_admin_wrkrs,M_Tot_Sales_wrkrs,M_Tot_Mach_oper_dvrs,M_Tot_Labrs,M_Tot_Inad_desc_Ns,M_Tot_Tot,F_15_19_Mgrs,F_15_19_Profnls,F_15_19_Techs_trades_workers,F_15_19_Comm_psnl_serv_wrkrs,F_15_19_Cler_admin_wrkrs,F_15_19_Sales_wrkrs,F_15_19_Mach_oper_dvrs,F_15_19_Labrs,F_15_19_Inad_desc_Ns,F_15_19_Tot,F_20_24_Mgrs,F_20_24_Profnls,F_20_24_Techs_trades_wrkrs,F_20_24_Comm_psnl_serv_wrkrs,F_20_24_Cler_admin_wrkrs,F_20_24_Sales_wrkrs,F_20_24_Mach_oper_dvrs,F_20_24_Labrs,F_20_24_Inad_desc_Ns,F_20_24_Tot,F_25_34_Mgrs,F_25_34_Profnls,F_25_34_Techs_trades_wrkrs,F_25_34_Comm_psnl_serv_wrkrs,F_25_34_Cler_admin_wrkrs,F_25_34_Sales_wrkrs,F_25_34_Mach_oper_dvrs,F_25_34_Labrs,F_25_34_Inad_desc_Ns,F_25_34_Tot,F_35_44_Mgrs,F_35_44_Profnls,F_35_44_Techs_trades_wrkrs,F_35_44_Comm_psnl_serv_wrkrs,F_35_44_Cler_admin_wrkrs,F_35_44_Sales_wrkrs,F_35_44_Mach_oper_dvrs,F_35_44_Labrs,F_35_44_Inad_desc_Ns,F_35_44_Tot,F_45_54_Mgrs,F_45_54_Profnls,F_45_54_Techs_trades_wrkrs,F_45_54_Comm_psnl_serv_wrkrs,F_45_54_Cler_admin_wrkrs,F_45_54_Sales_wrkrs,F_45_54_Mach_oper_dvrs,F_45_54_Labrs,F_45_54_Inad_desc_Ns,F_45_54_Tot,F_55_64_Mgrs,F_55_64_Profnls,F_55_64_Techs_trades_wrkrs,F_55_64_Comm_psnl_serv_wrkrs,F_55_64_Cler_admin_wrkrs,F_55_64_Sales_wrkrs,F_55_64_Mach_oper_dvrs,F_55_64_Labrs,F_55_64_Inad_desc_Ns,F_55_64_Tot,F_65_74_Mgrs,F_65_74_Profnls,F_65_74_Techs_trades_wrkrs,F_65_74_Comm_psnl_serv_wrkrs,F_65_74_Cler_admin_wrkrs,F_65_74_Sales_wrkrs,F_65_74_Mach_oper_dvrs,F_65_74_Labrs,F_65_74_Inad_desc_Ns,F_65_74_Tot,F_75_84_Mgrs,F_75_84_Profnls,F_75_84_Techs_trades_wrkrs,F_75_84_Comm_psnl_serv_wrkrs,F_75_84_Cler_admin_wrkrs,F_75_84_Sales_wrkrs,F_75_84_Mach_oper_dvrs,F_75_84_Labrs,F_75_84_Inad_desc_Ns,F_75_84_Tot,F_85_yr_over_Mgrs,F_85_yr_over_Profnls,F_85_yr_over_Techs_tra_wrkrs,F_85ov_Com_psnl_serv_wrkrs,F_85ov_Cler_admin_wrkrs,F_85_yr_over_Sales_wrkrs,F_85_yr_over_Mach_oper_dvrs,F_85_yr_over_Labrs,F_85_yr_over_Inad_desc_Ns,F_85_yr_over_Tot,F_Tot_Mgrs,F_Tot_Profnls,F_Tot_Techs_trades_wrkrs,F_Tot_Comm_psnl_serv_wrkrs,F_Tot_Cler_admin_wrkrs,F_Tot_Sales_wrkrs,F_Tot_Mach_oper_dvrs,F_Tot_Labrs,F_Tot_Inad_desc_Ns,F_Tot_Tot
UCL501001,313,573,4527,3107,637,6139,2075,8759,418,26535,1638,5340,11736,5911,2521,5736,4754,8021,929,46594,10416,26496,30155,8364,6704,5567,12508,11482,2416,114114,20461,30131,27953,6457,7163,4180,12830,8786,2258,120217,20705,22752,22697,5293,6312,3836,11859,7651,1899,102999,14400,15658,16252,3879,5292,3128,10644,6668,1274,77192,4146,5747,3950,1037,1675,1384,2945,2355,442,23675,625,907,304,88,227,212,219,353,137,3075,36,52,10,4,24,22,4,20,50,232,72739,107662,117579,34132,30551,30204,57837,54096,9831,514630,346,676,966,7868,1687,12552,410,3751,391,28647,2030,7447,2910,13772,7156,8965,914,3064,653,46913,9836,37446,7213,19309,18946,8054,1925,5679,1675,110078,12901,37259,5913,17362,21626,6553,1707,6012,1544,110875,12021,28177,4739,16122,22647,7139,1758,6699,1258,100554,7061,17495,3131,11325,18485,5941,1297,5533,828,71099,1518,4381,696,2401,4969,1569,295,1436,256,17523,153,339,48,140,427,124,23,157,112,1516,6,13,6,0,24,9,0,10,40,99,45870,133228,25616,88306,95967,50909,8321,32336,6752,487315
UCL511001,4,9,259,76,15,269,76,411,26,1143,31,68,520,82,44,117,209,353,23,1446,237,402,1277,148,94,168,513,564,70,3479,440,525,1206,161,141,107,662,452,83,3782,494,538,1036,167,171,131,677,372,72,3662,372,452,771,134,158,115,631,330,43,3005,118,155,167,42,52,42,170,86,16,846,23,12,3,6,3,9,18,6,5,82,0,0,0,0,0,3,0,0,0,4,1713,2169,5240,821,674,965,2953,2587,338,17452,15,16,43,325,81,583,19,193,19,1290,70,161,113,383,218,214,37,140,19,1351,217,816,253,583,587,344,72,293,35,3211,317,980,218,700,706,335,77,366,51,3750,329,841,220,761,832,361,84,382,51,3844,213,574,114,512,648,269,62,281,22,2691,50,142,24,92,143,42,16,72,13,588,8,10,0,7,4,3,0,8,0,42,4,0,0,0,0,0,0,0,0,3,1215,3535,989,3361,3229,2147,368,1733,203,16784
UCL512001,6,8,133,35,13,118,19,196,6,527,24,29,214,46,10,53,48,129,11,558,103,173,457,78,27,80,143,211,19,1284,169,193,342,98,49,67,141,184,22,1264,217,229,306,131,51,72,186,171,25,1383,216,213,238,130,58,77,194,150,19,1301,98,64,72,24,15,25,67,57,5,437,16,5,9,4,0,5,7,5,3,59,3,0,0,0,0,0,0,4,4,16,851,910,1772,546,227,495,801,1103,110,6829,10,10,20,156,32,225,3,71,10,532,17,66,45,158,63,95,10,63,7,519,72,321,80,242,210,125,12,86,14,1170,131,363,62,280,240,138,13,136,9,1372,185,375,73,338,298,152,14,145,12,1598,122,299,49,267,321,133,18,130,9,1344,42,78,20,49,90,29,3,41,0,356,10,6,0,3,4,3,0,0,3,33,0,0,0,0,0,0,0,0,0,5,588,1513,342,1495,1265,908,75,670,75,6929
UCL512002,7,3,100,57,3,145,25,129,6,470,14,13,180,20,12,48,33,104,0,417,89,98,373,61,25,51,93,160,21,978,164,155,403,65,30,60,149,141,29,1199,207,189,363,71,50,64,187,139,29,1302,176,138,225,66,63,45,180,140,16,1060,66,45,54,20,17,32,59,50,10,357,5,6,4,0,4,4,3,0,3,46,0,0,0,0,0,0,0,0,0,4,735,650,1697,363,215,450,736,872,121,5834,3,7,16,163,10,211,0,60,3,487,22,47,35,109,44,63,4,70,5,396,91,224,85,201,133,86,15,108,11,958,134,344,81,266,251,107,11,120,18,1332,144,360,85,291,310,150,36,148,8,1537,96,213,50,212,243,140,28,136,12,1138,20,44,14,44,76,38,7,33,11,284,4,0,0,0,6,0,0,6,5,27,0,0,0,0,0,0,0,0,0,0,531,1246,365,1288,1068,796,106,685,76,6159
UCL512003,11,3,146,28,7,109,33,173,7,516,20,20,244,43,21,70,49,121,8,608,97,171,480,84,52,87,169,220,29,1391,211,213,395,86,53,76,177,193,15,1417,223,216,340,105,65,73,274,156,29,1482,187,189,304,89,73,56,295,130,15,1348,82,64,71,25,18,13,75,41,8,404,20,9,9,3,0,7,0,6,9,67,5,0,0,0,0,0,0,0,0,7,853,896,1993,458,292,494,1077,1051,125,7240,7,9,30,169,27,254,9,88,4,589,27,98,44,190,91,109,11,48,5,619,89,384,82,276,224,112,20,93,12,1294,124,421,71,289,313,130,26,104,12,1496,164,409,71,323,336,148,41,141,25,1650,131,246,47,247,274,125,29,137,16,1264,32,59,9,55,91,32,4,38,9,335,5,10,5,0,0,0,0,6,5,29,0,0,0,0,0,0,0,0,3,3,576,1642,357,1543,1362,912,144,653,80,7264
UCL512004,0,7,165,23,5,97,38,116,9,463,10,64,333,34,13,44,154,131,12,804,105,272,782,82,54,42,448,188,28,1996,259,251,656,77,48,36,421,110,30,1889,223,178,533,82,47,38,452,73,38,1672,210,140,389,49,50,32,414,125,27,1446,44,50,81,14,12,5,120,30,12,367,4,9,4,0,0,0,3,4,0,34,0,0,0,0,0,0,0,0,0,0,866,971,2945,357,233,296,2043,778,168,8662,5,7,40,85,37,157,19,55,11,424,14,130,69,115,129,75,57,42,11,643,104,443,137,243,337,128,128,105,14,1636,153,319,73,255,304,109,113,113,26,1472,154,263,88,193,333,106,120,143,21,1413,108,172,46,149,244,105,59,125,17,1021,35,26,4,26,57,23,8,38,10,223,4,3,0,0,4,0,0,5,3,15,0,0,0,0,0,0,0,0,0,0,585,1365,468,1067,1437,702,501,621,103,6848
UCL513001,0,0,30,12,0,58,4,54,5,171,13,17,85,27,11,16,18,42,3,241,93,201,221,96,43,24,65,82,23,854,196,214,219,92,41,34,80,76,27,980,193,138,222,89,36,34,81,67,28,896,196,132,133,50,34,40,85,64,15,744,100,56,47,18,21,21,42,34,13,344,26,11,0,0,4,6,0,4,6,58,0,0,0,0,0,0,0,0,0,0,806,781,955,391,195,241,380,425,114,4292,4,7,10,62,29,72,4,38,5,221,13,60,10,90,54,36,4,24,4,293,115,402,50,227,171,66,8,84,11,1146,169,369,36,158,234,66,6,59,22,1121,148,239,27,131,243,69,10,41,9,916,125,208,27,92,189,78,15,43,11,791,55,55,9,20,63,18,4,11,3,240,11,6,0,5,5,3,0,4,3,34,0,0,0,0,0,0,0,0,0,0,635,1342,169,780,989,411,50,296,83,4756
UCL513002,3,0,52,8,4,37,16,45,4,173,11,11,95,5,4,17,30,25,6,194,46,59,166,16,11,36,74,72,15,495,68,52,139,20,19,25,87,55,18,485,111,67,98,18,17,23,116,57,14,517,76,63,93,13,19,16,131,52,15,485,27,13,13,0,10,7,30,10,3,119,12,4,0,0,0,0,0,0,3,17,4,0,0,0,0,0,0,0,0,0,357,264,653,84,90,163,482,325,74,2499,0,0,10,26,16,62,0,32,4,144,5,26,11,44,37,38,6,10,4,185,37,112,22,64,92,42,14,39,8,423,34,110,23,79,102,51,6,48,6,454,63,87,23,84,118,49,6,41,5,484,43,72,16,75,87,37,13,60,8,401,13,18,3,18,25,3,0,16,0,102,3,3,0,0,0,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,211,433,116,394,465,273,56,238,35,2221
UCL513003,0,0,72,17,3,66,10,85,8,262,17,23,167,20,11,18,42,74,6,378,115,192,576,52,43,27,163,188,32,1380,221,192,651,60,79,19,222,125,43,1617,186,142,449,46,56,11,194,90,48,1220,106,101,244,38,40,10,154,69,16,776,29,25,38,3,4,0,41,14,8,160,4,0,0,0,0,0,7,0,0,11,0,0,0,0,0,0,0,0,0,0,678,678,2186,238,237,160,841,639,156,5801,0,5,18,39,28,91,4,25,10,215,17,50,26,60,67,32,15,24,0,290,110,322,100,136,230,89,35,91,13,1124,136,263,97,184,251,61,34,80,24,1131,105,158,50,130,171,65,37,76,7,804,48,68,9,63,93,33,20,47,4,390,11,18,0,12,14,4,5,13,0,80,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,431,889,298,620,852,373,152,356,62,4039
UCL513004,0,3,58,15,8,34,18,50,12,196,9,11,119,9,3,15,34,70,4,274,74,161,592,49,41,24,202,136,40,1318,160,172,589,42,50,24,250,110,51,1431,115,130,347,19,50,19,303,76,28,1082,95,92,217,24,42,15,245,73,18,813,23,22,41,7,4,3,32,14,0,150,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,469,587,1963,161,201,129,1085,529,155,5273,0,6,21,35,19,56,6,19,7,168,7,54,25,40,49,30,26,28,8,269,95,244,105,137,209,77,92,96,22,1082,96,183,59,166,198,51,59,98,14,909,79,113,34,87,116,45,44,74,12,598,47,75,23,53,94,33,8,39,8,393,9,20,0,3,17,6,0,9,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,689,270,522,706,297,240,361,76,3498
