UCL_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
UCL501001,660,1246,5493,10972,2321,18691,2483,12507,806,55182,3668,12787,14640,19683,9680,14703,5670,11084,1588,93507,20257,63948,37366,27673,25653,13614,14434,17162,4089,224191,33359,67389,33864,23814,28793,10735,14542,14794,3800,231089,32719,50927,27436,21414,28964,10973,13617,14350,3155,203550,21458,33157,19385,15203,23781,9075,11940,12194,2101,148292,5668,10126,4642,3434,6643,2955,3238,3790,702,41198,771,1243,350,227,653,339,241,513,248,4597,46,69,16,8,45,28,9,31,88,334,118609,240888,143197,122436,126522,81117,66162,86429,16577,1001946
UCL511001,20,26,303,402,98,849,98,607,40,2430,98,228,636,465,259,330,246,491,42,2794,452,1221,1527,735,684,512,588,860,111,6684,757,1508,1426,860,853,446,735,820,132,7536,825,1377,1258,927,1005,490,757,754,119,7509,583,1023,888,648,800,387,694,613,62,5696,161,296,187,138,203,87,187,151,28,1441,31,21,10,6,12,12,20,19,3,124,3,0,0,0,0,3,0,0,0,13,2929,5700,6225,4174,3907,3111,3319,4319,543,34235
UCL512001,17,18,151,197,46,341,18,261,22,1064,39,93,261,200,74,148,56,196,12,1075,173,496,535,324,234,209,155,296,33,2455,303,548,399,371,293,208,154,320,39,2629,402,609,382,468,345,222,202,311,37,2984,335,510,287,395,383,206,209,285,29,2650,143,137,91,75,104,60,68,95,10,789,19,12,9,7,4,9,7,9,4,93,8,0,0,0,0,0,0,4,4,14,1442,2424,2110,2040,1489,1406,878,1774,190,13756
UCL512002,6,7,115,218,17,352,27,194,11,957,36,56,216,130,55,107,35,167,7,815,180,325,459,263,156,140,109,269,32,1930,301,500,483,329,280,167,162,265,47,2530,353,555,440,362,361,217,227,293,36,2837,273,353,278,272,306,191,209,282,31,2193,93,91,69,60,100,68,68,76,22,643,13,12,8,6,12,7,3,9,6,71,0,0,0,0,0,0,0,0,3,5,1260,1900,2068,1651,1284,1249,842,1556,197,11998
UCL512003,12,16,178,193,37,360,43,257,11,1102,48,119,295,229,112,177,62,172,13,1225,186,554,559,356,277,198,192,314,41,2683,341,633,469,378,366,199,203,296,27,2912,382,626,412,433,399,217,317,298,48,3135,316,444,357,338,354,185,323,269,32,2610,118,131,81,82,111,45,83,77,14,738,23,16,13,3,5,5,3,13,8,94,4,0,0,0,0,0,0,0,7,14,1430,2539,2354,2002,1656,1399,1224,1701,204,14505
UCL512004,9,14,208,109,43,255,61,167,22,884,27,193,408,144,139,121,211,177,22,1445,211,712,917,323,387,172,572,284,44,3629,412,572,728,335,351,145,532,225,57,3358,379,445,617,273,381,143,570,220,62,3088,317,313,441,200,293,133,477,244,43,2467,78,72,86,44,72,21,131,65,17,593,5,14,4,3,8,0,3,12,3,51,0,0,0,0,0,0,0,0,0,0,1447,2333,3415,1428,1675,994,2548,1400,271,15512
UCL513001,5,9,35,72,31,126,6,89,15,392,22,77,90,119,65,55,23,66,10,532,209,606,265,329,219,97,69,169,33,1995,359,585,251,250,280,99,90,133,52,2098,332,379,248,217,280,103,92,114,41,1808,319,346,159,144,227,121,101,103,23,1535,151,113,61,38,79,41,46,47,14,585,31,15,0,6,10,12,0,10,7,85,0,0,0,0,0,0,0,0,0,0,1438,2123,1119,1179,1188,653,430,722,197,9046
UCL513002,3,0,56,39,12,99,20,72,7,320,14,34,109,50,40,49,38,37,9,384,85,167,191,80,99,77,85,109,19,915,108,162,164,93,123,76,94,103,17,945,173,151,123,100,137,68,127,98,19,1004,117,131,111,91,104,52,143,118,20,888,43,34,18,17,38,8,30,29,4,222,19,0,0,0,3,0,3,0,3,39,4,0,0,0,0,0,0,0,0,0,567,695,772,477,553,434,540,568,105,4719
UCL513003,8,5,90,56,35,156,18,110,9,488,34,78,198,79,78,49,56,97,13,667,219,515,674,189,276,112,203,272,41,2498,363,459,743,242,327,82,253,207,70,2749,294,295,495,173,227,84,234,166,56,2024,155,173,255,94,133,42,179,117,18,1169,41,48,38,18,20,5,45,27,4,243,4,0,0,4,0,0,7,0,0,13,0,0,0,0,0,0,0,0,0,0,1111,1564,2483,859,1090,531,996,998,215,9842
UCL513004,4,6,74,48,24,83,25,67,17,361,15,63,146,49,55,40,61,97,13,543,167,405,692,185,251,101,297,230,60,2396,257,354,643,199,247,75,303,204,67,2346,196,248,388,106,164,58,339,141,39,1683,145,164,238,74,140,49,258,119,31,1207,30,40,45,16,23,11,33,27,0,227,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,804,1279,2228,676,907,427,1320,889,231,8763
