LGA_CODE_2021,C16_Aus_Mo_O_B_OS,C16_Aus_BP_B_Aus,C16_Aus_Bplace_NS,C16_Aus_Tot_resp,C16_Aus_Ab_BP_B_OS,C16_Aus_Ab_Fa_O_B_OS,C16_Aus_Ab_Mo_O_B_OS,C16_Aus_Ab_BP_B_Aus,C16_Aus_Abor_Bplace_NS,C16_Aus_Abor_Tot_resp,C16_Chi_BP_B_OS,C16_Chi_Fa_O_B_OS,C16_Chi_Mo_O_B_OS,C16_Chi_BP_B_Aus,C16_Chi_Bplace_NS,C16_Chi_Tot_resp,C16_Cro_BP_B_OS,C16_Cro_Fa_O_B_OS,C16_Cro_Mo_O_B_OS,C16_Cro_BP_B_Aus,C16_Cro_Bplace_NS,C16_Cro_Tot_resp,C16_Dut_BP_B_OS,C16_Dut_Fa_O_B_OS,C16_Dut_Mo_O_B_OS,C16_Dut_BP_B_Aus,C16_Dut_Bplace_NS,C16_Dut_Tot_resp,C16_Eng_BP_B_OS,C16_Eng_Fa_O_B_OS,C16_Eng_Mo_O_B_OS,C16_Eng_BP_B_Aus,C16_Eng_Bplace_NS,C16_Eng_Tot_resp,C16_Fil_BP_B_OS,C16_Fil_Fa_O_B_OS,C16_Fil_Mo_O_B_OS,C16_Fil_BP_B_Aus,C16_Fil_Bplace_NS,C16_Fil_Tot_resp,C16_Fre_BP_B_OS,C16_Fre_Fa_O_B_OS,C16_Fre_Mo_O_B_OS,C16_Fre_BP_B_Aus,C16_Fre_Bplace_NS,C16_Fre_Tot_resp,C16_Ger_BP_B_OS,C16_Ger_Fa_O_B_OS,C16_Ger_Mo_O_B_OS,C16_Ger_BP_B_Aus,C16_Ger_Bplace_NS,C16_Ger_Tot_resp,C16_Gre_BP_B_OS,C16_Gre_Fa_O_B_OS,C16_Gre_Mo_O_B_OS,C16_Gre_BP_B_Aus,C16_Gre_Bplace_NS,C16_Gre_Tot_resp,C16_Hun_BP_B_OS,C16_Hun_Fa_O_B_OS,C16_Hun_Mo_O_B_OS,C16_Hun_BP_B_Aus,C16_Hun_Bplace_NS,C16_Hun_Tot_resp,C16_Ind_BP_B_OS,C16_Ind_Fa_O_B_OS,C16_Ind_Mo_O_B_OS,C16_Ind_BP_B_Aus,C16_Ind_Bplace_NS,C16_Ind_Tot_resp,C16_Iri_BP_B_OS,C16_Iri_Fa_O_B_OS,C16_Iri_Mo_O_B_OS,C16_Iri_BP_B_Aus,C16_Iri_Bplace_NS,C16_Iri_Tot_resp,C16_Ita_BP_B_OS,C16_Ita_Fa_O_B_OS,C16_Ita_Mo_O_B_OS,C16_Ita_BP_B_Aus,C16_Ita_Bplace_NS,C16_Ita_Tot_resp,C16_Kor_BP_B_OS,C16_Kor_Fa_O_B_OS,C16_Kor_Mo_O_B_OS,C16_Kor_BP_B_Aus,C16_Kor_Bplace_NS,C16_Kor_Tot_resp,C16_Leb_BP_B_OS,C16_Leb_Fa_O_B_OS,C16_Leb_Mo_O_B_OS,C16_Leb_BP_B_Aus,C16_Leb_Bplace_NS,C16_Leb_Tot_resp,C16_Mac_BP_B_OS,C16_Mac_Fa_O_B_OS,C16_Mac_Mo_O_B_OS,C16_Mac_BP_B_Aus,C16_Mac_Bplace_NS,C16_Mac_Tot_resp,C16_Mal_BP_B_OS,C16_Mal_Fa_O_B_OS,C16_Mal_Mo_O_B_OS,C16_Mal_BP_B_Aus,C16_Mal_Bplace_NS,C16_Mal_Tot_resp,C16_Mao_BP_B_OS,C16_Mao_Fa_O_B_OS,C16_Mao_Mo_O_B_OS,C16_Mao_BP_B_Aus,C16_Mao_Bplace_NS,C16_Mao_Tot_resp,C16_NZ_BP_B_OS,C16_NZ_Fa_O_B_OS,C16_NZ_Mo_O_B_OS,C16_NZ_BP_B_Aus,C16_NZ_Bplace_NS,C16_NZ_Tot_resp,C16_Pol_BP_B_OS,C16_Pol_Fa_O_B_OS,C16_Pol_Mo_O_B_OS,C16_Pol_BP_B_Aus,C16_Pol_Bplace_NS,C16_Pol_Tot_resp,C16_Rus_BP_B_OS,C16_Rus_Fa_O_B_OS,C16_Rus_Mo_O_B_OS,C16_Rus_BP_B_Aus,C16_Rus_Birthplac_ns,C16_Rus_Tot_resp,C16_Sam_BP_B_OS,C16_Sam_Fa_O_B_OS,C16_Sam_Mo_O_B_OS,C16_Sam_BP_B_Aus,C16_Sam_Birthplac_ns,C16_Sam_Tot_resp,C16_Sco_BP_B_OS,C16_Sco_Fa_O_B_OS,C16_Sco_Mo_O_B_OS,C16_Sco_BP_B_Aus,C16_Sco_Birthplac_ns,C16_Sco_Tot_resp,C16_Ser_BP_B_OS,C16_Ser_Fa_O_B_OS,C16_Ser_Mo_O_B_OS,C16_Ser_BP_B_Aus,C16_Ser_Bplace_NS,C16_Ser_Tot_resp,C16_SAf_BP_B_OS,C16_SAf_Fa_O_B_OS,C16_SAf_Mo_O_B_OS,C16_SAf_BP_B_Aus,C16_SAf_Bplace_NS,C16_SAf_Tot_resp,C16_Span_BP_B_OS,C16_Span_Fa_O_B_OS,C16_Span_Mo_O_B_OS,C16_Span_BP_B_Aus,C16_Span_Bplace_NS,C16_Span_Tot_resp,C16_SriL_BP_B_OS,C16_SriL_Fa_O_B_OS,C16_SriL_Mo_O_B_OS,C16_SriL_BP_B_Aus,C16_SriL_Bplace_NS,C16_SriL_Tot_resp,C16_Viet_BP_B_OS,C16_Viet_Fa_O_B_OS,C16_Viet_Mo_O_B_OS,C16_Viet_BP_B_Aus,C16_Viet_Bplace_NS,C16_Viet_Tot_resp,C16_Wel_BP_B_OS,C16_Wel_Fa_O_B_OS,C16_Wel_Mo_O_B_OS,C16_Wel_BP_B_Aus,C16_Wel_Bplace_NS,C16_Wel_Tot_resp,C16_Oth_BP_B_OS,C16_Oth_Fa_O_B_OS,C16_Oth_Mo_O_B_OS,C16_Oth_BP_B_Aus,C16_Oth_Bplace_NS,C16_Oth_Tot_resp,C16_Anc_ns_BP_B_OS,C16_Anc_ns_Fa_O_B_OS,C16_Anc_ns_Mo_O_B_OS,C16_Anc_ns_BP_B_Aus,C16_Anc_ns_Bplace_NS,C16_Anc_NS_Tot_resp,C16_Tot_P_BP_B_OS,C16_Tot_P_Fa_O_B_OS,C16_Tot_P_Mo_O_B_OS,C16_Tot_P_BP_B_Aus,C16_Tot_P_Bplace_NS,C16_Tot_P_Tot_resp,C21_Aus_BP_B_OS,C21_Aus_Fa_O_B_OS,C21_Aus_Mo_O_B_OS,C21_Aus_BP_B_Aus
LGA50080,1308,10976,225,14532,0,8,7,143,5,162,180,19,21,45,0,263,28,16,4,58,0,106,618,190,108,387,14,1316,4486,1793,1464,9303,251,17302,536,3,45,9,8,598,103,11,9,46,3,178,406,104,113,719,18,1365,25,4,5,51,0,89,31,8,8,6,0,54,183,10,12,25,6,234,612,259,203,2106,40,3214,376,135,50,595,13,1165,8,0,3,7,0,10,0,0,0,0,0,3,4,0,0,6,0,10,11,4,5,13,0,34,93,21,20,24,0,156,167,78,37,29,9,319,199,36,21,93,5,352,37,6,3,13,0,58,3,3,0,0,0,7,933,353,267,2063,46,3658,11,0,0,6,4,19,205,13,9,0,0,229,52,5,7,30,0,96,15,0,0,4,0,21,42,0,0,0,0,47,156,33,32,108,4,336,983,191,159,324,19,1676,84,20,16,195,2398,2711,8824,3028,2317,19495,2920,36585,355,1824,1606,11454
LGA50210,2958,16150,371,24367,7,18,19,277,9,328,2538,47,95,86,8,2775,114,44,21,78,0,258,1425,411,250,651,18,2753,12678,3446,2880,12026,411,31445,1393,14,97,8,17,1531,260,35,19,81,0,405,794,184,147,941,26,2101,55,36,16,94,0,204,117,17,3,21,0,157,4143,86,51,42,15,4340,2075,578,427,2874,79,6034,939,407,219,1166,33,2762,169,0,8,0,3,180,72,17,4,9,0,106,14,7,0,23,0,49,61,19,4,35,4,124,1007,83,68,26,8,1190,668,212,118,57,14,1071,289,53,41,108,5,491,108,14,8,33,0,174,170,15,0,4,0,192,2550,681,519,2656,81,6490,68,6,0,9,0,87,880,93,41,24,8,1057,265,14,23,50,0,350,469,8,5,5,0,486,147,8,11,0,0,162,490,75,52,137,3,759,7882,583,513,608,89,9671,343,51,32,284,4428,5140,35573,6422,5005,27236,5365,79596,1668,4521,3473,16886
LGA50250,391,3337,75,4294,0,4,7,260,0,271,163,4,4,11,3,193,29,6,5,19,0,58,96,34,22,47,4,199,1420,320,288,1980,59,4063,278,0,22,0,0,296,38,5,0,5,0,51,141,29,29,211,3,418,11,11,3,14,0,40,14,0,0,8,0,20,158,0,8,9,0,179,515,50,52,605,16,1231,96,43,20,165,10,328,35,0,0,0,0,35,11,0,0,0,0,12,8,4,0,3,0,19,8,5,7,9,0,32,352,21,12,3,6,396,182,40,33,3,6,255,32,6,0,19,0,61,15,0,5,4,0,21,36,0,0,6,0,34,465,88,84,525,10,1164,17,0,0,0,0,18,90,3,4,0,0,104,42,0,4,10,0,59,18,0,0,0,0,13,22,0,0,0,0,22,41,10,11,31,0,90,695,39,60,110,15,914,40,0,10,56,2086,2190,3984,667,619,5519,2239,13026,51,199,317,1833
LGA50280,669,4029,87,5653,0,0,0,29,0,26,99,11,9,8,3,123,29,9,11,29,0,71,147,48,47,81,6,332,1864,671,592,3060,88,6276,93,0,13,3,0,108,80,10,16,16,0,121,222,32,58,254,6,568,21,10,0,32,0,66,4,3,0,0,0,11,47,4,6,5,0,61,358,153,112,905,20,1552,172,38,30,172,3,421,46,0,0,0,0,46,0,0,0,0,0,4,0,0,0,0,0,0,14,4,5,6,0,32,55,28,9,0,3,99,135,60,27,18,4,238,44,16,16,38,0,112,18,3,0,5,0,31,0,0,0,4,0,7,446,157,120,790,17,1529,7,0,0,0,0,11,81,19,9,6,0,116,35,6,5,20,0,66,9,0,0,0,0,9,12,0,0,0,0,12,75,13,10,41,7,142,542,104,109,163,10,915,32,15,12,78,1037,1173,3717,1269,1071,6959,1240,14257,144,861,804,4188
LGA50350,587,3226,79,4865,0,8,3,51,0,67,384,12,23,14,4,443,110,21,11,55,6,194,174,39,36,72,0,325,2026,733,539,2580,104,5978,175,0,18,0,0,199,92,19,3,17,0,128,166,52,40,208,7,475,32,11,5,28,4,79,29,6,5,5,0,41,297,20,13,23,0,353,560,184,138,887,25,1789,388,130,59,303,11,891,19,0,3,0,0,20,8,4,4,0,0,16,21,0,0,14,0,39,62,12,4,24,0,101,118,8,6,4,0,144,112,51,30,0,4,192,116,10,5,47,5,190,22,4,0,3,0,29,32,0,0,0,0,33,506,192,134,679,21,1535,79,4,6,0,3,91,43,3,12,3,0,61,47,4,0,18,0,65,29,7,3,6,0,38,140,0,7,0,3,147,63,19,7,42,0,122,1128,157,101,167,18,1569,46,9,9,64,792,922,5726,1453,1018,5875,1022,15093,181,874,687,3329
LGA50420,1867,10089,287,15515,7,17,6,120,0,150,4241,79,130,97,44,4593,297,64,42,188,0,590,611,165,91,217,12,1099,7217,2224,1648,8320,276,19687,990,14,61,12,7,1080,355,19,21,81,3,468,738,156,136,724,18,1772,446,117,46,190,4,810,122,18,20,35,0,200,2745,104,62,49,25,2981,2311,541,372,2715,58,6003,3015,748,340,1737,73,5908,242,3,9,3,0,253,98,10,17,7,5,127,261,42,28,70,3,403,109,28,7,38,0,175,518,28,48,8,4,600,429,130,74,32,4,668,698,69,61,124,12,967,195,9,18,25,0,244,39,9,0,0,0,47,1744,488,351,2160,53,4790,446,29,21,30,10,534,383,30,40,8,4,467,248,18,5,34,0,310,301,16,20,13,0,353,2268,26,47,7,16,2363,236,56,46,138,0,478,7888,571,511,581,87,9635,310,25,25,167,3786,4325,33649,4918,3577,19310,4626,66081,1074,2895,2326,10403
LGA50490,1002,6338,175,9346,0,10,11,159,8,185,3000,32,61,72,20,3179,105,20,17,47,0,190,283,76,45,122,6,530,3866,1218,893,4711,200,10892,1062,4,48,8,5,1124,175,17,11,37,0,237,354,82,43,418,0,900,84,15,12,52,0,173,55,11,3,8,0,78,1526,24,27,31,9,1622,1275,282,208,1601,41,3397,797,197,78,624,27,1719,404,0,10,0,0,415,123,16,21,9,4,167,29,6,6,19,3,52,28,15,9,23,0,74,443,33,14,4,13,511,322,70,45,16,6,459,288,32,18,79,8,431,86,0,5,15,3,108,73,0,0,4,0,82,1024,275,213,1225,35,2772,41,4,3,9,0,58,160,16,19,0,0,198,177,9,7,21,0,217,231,10,4,0,4,252,348,9,13,0,3,379,124,32,9,55,0,219,6079,258,246,246,68,6891,214,15,20,118,3903,4277,19700,2440,1824,11299,4426,39685,701,1539,1157,6320
LGA50560,62,533,15,695,0,0,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,3,22,0,7,8,0,38,210,76,46,458,13,806,23,0,0,0,0,23,6,0,3,0,0,14,10,0,8,31,0,54,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,3,28,14,5,108,3,159,11,4,0,17,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,15,3,0,3,3,0,9,0,0,0,0,0,5,0,0,0,0,0,0,32,13,18,114,0,172,0,0,0,0,0,0,11,0,0,0,0,9,3,0,0,4,0,4,0,0,0,0,0,0,5,0,0,0,0,5,7,0,0,7,0,19,32,8,4,6,0,57,3,0,0,10,176,187,363,118,89,966,203,1749,12,55,62,529
LGA50630,62,612,11,784,0,0,0,12,0,12,9,0,0,0,0,12,0,0,0,4,0,6,15,9,0,5,0,26,189,79,61,435,7,763,8,0,0,0,0,8,5,3,0,3,0,15,15,9,6,48,0,81,0,0,0,0,0,0,0,0,0,0,0,5,14,0,4,0,0,22,31,6,4,82,0,135,12,4,0,27,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,3,0,29,27,0,3,3,0,36,3,0,4,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,44,27,5,101,0,176,0,0,0,0,0,0,15,0,0,4,0,21,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,8,0,20,73,12,16,21,0,121,3,0,8,10,129,159,407,149,114,1022,153,1846,7,64,67,516
LGA50770,62,589,21,738,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,16,9,10,0,0,31,172,59,55,509,20,811,4,0,0,0,0,10,4,0,0,5,0,5,19,8,3,37,0,67,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,22,13,7,97,0,136,23,8,3,38,3,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,21,12,3,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,14,14,108,3,186,0,0,0,0,0,0,7,0,0,0,0,4,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,26,3,7,12,0,48,0,0,0,13,112,125,302,109,92,1048,146,1702,13,61,57,618
