LGA_CODE_2021,C16_850_949_Oth_lan_typ,C16_850_949_LLT_NS,C16_850_949_Tot,C16_950over_REA,C16_950over_ST_HA,C16_950over_Co_ho_pr,C16_950over_Pe_no_sa_ho,C16_950over_Oth_lan_typ,C16_950over_LLT_NS,C16_950over_Tot,C16_R_NS_REA,C16_R_NS_ST_HA,C16_R_NS_Co_ho_pr,C16_R_NS_Pe_no_sa_ho,C16_R_NS_Oth_lan_typ,C16_R_NS_Land_typ_ns,C16_Rent_not_statd_Tot,C16_Tot_REA,C16_Tot_ST_HA,C16_Tot_Co_ho_pr,C16_Tot_Pe_no_sa_ho,C16_Tot_Oth_lan_typ,C16_Tot_LLT_NS,C16_Tot_Tot,C21_1_74_REA,C21_1_74_ST_HA,C21_1_74_Co_ho_pr,C21_1_74_Per_no_sa_ho,C21_1_74_Oth_land_typ,C21_1_74_LLT_NS,C21_1_74_Tot,C21_75_99_REA,C21_75_99_ST_HA,C21_75_99_Co_ho_pr,C21_75_99_Pe_no_sa_ho,C21_75_99_Oth_lan_typ,C21_75_99_Lan_type_ns,C21_75_99_Tot,C21_100_149_REA,C21_100_149_ST_HA,C21_100_149_Co_ho_pr,C21_100_149_Pe_no_sa_ho,C21_100_149_Ot_lan_ty,C21_100_149_Lan_typ_ns,C21_100_149_Tot,C21_150_199_REA,C21_150_199_ST_HA,C21_150_199_Co_ho_pr,C21_150_199_Pe_no_sa_ho,C21_150_199_Ot_lan_ty,C21_150_199_Lan_ty_ns,C21_150_199_Tot,C21_200_224_REA,C21_200_224_ST_HA,C21_200_224_Co_ho_pr,C21_200_224_Pe_no_sa_ho,C21_200_224_Ot_lan_ty,C21_200_224_Lan_ty_ns,C21_200_224_Tot,C21_225_274_REA,C21_225_274_ST_HA,C21_225_274_Co_ho_pr,C21_225_274_Pe_no_sa_ho,C21_225_274_Ot_la_typ,C21_225_274_Lan_ty_ns,C21_225_274_Tot,C21_275_349_REA,C21_275_349_ST_HA,C21_275_349_Co_ho_pr,C21_275_349_Pe_no_sa_ho,C21_275_349_Ot_lan_ty,C21_275_349_Lan_ty_ns,C21_275_349_Tot,C21_350_449_REA,C21_350_449_ST_HA,C21_350_449_Co_ho_pr,C21_350_449_Pe_no_sa_ho,C21_350_449_Ot_lan_ty,C21_350_449_Lan_ty_ns,C21_350_449_Tot,C21_450_549_REA,C21_450_549_ST_HA,C21_450_549_Co_ho_pr,C21_450_549_Pe_no_sa_ho,C21_450_549_Oth_lan_typ,C21_450_549_Lan_ty_ns,C21_450_549_Tot,C21_550_649_REA,C21_550_649_ST_HA,C21_550_649_Co_ho_pr,C21_550_649_Pe_no_sa_ho,C21_550_649_Ot_lan_ty,C21_550_649_Lan_ty_ns,C21_550_649_Tot,C21_650_749_REA,C21_650_749_ST_HA,C21_650_749_Co_ho_pr,C21_650_749_Pe_no_sa_ho,C21_650_749_Oth_lan_typ,C21_650_749_LLT_NS,C21_650_749_Tot,C21_750_849_REA,C21_750_849_ST_HA,C21_750_849_Co_ho_pr,C21_750_849_Pe_no_sa_ho,C21_750_849_Oth_lan_typ,C21_750_849_LLT_NS,C21_750_849_Tot,C21_850_950_REA,C21_850_949_ST_HA,C21_850_949_Co_ho_pr,C21_850_949_Pe_no_sa_ho,C21_850_949_Oth_lan_typ,C21_850_949_LLT_NS,C21_850_949_Tot,C21_950over_REA,C21_950over_ST_HA,C21_950over_Co_ho_pr,C21_950over_Pe_no_sa_ho,C21_950over_Oth_lan_typ,C21_950over_LLT_NS,C21_950over_Tot,C21_R_NS_REA,C21_R_NS_ST_HA,C21_R_NS_Co_ho_pr,C21_R_NS_Pe_no_sa_ho,C21_R_NS_Oth_lan_typ,C21_R_NS_Land_typ_ns,C21_Rent_not_statd_Tot,C21_Tot_REA,C21_Tot_ST_HA,C21_Tot_Co_ho_pr,C21_Tot_Pe_no_sa_ho,C21_Tot_Oth_lan_typ,C21_Tot_LLT_NS,C21_Tot_Tot
LGA50080,0,0,0,3,0,0,7,0,0,10,22,34,13,33,17,3,127,1594,616,187,1036,220,30,3672,0,16,5,5,5,0,41,0,26,5,6,9,0,43,14,189,42,54,15,7,317,13,106,83,80,42,5,340,50,53,20,98,28,3,251,121,78,59,143,34,0,433,549,79,28,374,57,7,1088,666,18,12,218,34,3,955,142,6,0,45,12,0,206,23,0,0,8,4,0,31,3,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,6,0,0,5,0,0,0,11,9,0,17,24,40,19,60,48,5,190,1603,605,270,1125,303,33,3938
LGA50210,0,0,4,8,0,0,8,0,0,19,54,39,5,57,16,13,189,3321,678,85,1730,220,44,6070,0,25,8,9,6,4,43,0,27,9,8,0,0,42,22,197,26,42,7,0,300,68,116,71,90,37,8,383,187,68,6,131,25,0,422,651,80,19,304,29,3,1086,1363,43,9,579,61,6,2069,1341,5,16,441,57,5,1863,466,3,5,137,18,0,622,87,0,0,17,3,0,113,8,0,0,9,3,0,24,6,0,0,0,0,0,11,0,4,0,0,0,0,6,5,0,0,7,0,0,13,76,40,11,91,27,19,263,4284,618,170,1859,278,43,7248
LGA50250,0,0,5,8,0,0,3,12,0,16,14,17,11,12,108,3,154,127,87,62,58,1277,9,1621,16,16,30,5,731,8,797,0,5,4,0,33,0,34,0,34,6,3,75,0,109,0,17,3,0,36,0,52,0,11,0,4,28,0,41,5,11,0,0,15,0,29,4,6,0,7,15,0,33,17,3,0,11,8,0,41,13,0,0,8,4,0,29,11,0,0,4,5,0,17,0,0,0,0,6,0,10,0,0,0,3,6,0,7,0,0,0,0,5,0,5,9,0,0,9,32,0,48,12,4,18,28,187,3,248,88,92,60,79,1174,8,1501
LGA50280,0,0,4,3,0,0,13,6,0,17,4,6,0,25,29,0,67,568,106,19,591,129,10,1424,0,4,0,8,5,0,17,0,0,0,4,0,0,10,0,33,5,24,13,0,79,3,23,3,30,12,0,79,13,9,0,46,6,0,71,32,13,3,55,10,0,111,91,16,0,125,7,0,236,255,5,0,209,8,0,475,123,0,0,66,4,0,199,23,0,0,30,4,0,51,3,0,0,3,27,0,33,0,0,0,8,3,0,11,0,0,0,0,0,0,0,0,0,0,24,8,0,31,7,6,0,53,24,3,100,564,95,14,687,136,9,1512
LGA50350,0,0,3,0,0,0,0,0,0,7,8,17,6,10,7,3,52,742,327,42,464,33,10,1620,0,3,0,0,0,0,16,0,10,0,3,0,0,13,4,123,16,12,0,4,156,7,58,14,16,0,0,92,9,16,3,29,0,0,69,34,33,14,55,0,0,139,259,22,6,132,8,0,429,404,5,0,137,3,0,557,119,0,0,19,0,0,138,24,0,0,5,0,0,34,12,0,0,0,0,0,9,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,3,11,24,3,27,0,10,76,885,298,65,447,26,18,1738
LGA50420,0,0,9,9,6,0,5,4,0,14,68,32,10,99,13,12,237,4337,834,119,2408,235,44,7976,4,30,0,14,0,0,53,0,51,14,6,0,0,75,27,330,14,75,7,0,455,74,129,38,104,17,0,362,218,57,13,173,19,3,481,633,68,20,312,46,0,1079,1286,48,17,623,66,0,2050,1889,21,6,665,75,7,2666,857,6,0,250,15,4,1131,201,0,0,56,7,0,264,52,0,0,12,3,0,73,16,0,0,10,6,0,28,0,0,0,6,0,0,6,14,0,0,14,0,0,33,60,54,15,110,29,11,289,5350,788,135,2433,293,40,9037
LGA50490,4,0,16,6,3,0,5,0,0,12,46,51,4,59,16,8,182,3270,1075,59,1395,155,34,5988,9,42,4,5,0,0,65,3,77,7,14,0,0,95,20,443,34,48,14,5,561,38,146,44,73,8,4,306,94,74,18,64,8,0,255,314,90,14,141,19,0,572,1239,59,8,398,54,8,1776,2001,31,8,488,61,11,2599,697,5,0,110,5,3,827,136,0,0,27,3,0,169,41,0,0,9,0,0,55,11,0,0,3,3,0,12,4,0,0,0,6,0,13,3,0,0,5,3,0,17,73,56,7,75,34,26,270,4681,1027,148,1476,218,54,7593
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,26,5,29,8,6,82,0,0,0,3,0,0,5,0,0,0,0,0,0,4,0,5,0,9,0,0,12,0,4,0,6,0,0,15,0,0,0,9,0,0,11,7,0,0,3,0,0,15,3,0,0,4,0,0,13,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,10,4,42,7,0,83
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,9,74,15,0,51,40,5,183,0,3,0,0,3,0,6,0,0,0,0,7,0,7,0,3,0,0,0,0,9,0,0,3,0,3,0,12,8,0,0,7,0,0,12,7,0,3,6,0,0,22,26,4,0,14,3,0,51,27,0,0,13,0,0,37,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,16,71,17,5,44,39,0,178
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,7,22,15,0,50,14,0,106,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,4,0,9,0,0,13,0,6,0,10,0,0,15,4,4,0,13,5,0,28,7,4,0,16,6,0,23,9,0,0,5,0,0,17,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,13,21,12,0,60,20,0,121
