LGA_CODE_2021,C11_Neg_Ni_inc_CF_1C,C11_Neg_Ni_inc_CF_2C,C11_Neg_Ni_inc_CF_3C,C11_Neg_Ni_inc_Cou_fa_4mor_c,C11_Neg_Ni_inc_Tot,C11_1_149_CF_1C,C11_1_149_CF_2C,C11_1_149_CF_3C,C11_1_149_CF_4mC,C11_1_149_Tot,C11_150_299_CF_1C,C11_150_299_CF_2C,C11_150_299_CF_3C,C11_150_299_CF_4mC,C11_150_299_Tot,C11_300_399_CF_1C,C11_300_399_CF_2C,C11_300_399_CF_3C,C11_300_399_CF_4mC,C11_300_399_Tot,C11_400_499_CF_1C,C11_400_499_CF_2C,C11_400_499_CF_3C,C11_400_499_CF_4mC,C11_400_499_Tot,C11_500_649_CF_1C,C11_500_649_CF_2C,C11_500_649_CF_3C,C11_500_649_CF_4mC,C11_500_649_Tot,C11_650_799_CF_1C,C11_650_799_CF_2C,C11_650_799_CF_3C,C11_650_799_CF_4mC,C11_650_799_Tot,C11_800_999_CF_1C,C11_800_999_CF_2C,C11_800_999_CF_3C,C11_800_999_CF_4mC,C11_800_999_Tot,C11_1000_1499_CF_1C,C11_1000_1499_CF_2C,C11_1000_1499_CF_3C,C11_1000_1499_CF_4mC,C11_1000_1499_Tot,C11_1500_1999_CF_1C,C11_1500_1999_CF_2C,C11_1500_1999_CF_3C,C11_1500_1999_CF_4mC,C11_1500_1999_Tot,C11_2000_2499_CF_1C,C11_2000_2499_CF_2C,C11_2000_2499_CF_3C,C11_2000_2499_CF_4mC,C11_2000_2499_Tot,C11_2500_2999_CF_1C,C11_2500_2999_CF_2C,C11_2500_2999_CF_3C,C11_2500_2999_CF_4mC,C11_2500_2999_Tot,C11_3000_3999_CF_1C,C11_3000_3999_CF_2C,C11_3000_3999_CF_3C,C11_3000_3999_CF_4mC,C11_3000_3999_Tot,C11_4000more_CF_1C,C11_4000more_CF_2C,C11_4000more_CF_3C,C11_4000more_Cou_fa_4mo_ch,C11_4000more_Tot,C11_Par_inc_st_CF_1C,C11_Par_inc_st_CF_2C,C11_Par_inc_st_CF_3C,C11_Par_inc_st_CF_4mC,C11_Par_inc_st_Tot,C11_All_inc_ns_CF_1Ch,C11_All_inc_ns_CF_2C,C11_All_inc_ns_CF_3C,C11_All_inc_ns_CF_4mC,C11_All_inc_ns_Tot,C11_Tot_CF_1C,C11_Tot_CF_2C,C11_Tot_CF_3C,C11_Tot_CF_4mC,C11_Tot_Tot,C16_Neg_Ni_inc_CF_1C,C16_Neg_Ni_inc_CF_2C,C16_Neg_Ni_inc_CF_3C,C16_Neg_Ni_inc_Cou_fa_4mor_c,C16_Neg_Ni_inc_Tot,C16_1_149_CF_1C,C16_1_149_CF_2C,C16_1_149_CF_3C,C16_1_149_CF_4mC,C16_1_149_Tot,C16_150_299_CF_1C,C16_150_299_CF_2C,C16_150_299_CF_3C,C16_150_299_CF_4mC,C16_150_299_Tot,C16_300_399_CF_1C,C16_300_399_CF_2C,C16_300_399_CF_3C,C16_300_399_CF_4mC,C16_300_399_Tot,C16_400_499_CF_1C,C16_400_499_CF_2C,C16_400_499_CF_3C,C16_400_499_CF_4mC,C16_400_499_Tot,C16_500_649_CF_1C,C16_500_649_CF_2C,C16_500_649_CF_3C,C16_500_649_CF_4mC,C16_500_649_Tot,C16_650_799_CF_1C,C16_650_799_CF_2C,C16_650_799_CF_3C,C16_650_799_CF_4mC,C16_650_799_Tot,C16_800_999_CF_1C,C16_800_999_CF_2C,C16_800_999_CF_3C,C16_800_999_CF_4mC,C16_800_999_Tot,C16_1000_1499_CF_1C,C16_1000_1499_CF_2C,C16_1000_1499_CF_3C,C16_1000_1499_CF_4mC,C16_1000_1499_Tot,C16_1500_1999_CF_1C,C16_1500_1999_CF_2C,C16_1500_1999_CF_3C,C16_1500_1999_CF_4mC,C16_1500_1999_Tot,C16_2000_2499_CF_1C,C16_2000_2499_CF_2C,C16_2000_2499_CF_3C,C16_2000_2499_CF_4mC,C16_2000_2499_Tot,C16_2500_2999_CF_1C,C16_2500_2999_CF_2C,C16_2500_2999_CF_3C,C16_2500_2999_CF_4mC,C16_2500_2999_Tot,C16_3000_3999_CF_1C,C16_3000_3999_CF_2C,C16_3000_3999_CF_3C,C16_3000_3999_CF_4mC,C16_3000_3999_Tot,C16_4000more_CF_1C,C16_4000more_CF_2C,C16_4000more_CF_3C,C16_4000more_Cou_fa_4mo_ch,C16_4000more_Tot,C16_Par_inc_st_CF_1C,C16_Par_inc_st_CF_2C,C16_Par_inc_st_CF_3C,C16_Par_inc_st_CF_4mC,C16_Par_inc_st_Tot,C16_All_inc_ns_CF_1Ch,C16_All_inc_ns_CF_2C,C16_All_inc_ns_CF_3C,C16_All_inc_ns_CF_4mC,C16_All_inc_ns_Tot,C16_Tot_CF_1C,C16_Tot_CF_2C,C16_Tot_CF_3C,C16_Tot_CF_4mC,C16_Tot_Tot,C21_Neg_Ni_inc_CF_1C,C21_Neg_Ni_inc_CF_2C,C21_Neg_Ni_inc_CF_3C,C21_Neg_Ni_inc_Cou_fa_4mor_c,C21_Neg_Ni_inc_Tot,C21_1_149_CF_1C,C21_1_149_CF_2C,C21_1_149_CF_3C,C21_1_149_CF_4mC,C21_1_149_Tot,C21_150_299_CF_1C,C21_150_299_CF_2C,C21_150_299_CF_3C,C21_150_299_CF_4mC,C21_150_299_Tot,C21_300_399_CF_1C,C21_300_399_CF_2C,C21_300_399_CF_3C,C21_300_399_CF_4mC,C21_300_399_Tot,C21_400_499_CF_1C,C21_400_499_CF_2C,C21_400_499_CF_3C,C21_400_499_CF_4mC,C21_400_499_Tot,C21_500_649_CF_1C,C21_500_649_CF_2C,C21_500_649_CF_3C,C21_500_649_CF_4mC,C21_500_649_Tot
LGA50080,7,10,0,0,19,5,0,0,0,3,13,4,6,0,22,10,8,0,0,12,6,5,3,6,14,41,24,13,6,87,55,40,20,7,127,96,80,33,13,226,266,272,125,66,728,192,283,129,53,655,166,197,66,27,460,89,125,46,20,283,92,123,52,13,278,25,49,16,9,101,182,215,101,43,545,21,15,10,5,49,1266,1462,615,273,3616,0,8,0,0,8,4,0,3,0,6,6,0,0,0,8,0,0,3,0,5,11,5,3,0,30,8,15,3,6,35,32,22,14,4,74,56,50,26,9,140,221,239,78,40,578,205,252,134,43,634,203,244,75,39,559,124,183,73,39,414,112,169,82,18,382,76,114,44,21,261,159,216,92,34,500,14,16,3,0,38,1234,1533,637,261,3662,4,4,3,0,16,0,0,3,0,3,3,0,0,0,3,4,0,0,0,4,6,7,0,3,15,4,5,3,0,11
LGA50210,9,18,0,3,27,3,7,8,0,15,9,13,10,3,33,8,6,4,0,21,14,10,0,4,34,41,32,13,15,96,96,65,33,18,213,131,114,34,35,319,469,464,187,81,1201,463,476,199,117,1258,391,349,135,58,934,299,398,148,68,909,305,360,116,51,836,112,116,81,24,334,382,448,227,102,1162,39,27,15,4,88,2767,2898,1215,586,7472,17,17,11,0,48,13,3,0,0,20,8,14,3,0,26,13,7,0,0,17,40,23,14,10,77,67,44,19,15,135,94,80,27,16,208,162,106,53,24,349,629,543,196,94,1463,639,632,223,117,1612,632,722,266,101,1715,445,463,134,53,1091,450,538,169,61,1219,287,392,125,61,857,469,506,224,103,1300,45,26,21,9,107,4005,4109,1481,664,10254,15,20,3,8,49,0,3,3,0,9,4,10,5,0,14,3,0,0,0,4,21,16,8,7,43,30,22,7,4,67
LGA50250,0,0,0,0,8,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,0,0,0,8,0,0,0,3,3,12,13,7,3,34,14,29,11,5,60,7,26,14,4,45,65,113,49,19,241,54,88,37,8,187,29,32,18,0,80,39,47,18,13,117,0,4,4,0,7,235,355,167,55,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,4,0,0,0,4,3,3,0,0,8,0,4,4,0,9,8,6,6,3,21,16,18,11,4,52,42,73,32,3,153,20,49,12,7,84,46,63,26,15,148,53,101,36,12,205,26,31,25,10,96,0,0,5,0,6,223,351,160,52,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,0,0,8
LGA50280,3,4,0,0,3,3,0,0,0,3,4,8,0,0,7,3,4,0,0,4,4,0,5,0,12,17,11,4,0,33,21,22,5,0,53,30,33,12,8,82,92,107,51,11,264,77,102,33,7,213,53,61,20,3,135,46,55,23,3,125,37,31,15,0,87,5,12,8,0,29,93,116,47,6,260,10,9,0,0,20,489,563,228,41,1324,3,5,0,0,11,0,0,0,0,0,5,0,0,0,5,0,0,0,0,3,7,8,0,0,14,8,7,6,6,25,16,19,3,3,34,26,28,13,4,76,110,104,37,11,260,93,134,47,6,272,66,89,44,4,201,53,72,22,4,147,46,60,24,6,133,34,51,15,0,107,105,129,57,9,301,5,0,0,0,9,577,708,273,51,1603,7,0,0,0,4,4,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,3,0,0,5,4,5,0,0,8
LGA50350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,4,10,10,6,3,27,20,19,7,3,40,17,21,15,3,53,80,92,27,6,201,96,92,32,15,232,92,86,22,11,212,79,95,45,5,229,76,105,36,8,222,32,51,17,4,94,79,92,38,7,214,0,7,4,0,9,577,667,242,62,1547,0,3,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,3,0,0,6,0,11,11,0,3,0,17,10,3,3,0,18,14,14,5,5,43,70,81,25,9,181,104,79,39,10,238,95,120,33,8,256,94,99,27,6,224,109,108,29,5,252,77,99,36,6,221,85,97,31,13,225,4,0,3,4,8,685,716,231,64,1703,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,3,0,0,4,4,5,0,0,3
LGA50420,20,10,4,0,35,4,3,4,3,12,18,13,4,5,38,12,10,3,3,25,30,7,3,4,42,62,37,12,18,124,82,80,24,7,194,138,118,40,17,312,431,381,119,40,981,371,439,127,26,970,347,372,102,27,846,330,381,133,27,875,355,397,125,21,901,159,197,54,13,423,365,363,137,58,928,31,37,12,8,83,2757,2859,906,269,6795,13,26,7,4,57,6,11,3,0,17,18,12,3,0,34,8,9,0,0,22,23,16,4,9,48,40,21,7,11,75,90,55,13,11,162,125,87,31,20,262,402,348,94,33,865,433,375,94,41,938,465,471,112,27,1077,307,372,87,27,798,446,493,126,25,1088,351,460,132,26,966,319,335,104,35,788,24,18,12,0,52,3068,3087,837,263,7254,21,5,6,0,28,0,6,3,0,8,3,3,0,0,10,4,0,5,0,11,8,12,4,0,31,25,14,5,0,49
LGA50490,13,5,3,4,28,4,4,0,0,11,12,6,4,5,22,5,9,0,5,16,13,6,6,6,34,37,23,12,9,79,48,23,14,6,95,79,39,19,13,153,232,208,71,19,526,236,187,64,27,517,181,173,68,6,430,188,183,59,16,448,164,134,44,8,349,47,70,19,12,151,194,156,75,25,446,16,24,5,9,51,1465,1248,471,174,3356,14,11,0,3,31,8,0,0,0,8,13,3,11,5,29,5,3,0,0,11,31,10,3,12,58,19,19,7,10,57,43,30,17,0,93,66,59,15,9,156,231,157,67,31,484,231,221,74,34,555,226,224,67,28,545,140,158,46,14,365,201,191,77,14,479,125,138,53,11,327,194,161,55,43,450,9,7,6,5,30,1547,1400,504,214,3659,14,4,0,5,23,0,0,0,0,3,4,3,5,3,9,7,5,0,0,12,10,3,3,6,19,18,6,9,3,37
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,4,0,3,8,3,9,5,3,14,9,7,3,3,28,6,4,6,0,13,3,11,0,0,11,4,7,3,0,13,9,0,0,0,9,0,0,0,0,0,17,11,6,3,36,0,0,0,0,0,55,49,25,17,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,5,3,0,0,4,4,3,0,0,9,10,10,8,0,27,13,4,5,5,26,0,5,0,0,9,9,9,3,0,19,4,4,0,0,8,4,0,4,0,9,14,11,4,3,34,0,0,0,0,0,62,52,21,8,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,5,5,0,0,16,4,3,3,0,12,11,6,0,3,18,12,29,4,3,47,13,11,5,0,30,7,4,4,0,17,14,14,16,6,53,0,0,0,0,3,68,79,37,14,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,3,0,0,0,3,3,4,0,0,9,5,0,3,3,6,4,12,0,0,21,12,19,8,0,38,7,7,4,6,26,17,14,8,5,37,11,13,0,0,26,17,17,6,3,40,3,0,0,0,4,77,89,38,13,213,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50770,0,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,7,0,0,9,0,0,4,0,11,7,13,3,4,31,11,11,4,0,28,9,7,6,0,21,5,7,0,0,12,3,5,0,0,7,0,0,0,0,0,8,20,7,6,42,0,0,0,0,5,50,77,27,15,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,4,0,0,3,7,10,11,3,34,4,6,6,0,22,15,9,0,0,19,8,4,4,0,16,3,6,0,0,11,0,4,0,0,9,9,10,5,0,28,0,6,0,0,4,57,62,39,10,165,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
