LGA_CODE_2021,C11_M_Post_Deg_15_19_yrs,C11_M_Post_Deg_20_24_yrs,C11_M_Post_Deg_25_34_yrs,C11_M_Post_Deg_35_44_yrs,C11_M_Post_Deg_45_54_yrs,C11_M_Post_Deg_55_64_yrs,C11_M_Post_Deg_65_74_yrs,C11_M_Post_Deg_75_84_yrs,C11_M_Post_Deg_85over,C11_M_Post_Deg_Tot,C11_M_GrDip_GrCe_15_19,C11_M_GrDip_GrCe_20_24,C11_M_GrDip_GrCe_25_34,C11_M_GrDip_GrCe_35_44,C11_M_GrDip_GrCe_45_54,C11_M_GrDip_GrCe_55_64,C11_M_GrDip_GrCe_65_74,C11_M_GrDip_GrCe_75_84,C11_M_GrDip_GrCe_85over,C11_M_GrDip_GrCe_Tot,C11_M_BD_15_19,C11_M_BD_20_24,C11_M_BD_25_34,C11_M_BD_35_44,C11_M_BD_45_54,C11_M_BD_55_64,C11_M_BD_65_74,C11_M_BD_75_84,C11_M_BD_85over,C11_M_BD_Tot,C11_M_AdD_DL_15_19,C11_M_AdD_DL_20_24,C11_M_AdD_DL_25_34,C11_M_AdD_DL_35_44,C11_M_AdD_DL_45_54,C11_M_AdD_DL_55_64,C11_M_AdD_DL_65_74,C11_M_AdD_DL_75_84,C11_M_AdD_DL_85over,C11_M_AdD_DL_Tot,C11_M_CL_C_III_IV_15_19,C11_M_CL_C_III_IV_20_24,C11_M_CL_C_III_IV_25_34,C11_M_CL_C_III_IV_35_44,C11_M_CL_C_III_IV_45_54,C11_M_CL_C_III_IV_55_64,C11_M_CL_C_III_IV_65_74,C11_M_CL_C_III_IV_75_84,C11_M_CL_C_III_IV_85over,C11_M_CL_C_III_IV_Tot,C11_M_CL_C_I_II_15_19,C11_M_CL_C_I_II_20_24,C11_M_CL_C_I_II_25_34,C11_M_CL_C_I_II_35_44,C11_M_CL_C_I_II_45_54,C11_M_CL_C_I_II_55_64,C11_M_CL_C_I_II_65_74,C11_M_CL_C_I_II_75_84,C11_M_CL_C_I_II_85over,C11_M_CL_C_I_II_Tot,C11_M_CL_CL_nfd_15_19,C11_M_CL_CL_nfd_20_24,C11_M_CL_CL_nfd_25_34,C11_M_CL_CL_nfd_35_44,C11_M_CL_CL_nfd_45_54,C11_M_CL_CL_nfd_55_64,C11_M_CL_CL_nfd_65_74,C11_M_CL_CL_nfd_75_84,C11_M_CL_CL_nfd_85over,C11_M_CL_CL_nfd_Tot,C11_M_CL_Tot_15_19,C11_M_CL_Tot_20_24,C11_M_CL_Tot_25_34,C11_M_CL_Tot_35_44,C11_M_CL_Tot_45_54,C11_M_CL_Tot_55_64,C11_M_CL_Tot_65_74,C11_M_CL_Tot_75_84,C11_M_CL_Tot_85over,C11_M_CL_Tot_Tot,C11_M_LE_ID_15_19,C11_M_LE_ID_20_24,C11_M_LE_ID_25_34,C11_M_LE_ID_35_44,C11_M_LE_ID_45_54,C11_M_LE_ID_55_64,C11_M_LE_ID_65_74,C11_M_LE_ID_75_84,C11_M_LE_ID_85over,C11_M_LE_ID_Tot,C11_M_LE_NS_15_19,C11_M_LE_NS_20_24,C11_M_LE_NS_25_34,C11_M_LE_NS_35_44,C11_M_LE_NS_45_54,C11_M_LE_NS_55_64,C11_M_LE_NS_65_74,C11_M_LE_NS_75_84,C11_M_LE_NS_85over,C11_M_LE_NS_Tot,C11_M_Tot_15_19_yrs,C11_M_Tot_20_24_yrs,C11_M_Tot_25_34_yrs,C11_M_Tot_35_44_yrs,C11_M_Tot_45_54_yrs,C11_M_Tot_55_64_yrs,C11_M_Tot_65_74_yrs,C11_M_Tot_75_84_yrs,C11_M_Tot_85over,C11_M_Tot_Tot,C16_M_Post_Deg_15_19_yrs,C16_M_Post_Deg_20_24_yrs,C16_M_Post_Deg_25_34_yrs,C16_M_Post_Deg_35_44_yrs,C16_M_Post_Deg_45_54_yrs,C16_M_Post_Deg_55_64_yrs,C16_M_Post_Deg_65_74_yrs,C16_M_Post_Deg_75_84_yrs,C16_M_Post_Deg_85over,C16_M_Post_Deg_Tot,C16_M_GrDip_GrCe_15_19,C16_M_GrDip_GrCe_20_24,C16_M_GrDip_GrCe_25_34,C16_M_GrDip_GrCe_35_44,C16_M_GrDip_GrCe_45_54,C16_M_GrDip_GrCe_55_64,C16_M_GrDip_GrCe_65_74,C16_M_GrDip_GrCe_75_84,C16_M_GrDip_GrCe_85over,C16_M_GrDip_GrCe_Tot,C16_M_BD_15_19,C16_M_BD_20_24,C16_M_BD_25_34,C16_M_BD_35_44,C16_M_BD_45_54,C16_M_BD_55_64,C16_M_BD_65_74,C16_M_BD_75_84,C16_M_BD_85over,C16_M_BD_Tot,C16_M_AdD_DL_15_19,C16_M_AdD_DL_20_24,C16_M_AdD_DL_25_34,C16_M_AdD_DL_35_44,C16_M_AdD_DL_45_54,C16_M_AdD_DL_55_64,C16_M_AdD_DL_65_74,C16_M_AdD_DL_75_84,C16_M_AdD_DL_85over,C16_M_AdD_DL_Tot,C16_M_CL_C_III_IV_15_19,C16_M_CL_C_III_IV_20_24,C16_M_CL_C_III_IV_25_34,C16_M_CL_C_III_IV_35_44,C16_M_CL_C_III_IV_45_54,C16_M_CL_C_III_IV_55_64,C16_M_CL_C_III_IV_65_74,C16_M_CL_C_III_IV_75_84,C16_M_CL_C_III_IV_85over,C16_M_CL_C_III_IV_Tot,C16_M_CL_C_I_II_15_19,C16_M_CL_C_I_II_20_24,C16_M_CL_C_I_II_25_34,C16_M_CL_C_I_II_35_44,C16_M_CL_C_I_II_45_54,C16_M_CL_C_I_II_55_64,C16_M_CL_C_I_II_65_74,C16_M_CL_C_I_II_75_84,C16_M_CL_C_I_II_85over,C16_M_CL_C_I_II_Tot,C16_M_CL_CL_nfd_15_19,C16_M_CL_CL_nfd_20_24,C16_M_CL_CL_nfd_25_34,C16_M_CL_CL_nfd_35_44,C16_M_CL_CL_nfd_45_54,C16_M_CL_CL_nfd_55_64,C16_M_CL_CL_nfd_65_74,C16_M_CL_CL_nfd_75_84,C16_M_CL_CL_nfd_85over,C16_M_CL_CL_nfd_Tot,C16_M_CL_Tot_15_19,C16_M_CL_Tot_20_24,C16_M_CL_Tot_25_34,C16_M_CL_Tot_35_44,C16_M_CL_Tot_45_54,C16_M_CL_Tot_55_64,C16_M_CL_Tot_65_74,C16_M_CL_Tot_75_84,C16_M_CL_Tot_85over,C16_M_CL_Tot_Tot,C16_M_LE_ID_15_19,C16_M_LE_ID_20_24,C16_M_LE_ID_25_34,C16_M_LE_ID_35_44,C16_M_LE_ID_45_54,C16_M_LE_ID_55_64,C16_M_LE_ID_65_74,C16_M_LE_ID_75_84,C16_M_LE_ID_85over,C16_M_LE_ID_Tot
LGA50080,0,0,12,36,39,61,29,9,7,191,0,0,12,28,32,34,12,0,0,124,0,14,128,227,189,200,70,41,16,885,4,15,80,137,200,177,117,41,9,782,84,324,535,647,674,523,329,144,28,3285,46,41,26,14,13,12,8,0,0,159,0,10,21,23,36,25,20,13,0,146,127,368,583,682,717,561,357,154,26,3594,0,3,27,24,27,46,38,37,11,220,127,134,212,231,174,143,122,151,56,1358,262,540,1060,1364,1382,1227,744,437,124,7147,0,0,20,44,40,51,49,16,0,230,0,0,12,36,33,48,30,7,0,168,0,25,127,208,223,230,148,49,10,1023,4,32,108,155,217,270,142,61,17,1011,95,312,725,641,705,654,480,201,67,3886,56,37,33,16,21,16,10,4,0,204,10,20,26,42,39,42,46,25,0,248,158,372,783,697,768,717,539,234,70,4338,0,3,13,19,12,15,17,11,6,99
LGA50210,0,4,102,98,75,63,39,9,4,387,0,0,42,35,41,39,21,5,0,188,0,98,428,393,286,225,106,33,12,1574,6,90,342,269,304,247,137,56,8,1454,185,674,1409,1212,1340,1202,640,270,61,6988,44,38,60,32,31,18,4,0,0,232,3,25,64,55,54,39,22,11,0,279,236,743,1530,1305,1420,1263,668,285,59,7503,4,13,83,68,67,75,51,26,12,395,187,177,327,336,330,252,180,164,49,1997,432,1123,2836,2503,2521,2166,1203,579,143,13497,0,4,262,346,134,84,59,20,7,912,0,9,68,67,67,48,24,8,0,292,0,155,943,846,460,289,186,58,13,2956,19,116,652,580,439,311,195,89,9,2412,123,696,2046,1475,1409,1228,831,341,71,8226,71,74,84,53,33,24,18,0,0,351,15,36,78,117,95,92,58,19,6,517,212,812,2212,1643,1531,1339,904,361,76,9097,7,5,41,41,41,27,30,8,9,216
LGA50250,0,0,22,13,8,3,0,0,0,48,0,0,15,12,3,0,4,0,0,30,0,39,142,85,46,21,3,0,0,333,0,6,75,85,81,32,4,0,0,285,12,151,573,588,405,180,15,0,0,1931,0,5,16,17,6,4,0,0,0,42,0,7,11,13,9,7,3,0,0,50,12,163,595,618,418,184,21,0,0,2019,0,0,11,15,9,11,0,0,0,46,19,113,337,312,247,107,16,4,0,1155,35,329,1192,1142,806,363,47,0,0,3920,0,0,43,58,23,11,0,0,0,138,0,0,11,15,13,4,0,0,0,44,0,21,228,183,115,49,9,0,0,609,0,6,115,166,138,76,11,0,0,513,11,130,1060,903,706,346,34,4,0,3190,4,6,29,18,11,8,0,0,0,63,0,3,19,37,32,15,4,0,0,105,12,138,1108,957,739,370,35,4,0,3363,0,4,7,9,15,7,0,0,0,44
LGA50280,0,0,5,17,8,15,13,10,0,70,0,0,4,10,13,19,3,0,0,50,0,8,86,153,102,88,52,13,0,495,0,10,39,65,56,67,43,18,4,305,24,50,243,304,316,210,66,41,5,1263,4,3,16,10,6,3,5,0,0,44,0,0,9,14,10,10,5,4,0,51,25,54,264,330,338,219,75,44,6,1355,0,0,17,8,8,11,10,3,0,58,42,25,85,96,82,71,29,32,16,480,67,94,511,684,601,489,228,117,35,2818,0,0,12,18,13,16,33,5,3,104,0,0,11,18,19,17,10,4,0,70,0,8,135,189,128,119,88,25,3,698,0,0,59,93,69,77,56,42,5,395,13,62,272,400,344,289,135,46,14,1577,8,3,14,20,4,5,3,0,0,59,0,4,16,23,15,13,18,3,0,88,28,72,292,435,363,305,159,52,21,1729,0,5,7,8,16,7,3,3,0,34
LGA50350,0,0,38,45,26,21,10,0,0,145,0,0,17,26,24,11,4,0,0,84,0,46,211,178,109,69,28,9,5,652,0,35,93,109,86,73,31,13,4,452,25,118,234,279,282,276,123,82,26,1440,3,8,19,14,0,6,0,0,0,60,0,3,9,8,14,15,3,0,0,57,32,131,261,298,297,302,132,84,27,1550,0,6,17,18,16,15,16,9,0,99,39,36,64,77,80,67,46,42,15,469,72,256,705,745,642,564,270,159,47,3454,0,0,60,68,44,29,15,0,0,216,0,5,28,30,32,25,9,3,0,119,0,32,252,220,141,78,42,16,3,795,0,34,106,120,103,85,42,12,6,506,16,80,274,279,287,254,173,84,23,1470,18,12,6,7,4,5,4,0,0,56,3,0,20,11,20,7,11,6,0,84,36,100,298,304,310,266,189,91,20,1611,0,0,12,6,5,4,6,3,0,42
LGA50420,0,26,319,247,163,110,51,6,0,929,0,10,94,138,94,59,15,3,0,406,4,299,1391,983,590,365,149,58,18,3855,15,163,552,444,387,340,197,80,27,2198,79,484,1123,1021,1015,935,619,286,93,5655,15,33,47,34,27,23,8,0,0,183,9,21,53,54,53,48,19,3,3,260,102,541,1219,1113,1089,1009,641,292,97,6095,3,31,87,82,80,59,39,33,16,439,183,219,513,363,326,300,247,208,99,2459,302,1278,4172,3367,2729,2237,1348,685,259,16375,0,29,401,401,229,126,86,16,8,1283,0,13,122,148,104,67,40,10,0,499,0,336,1554,1193,715,480,250,84,17,4634,13,159,632,525,448,363,225,89,30,2486,78,391,1314,982,940,934,671,363,92,5756,38,42,48,42,25,19,10,4,0,232,5,22,61,74,67,75,50,27,12,384,119,458,1428,1098,1038,1025,726,388,99,6372,3,10,50,41,46,26,17,18,6,227
LGA50490,0,5,196,112,51,46,20,0,0,428,0,3,47,47,30,24,3,0,0,156,6,125,720,442,230,120,44,15,3,1706,3,125,308,236,176,120,66,32,8,1070,49,318,718,650,565,485,285,200,48,3304,13,27,42,16,27,13,7,0,0,143,10,5,31,24,26,18,8,4,0,128,72,350,789,693,610,513,295,206,49,3579,9,24,71,40,44,28,27,19,10,279,103,196,394,314,272,194,143,136,61,1824,186,837,2532,1872,1417,1046,597,404,136,9043,0,7,282,245,92,54,34,10,0,722,0,9,58,36,41,37,11,3,0,206,0,183,951,567,279,173,75,19,0,2257,11,126,486,287,213,171,87,34,16,1428,47,300,897,634,609,475,322,201,57,3545,17,41,33,19,8,8,7,3,0,131,6,23,52,44,45,38,25,12,4,237,68,359,976,706,662,523,352,214,59,3915,6,13,41,25,23,17,10,3,3,142
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,8,3,11,7,8,0,0,30,0,0,4,3,0,18,0,0,0,28,0,3,13,16,28,41,29,12,0,144,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,7,10,25,28,40,35,12,0,154,0,0,0,0,4,4,7,6,0,13,5,4,7,11,10,8,11,7,0,62,6,8,29,39,55,76,50,22,3,294,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,9,6,14,9,4,5,0,42,0,0,3,6,10,12,9,3,0,41,0,4,16,23,24,37,32,17,3,168,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,9,4,4,0,17,0,9,19,28,31,45,35,23,3,190,0,0,0,0,0,0,5,0,0,4
LGA50630,0,0,0,8,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,6,20,17,16,12,0,0,0,73,0,0,11,13,7,18,3,0,0,49,7,24,77,84,67,36,14,4,0,311,5,0,5,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,7,8,25,83,88,70,36,14,4,0,326,0,0,0,0,4,4,5,0,0,16,13,19,94,81,61,29,5,3,4,319,23,48,212,207,168,95,29,9,6,800,0,0,0,3,0,0,3,0,0,14,0,0,0,0,0,4,0,0,0,0,0,3,17,15,15,0,3,0,0,51,0,0,4,10,7,6,6,0,0,47,3,14,48,53,52,41,17,8,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,14,3,17,44,57,53,45,16,6,0,245,0,0,0,0,0,0,3,0,0,4
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,12,3,9,0,0,0,37,0,4,0,8,7,8,7,0,0,33,0,7,12,25,40,30,11,6,5,138,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,4,0,0,0,8,5,10,17,27,44,32,13,6,4,160,0,0,0,3,0,0,4,0,0,8,3,0,0,7,15,7,8,0,7,48,9,11,32,60,66,62,31,14,7,290,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,15,3,7,0,4,0,38,0,0,3,8,6,3,10,4,0,34,0,12,17,31,34,35,20,5,3,145,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,12,0,12,19,28,32,38,19,6,0,161,0,0,0,0,0,0,0,0,0,4
