LGA_CODE_2021,Ag_forest_fish_C11_M,Ag_forest_fish_C11_F,Ag_forest_fish_C11_P,Ag_forest_fish_C16_M,Ag_forest_fish_C16_F,Ag_forest_fish_C16_P,Ag_forest_fish_C21_M,Ag_forest_fish_C21_F,Ag_forest_fish_C21_P,Mining_C11_M,Mining_C11_F,Mining_C11_P,Mining_C16_M,Mining_C16_F,Mining_C16_P,Mining_C21_M,Mining_C21_F,Mining_C21_P,Manuf_C11_M,Manuf_C11_F,Manuf_C11_P,Manuf_C16_M,Manuf_C16_F,Manuf_C16_P,Manuf_C21_M,Manuf_C21_F,Manuf_C21_P,Ele_gas_wat_was_ser_C11_Cen_M,Ele_gas_wat_was_ser_C11_Cen_F,Ele_gas_wat_was_ser_C11_Cen_P,Ele_gas_wat_was_ser_C16_Cen_M,Ele_gas_wat_was_ser_C16_Cen_F,Ele_gas_wat_was_ser_C16_Cen_P,Ele_gas_wat_was_ser_C21_Cen_M,Ele_gas_wat_was_ser_C21_Cen_F,Ele_gas_wat_was_ser_C21_Cen_P,Constr_C11_M,Constr_C11_F,Constr_C11_P,Constr_C16_M,Constr_C16_F,Constr_C16_P,Constr_C21_M,Constr_C21_F,Constr_C21_P,Whlesale_tde_C11_M,Whlesale_tde_C11_F,Whlesale_tde_C11_P,Whlesale_tde_C16_M,Whlesale_tde_C16_F,Whlesale_tde_C16_P,Whlesale_tde_C21_M,Whlesale_tde_C21_F,Whlesale_tde_C21_P,Retail_tde_C11_M,Retail_tde_C11_F,Retail_tde_C11_P,Retail_tde_C16_M,Retail_tde_C16_F,Retail_tde_C16_P,Retail_tde_C21_M,Retail_tde_C21_F,Retail_tde_C21_P,Accom_food_S_C11_M,Accom_food_S_C11_F,Accom_food_S_C11_P,Accom_food_S_C16_M,Accom_food_S_C16_F,Accom_food_S_C16_P,Accom_food_S_C21_M,Accom_food_S_C21_F,Accom_food_S_C21_P,Tpt_post_ware_C11_M,Tpt_post_ware_C11_F,Tpt_post_ware_C11_P,Tpt_post_ware_C16_M,Tpt_post_ware_C16_F,Tpt_post_ware_C16_P,Tpt_post_ware_C21_M,Tpt_post_ware_C21_F,Tpt_post_ware_C21_P,Inf_Medi_Tele_C11_M,Inf_Medi_Tele_C11_F,Inf_Medi_Tele_C11_P,Inf_Medi_Tele_C16_M,Inf_Medi_Tele_C16_F,Inf_Medi_Tele_C16_P,Inf_Medi_Tele_C21_M,Inf_Medi_Tele_C21_F,Inf_Medi_Tele_C21_P,Finan_Insu_S_C11_M,Finan_Insu_S_C11_F,Finan_Insu_S_C11_P,Finan_Insu_S_C16_M,Finan_Insu_S_C16_F,Finan_Insu_S_C16_P,Finan_Insu_S_C21_M,Finan_Insu_S_C21_F,Finan_Insu_S_C21_P,Rent_hir_re_est_S_C11_Cen_M,Rent_hir_re_est_S_C11_Cen_F,Rent_hir_re_est_S_C11_Cen_P,Rent_hir_re_est_S_C16_Cen_M,Rent_hir_re_est_S_C16_Cen_F,Rent_hir_re_est_S_C16_Cen_P,Rent_hir_re_est_S_C21_Cen_M,Rent_hir_re_est_S_C21_Cen_F,Rent_hir_re_est_S_C21_Cen_P,Prof_scie_tech_S_C11_Cens_M,Prof_scie_tech_S_C11_Cens_F,Prof_scie_tech_S_C11_Cens_P,Prof_scie_tech_S_C16_Cens_M,Prof_scie_tech_S_C16_Cens_F,Prof_scie_tech_S_C16_Cens_P,Prof_scie_tech_S_C21_Cens_M,Prof_scie_tech_S_C21_Cens_F,Prof_scie_tech_S_C21_Cens_P,Admin_supp_S_C11_M,Admin_supp_S_C11_F,Admin_supp_S_C11_P,Admin_supp_S_C16_M,Admin_supp_S_C16_F,Admin_supp_S_C16_P,Admin_supp_S_C21_M,Admin_supp_S_C21_F,Admin_supp_S_C21_P,Pub_admin_safet_C11_M,Pub_admin_safet_C11_F,Pub_admin_safet_C11_P,Pub_admin_safet_C16_M,Pub_admin_safet_C16_F,Pub_admin_safet_C16_P,Pub_admin_safet_C21_M,Pub_admin_safet_C21_F,Pub_admin_safet_C21_P,Educ_trn_C11_M,Educ_trn_C11_F,Educ_trn_C11_P,Educ_trn_C16_M,Educ_trn_C16_F,Educ_trn_C16_P,Educ_trn_C21_M,Educ_trn_C21_F,Educ_trn_C21_P,Hea_car_soc_assist_C11_Cens_M,Hea_car_soc_assist_C11_Cens_F,Hea_car_soc_assist_C11_Cens_P,Hea_car_soc_assist_C16_Cens_M,Hea_car_soc_assist_C16_Cens_F,Hea_car_soc_assist_C16_Cens_P,Hea_car_soc_assist_C21_Cens_M,Hea_car_soc_assist_C21_Cens_F,Hea_car_soc_assist_C21_Cens_P,Arts_rec_S_C11_M,Arts_rec_S_C11_F,Arts_rec_S_C11_P,Arts_rec_S_C16_M,Arts_rec_S_C16_F,Arts_rec_S_C16_P,Arts_rec_S_C21_M,Arts_rec_S_C21_F,Arts_rec_S_C21_P,Oth_services_C11_M,Oth_services_C11_F,Oth_services_C11_P,Oth_services_C16_M,Oth_services_C16_F,Oth_services_C16_P,Oth_services_C21_M,Oth_services_C21_F,Oth_services_C21_P,Inad_descr_Ns_C11_M,Inad_descr_Ns_C11_F,Inad_descr_Ns_C11_P,Inad_descr_Ns_C16_M,Inad_descr_Ns_C16_F,Inad_descr_Ns_C16_P,Inad_descr_Ns_C21_M,Inad_descr_Ns_C21_F,Inad_descr_Ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
LGA50080,676,283,957,791,302,1095,841,335,1184,222,19,243,266,25,289,384,37,421,833,226,1061,671,216,892,674,235,905,159,38,199,143,34,176,156,45,200,1328,173,1500,1318,187,1502,1383,225,1611,288,108,400,247,90,340,311,95,404,793,1221,2016,765,1163,1927,826,1156,1985,338,620,958,407,685,1096,549,810,1354,515,116,634,499,109,610,514,136,649,65,59,120,67,67,130,63,53,111,92,175,267,89,154,247,96,138,233,99,144,244,101,145,247,91,138,230,269,343,611,279,345,624,292,381,667,240,212,455,220,255,474,221,243,461,606,437,1045,637,415,1046,634,451,1087,385,973,1353,425,1171,1598,453,1185,1641,374,1531,1911,431,1677,2099,589,2310,2903,67,103,173,100,123,220,86,118,205,338,278,614,372,358,728,396,340,734,161,103,266,398,244,642,375,241,617,7857,7176,15029,8230,7759,15987,8925,8676,17599
LGA50210,182,115,305,190,129,325,238,151,385,956,243,1203,1366,294,1656,2068,515,2582,2537,692,3228,1974,627,2603,2259,752,3010,273,94,366,317,116,442,401,121,517,2799,439,3239,3209,530,3746,3466,626,4092,996,487,1482,866,387,1257,1082,447,1530,1298,2069,3371,1576,2352,3931,1778,2480,4264,521,880,1399,855,1070,1923,1071,1363,2434,1467,484,1954,1865,613,2476,2233,680,2916,156,123,272,204,131,335,214,104,325,185,357,547,277,432,709,293,498,791,238,280,517,266,320,590,275,272,541,898,708,1602,1061,731,1801,1346,1042,2394,472,424,895,586,559,1145,655,759,1410,934,834,1763,1169,1002,2164,1317,1168,2487,533,1541,2075,675,2037,2711,791,2708,3499,527,2658,3184,818,3732,4546,1249,5237,6485,145,160,306,212,235,450,253,307,564,807,506,1313,972,687,1656,1011,784,1791,467,255,723,1212,623,1838,1598,846,2444,16401,13350,29746,19664,16627,36286,23594,20859,44453
LGA50250,38,22,56,45,39,80,27,31,59,2404,558,2960,2388,447,2835,1480,373,1853,70,12,80,98,13,106,13,9,30,31,5,40,71,12,82,13,12,28,811,87,903,2124,191,2310,286,40,323,38,20,52,53,6,64,45,12,56,45,133,178,33,92,129,38,80,114,144,204,350,217,183,401,86,116,200,178,63,241,147,74,222,64,45,113,15,0,13,6,4,7,5,0,9,4,13,17,5,9,11,0,3,12,24,20,39,39,17,53,16,23,44,127,28,156,661,77,734,20,16,34,82,88,166,128,118,247,55,99,153,72,91,161,79,105,183,68,104,167,35,193,226,31,192,226,25,232,254,18,151,162,13,118,136,17,143,159,0,4,3,12,5,12,6,3,11,86,29,112,63,45,106,32,37,73,70,33,101,297,63,355,89,56,145,4285,1750,6045,6505,1801,8302,2387,1444,3828
LGA50280,373,164,532,409,202,606,433,181,616,181,33,213,281,32,314,478,54,533,493,246,735,446,275,722,455,305,761,44,5,54,45,9,51,48,7,55,584,77,660,644,91,728,724,99,822,84,49,133,74,33,106,78,51,129,195,409,608,237,460,694,251,527,783,223,432,659,332,461,788,407,575,985,120,37,160,102,37,134,115,48,161,18,12,29,18,8,26,19,11,31,24,40,58,19,41,64,23,51,79,45,66,115,47,78,127,45,72,119,112,110,219,123,141,264,168,186,349,108,102,211,160,152,311,160,195,354,115,85,198,104,110,211,140,147,282,98,310,404,127,454,585,179,540,725,62,350,409,96,431,531,141,636,774,33,20,55,52,61,111,59,66,131,89,82,169,100,115,211,123,138,260,68,38,107,186,124,315,194,166,363,3066,2674,5742,3577,3316,6891,4245,4049,8297
LGA50350,8,6,14,32,13,41,17,12,29,198,86,285,247,89,339,359,130,485,493,127,620,290,114,406,281,132,411,54,30,80,51,18,71,45,36,78,567,79,652,535,106,647,615,100,716,176,95,275,133,75,210,142,72,214,289,409,694,241,327,568,282,367,653,174,215,387,162,262,422,192,249,438,273,96,365,264,86,350,243,94,342,52,48,92,57,43,98,48,41,86,97,111,209,85,115,201,94,114,213,69,70,137,65,56,119,51,55,108,323,236,559,288,232,522,366,308,671,116,131,252,104,125,230,104,124,225,310,330,635,318,317,635,302,326,634,178,427,611,196,494,689,218,590,809,179,642,823,200,731,927,242,879,1122,69,66,136,87,74,162,106,95,199,157,128,284,154,144,300,129,164,291,90,62,156,212,90,303,235,124,359,3873,3382,7255,3728,3510,7246,4083,4014,8098
LGA50420,66,24,83,73,42,118,73,52,126,925,436,1361,973,400,1376,1517,598,2115,2002,678,2682,1281,502,1778,1168,481,1647,228,126,360,216,120,333,264,138,399,2339,419,2761,2485,448,2932,2338,478,2813,860,418,1277,575,291,869,579,281,855,1443,1822,3260,1381,1635,3015,1455,1657,3110,1045,1128,2167,1253,1267,2525,1276,1352,2624,1101,357,1456,1064,373,1444,1300,409,1701,321,213,538,310,153,458,264,139,399,470,597,1066,418,521,941,451,561,1012,270,263,536,258,308,562,243,256,499,1650,1237,2889,1533,1153,2684,1908,1410,3313,539,606,1143,576,593,1176,583,607,1187,1314,1122,2436,1308,1245,2555,1310,1316,2623,744,1621,2371,812,1898,2709,917,2229,3146,803,2733,3537,850,3074,3925,1104,3873,4979,293,272,568,335,337,677,409,415,822,712,588,1295,732,674,1408,700,768,1472,437,294,734,1040,544,1580,1088,614,1701,17556,14963,32516,17484,15581,33067,18919,17633,36553
LGA50490,26,24,50,57,30,83,47,31,74,703,296,999,778,268,1050,1236,486,1718,1125,338,1460,720,234,952,745,284,1029,128,57,184,114,61,174,125,60,187,1277,230,1510,1544,259,1802,1410,327,1740,526,278,805,380,188,572,466,189,653,719,870,1593,734,874,1600,842,965,1807,546,696,1244,741,784,1525,882,886,1770,973,328,1299,974,328,1299,1124,326,1448,126,93,221,152,74,230,135,66,194,183,305,489,208,305,506,211,303,517,189,143,332,182,190,372,170,188,352,715,523,1235,637,521,1165,973,730,1705,310,353,669,390,378,761,415,461,880,523,554,1077,564,538,1098,620,629,1242,309,684,992,344,789,1134,417,957,1373,344,1202,1548,408,1587,1993,571,2173,2744,230,229,460,283,241,524,299,303,601,426,289,714,449,368,817,446,400,843,286,153,439,614,319,931,719,353,1076,9665,7653,17315,10259,8333,18599,11855,10113,21968
LGA50560,137,49,182,135,54,191,149,53,198,29,0,29,34,6,41,27,6,34,30,4,32,30,18,42,15,7,23,0,0,0,0,0,0,3,0,0,33,5,35,27,6,36,32,7,38,7,6,9,10,5,14,9,8,22,15,23,40,7,32,37,7,25,33,8,11,19,3,16,21,6,14,26,23,7,35,23,12,38,17,13,27,0,0,0,3,3,5,0,3,3,3,5,8,0,8,6,0,12,12,0,3,3,0,0,3,0,6,6,8,5,13,9,12,24,9,9,15,8,9,12,6,9,9,6,7,10,23,17,41,27,22,47,21,17,41,7,40,49,3,38,51,7,45,48,12,64,74,9,54,63,8,49,61,0,0,0,0,4,0,7,5,9,8,11,15,11,9,17,9,6,16,5,4,11,21,9,27,19,8,28,347,264,612,365,303,673,344,311,651
LGA50630,36,19,56,39,18,59,48,22,64,357,104,463,280,95,374,189,68,254,48,17,62,28,8,39,48,27,72,3,0,0,7,0,7,4,0,7,135,14,146,29,8,38,35,14,47,4,5,10,5,0,4,10,0,10,16,16,32,16,28,47,9,22,32,10,59,73,9,26,33,4,31,36,3,5,11,16,11,24,3,10,14,0,0,3,0,0,0,0,0,0,7,6,10,0,3,7,0,0,3,4,3,8,3,3,9,0,3,3,24,10,32,4,8,16,0,10,11,8,15,22,13,13,26,8,7,19,22,21,39,14,23,37,20,21,37,12,38,57,11,46,53,16,38,51,4,45,50,6,41,44,7,38,44,0,0,0,0,3,3,0,0,0,36,9,45,17,8,20,18,9,25,17,0,19,13,9,26,10,13,22,761,385,1147,506,350,856,428,333,759
LGA50770,216,97,311,240,107,345,247,108,356,20,4,27,23,5,25,40,11,50,17,6,29,6,0,13,16,7,21,3,0,4,6,0,4,3,0,7,30,4,38,33,4,36,27,12,36,14,5,16,13,4,13,11,4,10,8,34,43,5,40,48,9,33,44,5,17,18,3,16,22,10,19,23,16,12,25,16,4,25,13,13,24,0,0,0,0,0,0,0,0,0,0,4,4,0,3,3,0,6,6,4,5,7,3,0,4,0,6,3,6,8,16,3,13,16,4,8,17,3,0,4,0,8,14,3,8,8,27,11,32,16,18,37,15,24,35,15,45,57,11,38,49,14,43,53,11,45,53,6,41,50,5,52,62,0,3,3,0,3,3,0,0,5,12,7,22,5,10,12,14,10,19,11,9,20,17,11,34,21,16,31,409,322,731,416,330,750,439,372,807
