SA2_CODE_2021,C21_Chr_Ch_nfd_0_14,C21_Chr_Ch_nfd_15_24,C21_Chr_Ch_nfd_25_34,C21_Chr_Ch_nfd_35_44,C21_Chr_Ch_nfd_45_54,C21_Chr_Ch_nfd_55_64,C21_Chr_Ch_nfd_65_74,C21_Chr_Ch_nfd_75_84,C21_Chr_Ch_nfd_85ov,C21_Chr_Ch_nfd_Tot,C21_Chr_Oth_Ch_0_14,C21_Chr_Oth_Ch_15_24,C21_Chr_Oth_Ch_25_34,C21_Chr_Oth_Ch_35_44,C21_Chr_Oth_Ch_45_54,C21_Chr_Oth_Ch_55_64,C21_Chr_Oth_Ch_65_74,C21_Chr_Oth_Ch_75_84,C21_Chr_Oth_Ch_85ov,C21_Chr_Oth_Ch_Tot,C21_Christ_Tot_0_14,C21_Christ_Tot_15_24,C21_Christ_Tot_25_34,C21_Christ_Tot_35_44,C21_Christ_Tot_45_54,C21_Christ_Tot_55_64,C21_Christ_Tot_65_74,C21_Christ_Tot_75_84,C21_Christ_Tot_85ov,C21_Christ_Tot_Tot,C21_Hinduism_0_14,C21_Hinduism_15_24,C21_Hinduism_25_34,C21_Hinduism_35_44,C21_Hinduism_45_54,C21_Hinduism_55_64,C21_Hinduism_65_74,C21_Hinduism_75_84,C21_Hinduism_85ov,C21_Hinduism_Tot,C21_Islam_0_14,C21_Islam_15_24,C21_Islam_25_34,C21_Islam_35_44,C21_Islam_45_54,C21_Islam_55_64,C21_Islam_65_74,C21_Islam_75_84,C21_Islam_85ov,C21_Islam_Tot,C21_Judaism_0_14,C21_Judaism_15_24,C21_Judaism_25_34,C21_Judaism_35_44,C21_Judaism_45_54,C21_Judaism_55_64,C21_Judaism_65_74,C21_Judaism_75_84,C21_Judaism_85ov,C21_Judaism_Tot,C21_OR_AusAborTrad_0_14,C21_OR_AusAborTrad15_24,C21_OR_AusAborTrad25_34,C21_OR_AusAborTrad35_44,C21_OR_AusAborTrad45_54,C21_OR_AusAborTrad55_64,C21_OR_AusAborTrad65_74,C21_OR_AusAborTrad75_84,C21_OR_AusAborTrad85ov,C21_OR_AusAborTrade_Tot,C21_OR_Sikhism_0_14,C21_OR_Sikhism_15_24,C21_OR_Sikhism_25_34,C21_OR_Sikhism_35_44,C21_OR_Sikhism_45_54,C21_OR_Sikhism_55_64,C21_OR_Sikhism_65_74,C21_OR_Sikhism_75_84,C21_OR_Sikhism_85ov,C21_OR_Sikhism_Tot,C21_OR_Ot_Re_Gr_0_14,C21_OR_Ot_Re_Gr_15_24,C21_OR_Ot_Re_Gr_25_34,C21_OR_Ot_Re_Gr_35_44,C21_OR_Ot_Re_Gr_45_54,C21_OR_Ot_Re_Gr_55_64,C21_OR_Ot_Re_Gr_65_74,C21_OR_Ot_Re_Gr_75_84,C21_OR_Ot_Re_Gr_85ov,C21_OR_Ot_Re_Gr_Tot,C21_Oth_Rel_Tot_0_14,C21_Oth_Rel_Tot_15_24,C21_Oth_Rel_Tot_25_34,C21_Oth_Rel_Tot_35_44,C21_Oth_Rel_Tot_45_54,C21_Oth_Rel_Tot_55_64,C21_Oth_Rel_Tot_65_74,C21_Oth_Rel_Tot_75_84,C21_Oth_Rel_Tot_85ov,C21_Oth_Rel_Tot_Tot,C21_SBOSB_No_RA_0_14,C21_SBOSB_No_RA_15_24,C21_SBOSB_No_RA_25_34,C21_SBOSB_No_RA_35_44,C21_SBOSB_No_RA_45_54,C21_SBOSB_No_RA_55_64,C21_SBOSB_No_RA_65_74,C21_SBOSB_No_RA_75_84,C21_SBOSB_No_RA_85ov,C21_SBOSB_No_RA_Tot,C21_Rel_aff_ns_0_14,C21_Rel_aff_ns_15_24,C21_Rel_aff_ns_25_34,C21_Rel_aff_ns_35_44,C21_Rel_aff_ns_45_54,C21_Rel_aff_ns_55_64,C21_Rel_aff_ns_65_74,C21_Rel_aff_ns_75_84,C21_Rel_aff_ns_85ov,C21_Rel_aff_ns_Tot,C21_Tot_0_14,C21_Tot_15_24,C21_Tot_25_34,C21_Tot_35_44,C21_Tot_45_54,C21_Tot_55_64,C21_Tot_65_74,C21_Tot_75_84,C21_Tot_85ov,C21_Tot_Tot
501011001,35,7,19,24,18,34,29,8,0,187,0,0,0,4,0,0,0,0,0,4,179,72,92,165,254,418,430,274,100,1981,0,0,0,3,5,0,0,0,0,10,0,0,0,6,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,9,4,4,4,0,0,15,0,0,0,9,4,3,4,0,0,23,887,281,357,651,512,491,399,107,37,3726,165,39,64,129,119,95,93,36,9,758,1250,396,523,990,908,1025,936,422,148,6595
501011003,60,16,22,44,21,39,33,11,0,258,0,0,0,0,0,0,4,0,0,6,631,257,207,483,651,738,821,469,93,4342,7,0,5,3,7,0,5,0,0,31,0,0,3,6,4,4,0,0,0,12,5,0,0,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,13,8,0,9,4,7,4,0,0,0,25,6,0,12,0,7,4,0,0,0,35,1544,567,704,1025,851,726,607,172,35,6224,204,86,126,167,169,145,139,72,16,1113,2403,916,1084,1713,1712,1630,1587,708,143,11900
501011004,27,9,23,25,23,25,15,9,0,152,0,0,0,0,0,0,0,0,0,3,296,184,178,297,411,444,409,183,86,2482,11,0,3,4,9,0,0,0,0,29,9,0,7,4,5,3,0,0,0,33,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,4,3,0,5,0,0,0,0,0,0,13,3,0,3,11,4,5,3,0,0,30,6,3,11,14,4,5,5,0,0,50,1628,589,846,1165,947,617,452,124,25,6394,208,90,148,168,197,101,96,16,25,1058,2170,877,1208,1684,1608,1194,989,327,139,10193
501011293,37,20,22,30,25,49,22,17,8,215,0,0,0,0,0,3,0,0,0,12,508,287,204,347,551,643,808,497,133,3985,8,0,4,7,4,0,0,0,0,22,20,4,15,16,17,4,3,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,8,0,0,0,0,0,28,0,0,5,6,0,3,0,0,0,23,12,0,15,15,0,3,0,0,0,53,932,539,600,556,627,528,447,162,37,4431,103,64,88,88,96,105,83,61,10,698,1594,904,931,1047,1318,1300,1350,723,184,9359
501011294,164,67,63,91,93,50,72,23,18,637,6,0,0,0,3,0,3,0,0,12,1040,533,388,739,1025,1199,1487,1045,520,7977,16,9,24,16,3,5,3,3,0,75,27,16,22,7,10,16,4,0,0,96,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,8,6,6,16,3,0,3,0,0,0,34,7,9,7,7,4,0,4,0,0,40,14,8,26,13,5,6,4,0,0,78,2284,1171,1157,1380,1221,1002,881,345,129,9556,199,94,150,190,165,169,162,130,67,1325,3599,1831,1795,2383,2463,2412,2563,1529,715,19292
501021005,185,72,70,95,86,90,61,29,3,695,0,0,0,6,7,4,0,0,0,25,1311,639,548,955,1069,1323,1182,634,139,7813,28,8,23,36,14,5,0,0,0,109,33,19,15,23,10,3,4,0,0,115,3,0,0,0,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,6,0,7,9,0,0,0,0,0,24,5,10,5,8,9,10,12,0,0,55,11,10,14,9,8,8,12,0,0,80,2727,1324,1453,1448,1145,899,583,190,36,9807,215,132,157,174,163,175,113,58,15,1199,4346,2133,2233,2670,2443,2432,1913,890,200,19256
501021007,21,13,18,14,24,29,18,11,0,143,7,0,0,0,0,0,0,3,0,11,288,167,125,188,320,416,377,193,42,2109,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,0,5,3,0,5,0,0,0,20,0,0,5,9,0,5,0,0,0,24,670,314,300,393,389,366,257,75,15,2790,83,61,40,45,72,78,71,31,10,487,1054,546,469,649,796,873,703,305,62,5457
501021008,37,24,18,36,26,15,16,4,3,181,0,0,0,0,0,0,0,0,0,7,324,180,200,253,315,442,413,258,134,2515,0,4,3,6,0,0,0,0,0,13,25,0,10,16,5,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,5,9,12,4,8,0,4,0,38,0,5,16,12,4,8,0,4,0,46,672,512,538,401,381,329,208,88,37,3167,127,119,269,244,163,104,59,26,15,1125,1158,816,1043,935,884,892,683,375,190,6976
501021009,31,9,12,18,20,23,27,12,0,145,0,0,0,0,0,0,0,0,0,10,353,204,188,306,429,622,723,363,92,3262,0,0,3,0,0,0,0,0,0,8,0,7,6,3,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,6,7,10,4,3,0,0,34,5,0,6,7,11,4,3,0,0,39,1052,635,624,561,570,570,398,137,36,4574,158,103,99,99,105,96,93,67,53,873,1571,947,920,976,1120,1301,1220,568,183,8812
501021010,30,17,8,14,18,21,8,4,0,119,0,3,0,0,0,3,0,0,0,7,200,120,76,136,242,286,221,131,38,1451,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,10,341,175,156,213,217,187,146,24,4,1470,52,25,24,31,56,55,50,31,0,331,604,325,265,382,525,539,417,186,44,3286
