SA2_CODE_2021,C11_OO_DS_Sep_house,C11_OO_DS_SemiDRTHT,C11_OO_DS_F_a,C11_OO_DS_OD,C11_OO_DS_NS,C11_Owned_Outright_Tot,C11_OWM_DS_Sep_house,C11_OWM_DS_SemiDRTHT,C11_OWM_DS_F_a,C11_OWM_DS_OD,C11_OWM_DS_NS,C11_Owned_with_mortgage_Tot,C11_R_REA_DS_Sep_house,C11_R_REA_DS_SemiDRTHT,C11_R_REA_DS_F_a,C11_R_REA_DS_OD,C11_R_REA_DS_NS,C11_R_Real_Estate_Agent_Tot,C11_R_STHA_DS_Sep_house,C11_R_STHA_DS_SemiDRTHT,C11_R_STHA_DS_F_a,C11_R_STHA_DS_OD,C11_R_STHA_DS_NS,C11_R_ST_House_Auth_Tot,C11_R_CHP_DS_Sep_house,C11_R_CHP_DS_SemiDRTHT,C11_R_CHP_DS_F_a,C11_R_CHP_DS_OD,C11_R_CHP_DS_NS,C11_R_CHP_Tot,C11_R_PNISH_DS_Sep_house,C11_R_PNISH_DS_SemDRTHT,C11_R_PNISH_DS_F_a,C11_R_PNISH_DS_OD,C11_R_PNISH_DS_NS,C11_R_PNISH_Tot,C11_R_OLT_DS_Sep_house,C11_R_OLT_DS_SemDRTHT,C11_R_OLT_DS_F_a,C11_R_OLT_DS_OD,C11_R_OLT_DS_NS,C11_R_Oth_Llord_Type_Tot,C11_R_LT_NS_DS_Sep_house,C11_R_LT_NS_DS_SemDRTHT,C11_R_LT_NS_DS_F_a,C11_R_LT_NS_DS_OD,C11_R_LT_NS_DS_NS,C11_R_Llord_Type_NS_Tot,C11_R_Tot_DS_Sep_house,C11_R_Tot_DS_SemDRTHT,C11_R_Tot_DS_F_a,C11_R_Tot_DS_OD,C11_R_Tot_DS_NS,C11_R_Tot_Tot,C11_OTT_DS_Sep_house,C11_OTT_DS_SemiDRTHT,C11_OTT_DS_F_a,C11_OTT_DS_OD,C11_OTT_DS_NS,C11_OTT_Tot,C11_TT_NS_DS_Sep_house,C11_TT_NS_DS_SemiDRTHT,C11_TT_NS_DS_F_a,C11_TT_NS_DS_OD,C11_TT_NS_DS_NS,C11_TT_NS_Tot,C11_Tot_DS_Sep_house,C11_Tot_DS_SemiDRTHT,C11_Tot_DS_F_a,C11_Tot_DS_OD,C11_Tot_DS_NS,C11_Tot_Tot,C16_OO_DS_Sep_house,C16_OO_DS_SemiDRTHT,C16_OO_DS_F_a,C16_OO_DS_OD,C16_OO_DS_NS,C16_OO_Tot,C16_OWM_DS_Sep_house,C16_OWM_DS_SemiDRTHT,C16_OWM_DS_F_a,C16_OWM_DS_OD,C16_OWM_DS_NS,C16_OWM_Tot,C16_R_REA_DS_Sep_house,C16_R_REA_DS_SemiDRTHT,C16_R_REA_DS_F_a,C16_R_REA_DS_OD,C16_R_REA_DS_NS,C16_R_REA_Tot,C16_R_STHA_DS_Sep_house,C16_R_STHA_DS_SemiDRTHT,C16_R_STHA_DS_F_a,C16_R_STHA_DS_OD,C16_R_STHA_DS_NS,C16_R_STHA_Tot,C16_R_CHP_DS_Sep_house,C16_R_CHP_DS_SemiDRTHT,C16_R_CHP_DS_F_a,C16_R_CHP_DS_OD,C16_R_CHP_DS_NS,C16_R_CHP_Tot,C16_R_PNISH_DS_Sep_house,C16_R_PNISH_DS_SemDRTHT,C16_R_PNISH_DS_F_a,C16_R_PNISH_DS_OD,C16_R_PNISH_DS_NS,C16_R_PNISH_Tot,C16_R_OLT_DS_Sep_house,C16_R_OLT_DS_SemDRTHT,C16_R_OLT_DS_F_a,C16_R_OLT_DS_OD,C16_R_OLT_DS_NS,C16_R_OLT_Tot,C16_R_LT_NS_DS_Sep_house,C16_R_LT_NS_DS_SemDRTHT,C16_R_LT_NS_DS_F_a,C16_R_LT_NS_DS_OD,C16_R_LT_NS_DS_NS,C16_R_LT_NS_Tot,C16_R_Tot_DS_Sep_house,C16_R_Tot_DS_SemiDRTHT,C16_R_Tot_DS_F_a,C16_R_Tot_DS_OD,C16_R_Tot_DS_NS,C16_R_Tot_Tot,C16_OTT_DS_Sep_house,C16_OTT_DS_SemiDRTHT,C16_OTT_DS_F_a,C16_OTT_DS_OD,C16_OTT_DS_NS,C16_OTT_Tot,C16_TT_NS_DS_Sep_house,C16_TT_NS_DS_SemiDRTHT,C16_TT_NS_DS_F_a,C16_TT_NS_DS_OD,C16_TT_NS_DS_NS,C16_TT_NS_Tot,C16_Tot_DS_Sep_house,C16_Tot_DS_SemiDRTHT,C16_Tot_DS_F_a,C16_Tot_DS_OD,C16_Tot_DS_NS,C16_Tot_Tot,C21_OO_DS_Sep_house,C21_OO_DS_SemiDRTHT,C21_OO_DS_F_a,C21_OO_DS_OD,C21_OO_DS_NS,C21_OO_Tot,C21_OWM_DS_Sep_house,C21_OWM_DS_SemiDRTHT,C21_OWM_DS_F_a,C21_OWM_DS_OD,C21_OWM_DS_NS,C21_OWM_Tot,C21_R_REA_DS_Sep_house,C21_R_REA_DS_SemiDRTHT,C21_R_REA_DS_F_a,C21_R_REA_DS_OD,C21_R_REA_DS_NS,C21_R_REA_Tot,C21_R_STHA_DS_Sep_house,C21_R_STHA_DS_SemiDRTHT,C21_R_STHA_DS_F_a,C21_R_STHA_DS_OD,C21_R_STHA_DS_NS,C21_R_STHA_Tot,C21_R_CHP_DS_Sep_house,C21_R_CHP_DS_SemiDRTHT,C21_R_CHP_DS_F_a,C21_R_CHP_DS_OD,C21_R_CHP_DS_NS,C21_R_CHP_Tot,C21_R_PNISH_DS_Sep_house,C21_R_PNISH_DS_SemDRTHT,C21_R_PNISH_DS_F_a,C21_R_PNISH_DS_OD,C21_R_PNISH_DS_NS,C21_R_PNISH_Tot,C21_R_OLT_DS_Sep_house,C21_R_OLT_DS_SemDRTHT,C21_R_OLT_DS_F_a,C21_R_OLT_DS_OD,C21_R_OLT_DS_NS,C21_R_OLT_Tot,C21_R_LT_NS_DS_Sep_house,C21_R_LT_NS_DS_SemDRTHT,C21_R_LT_NS_DS_F_a,C21_R_LT_NS_DS_OD,C21_R_LT_NS_DS_NS,C21_R_LT_NS_Tot,C21_R_Tot_DS_Sep_house,C21_R_Tot_DS_SemiDRTHT,C21_R_Tot_DS_F_a,C21_R_Tot_DS_OD,C21_R_Tot_DS_NS,C21_R_Tot_Tot,C21_OTT_DS_Sep_house,C21_OTT_DS_SemiDRTHT
501011001,673,12,9,38,0,732,434,0,0,0,0,434,144,11,3,0,0,157,4,3,7,0,0,16,0,5,4,0,0,14,161,8,0,5,0,173,34,0,0,4,0,42,4,0,0,0,0,4,343,31,18,11,0,399,112,0,14,9,0,137,116,0,5,10,5,136,1684,40,42,75,5,1844,765,12,3,50,10,840,606,0,0,8,11,624,142,4,6,0,0,155,5,0,15,0,0,24,0,0,3,0,0,10,187,7,0,7,0,200,30,0,0,6,0,39,0,0,0,0,0,3,372,9,27,11,3,425,96,0,18,7,7,128,173,3,0,13,5,199,2018,28,46,88,35,2215,977,20,0,41,7,1045,782,5,0,0,0,791,156,3,0,0,0,170,3,17,4,0,0,21,0,7,0,0,0,10,247,9,4,11,0,266,46,0,0,19,7,68,4,0,0,0,0,8,456,35,11,31,9,537,85,17
501011003,953,16,3,37,0,1010,991,14,0,12,0,1020,362,26,3,0,0,391,7,0,9,0,0,18,0,0,0,0,0,0,309,13,4,4,0,327,45,0,0,12,0,60,0,0,0,0,0,0,720,36,16,16,0,798,102,7,0,8,0,118,158,11,0,10,0,175,2923,82,27,87,0,3123,1158,33,0,47,11,1252,1292,24,0,15,7,1336,346,29,0,0,0,372,9,12,0,0,0,21,0,0,0,0,0,0,280,15,0,0,4,302,48,4,0,8,0,56,7,0,0,0,0,8,682,55,0,12,4,754,108,9,0,9,4,127,273,13,0,18,0,301,3515,133,6,94,28,3776,1541,81,7,47,0,1674,1462,104,4,12,4,1582,318,41,3,7,3,363,16,13,0,0,0,23,0,0,0,0,0,4,320,31,4,7,5,367,69,4,3,21,4,100,0,0,0,0,0,4,724,97,11,33,8,865,123,11
501011004,589,22,0,21,4,642,942,18,0,0,0,966,361,54,7,0,0,423,42,23,0,0,0,66,4,13,0,0,0,15,283,18,3,3,0,305,32,0,0,25,0,50,5,0,0,0,0,5,718,100,13,27,0,859,56,11,0,11,0,75,211,16,0,18,0,250,2518,170,18,79,5,2795,762,11,0,28,5,807,1233,29,0,8,5,1274,353,59,0,0,0,414,44,26,3,0,0,68,14,0,0,0,0,19,342,16,3,8,4,364,17,0,0,39,0,59,3,0,0,0,0,5,771,103,8,43,5,935,74,0,0,4,7,85,211,4,0,48,10,275,3053,151,13,133,30,3380,1017,42,3,18,6,1088,1380,45,9,0,3,1439,342,44,3,0,5,396,51,23,0,0,0,76,5,4,0,0,0,7,376,34,3,0,5,420,27,0,0,38,0,77,3,0,0,0,0,3,805,103,11,46,7,968,57,16
501011293,706,79,13,75,0,867,719,22,11,3,0,754,355,52,22,0,0,437,89,81,34,0,0,198,0,4,0,0,0,3,164,22,11,0,0,194,20,3,0,13,0,35,5,0,0,0,0,8,636,163,65,8,0,879,26,4,0,3,0,35,98,11,14,11,0,131,2182,280,102,106,0,2675,909,52,0,86,0,1044,1070,20,0,6,6,1105,388,70,3,0,0,454,97,81,0,0,0,178,0,4,0,0,0,4,183,18,0,0,0,203,23,4,0,16,0,36,0,0,0,0,0,0,690,175,5,12,0,890,31,0,0,0,0,40,181,60,0,22,4,268,2890,309,9,126,13,3346,1195,61,9,74,0,1333,1220,19,6,4,0,1245,458,60,4,0,0,520,94,70,0,0,0,163,3,24,0,0,0,25,206,19,4,0,0,236,23,0,0,11,4,42,5,0,0,0,0,5,794,171,7,9,4,990,34,5
501011294,1496,127,54,34,9,1725,1748,48,15,3,0,1810,705,94,44,0,0,837,147,105,41,0,0,290,16,13,5,0,0,28,370,33,13,0,0,416,34,3,3,17,0,60,10,0,4,0,0,15,1273,248,104,19,0,1643,128,19,21,10,3,175,228,20,14,22,0,282,4869,465,204,88,13,5641,1724,214,0,214,3,2157,2053,82,0,6,3,2148,730,119,0,0,0,852,174,126,0,0,0,298,0,13,12,0,0,32,400,49,0,3,0,458,37,9,0,48,0,95,9,3,0,0,0,13,1345,323,17,53,6,1746,91,76,0,8,9,186,319,83,10,40,0,455,5535,778,32,324,25,6689,2320,210,18,48,7,2599,2485,107,5,0,0,2598,705,136,0,0,4,845,157,133,0,0,0,297,17,40,0,0,0,56,452,48,0,0,3,505,61,14,3,74,0,153,4,0,0,0,0,10,1400,374,4,80,8,1862,103,150
501021005,1301,39,4,42,0,1380,2406,11,4,5,0,2427,555,25,25,0,0,604,33,35,8,0,0,75,0,0,0,0,0,0,288,17,5,7,0,320,18,4,0,39,4,56,4,0,0,0,0,7,904,84,38,42,3,1071,44,6,0,4,0,49,236,8,7,21,0,275,4884,145,60,112,3,5200,1549,58,8,48,3,1657,2854,28,0,6,4,2885,626,72,14,0,0,715,43,30,8,0,0,78,4,0,0,0,0,3,288,13,7,0,0,308,21,4,0,23,4,46,4,0,0,0,0,4,984,113,26,24,5,1159,46,26,0,0,0,76,389,32,9,36,0,465,5817,255,51,110,15,6249,1857,63,13,57,0,1992,3274,24,0,5,4,3308,654,56,9,5,5,725,60,31,9,0,0,104,9,8,0,0,0,18,319,17,8,3,0,342,33,0,0,56,0,92,7,0,0,0,0,4,1080,111,28,68,5,1289,51,45
501021007,565,0,4,0,3,573,664,0,0,7,0,669,134,0,0,0,0,136,30,3,0,0,0,31,0,0,0,0,0,0,122,0,0,0,3,120,15,0,0,0,0,15,3,0,0,0,0,3,299,4,0,0,3,309,47,0,0,4,0,49,117,0,0,0,0,122,1686,4,5,9,11,1719,625,3,5,7,0,643,789,0,3,0,4,799,130,9,3,0,0,139,13,21,3,0,0,36,0,3,0,0,0,3,124,3,0,0,0,124,8,0,0,0,0,8,0,0,0,0,0,0,277,40,9,0,3,323,41,0,0,0,0,41,146,4,0,7,4,161,1882,54,16,7,8,1967,710,16,0,5,0,735,853,14,0,0,0,867,121,5,0,0,0,124,18,21,0,0,0,41,5,4,0,0,0,9,128,7,0,3,0,135,20,0,0,0,0,23,0,0,0,0,0,0,286,41,0,5,0,332,36,0
501021008,511,29,7,0,0,549,725,31,4,0,0,767,346,59,20,0,0,429,132,58,25,0,0,209,4,6,19,0,0,32,224,26,15,0,0,266,11,5,7,0,0,24,4,0,3,0,0,5,727,152,90,0,0,961,33,0,9,0,0,49,155,32,21,0,0,207,2149,241,136,0,0,2527,568,43,0,0,0,609,763,49,0,0,0,808,351,101,0,0,0,449,58,138,0,0,0,192,4,30,0,0,0,38,211,37,0,0,0,249,15,25,0,0,0,41,5,5,0,0,0,10,641,335,0,0,3,981,28,14,0,0,0,43,184,62,0,0,0,248,2188,503,0,0,0,2695,637,43,0,0,0,682,779,42,0,0,0,826,394,103,0,0,0,501,75,145,0,0,0,215,11,49,0,0,0,59,264,28,0,0,0,289,18,23,0,0,0,41,11,4,0,0,0,10,762,351,0,0,3,1112,24,7
501021009,1137,22,25,40,0,1229,1270,8,6,6,0,1293,233,13,14,0,0,260,127,30,12,0,0,165,0,0,6,0,0,7,173,9,9,3,0,186,35,0,3,5,0,47,0,0,0,0,0,3,566,49,44,7,0,665,52,0,3,7,0,58,150,4,12,0,0,168,3173,83,89,66,0,3408,1192,21,4,11,3,1232,1197,4,0,0,4,1211,232,27,0,0,0,265,117,25,7,0,0,155,3,5,0,0,0,9,208,8,0,0,0,222,18,0,0,3,0,24,3,0,0,0,0,8,589,69,9,7,0,675,46,8,0,0,0,61,277,17,3,3,0,305,3307,121,17,26,15,3479,1336,25,24,14,6,1401,1214,12,10,0,0,1237,211,14,37,3,0,265,70,37,25,0,0,131,8,0,0,0,0,12,209,18,4,0,0,230,33,0,3,3,3,48,4,0,4,0,0,3,529,70,75,9,4,688,47,0
501021010,371,0,0,3,0,371,403,0,0,7,0,414,47,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,88,9,0,0,0,0,9,0,0,0,0,0,0,141,3,0,0,0,144,35,0,0,0,0,38,40,0,0,55,0,93,988,3,0,66,0,1063,409,4,0,24,0,431,434,0,0,4,5,436,46,4,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,89,9,0,0,9,0,17,3,0,0,0,0,3,145,5,0,9,4,158,37,0,0,0,0,41,78,0,0,0,0,80,1092,5,0,37,7,1149,450,4,0,36,0,484,499,5,0,4,0,510,32,0,0,0,0,38,3,0,0,0,0,3,12,0,0,0,0,12,83,0,0,0,0,84,16,0,0,20,0,27,0,0,0,0,0,0,144,0,0,19,0,170,29,0
