SA2_CODE_2021,C11_1_74_REA,C11_1_74_ST_HA,C11_1_74_Co_ho_pr,C11_1_74_Per_no_sa_ho,C11_1_74_Oth_land_typ,C11_1_74_LLT_NS,C11_1_74_Tot,C11_75_99_REA,C11_75_99_ST_HA,C11_75_99_Co_ho_pr,C11_75_99_Pe_no_sa_ho,C11_75_99_Oth_lan_typ,C11_75_99_Lan_type_ns,C11_75_99_Tot,C11_100_149_REA,C11_100_149_ST_HA,C11_100_149_Co_ho_pr,C11_100_149_Pe_no_sa_ho,C11_100_149_Ot_lan_ty,C11_100_149_Lan_typ_ns,C11_100_149_Tot,C11_150_199_REA,C11_150_199_ST_HA,C11_150_199_Co_ho_pr,C11_150_199_Pe_no_sa_ho,C11_150_199_Ot_lan_ty,C11_150_199_Lan_ty_ns,C11_150_199_Tot,C11_200_224_REA,C11_200_224_ST_HA,C11_200_224_Co_ho_pr,C11_200_224_Pe_no_sa_ho,C11_200_224_Ot_lan_ty,C11_200_224_Lan_ty_ns,C11_200_224_Tot,C11_225_274_REA,C11_225_274_ST_HA,C11_225_274_Co_ho_pr,C11_225_274_Pe_no_sa_ho,C11_225_274_Ot_la_typ,C11_225_274_Lan_ty_ns,C11_225_274_Tot,C11_275_349_REA,C11_275_349_ST_HA,C11_275_349_Co_ho_pr,C11_275_349_Pe_no_sa_ho,C11_275_349_Ot_lan_ty,C11_275_349_Lan_ty_ns,C11_275_349_Tot,C11_350_449_REA,C11_350_449_ST_HA,C11_350_449_Co_ho_pr,C11_350_449_Pe_no_sa_ho,C11_350_449_Ot_lan_ty,C11_350_449_Lan_ty_ns,C11_350_449_Tot,C11_450_549_REA,C11_450_549_ST_HA,C11_450_549_Co_ho_pr,C11_450_549_Pe_no_sa_ho,C11_450_549_Oth_lan_typ,C11_450_549_Lan_ty_ns,C11_450_549_Tot,C11_550_649_REA,C11_550_649_ST_HA,C11_550_649_Co_ho_pr,C11_550_649_Pe_no_sa_ho,C11_550_649_Ot_lan_ty,C11_550_649_Lan_ty_ns,C11_550_649_Tot,C11_650_749_REA,C11_650_749_ST_HA,C11_650_749_Co_ho_pr,C11_650_749_Pe_no_sa_ho,C11_650_749_Oth_lan_typ,C11_650_749_LLT_NS,C11_650_749_Tot,C11_750_849_REA,C11_750_849_ST_HA,C11_750_849_Co_ho_pr,C11_750_849_Pe_no_sa_ho,C11_750_849_Oth_lan_typ,C11_750_849_LLT_NS,C11_750_849_Tot,C11_850_950_REA,C11_850_949_ST_HA,C11_850_949_Co_ho_pr,C11_850_949_Pe_no_sa_ho,C11_850_949_Oth_lan_typ,C11_850_949_LLT_NS,C11_850_949_Tot,C11_950over_REA,C11_950over_ST_HA,C11_950over_Co_ho_pr,C11_950over_Pe_no_sa_ho,C11_950over_Oth_lan_typ,C11_950over_LLT_NS,C11_950over_Tot,C11_R_NS_REA,C11_R_NS_ST_HA,C11_R_NS_Co_ho_pr,C11_R_NS_Pe_no_sa_ho,C11_R_NS_Oth_lan_typ,C11_R_NS_Land_typ_ns,C11_Rent_not_statd_Tot,C11_Tot_REA,C11_Tot_ST_HA,C11_Tot_Co_ho_pr,C11_Tot_Pe_no_sa_ho,C11_Tot_Oth_lan_typ,C11_Tot_LLT_NS,C11_Tot_Tot,C16_1_74_REA,C16_1_74_ST_HA,C16_1_74_Co_ho_pr,C16_1_74_Per_no_sa_ho,C16_1_74_Oth_land_typ,C16_1_74_LLT_NS,C16_1_74_Tot,C16_75_99_REA,C16_75_99_ST_HA,C16_75_99_Co_ho_pr,C16_75_99_Pe_no_sa_ho,C16_75_99_Oth_lan_typ,C16_75_99_Lan_type_ns,C16_75_99_Tot,C16_100_149_REA,C16_100_149_ST_HA,C16_100_149_Co_ho_pr,C16_100_149_Pe_no_sa_ho,C16_100_149_Ot_lan_ty,C16_100_149_Lan_typ_ns,C16_100_149_Tot,C16_150_199_REA,C16_150_199_ST_HA,C16_150_199_Co_ho_pr,C16_150_199_Pe_no_sa_ho,C16_150_199_Ot_lan_ty,C16_150_199_Lan_ty_ns,C16_150_199_Tot,C16_200_224_REA,C16_200_224_ST_HA,C16_200_224_Co_ho_pr,C16_200_224_Pe_no_sa_ho,C16_200_224_Ot_lan_ty,C16_200_224_Lan_ty_ns,C16_200_224_Tot,C16_225_274_REA,C16_225_274_ST_HA,C16_225_274_Co_ho_pr,C16_225_274_Pe_no_sa_ho,C16_225_274_Ot_la_typ,C16_225_274_Lan_ty_ns,C16_225_274_Tot,C16_275_349_REA,C16_275_349_ST_HA,C16_275_349_Co_ho_pr,C16_275_349_Pe_no_sa_ho,C16_275_349_Ot_lan_ty,C16_275_349_Lan_ty_ns,C16_275_349_Tot,C16_350_449_REA,C16_350_449_ST_HA,C16_350_449_Co_ho_pr,C16_350_449_Pe_no_sa_ho,C16_350_449_Ot_lan_ty,C16_350_449_Lan_ty_ns,C16_350_449_Tot,C16_450_549_REA,C16_450_549_ST_HA,C16_450_549_Co_ho_pr,C16_450_549_Pe_no_sa_ho,C16_450_549_Oth_lan_typ,C16_450_549_Lan_ty_ns,C16_450_549_Tot,C16_550_649_REA,C16_550_649_ST_HA,C16_550_649_Co_ho_pr,C16_550_649_Pe_no_sa_ho,C16_550_649_Oth_lan_typ,C16_550_649_LLT_NS,C16_550_649_Tot,C16_650_749_REA,C16_650_749_ST_HA,C16_650_749_Co_ho_pr,C16_650_749_Pe_no_sa_ho,C16_650_749_Oth_lan_typ,C16_650_749_LLT_NS,C16_650_749_Tot,C16_750_849_REA,C16_750_849_ST_HA,C16_750_849_Co_ho_pr,C16_750_849_Pe_no_sa_ho,C16_750_849_Oth_lan_typ,C16_750_849_LLT_NS,C16_750_849_Tot,C16_850_950_REA,C16_850_949_ST_HA,C16_850_949_Co_ho_pr,C16_850_949_Pe_no_sa_ho
501011001,0,5,0,0,3,0,12,0,9,5,8,4,0,21,3,4,5,20,5,3,38,26,0,0,41,8,0,80,34,0,0,27,8,0,71,43,0,0,31,0,0,75,29,0,0,30,3,0,72,13,0,0,8,0,0,23,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,6,6,0,21,161,17,15,184,42,6,426,0,0,0,3,0,0,7,0,0,0,5,0,0,9,0,17,6,13,9,0,43,11,9,0,26,10,0,57,13,0,0,25,8,0,53,27,0,0,34,0,0,66,40,0,0,43,3,0,93,35,0,0,37,3,0,81,14,0,0,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
501011003,0,0,0,7,4,0,19,0,3,0,0,4,0,5,4,5,0,30,15,0,56,7,0,0,34,14,0,53,13,0,0,23,3,0,46,27,0,0,46,10,0,75,156,0,0,104,3,0,258,157,0,0,68,4,0,230,17,0,0,10,0,0,35,4,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,18,3,0,0,22,17,3,38,392,18,0,346,78,8,837,0,0,0,4,6,0,3,0,4,0,4,0,0,9,0,6,0,23,6,0,40,4,3,0,21,11,0,37,4,6,0,21,10,0,34,4,0,0,21,9,0,32,26,0,0,46,7,4,82,168,0,0,88,9,0,267,145,0,0,47,8,3,193,21,0,0,13,0,0,30,3,0,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0
501011004,0,7,0,6,0,0,13,0,16,0,4,0,0,15,9,25,11,12,12,0,60,8,6,0,16,18,0,56,8,6,3,22,5,0,49,74,3,0,51,3,0,134,214,0,0,115,13,0,343,87,0,0,63,0,0,156,12,0,0,8,3,0,20,0,0,0,0,6,0,5,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,11,3,0,16,17,4,56,438,66,20,316,71,7,915,0,3,0,0,4,0,5,0,0,0,0,0,0,6,0,28,0,10,9,0,52,3,16,7,17,7,0,47,0,10,0,22,11,0,44,34,8,0,30,3,0,86,106,5,0,78,7,0,200,195,0,0,137,10,0,352,54,0,0,41,0,0,98,9,0,0,9,0,0,16,0,0,4,5,0,0,7,0,0,0,0,0,0,3,3,0,0,0
501011293,0,19,0,0,0,0,23,0,47,0,0,3,0,53,6,72,3,12,5,3,101,16,37,0,23,13,0,90,27,12,0,34,4,0,76,128,10,0,31,4,4,178,180,4,0,79,4,0,266,61,0,0,6,0,0,72,10,0,0,3,0,0,13,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,9,14,21,0,9,3,6,41,444,221,3,204,44,12,919,0,3,0,0,0,0,0,0,3,0,0,4,0,7,0,66,0,8,4,0,76,6,70,7,12,3,0,91,6,12,0,10,4,0,31,12,14,0,16,8,0,52,108,4,3,47,6,0,175,269,0,0,86,8,0,364,42,0,0,18,6,0,69,7,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
501011294,0,29,0,0,0,0,33,0,81,6,3,0,0,91,0,103,23,24,3,5,163,28,46,0,40,13,0,135,36,11,0,44,4,0,102,168,9,0,114,18,3,309,429,0,0,144,11,3,585,159,0,0,36,4,0,202,9,0,0,3,0,0,12,0,0,0,0,0,0,5,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,19,5,13,11,0,59,851,307,37,427,71,14,1707,5,3,0,7,0,0,17,0,21,0,0,0,0,25,4,137,0,20,7,0,171,6,74,18,26,15,4,143,12,28,0,23,11,0,74,28,17,8,49,12,0,106,173,14,0,124,20,3,328,524,0,0,179,21,4,724,106,0,0,32,7,0,145,5,0,0,3,4,0,8,0,0,0,0,5,0,5,0,0,0,0,0,0,3,0,0,0,0
501021005,0,4,0,4,0,0,8,0,18,0,0,3,0,19,0,33,0,11,0,0,49,9,18,3,26,29,0,84,11,3,0,24,5,0,41,82,0,0,69,4,0,163,238,3,0,116,17,0,374,233,0,0,58,0,4,302,21,0,0,0,0,0,23,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,10,3,0,6,4,0,29,615,82,0,327,67,7,1101,0,4,0,3,0,0,8,0,4,0,0,0,0,4,0,30,4,7,3,0,38,7,17,0,15,11,0,56,7,7,0,17,8,0,44,30,12,0,28,3,0,73,195,4,0,95,7,0,299,411,0,0,130,16,0,557,50,0,0,13,0,0,61,6,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501021007,0,3,0,0,0,0,3,0,11,0,0,0,0,11,9,16,0,17,0,0,44,4,0,0,23,6,0,30,3,0,0,22,0,0,28,35,0,0,26,0,0,61,82,0,0,22,3,0,107,12,0,0,7,0,0,16,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,5,4,0,6,0,0,18,141,37,0,130,17,3,325,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,14,0,5,0,0,22,0,12,0,4,0,0,31,3,7,0,16,0,0,24,14,0,0,24,5,0,38,55,0,0,38,0,0,102,56,0,0,31,0,0,85,7,0,0,5,0,0,10,3,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501021008,0,45,0,0,0,0,44,0,55,0,0,0,0,60,3,49,9,14,0,0,84,14,29,4,28,0,0,80,26,11,0,48,0,0,88,171,9,0,86,6,0,270,172,3,12,76,11,0,275,29,0,0,14,0,0,45,6,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,10,9,0,9,3,5,27,434,214,32,279,26,13,995,3,15,0,0,0,0,17,0,18,0,0,0,0,17,0,84,0,3,0,5,87,0,48,14,13,0,0,74,0,15,4,19,8,0,43,89,17,8,63,4,0,177,265,4,6,107,8,7,394,92,4,10,30,15,0,153,0,0,0,4,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
501021009,0,19,0,3,6,0,32,0,55,5,6,0,0,64,4,42,0,22,9,0,84,29,39,0,37,15,0,116,39,10,0,31,0,0,78,89,3,0,40,10,0,137,46,3,0,36,0,0,86,40,0,0,3,0,0,45,8,0,0,5,0,0,12,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,3,4,25,263,173,6,191,46,9,689,0,12,0,4,0,0,9,0,0,0,0,0,0,6,0,61,0,12,0,0,78,19,43,3,28,0,5,103,37,20,0,47,4,0,114,94,11,0,63,7,0,168,68,6,0,43,3,0,125,36,0,0,17,0,0,55,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501021010,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,17,0,0,16,0,0,0,9,0,0,13,3,0,0,13,0,0,17,10,0,0,24,0,0,34,17,0,0,19,4,0,34,9,0,0,9,0,0,16,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,47,0,0,92,10,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,15,0,0,0,7,9,0,20,7,0,0,9,3,0,21,9,0,0,16,0,0,28,18,0,0,19,0,0,38,16,0,0,16,0,0,37,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
