SA2_CODE_2021,C21_CF_1P1NW_Tot,C21_CF_1A1NW_Neg_ni_inc,C21_CF_1A1NW_1_149,C21_CF_1A1NW_150_399,C21_CF_1A1NW_400_649,C21_CF_1A1NW_650_799,C21_CF_1A1NW_800_1249,C21_CF_1A1NW_1250_1999,C21_CF_1A1NW_2000_2499,C21_CF_1A1NW_2500_2999,C21_CF_1A1NW_3000_3999,C21_CF_1A1NW_4000more,C21_CF_1A1NW_Ns,C21_CF_1A1NW_Tot,C21_CF_BA_Neg_ni_inc,C21_CF_BA_1_149,C21_CF_BA_150_399,C21_CF_BA_400_649,C21_CF_BA_650_799,C21_CF_BA_800_1249,C21_CF_BA_1250_1999,C21_CF_BA_2000_2499,C21_CF_BA_2500_2999,C21_CF_BA_3000_3999,C21_CF_BA_4000more,C21_CF_BA_Ns,C21_CF_BA_Tot,C21_CF_BNW_Neg_ni_inc,C21_CF_BNW_1_149,C21_CF_BNW_150_399,C21_CF_BNW_400_649,C21_CF_BNW_650_799,C21_CF_BNW_800_1249,C21_CF_BNW_1250_1999,C21_CF_BNW_2000_2499,C21_CF_BNW_2500_2999,C21_CF_BNW_3000_3999,C21_CF_BNW_4000more,C21_CF_BNW_Ns,C21_CF_BNW_Tot,C21_CF_LFns_Neg_ni_inc,C21_CF_LFns_1_149,C21_CF_LFns_150_399,C21_CF_LFns_400_649,C21_CF_LFns_650_799,C21_CF_LFns_800_1249,C21_CF_LFns_1250_1999,C21_CF_LFns_2000_2499,C21_CF_LFns_2500_2999,C21_CF_LFns_3000_3999,C21_CF_LFns_4000more,C21_CF_LFns_Ns,C21_CF_LFns_Tot,C21_C_f_c_Tot_Fi_Neg_ni_inc,C21_C_f_c_Tot_Fi_1_149,C21_C_f_c_Tot_Fi_150_399,C21_C_f_c_Tot_Fi_400_649,C21_CF_c_Tot_Fi_650_799,C21_CF_c_Tot_Fi_800_1249,C21_CF_c_Tot_Fi_1250_1999,C21_CF_c_Tot_Fi_2000_2499,C21_CF_c_Tot_Fi_2500_2999,C21_CF_c_Tot_Fi_3000_3999,C21_CF_c_Tot_Fi_4000more,C21_C_f_with_c_TotFI_Ns,C21_C_f_with_c_Tot_Tot,C21_1PF_F_Neg_ni_inc,C21_1PF_F_1_149,C21_1PF_F_150_399,C21_1PF_F_400_649,C21_1PF_F_650_799,C21_1PF_F_800_1249,C21_1PF_F_1250_1999,C21_1PF_F_2000_2499,C21_1PF_F_2500_2999,C21_1PF_F_3000_3999,C21_1PF_F_4000more,C21_1PF_F_Ns,C21_1PF_F_Tot,C21_1PF_P_Neg_ni_inc,C21_1PF_P_1_149,C21_1PF_P_150_399,C21_1PF_P_400_649,C21_1PF_P_650_799,C21_1PF_P_800_1249,C21_1PF_P_1250_1999,C21_1PF_P_2000_2499,C21_1PF_P_2500_2999,C21_1PF_P_3000_3999,C21_1PF_P_4000more,C21_1PF_P_Ns,C21_1PF_P_Tot,C21_1PF_A_Neg_ni_inc,C21_1PF_A_1_149,C21_1PF_A_150_399,C21_1PF_A_400_649,C21_1PF_A_650_799,C21_1PF_A_800_1249,C21_1PF_A_1250_1999,C21_1PF_A_2000_2499,C21_1PF_A_2500_2999,C21_1PF_A_3000_3999,C21_1PF_A_4000_more,C21_1PF_A_Ns,C21_1PF_A_Tot,C21_1PF_U_Neg_ni_inc,C21_1PF_U_1_149,C21_1PF_U_150_399,C21_1PF_U_400_649,C21_1PF_U_650_799,C21_1PF_U_800_1249,C21_1PF_U_1250_1999,C21_1PF_U_2000_2499,C21_1PF_U_2500_2999,C21_1PF_U_3000_3999,C21_1PF_U_4000_more,C21_1PF_U_Ns,C21_1PF_U_Tot,C21_1PF_N_lf_Fi_Neg_ni_inc,C21_1PF_N_lf_Fi_1_149,C21_1PF_N_lf_Fi_150_399,C21_1PF_N_lf_Fi_400_649,C21_1PF_N_lf_Fi_650_799,C21_1PF_N_lf_Fi_800_1249,C21_1PF_N_lf_Fi_1250_1999,C21_1PF_N_lf_Fi_2000_2499,C21_1PF_N_lf_Fi_2500_2999,C21_1PF_N_lf_Fi_3000_3999,C21_1PF_N_lf_Fi_4000_more,C21_1PF_N_lf_Fi_Ns,C21_1PF_N_the_lf_Tot,C21_1PF_LFns_Neg_ni_inc,C21_1PF_LFns_1_149,C21_1PF_LFns_150_399,C21_1PF_LFns_400_649,C21_1PF_LFns_Fi_650_799,C21_1PF_LFns_Fi_800_1249,C21_1PF_LFns_Fi_1250_1999,C21_1PF_LFns_Fi_2000_2499,C21_1PF_LFns_Fi_2500_2999,C21_1PF_LFns_Fi_3000_3999,C21_1PF_LFns_4000more,C21_1PF_LFns_Ns,C21_1PF_LFns_Tot,C21_1PF_TotFI_Neg_ni_inc,C21_1PF_TotFI_1_149,C21_1PF_TotFI_150_399,C21_1PF_TotFI_400_649,C21_1PF_TotFI_650_799,C21_1PF_TotFI_800_1249,C21_1PF_TotFI_1250_1999,C21_1PF_TotFI_2000_2499,C21_1PF_TotFI_2500_2999,C21_1PF_TotFI_3000_3999,C21_1PF_TotFI_4000more,C21_One_par_f_TotFI_Ns,C21_One_parent_f_Tot_Tot,C21_TotFI_Neg_ni_inc,C21_TotFI_1_149,C21_TotFI_150_399,C21_TotFI_400_649,C21_TotFI_650_799,C21_TotFI_800_1249,C21_TotFI_1250_1999,C21_TotFI_2000_2499,C21_TotFI_2500_2999,C21_TotFI_3000_3999,C21_TotFI_4000_more,C21_TotFI_Ns,C21_Tot_Tot
501011001,35,0,0,0,0,0,0,3,9,0,4,0,0,12,0,0,0,0,0,0,3,6,0,0,5,0,11,4,4,6,0,3,9,9,6,0,0,0,9,43,0,0,0,0,0,0,0,0,0,0,0,87,89,3,4,4,3,12,45,139,89,77,103,58,137,677,0,0,0,0,0,12,17,6,0,0,0,6,48,0,0,0,9,11,20,16,6,3,0,0,6,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,12,5,0,3,8,5,4,7,0,0,0,0,3,35,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,11,20,24,38,40,16,3,0,0,21,172,17,10,18,72,131,241,390,204,137,160,104,242,1727
501011003,46,0,0,0,0,0,0,3,3,7,0,6,3,27,3,0,0,0,0,0,9,6,0,0,4,8,22,4,0,0,0,5,11,5,5,3,0,9,9,51,0,0,0,0,0,0,0,0,0,0,0,182,187,8,0,0,0,15,54,184,185,193,200,249,281,1381,0,0,0,0,0,30,21,14,0,5,5,19,90,0,0,0,18,27,38,33,3,3,7,0,9,134,0,0,0,0,0,3,0,0,0,0,3,3,16,0,0,0,0,3,0,0,0,0,0,0,0,3,7,4,4,14,7,18,10,0,3,0,0,7,72,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,3,33,37,89,66,21,10,10,5,37,320,33,16,22,89,150,374,573,387,310,344,426,454,3181
501011004,60,0,0,0,0,0,0,3,0,3,0,0,0,10,0,0,0,0,0,0,3,4,3,3,3,0,19,0,0,0,0,0,9,6,0,0,5,0,4,31,0,0,0,0,0,0,0,0,0,0,0,144,147,3,0,0,5,5,59,238,182,148,190,116,209,1149,0,0,0,5,4,30,48,16,7,3,8,20,133,0,0,6,24,19,63,27,3,8,0,0,19,167,0,0,0,3,0,3,4,0,5,0,0,3,24,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,5,18,15,17,12,4,0,0,3,12,90,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,17,52,40,112,87,27,18,9,10,50,418,13,7,26,102,96,301,558,356,253,291,195,358,2549
501011293,56,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,4,0,0,4,9,0,0,0,0,0,8,15,6,5,3,0,4,50,0,0,0,0,0,0,0,0,0,0,0,124,120,6,0,0,8,4,26,152,133,104,163,139,186,917,0,0,0,0,11,21,31,19,10,4,6,17,117,0,0,6,15,20,36,23,6,3,0,0,9,116,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,3,0,4,0,0,0,0,0,0,11,3,0,8,29,16,44,18,7,3,0,0,14,140,0,0,0,0,0,0,0,0,0,0,0,5,5,6,0,17,47,54,107,72,37,20,4,0,41,394,35,13,33,102,215,362,489,309,222,249,222,342,2591
501011294,93,0,0,0,0,0,0,3,4,3,3,3,5,25,0,0,0,0,0,0,4,0,0,6,3,3,18,0,0,0,8,3,18,29,4,0,0,0,9,86,0,0,0,0,0,0,0,0,0,0,0,245,245,7,0,5,23,21,96,355,272,246,354,273,359,2004,0,0,0,0,9,48,85,35,6,14,4,34,240,0,0,10,33,42,93,43,14,6,4,7,13,271,0,0,0,6,3,3,6,3,0,0,3,6,25,0,0,0,4,4,0,4,0,0,0,0,3,19,9,0,14,53,25,57,28,5,0,0,0,15,218,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,21,99,90,205,168,63,15,17,14,74,777,43,22,58,253,430,746,1009,585,436,545,410,648,5186
501021005,76,0,0,0,0,0,0,9,9,4,3,9,3,39,0,0,0,0,0,0,0,4,5,6,5,4,22,0,0,0,4,9,26,26,5,5,3,7,12,94,0,0,0,0,0,0,0,0,0,0,0,299,298,5,0,0,15,11,68,357,388,304,474,403,418,2451,0,0,0,3,14,37,85,49,19,18,9,32,261,0,3,11,27,35,67,45,9,0,3,0,15,218,0,0,0,3,0,8,6,3,0,0,0,5,29,3,0,8,14,5,6,0,0,0,3,0,0,34,9,0,5,58,32,45,33,9,9,3,0,24,219,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,17,101,85,164,172,68,31,30,10,77,767,55,14,57,207,328,569,905,717,539,753,549,696,5390
501021007,23,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,6,4,3,4,3,6,3,0,0,30,0,0,0,0,0,0,0,0,0,0,0,80,82,0,0,0,9,3,29,76,103,73,99,78,127,606,0,0,0,0,3,9,20,9,5,0,0,11,56,0,0,0,9,4,26,17,3,0,0,0,10,72,0,0,0,0,0,3,3,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,10,12,7,12,13,5,0,0,0,13,75,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,11,25,15,43,53,16,3,6,0,28,220,17,8,18,80,114,178,278,199,126,166,128,241,1551
501021008,30,0,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,3,3,9,11,3,0,0,0,5,37,0,0,0,0,0,0,0,0,0,0,0,51,51,0,0,0,4,4,49,101,77,67,74,35,79,492,0,0,0,0,0,23,31,8,5,3,0,9,99,0,0,9,11,11,26,25,0,3,0,0,9,97,0,0,0,3,3,5,4,4,0,0,0,4,20,0,0,4,7,0,3,3,0,0,0,0,0,17,7,0,22,55,27,48,22,7,4,0,0,17,210,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,33,75,44,108,86,19,10,8,0,40,446,20,7,35,111,141,275,326,193,128,121,56,169,1583
501021009,46,0,0,0,0,0,3,4,5,0,0,3,5,24,0,0,0,0,0,0,3,0,3,0,3,0,12,0,0,0,4,15,21,18,0,5,7,0,12,86,0,0,0,0,0,0,0,0,0,0,0,85,92,4,0,5,5,23,62,135,102,108,143,105,141,831,0,0,0,0,4,8,15,13,9,7,6,12,79,0,0,0,11,13,27,16,5,3,5,0,7,85,0,0,0,0,0,3,3,0,0,0,0,3,13,0,0,4,7,0,8,3,0,0,0,0,4,30,0,0,11,53,17,40,25,11,5,0,0,10,185,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,22,76,29,83,67,32,19,10,8,40,390,24,5,40,157,233,302,411,220,194,246,159,268,2265
501021010,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,13,0,0,0,0,5,20,0,0,0,0,0,0,0,0,0,0,0,42,47,0,0,0,3,0,7,54,56,45,84,65,79,393,0,0,0,0,0,10,10,3,0,4,0,5,31,0,0,0,5,0,10,4,4,0,0,0,4,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,4,3,4,0,0,0,0,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,5,23,17,13,0,3,0,14,90,9,10,6,35,55,94,136,120,85,143,113,135,935
