SA2_CODE_2021,C21_P_NatPhy_sci_15_19,C21_P_NatPhy_sci_20_24,C21_P_NatPhy_sci_25_34,C21_P_NatPhy_sci_35_44,C21_P_NatPhy_sci_45_54,C21_P_NatPhy_sci_55_64,C21_P_NatPhy_sci_65_74,C21_P_NatPhy_sci_75_84,C21_P_NatPhy_sci_85over,C21_P_NatPhy_sci_Tot,C21_P_InfTec_15_19,C21_P_InfTec_20_24,C21_P_InfTec_25_34,C21_P_InfTec_35_44,C21_P_InfTec_45_54,C21_P_InfTec_55_64,C21_P_InfTec_65_74,C21_P_InfTec_75_84,C21_P_InfTec_85over,C21_P_InfTec_Tot,C21_P_EngRT_15_19,C21_P_EngRT_20_24,C21_P_EngRT_25_34,C21_P_EngRT_35_44,C21_P_EngRT_45_54,C21_P_EngRT_55_64,C21_P_EngRT_65_74,C21_P_EngRT_75_84,C21_P_EngRT_85over,C21_P_EngRT_Tot,C21_P_ArchBuild_15_19,C21_P_ArchBuild_20_24,C21_P_ArchBuild_25_34,C21_P_ArchBuild_35_44,C21_P_ArchBuild_45_54,C21_P_ArchBuild_55_64,C21_P_ArchBuild_65_74,C21_P_ArchBuild_75_84,C21_P_ArchBuild_85over,C21_P_ArchBuild_Tot,C21_P_AgEnv_RS_15_19,C21_P_AgEnv_RS_20_24,C21_P_AgEnv_RS_25_34,C21_P_AgEnv_RS_35_44,C21_P_AgEnv_RS_45_54,C21_P_AgEnv_RS_55_64,C21_P_AgEnv_RS_65_74,C21_P_AgEnv_RS_75_84,C21_P_AgEnv_RS_85over,C21_P_AgEnv_RS_Tot,C21_P_Health_15_19,C21_P_Health_20_24,C21_P_Health_25_34,C21_P_Health_35_44,C21_P_Health_45_54,C21_P_Health_55_64,C21_P_Health_65_74,C21_P_Health_75_84,C21_P_Health_85over,C21_P_Health_Tot,C21_P_Educ_15_19,C21_P_Educ_20_24,C21_P_Educ_25_34,C21_P_Educ_35_44,C21_P_Educ_45_54,C21_P_Educ_55_64,C21_P_Educ_65_74,C21_P_Educ_75_84,C21_P_Educ_85over,C21_P_Educ_Tot,C21_P_MngtCom_15_19,C21_P_MngtCom_20_24,C21_P_MngtCom_25_34,C21_P_MngtCom_35_44,C21_P_MngtCom_45_54,C21_P_MngtCom_55_64,C21_P_MngtCom_65_74,C21_P_MngtCom_75_84,C21_P_MngtCom_85over,C21_P_MngtCom_Tot,C21_P_Soc_cult_15_19,C21_P_Soc_cult_20_24,C21_P_Soc_cult_25_34,C21_P_Soc_cult_35_44,C21_P_Soc_cult_45_54,C21_P_Soc_cult_55_64,C21_P_Soc_cult_65_74,C21_P_Soc_cult_75_84,C21_P_Soc_cult_85over,C21_P_Soc_cult_Tot,C21_P_Creative_art_15_19,C21_P_Creative_art_20_24,C21_P_Creative_art_25_34,C21_P_Creative_art_35_44,C21_P_Creative_art_45_54,C21_P_Creative_art_55_64,C21_P_Creative_art_65_74,C21_P_Creative_art_75_84,C21_P_Creative_art_85over,C21_P_Creative_art_Tot,C21_P_FoodHos_PS_15_19,C21_P_FoodHos_PS_20_24,C21_P_FoodHos_PS_25_34,C21_P_FoodHos_PS_35_44,C21_P_FoodHos_PS_45_54,C21_P_FoodHos_PS_55_64,C21_P_FoodHos_PS_65_74,C21_P_FoodHos_PS_75_84,C21_P_FoodHos_PS_85over,C21_P_FoodHos_PS_Tot,C21_P_MixFld_pr_15_19,C21_P_MixFld_pr_20_24,C21_P_MixFld_pr_25_34,C21_P_MixFld_pr_35_44,C21_P_MixFld_pr_45_54,C21_P_MixFld_pr_55_64,C21_P_MixFld_pr_65_74,C21_P_MixFld_pr_75_84,C21_P_MixFld_pr_85over,C21_P_MixFld_pr_Tot,C21_P_FldStu_ID_15_19,C21_P_FldStu_ID_20_24,C21_P_FldStu_ID_25_34,C21_P_FldStu_ID_35_44,C21_P_FldStu_ID_45_54,C21_P_FldStu_ID_55_64,C21_P_FldStu_ID_65_74,C21_P_FldStu_ID_75_84,C21_P_FldStu_ID_85over,C21_P_FldStu_ID_Tot,C21_P_FldStu_NS_15_19,C21_P_FldStu_NS_20_24,C21_P_FldStu_NS_25_34,C21_P_FldStu_NS_35_44,C21_P_FldStu_NS_45_54,C21_P_FldStu_NS_55_64,C21_P_FldStu_NS_65_74,C21_P_FldStu_NS_75_84,C21_P_FldStu_NS_85over,C21_P_FldStu_NS_Tot,C21_P_Tot_15_19,C21_P_Tot_20_24,C21_P_Tot_25_34,C21_P_Tot_35_44,C21_P_Tot_45_54,C21_P_Tot_55_64,C21_P_Tot_65_74,C21_P_Tot_75_84,C21_P_Tot_85over,C21_P_Tot_Tot
501011001,0,0,10,44,19,24,26,10,0,133,0,4,7,8,0,4,4,0,0,28,0,8,66,105,87,97,97,38,9,508,3,10,27,50,41,49,33,8,6,222,4,13,23,54,57,29,28,10,5,218,0,3,31,75,62,77,74,31,7,368,0,3,47,75,61,82,66,26,12,379,0,0,49,81,84,91,66,27,0,412,3,6,42,64,51,62,39,11,0,276,4,0,18,31,21,25,17,3,0,131,8,9,32,51,40,33,20,9,0,202,0,0,0,0,0,0,0,0,0,9,0,4,0,16,9,10,13,9,0,56,27,16,65,127,115,93,82,40,19,580,52,81,421,793,661,673,563,223,58,3524
501011003,0,0,35,61,64,41,52,8,0,264,0,0,3,10,11,15,6,0,0,47,6,23,93,170,186,176,174,69,21,911,3,20,90,113,102,90,64,19,0,499,4,11,35,70,64,44,31,15,5,280,7,8,87,142,137,156,97,74,15,722,0,8,52,134,120,117,152,54,5,643,17,24,137,247,224,187,144,65,20,1057,12,12,73,127,117,104,87,34,5,562,6,10,54,73,54,40,37,16,4,290,0,24,83,105,89,54,35,7,0,406,4,0,0,0,0,0,0,0,0,4,0,4,6,24,18,9,17,7,0,78,84,28,130,167,157,136,116,85,16,920,154,173,883,1441,1341,1166,1004,448,83,6692
501011004,0,4,41,77,62,32,33,10,4,249,3,3,13,23,14,10,5,4,0,67,3,23,96,123,151,116,86,25,9,635,3,19,79,107,79,79,44,0,0,415,0,8,39,87,59,31,18,8,0,250,7,11,104,119,126,108,71,26,10,577,0,7,49,137,119,130,107,40,5,593,7,29,135,169,162,89,79,20,4,698,3,17,100,138,120,98,69,26,10,578,4,4,56,67,54,36,36,12,0,268,7,17,99,114,86,48,19,3,0,400,0,0,0,0,0,0,0,0,0,4,0,0,10,27,22,14,13,0,0,97,53,33,136,155,191,81,93,28,34,812,99,172,955,1347,1244,863,656,206,86,5630
501011293,0,0,12,17,20,14,17,14,4,98,5,4,14,15,7,5,8,0,0,60,4,31,78,106,135,134,146,60,10,705,4,15,60,51,42,54,41,30,7,312,0,6,22,24,35,24,21,11,0,151,3,19,67,88,106,108,75,32,3,497,6,8,43,84,106,88,89,28,4,460,22,34,91,108,145,126,98,36,12,669,11,20,63,85,118,87,88,18,0,484,3,9,26,26,32,23,16,9,0,144,3,23,65,63,72,44,30,11,0,317,3,4,0,0,0,0,0,0,0,11,0,5,8,10,17,13,9,4,3,56,35,25,93,78,99,95,89,85,25,618,97,212,650,759,927,814,722,342,64,4576
501011294,0,4,22,52,42,36,18,11,8,189,5,11,22,34,12,16,11,0,0,109,16,45,181,268,247,253,238,143,33,1421,9,39,133,105,117,105,117,48,19,699,7,12,45,74,60,55,37,21,4,316,16,41,143,223,186,197,166,89,40,1093,8,19,116,207,199,178,159,78,21,987,37,64,199,261,307,234,199,93,21,1414,23,35,134,173,195,145,108,45,8,865,12,27,36,57,40,32,21,12,3,238,22,48,133,147,130,89,60,15,4,655,4,5,5,0,0,0,3,0,0,18,0,0,10,22,23,18,12,3,3,102,59,31,150,190,141,140,170,155,122,1159,209,386,1323,1801,1703,1504,1320,721,287,9258
501021005,0,4,24,35,36,33,20,12,0,168,4,19,36,42,12,16,0,3,0,132,46,96,402,445,395,349,261,90,10,2083,8,34,114,115,82,86,51,22,6,515,4,14,30,42,45,43,23,7,0,214,27,32,145,173,156,184,119,46,10,895,16,25,118,197,190,186,141,43,12,925,33,66,235,334,274,215,121,46,5,1336,35,59,138,222,200,137,89,19,4,906,12,20,38,40,29,19,17,14,5,192,25,37,141,133,89,76,37,13,0,548,5,3,0,0,0,0,0,0,0,9,0,10,24,34,38,25,16,7,0,142,54,54,161,164,143,163,139,76,25,979,267,468,1613,1972,1693,1533,1038,394,76,9051
501021007,0,0,3,10,23,19,9,4,0,66,0,4,9,8,5,5,0,0,0,28,5,20,76,87,86,111,77,36,0,497,0,11,15,26,29,38,25,3,0,149,0,11,12,28,29,22,11,3,0,117,9,15,38,59,50,72,40,22,0,299,3,0,26,48,67,54,44,7,0,246,11,13,48,63,50,60,45,11,0,301,11,11,39,60,72,66,36,8,0,298,4,0,14,6,17,3,7,5,0,47,3,16,15,23,24,14,11,3,0,99,0,0,0,0,0,0,0,0,0,3,0,0,6,3,3,6,0,0,0,28,31,24,37,54,78,79,70,38,12,427,78,131,344,458,539,540,377,133,25,2620
501021008,0,10,16,14,4,5,5,0,0,58,3,6,13,8,8,11,0,0,0,45,0,27,77,79,70,83,83,37,6,464,5,10,30,31,28,27,14,14,3,173,0,4,16,22,15,7,4,0,0,71,5,13,69,37,38,43,40,10,7,268,4,16,43,46,43,35,24,15,8,224,14,34,80,81,53,59,40,16,0,389,10,38,54,70,74,77,34,4,0,362,0,12,16,7,12,7,0,5,0,56,12,19,59,39,35,19,10,5,0,189,0,3,4,0,0,0,0,0,0,11,0,5,9,13,10,12,8,0,0,46,39,49,130,102,100,75,60,46,31,626,97,246,612,542,487,464,321,149,64,2980
501021009,0,0,3,7,8,4,7,0,0,36,3,10,4,10,5,5,0,0,0,32,12,64,165,181,186,190,152,59,9,1023,5,10,37,28,17,37,17,13,3,159,7,6,20,16,13,15,7,0,0,90,7,11,36,30,44,68,68,32,6,306,4,13,48,67,64,59,38,9,4,308,15,33,87,89,88,48,38,13,5,404,15,17,56,68,68,74,27,7,0,326,0,3,10,10,9,4,5,3,0,47,6,15,37,41,53,39,16,8,0,216,0,0,0,0,0,0,0,0,0,6,0,4,5,5,12,11,6,7,0,47,64,41,103,102,94,110,118,91,60,782,140,222,624,653,657,664,511,243,79,3788
501021010,0,0,0,5,12,8,8,0,0,37,0,9,0,0,4,3,0,0,0,16,4,11,60,72,79,69,54,10,0,364,0,3,16,11,17,21,5,5,0,80,7,3,7,13,12,15,11,0,0,79,5,5,19,37,30,42,14,8,0,168,0,5,14,26,36,48,32,8,3,179,8,3,39,34,64,39,21,5,3,214,8,14,19,19,36,26,11,0,0,133,5,3,5,3,4,4,8,0,0,33,0,6,11,19,18,10,6,6,0,75,0,0,0,0,0,4,0,0,0,4,0,0,0,0,3,0,4,0,0,13,15,7,20,31,57,50,50,26,12,269,47,79,212,285,367,334,233,76,23,1665
