SA3_CODE_2021,C16_45_49_Sep_F,C16_45_49_Sep_P,C16_45_49_Div_M,C16_45_49_Div_F,C16_45_49_Div_P,C16_45_49_Wid_M,C16_45_49_Wid_F,C16_45_49_Wid_P,C16_45_49_Nvr_marrd_M,C16_45_49_Nvr_marrd_F,C16_45_49_Nvr_marrd_P,C16_45_49_Tot_M,C16_45_49_Tot_F,C16_45_49_Tot_P,C16_50_54_Married_M,C16_50_54_Married_F,C16_50_54_Married_P,C16_50_54_Sep_M,C16_50_54_Sep_F,C16_50_54_Sep_P,C16_50_54_Div_M,C16_50_54_Div_F,C16_50_54_Div_P,C16_50_54_Wid_M,C16_50_54_Wid_F,C16_50_54_Wid_P,C16_50_54_Nvr_marrd_M,C16_50_54_Nvr_marrd_F,C16_50_54_Nvr_marrd_P,C16_50_54_Tot_M,C16_50_54_Tot_F,C16_50_54_Tot_P,C16_55_59_Married_M,C16_55_59_Married_F,C16_55_59_Married_P,C16_55_59_Sep_M,C16_55_59_Sep_F,C16_55_59_Sep_P,C16_55_59_Div_M,C16_55_59_Div_F,C16_55_59_Div_P,C16_55_59_Wid_M,C16_55_59_Wid_F,C16_55_59_Wid_P,C16_55_59_Nvr_marrd_M,C16_55_59_Nvr_marrd_F,C16_55_59_Nvr_marrd_P,C16_55_59_Tot_M,C16_55_59_Tot_F,C16_55_59_Tot_P,C16_60_64_Married_M,C16_60_64_Married_F,C16_60_64_Married_P,C16_60_64_Sep_M,C16_60_64_Sep_F,C16_60_64_Sep_P,C16_60_64_Div_M,C16_60_64_Div_F,C16_60_64_Div_P,C16_60_64_Wid_M,C16_60_64_Wid_F,C16_60_64_Wid_P,C16_60_64_Nvr_marrd_M,C16_60_64_Nvr_marrd_F,C16_60_64_Nvr_marrd_P,C16_60_64_Tot_M,C16_60_64_Tot_F,C16_60_64_Tot_P,C16_65_69_Married_M,C16_65_69_Married_F,C16_65_69_Married_P,C16_65_69_Sep_M,C16_65_69_Sep_F,C16_65_69_Sep_P,C16_65_69_Div_M,C16_65_69_Div_F,C16_65_69_Div_P,C16_65_69_Wid_M,C16_65_69_Wid_F,C16_65_69_Wid_P,C16_65_69_Nvr_marrd_M,C16_65_69_Nvr_marrd_F,C16_65_69_Nvr_marrd_P,C16_65_69_Tot_M,C16_65_69_Tot_F,C16_65_69_Tot_P,C16_70_74_Married_M,C16_70_74_Married_F,C16_70_74_Married_P,C16_70_74_Sep_M,C16_70_74_Sep_F,C16_70_74_Sep_P,C16_70_74_Div_M,C16_70_74_Div_F,C16_70_74_Div_P,C16_70_74_Wid_M,C16_70_74_Wid_F,C16_70_74_Wid_P,C16_70_74_Nvr_marrd_M,C16_70_74_Nvr_marrd_F,C16_70_74_Nvr_marrd_P,C16_70_74_Tot_M,C16_70_74_Tot_F,C16_70_74_Tot_P,C16_75_79_Married_M,C16_75_79_Married_F,C16_75_79_Married_P,C16_75_79_Sep_M,C16_75_79_Sep_F,C16_75_79_Sep_P,C16_75_79_Div_M,C16_75_79_Div_F,C16_75_79_Div_P,C16_75_79_Wid_M,C16_75_79_Wid_F,C16_75_79_Wid_P,C16_75_79_Nvr_marrd_M,C16_75_79_Nvr_marrd_F,C16_75_79_Nvr_marrd_P,C16_75_79_Tot_M,C16_75_79_Tot_F,C16_75_79_Tot_P,C16_80_84_Married_M,C16_80_84_Married_F,C16_80_84_Married_P,C16_80_84_Sep_M,C16_80_84_Sep_F,C16_80_84_Sep_P,C16_80_84_Div_M,C16_80_84_Div_F,C16_80_84_Div_P,C16_80_84_Wid_M,C16_80_84_Wid_F,C16_80_84_Wid_P,C16_80_84_Nvr_marrd_M,C16_80_84_Nvr_marrd_F,C16_80_84_Nvr_marrd_P,C16_80_84_Tot_M,C16_80_84_Tot_F,C16_80_84_Tot_P,C16_85_over_Married_M,C16_85_over_Married_F,C16_85_over_Married_P,C16_85_over_Seprtd_M,C16_85_over_Seprtd_F,C16_85_over_Seprtd_P,C16_85_over_Divorce_M,C16_85_over_Divorce_F,C16_85_over_Divorce_P,C16_85_over_Wid_M,C16_85_over_Wid_F,C16_85_over_Wid_P,C16_85_over_Nvr_mard_M,C16_85_over_Nvr_mard_F,C16_85_over_Nvr_mard_P,C16_85_over_Tot_M,C16_85_over_Tot_F,C16_85_over_Tot_P,C16_Tot_Married_M,C16_Tot_Married_F,C16_Tot_Married_P,C16_Tot_Sep_M,C16_Tot_Sep_F,C16_Tot_Sep_P,C16_Tot_Div_M,C16_Tot_Div_F,C16_Tot_Div_P,C16_Tot_Wid_M,C16_Tot_Wid_F,C16_Tot_Wid_P,C16_Tot_nver_marrie_M,C16_Tot_nver_marrie_F,C16_Tot_nver_marrie_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_15_19_Married_M,C21_15_19_Married_F,C21_15_19_Married_P,C21_15_19_Sep_M,C21_15_19_Sep_F,C21_15_19_Sep_P,C21_15_19_Div_M,C21_15_19_Div_F,C21_15_19_Div_P,C21_15_19_Wid_M,C21_15_19_Wid_F,C21_15_19_Wid_P,C21_15_19_Nvr_marrd_M,C21_15_19_Nvr_marrd_F,C21_15_19_Nvr_marrd_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Married_M,C21_20_24_Married_F,C21_20_24_Married_P,C21_20_24_Sep_M,C21_20_24_Sep_F,C21_20_24_Sep_P
50101,106,202,188,269,452,12,18,33,408,328,734,1799,1848,3648,1003,994,1999,80,104,186,211,267,481,16,40,61,301,232,531,1617,1645,3260,1046,1109,2160,63,75,140,237,356,588,28,56,84,194,155,346,1566,1756,3319,1106,1137,2248,44,50,87,269,328,593,37,93,123,139,112,257,1594,1713,3312,1229,1106,2331,48,41,90,203,260,464,46,142,188,70,51,120,1602,1595,3199,884,766,1647,26,26,52,150,157,306,52,152,207,27,44,66,1136,1143,2280,632,424,1059,13,12,28,67,94,162,63,263,329,20,16,36,797,809,1609,346,258,599,8,0,11,36,38,79,69,305,376,13,17,29,463,629,1097,262,123,388,4,3,9,15,32,43,133,477,614,11,18,22,424,651,1072,10595,10669,21263,562,712,1273,1578,2146,3722,463,1592,2052,6323,5674,12003,19531,20782,40310,5,4,3,0,0,0,0,0,0,0,0,5,1622,1446,3065,1623,1450,3074,13,22,41,5,5,9
50102,239,450,388,566,952,23,51,66,696,611,1303,3560,3765,7334,2201,2256,4458,210,207,418,544,659,1207,38,68,100,560,388,945,3550,3579,7128,2274,2342,4613,168,178,342,557,711,1272,53,136,191,368,236,604,3415,3605,7017,2090,2056,4149,136,138,273,507,560,1071,80,209,287,215,137,360,3030,3105,6134,2068,1886,3948,109,100,209,441,489,934,106,307,409,134,91,222,2860,2874,5727,1505,1171,2680,53,44,97,227,243,470,107,438,543,63,53,113,1957,1947,3903,1009,775,1781,28,18,47,124,145,269,114,569,680,52,28,86,1326,1538,2863,609,392,1002,14,16,30,59,72,135,137,541,671,38,17,57,860,1036,1898,425,207,634,11,3,13,21,48,69,208,833,1041,15,19,35,676,1108,1791,20546,20640,41184,1388,1605,2993,3373,4227,7603,876,3180,4057,13851,11888,25734,40031,41540,81569,0,7,12,0,3,3,0,0,4,0,0,0,3340,3283,6617,3345,3289,6638,82,124,208,6,7,14
50103,76,106,65,106,168,4,10,11,217,148,361,749,850,1598,518,558,1077,50,55,103,121,148,268,10,24,38,203,130,334,899,918,1817,615,613,1225,45,49,91,141,182,316,9,30,40,138,90,229,944,960,1904,623,652,1275,35,45,78,160,182,345,28,57,80,115,61,172,960,986,1944,617,569,1183,51,21,79,147,128,268,30,90,124,59,33,87,907,837,1742,499,394,892,19,19,36,109,73,181,45,125,173,50,20,69,728,627,1357,335,241,572,20,5,24,44,40,82,42,104,144,25,11,34,462,397,858,180,108,290,4,0,8,19,24,36,29,148,176,9,6,16,241,280,526,107,32,138,3,0,0,6,18,27,46,218,267,6,9,17,171,276,449,4945,4934,9886,329,349,675,890,1001,1888,244,829,1073,2892,2265,5156,9304,9377,18679,0,0,0,0,0,0,0,0,0,0,0,0,622,628,1251,622,629,1248,7,24,32,0,5,5
50201,263,468,359,539,901,14,48,59,637,506,1136,3004,3224,6230,1873,1912,3793,172,215,389,502,633,1135,24,75,101,532,406,941,3104,3249,6351,1891,2030,3923,157,177,336,474,697,1172,38,119,155,316,238,549,2877,3268,6142,1983,2132,4114,146,156,299,501,677,1179,78,207,278,230,144,368,2932,3310,6246,2311,2309,4623,131,103,234,554,560,1119,103,373,477,139,79,222,3243,3428,6670,2035,1816,3852,96,59,159,330,376,703,169,512,680,79,41,120,2708,2803,5507,1663,1263,2927,49,42,87,217,219,436,165,655,825,56,31,89,2145,2218,4357,968,677,1648,19,12,29,97,112,204,194,707,900,29,18,48,1310,1524,2837,631,305,934,18,5,25,51,78,127,314,981,1290,16,18,35,1031,1384,2418,19932,20183,40116,1434,1714,3148,3511,4637,8153,1122,3717,4847,12183,10729,22916,38182,40991,79178,0,0,0,0,0,0,0,0,0,0,0,0,3012,2965,5981,3015,2971,5986,46,110,151,0,14,14
50301,87,138,129,213,343,9,24,36,305,275,580,2340,2661,4998,1720,1777,3495,51,91,143,197,281,477,12,43,59,252,201,456,2237,2398,4632,1557,1574,3132,59,80,137,226,367,595,17,53,72,232,186,416,2086,2263,4347,1453,1378,2829,49,59,106,218,321,539,29,91,115,158,149,308,1898,1992,3896,1282,1223,2505,39,47,86,179,330,508,32,159,194,129,95,221,1664,1845,3508,1135,934,2068,31,20,51,144,238,383,61,234,288,78,88,160,1442,1504,2946,793,618,1405,12,16,34,88,135,226,66,331,393,54,49,98,1009,1146,2155,505,373,877,14,8,26,52,103,151,88,382,470,20,52,66,665,915,1583,430,214,639,11,0,15,31,83,113,186,929,1116,23,50,73,674,1273,1952,14084,14359,28448,417,553,976,1420,2334,3753,499,2281,2775,10123,9215,19340,26551,28745,55295,3,3,7,0,0,0,0,0,0,0,0,0,2964,2975,5942,2969,2978,5947,12,31,38,0,0,0
50302,141,304,340,487,830,10,33,42,878,656,1539,3264,3111,6377,1595,1616,3210,167,131,299,432,516,945,18,56,70,768,576,1345,2979,2896,5873,1597,1501,3100,127,116,238,468,555,1028,34,102,142,569,456,1023,2793,2734,5521,1394,1309,2702,118,99,216,481,564,1047,41,150,188,434,305,743,2475,2427,4898,1227,1047,2280,87,93,178,418,480,900,51,230,276,321,218,537,2112,2064,4175,827,600,1428,60,38,100,254,298,550,69,257,324,218,132,347,1423,1330,2758,552,441,993,33,26,57,138,188,327,89,382,471,147,116,265,961,1148,2116,409,265,670,25,12,35,48,86,132,108,482,589,79,97,179,671,931,1608,318,157,470,8,7,20,56,74,132,203,979,1184,78,119,197,666,1336,2010,17660,17483,35139,1145,1102,2242,3205,4131,7338,648,2708,3358,21004,18942,39944,43656,44366,88019,0,0,5,0,0,0,0,0,0,0,0,0,2062,2160,4224,2058,2165,4225,78,148,221,0,12,16
50401,127,271,274,403,667,10,34,45,757,570,1326,2738,2616,5355,1431,1423,2858,107,126,237,352,451,805,31,56,88,600,447,1048,2530,2504,5031,1414,1358,2769,115,135,250,367,494,867,26,114,139,414,332,740,2335,2431,4766,1313,1347,2656,87,102,187,384,481,864,32,173,206,323,217,535,2138,2321,4459,1270,1144,2418,74,82,157,295,406,704,63,251,315,202,122,331,1905,2011,3920,925,777,1702,45,43,90,191,285,475,84,323,404,113,78,191,1360,1502,2863,734,568,1306,20,30,55,122,196,315,96,418,513,80,39,120,1057,1249,2306,503,315,822,13,8,22,68,104,170,127,491,619,36,25,58,740,939,1683,352,168,515,12,7,14,41,63,107,215,898,1115,23,34,54,638,1166,1809,15448,15353,30807,967,1064,2030,2556,3589,6148,698,2813,3511,13506,11400,24909,33179,34225,67401,0,0,0,0,0,0,0,0,0,0,0,0,2004,1858,3859,2002,1859,3865,37,114,155,0,10,11
50402,92,175,178,219,401,0,24,24,376,274,642,1702,1639,3337,1034,1068,2103,105,93,192,222,248,472,6,33,39,273,176,451,1645,1616,3257,1025,1006,2024,92,58,151,218,257,478,19,51,71,183,124,307,1541,1494,3030,926,907,1836,62,50,108,210,225,438,39,79,111,124,77,201,1360,1339,2704,940,875,1811,43,46,93,171,221,388,47,121,172,76,41,125,1285,1307,2585,693,533,1223,33,27,59,105,155,256,34,160,193,39,31,65,907,896,1809,444,316,762,17,11,29,65,56,119,53,207,260,17,12,26,596,595,1192,242,183,426,5,4,13,39,49,82,58,162,222,9,4,11,352,405,759,170,66,238,4,7,9,18,23,39,79,291,369,12,13,22,281,396,681,9091,8548,17640,620,591,1214,1409,1694,3107,363,1139,1505,6540,4644,11180,18025,16617,34644,0,0,0,0,0,0,0,0,0,0,0,0,1368,1260,2624,1369,1260,2630,43,30,79,0,0,3
50403,319,538,451,734,1181,24,75,102,922,679,1597,4556,4700,9259,2792,2679,5473,247,282,528,530,780,1308,38,103,137,618,475,1086,4222,4315,8534,2418,2260,4671,176,210,389,502,793,1295,54,168,222,438,299,734,3587,3730,7318,1973,1680,3648,137,145,275,439,614,1050,57,255,312,245,193,435,2843,2879,5730,1599,1389,2986,120,122,242,315,462,779,79,317,394,181,95,275,2288,2381,4676,1151,954,2107,62,55,114,186,292,475,80,329,412,89,28,115,1566,1664,3229,784,593,1376,22,16,39,124,150,272,101,373,467,38,26,56,1066,1154,2216,465,275,746,17,7,21,58,80,136,103,375,477,27,7,38,670,753,1424,298,135,433,14,5,17,19,53,73,155,579,730,9,19,30,489,796,1279,24464,24632,49100,1608,2064,3674,3309,5150,8461,720,2683,3404,19220,16661,35879,49324,51189,100513,0,11,14,0,0,0,0,0,0,0,5,5,4883,4430,9309,4885,4442,9326,126,244,371,5,15,20
50501,324,545,490,738,1224,21,66,87,767,632,1394,5813,6145,11956,4166,4426,8594,206,264,473,563,800,1364,43,93,134,556,455,1013,5534,6044,11580,4156,4189,8344,200,211,404,570,891,1457,66,186,250,378,286,660,5359,5757,11117,3884,3657,7539,133,128,261,518,809,1329,90,278,364,193,149,343,4819,5018,9831,3537,3030,6576,109,110,215,411,660,1070,116,432,554,99,106,212,4274,4342,8619,2222,1695,3910,47,48,94,216,359,573,119,447,568,53,48,99,2657,2587,5248,1241,890,2128,30,38,68,100,213,315,136,561,690,20,44,70,1528,1748,3274,730,577,1309,21,26,43,61,98,154,166,674,843,22,19,36,992,1392,2391,545,285,832,18,11,26,38,80,118,254,1135,1393,10,29,40,866,1536,2405,34553,34857,69409,1422,1783,3208,3589,5572,9156,1040,3932,4974,20908,17517,38428,61504,63662,125170,0,3,6,0,0,0,0,4,4,0,0,0,5359,4944,10306,5365,4953,10317,29,78,108,3,4,7
