SA3_CODE_2021,C11_0_4_Indig_M,C11_0_4_Indig_F,C11_0_4_Indig_P,C11_0_4_NonInd_M,C11_0_4_NonInd_F,C11_0_4_NonInd_P,C11_0_4_Indig_st_ns_M,C11_0_4_Indig_st_ns_F,C11_0_4_Indig_st_ns_P,C11_0_4_Tot_M,C11_0_4_Tot_F,C11_0_4_Tot_P,C11_5_9_Indig_M,C11_5_9_Indig_F,C11_5_9_Indig_P,C11_5_9_NonInd_M,C11_5_9_NonInd_F,C11_5_9_NonInd_P,C11_5_9_Indig_st_ns_M,C11_5_9_Indig_st_ns_F,C11_5_9_Indig_st_ns_P,C11_5_9_Tot_M,C11_5_9_Tot_F,C11_5_9_Tot_P,C11_10_14_Indigen_M,C11_10_14_Indigen_F,C11_10_14_Indigen_P,C11_10_14_NonInd_M,C11_10_14_NonInd_F,C11_10_14_NonInd_P,C11_10_14_Ind_st_ns_M,C11_10_14_Ind_st_ns_F,C11_10_14_Ind_st_ns_P,C11_10_14_Tot_M,C11_10_14_Tot_F,C11_10_14_Tot_P,C11_15_19_Indigen_M,C11_15_19_Indigen_F,C11_15_19_Indigen_P,C11_15_19_NonInd_M,C11_15_19_NonInd_F,C11_15_19_NonInd_P,C11_15_19_Ind_st_ns_M,C11_15_19_Ind_st_ns_F,C11_15_19_Ind_st_ns_P,C11_15_19_Tot_M,C11_15_19_Tot_F,C11_15_19_Tot_P,C11_20_24_Indigen_M,C11_20_24_Indigen_F,C11_20_24_Indigen_P,C11_20_24_NonInd_M,C11_20_24_NonInd_F,C11_20_24_NonInd_P,C11_20_24_Ind_st_ns_M,C11_20_24_Ind_st_ns_F,C11_20_24_Ind_st_ns_P,C11_20_24_Tot_M,C11_20_24_Tot_F,C11_20_24_Tot_P,C11_25_29_Indigen_M,C11_25_29_Indigen_F,C11_25_29_Indigen_P,C11_25_29_NonInd_M,C11_25_29_NonInd_F,C11_25_29_NonInd_P,C11_25_29_Ind_st_ns_M,C11_25_29_Ind_st_ns_F,C11_25_29_Ind_st_ns_P,C11_25_29_Tot_M,C11_25_29_Tot_F,C11_25_29_Tot_P,C11_30_34_Indigen_M,C11_30_34_Indigen_F,C11_30_34_Indigen_P,C11_30_34_NonInd_M,C11_30_34_NonInd_F,C11_30_34_NonInd_P,C11_30_34_Ind_st_ns_M,C11_30_34_Ind_st_ns_F,C11_30_34_Ind_st_ns_P,C11_30_34_Tot_M,C11_30_34_Tot_F,C11_30_34_Tot_P,C11_35_39_Indigen_M,C11_35_39_Indigen_F,C11_35_39_Indigen_P,C11_35_39_NonInd_M,C11_35_39_NonInd_F,C11_35_39_NonInd_P,C11_35_39_Ind_st_ns_M,C11_35_39_Ind_st_ns_F,C11_35_39_Ind_st_ns_P,C11_35_39_Tot_M,C11_35_39_Tot_F,C11_35_39_Tot_P,C11_40_44_Indigen_M,C11_40_44_Indigen_F,C11_40_44_Indigen_P,C11_40_44_NonInd_M,C11_40_44_NonInd_F,C11_40_44_NonInd_P,C11_40_44_Ind_st_ns_M,C11_40_44_Ind_st_ns_F,C11_40_44_Ind_st_ns_P,C11_40_44_Tot_M,C11_40_44_Tot_F,C11_40_44_Tot_P,C11_45_49_Indigen_M,C11_45_49_Indigen_F,C11_45_49_Indigen_P,C11_45_49_NonInd_M,C11_45_49_NonInd_F,C11_45_49_NonInd_P,C11_45_49_Ind_st_ns_M,C11_45_49_Ind_st_ns_F,C11_45_49_Ind_st_ns_P,C11_45_49_Tot_M,C11_45_49_Tot_F,C11_45_49_Tot_P,C11_50_54_Indigen_M,C11_50_54_Indigen_F,C11_50_54_Indigen_P,C11_50_54_NonInd_M,C11_50_54_NonInd_F,C11_50_54_NonInd_P,C11_50_54_Ind_st_ns_M,C11_50_54_Ind_st_ns_F,C11_50_54_Ind_st_ns_P,C11_50_54_Tot_M,C11_50_54_Tot_F,C11_50_54_Tot_P,C11_55_59_Indigen_M,C11_55_59_Indigen_F,C11_55_59_Indigen_P,C11_55_59_NonInd_M,C11_55_59_NonInd_F,C11_55_59_NonInd_P,C11_55_59_Ind_st_ns_M,C11_55_59_Ind_st_ns_F,C11_55_59_Ind_st_ns_P,C11_55_59_Tot_M,C11_55_59_Tot_F,C11_55_59_Tot_P,C11_60_64_Indigen_M,C11_60_64_Indigen_F,C11_60_64_Indigen_P,C11_60_64_NonInd_M,C11_60_64_NonInd_F,C11_60_64_NonInd_P,C11_60_64_Ind_st_ns_M,C11_60_64_Ind_st_ns_F,C11_60_64_Ind_st_ns_P,C11_60_64_Tot_M,C11_60_64_Tot_F,C11_60_64_Tot_P,C11_65_over_Indigen_M,C11_65_over_Indigen_F,C11_65_over_Indigen_P,C11_65ove_NonInd_M,C11_65ove_NonInd_F,C11_65ove_NonInd_P,C11_65ove_Indig_st_ns_M,C11_65ove_Indig_st_ns_F,C11_65ove_Indig_st_ns_P,C11_65_over_Tot_M,C11_65_over_Tot_F,C11_65_over_Tot_P,C11_Tot_Indig_M,C11_Tot_Indig_F,C11_Tot_Indig_P,C11_Tot_NonInd_M,C11_Tot_NonInd_F,C11_Tot_NonInd_P,C11_Tot_Indig_st_ns_M,C11_Tot_Indig_st_ns_F,C11_Tot_Indig_st_ns_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_0_4_Indig_M,C16_0_4_Indig_F,C16_0_4_Indig_P,C16_0_4_NonInd_M,C16_0_4_NonInd_F,C16_0_4_NonInd_P,C16_0_4_Indig_st_ns_M,C16_0_4_Indig_st_ns_F,C16_0_4_Indig_st_ns_P,C16_0_4_Tot_M,C16_0_4_Tot_F,C16_0_4_Tot_P,C16_5_9_Indig_M,C16_5_9_Indig_F,C16_5_9_Indig_P,C16_5_9_NonInd_M,C16_5_9_NonInd_F,C16_5_9_NonInd_P,C16_5_9_Indig_st_ns_M,C16_5_9_Indig_st_ns_F
50101,43,29,69,1425,1371,2798,90,85,176,1557,1485,3047,50,49,95,1373,1284,2654,85,79,159,1504,1405,2911,45,38,87,1485,1335,2818,59,88,148,1591,1458,3050,36,31,70,1237,1142,2375,52,44,101,1323,1225,2552,12,25,38,817,776,1595,67,37,106,895,838,1735,18,9,28,966,1045,2008,77,59,137,1061,1114,2175,8,24,30,1145,1290,2432,87,65,151,1236,1377,2617,15,27,38,1390,1511,2900,95,82,180,1504,1619,3118,16,19,36,1449,1574,3024,113,75,189,1577,1665,3247,18,12,33,1353,1459,2813,86,60,143,1453,1535,2987,18,12,28,1307,1453,2757,77,64,143,1397,1530,2925,19,10,25,1230,1355,2586,76,64,134,1318,1432,2744,9,6,12,1207,1201,2407,79,59,136,1297,1269,2563,4,10,15,2779,3254,6034,146,173,318,2930,3439,6369,305,305,609,19156,20056,39220,1184,1032,2222,20649,21398,42045,43,46,97,1544,1407,2951,113,104,218,1708,1567,3267,61,57,119,1784,1646,3429,129,102
50102,148,137,287,3099,2844,5944,201,204,403,3445,3186,6632,142,163,305,3008,2917,5921,161,188,347,3307,3267,6573,164,148,316,3250,3069,6324,202,188,388,3623,3404,7026,130,133,264,3163,2836,6005,195,135,327,3487,3109,6597,98,79,173,2525,2428,4952,185,142,330,2809,2647,5456,85,110,201,2645,2611,5254,213,131,344,2942,2853,5798,68,81,143,2769,2739,5510,183,136,326,3016,2958,5974,72,80,157,2837,3040,5877,203,155,362,3113,3276,6393,74,75,150,3193,3427,6620,211,169,385,3484,3677,7159,49,70,121,3224,3166,6390,228,159,386,3504,3395,6900,45,40,83,3161,3148,6310,226,144,366,3432,3333,6768,46,36,83,2775,2785,5560,164,127,293,2987,2949,5938,26,26,51,2527,2513,5045,149,117,266,2698,2660,5357,26,35,57,5213,5867,11084,314,353,674,5559,6256,11817,1170,1226,2397,43402,43399,86801,2838,2350,5187,47409,46975,94384,160,159,319,3069,2866,5940,217,195,415,3452,3217,6670,177,174,343,3329,3122,6444,214,228
50103,26,33,55,612,576,1187,29,20,47,663,635,1291,27,42,64,702,706,1408,29,27,52,758,770,1528,35,31,68,810,716,1525,25,21,46,868,774,1639,21,22,47,602,498,1097,26,15,38,646,537,1181,8,16,26,357,356,713,20,4,27,385,375,763,7,5,17,382,407,787,25,14,37,413,425,843,7,17,31,436,490,925,13,18,31,457,528,987,7,20,22,571,664,1238,25,21,49,605,709,1310,9,15,27,678,747,1427,33,23,54,726,784,1511,9,14,32,794,808,1595,43,31,74,847,850,1699,6,10,15,855,833,1684,49,20,66,904,858,1767,10,10,25,858,848,1707,44,29,73,915,893,1804,3,6,16,845,796,1646,29,36,63,877,839,1723,3,11,14,1750,1712,3459,84,78,163,1840,1794,3636,189,256,448,10254,10155,20410,460,362,819,10905,10768,21674,31,22,54,530,508,1034,43,44,90,600,579,1174,30,33,68,637,611,1246,44,54
50201,131,117,253,2420,2237,4655,179,153,334,2730,2503,5238,106,104,207,2339,2250,4590,151,160,316,2588,2516,5105,94,112,207,2503,2407,4909,179,155,334,2774,2671,5447,98,80,181,2567,2444,5010,174,133,306,2838,2655,5498,68,66,138,1972,2072,4044,174,104,278,2208,2249,4457,55,51,105,1930,2038,3970,151,116,265,2137,2209,4344,32,50,80,1797,2024,3825,151,117,271,1982,2197,4174,31,38,68,2170,2368,4533,173,121,296,2373,2529,4900,37,48,83,2308,2587,4899,189,133,320,2536,2766,5299,44,39,82,2454,2684,5138,178,125,300,2674,2850,5523,29,30,56,2391,2687,5080,161,131,288,2581,2849,5427,22,28,50,2285,2569,4855,201,116,321,2510,2708,5216,14,13,29,2612,2855,5471,144,146,286,2771,3016,5786,23,13,33,7680,8219,15899,464,470,941,8169,8708,16871,781,795,1576,37425,39449,76874,2664,2182,4851,40868,42426,83294,148,126,272,2560,2443,4999,158,139,293,2862,2704,5570,153,135,281,2818,2772,5587,162,157
50301,11,8,22,1486,1471,2954,66,69,141,1569,1549,3115,6,9,15,2006,1867,3871,70,77,153,2090,1951,4046,13,21,30,2144,2204,4346,81,93,172,2236,2323,4553,31,27,62,2494,2573,5068,95,107,207,2619,2712,5330,16,14,33,2644,2440,5082,169,128,292,2835,2574,5407,10,4,22,1697,1626,3319,131,100,234,1836,1737,3571,0,8,10,1275,1346,2617,113,82,203,1387,1434,2824,11,10,22,1381,1609,2988,103,70,170,1494,1693,3187,4,9,12,1854,2281,4130,111,85,201,1966,2375,4337,9,0,13,2108,2339,4444,81,91,175,2194,2434,4628,7,8,17,2099,2358,4452,128,98,221,2233,2466,4697,3,3,4,1907,2056,3955,119,105,219,2030,2157,4188,0,3,0,1737,1846,3585,108,78,182,1847,1926,3767,4,8,7,4356,5468,9825,298,356,654,4652,5828,10483,135,131,262,29172,31474,60646,1682,1549,3229,30983,33150,64138,13,8,18,1459,1357,2818,70,63,136,1542,1429,2972,6,9,23,2136,1980,4121,91,68
50302,18,13,28,2310,2180,4493,214,153,365,2539,2345,4886,17,5,21,1867,1735,3604,145,115,258,2022,1857,3884,13,13,29,1519,1597,3121,113,104,214,1645,1715,3358,10,37,49,1751,1870,3626,158,116,274,1927,2030,3953,24,30,55,3697,3972,7667,459,382,842,4175,4387,8563,27,40,67,5529,5272,10798,797,617,1411,6356,5921,12271,25,18,43,4427,4124,8554,589,423,1018,5043,4567,9612,17,18,35,3517,3306,6818,386,222,608,3917,3540,7459,19,18,43,3201,2959,6162,335,209,544,3550,3192,6742,19,22,40,2815,2719,5534,241,189,433,3082,2929,6007,10,16,25,2742,2512,5251,228,167,396,2974,2695,5673,14,14,22,2393,2253,4639,257,190,446,2654,2460,5111,10,11,18,2096,1962,4053,187,145,330,2291,2116,4408,8,10,17,4232,5300,9526,330,415,749,4567,5719,10289,232,259,492,42088,41756,83847,4429,3443,7877,46745,45466,92215,25,19,50,2443,2320,4768,228,171,398,2698,2512,5213,19,17,32,2224,2057,4283,150,115
50401,63,69,133,2303,2138,4446,143,101,242,2506,2310,4824,74,77,144,1807,1755,3562,102,76,175,1976,1905,3878,86,63,150,1747,1675,3421,114,90,202,1943,1829,3770,69,75,144,1948,1846,3793,111,73,184,2137,1992,4127,51,55,105,2644,2469,5109,171,104,277,2862,2630,5492,42,48,88,3088,2928,6019,249,169,413,3378,3145,6524,30,38,68,2884,2852,5732,229,137,367,3135,3024,6167,32,51,76,2811,2733,5544,170,114,285,3007,2901,5913,42,39,81,2636,2527,5161,149,118,265,2822,2688,5514,25,32,57,2471,2453,4929,146,104,250,2640,2593,5237,24,32,50,2289,2305,4592,149,109,255,2459,2442,4903,18,26,39,2141,2301,4449,121,92,211,2282,2416,4696,12,16,23,2031,2057,4090,107,86,190,2146,2157,4305,17,31,50,4649,5726,10378,266,312,574,4932,6068,11004,578,640,1211,35447,35781,71222,2216,1691,3904,38235,38106,76338,63,67,126,2335,2164,4500,121,116,235,2514,2347,4865,68,66,131,2125,1986,4111,103,88
50402,56,41,95,1052,977,2032,47,64,109,1158,1080,2239,47,59,102,1206,1089,2295,77,70,141,1331,1212,2538,50,57,105,1423,1274,2693,70,73,140,1536,1404,2941,65,59,125,1445,1318,2764,77,72,153,1596,1444,3042,136,27,161,1252,955,2205,61,48,110,1443,1032,2479,125,24,143,922,787,1711,59,45,107,1104,854,1963,111,23,130,982,869,1857,37,37,72,1129,928,2060,90,25,109,1184,1203,2384,66,57,124,1336,1287,2619,65,36,101,1431,1483,2910,101,73,175,1594,1588,3182,29,26,57,1515,1571,3080,80,81,160,1622,1676,3300,38,19,58,1454,1503,2955,85,58,143,1582,1577,3159,15,14,33,1283,1351,2632,65,60,124,1364,1427,2794,5,11,18,1288,1315,2605,60,52,114,1355,1377,2729,19,21,38,2424,2623,5045,144,146,289,2587,2782,5376,845,424,1276,18855,18312,37166,1032,941,1976,20733,19677,40415,53,50,103,1024,919,1947,60,40,102,1144,1011,2153,58,49,103,1212,1158,2372,55,50
50403,196,199,397,3618,3320,6939,212,206,415,4023,3725,7745,174,207,384,3649,3333,6986,209,188,396,4031,3726,7759,220,194,414,3729,3427,7155,188,165,356,4135,3786,7927,175,173,345,3640,3412,7052,194,190,382,4010,3771,7780,108,144,254,3219,3173,6391,207,156,362,3533,3479,7010,86,103,188,3258,3294,6557,221,152,374,3569,3550,7120,85,105,190,3094,3487,6579,186,174,362,3358,3767,7131,83,128,207,3525,3822,7346,214,173,392,3816,4125,7944,62,88,154,3733,4032,7767,234,200,437,4025,4326,8351,62,77,142,3625,3743,7372,206,166,375,3902,3984,7887,44,62,102,3087,3239,6329,215,156,372,3346,3453,6798,30,30,65,2629,2609,5235,152,116,268,2808,2754,5563,14,45,57,2188,2189,4373,129,129,266,2335,2359,4691,21,49,68,4138,4633,8772,283,306,586,4438,4991,9428,1358,1604,2961,47127,47718,94850,2849,2482,5331,51337,51799,103138,227,209,429,4507,4268,8775,258,266,522,4987,4738,9725,212,238,448,4383,4082,8466,225,249
50501,53,57,113,4487,4329,8814,169,156,321,4711,4535,9250,54,56,114,4745,4377,9119,140,140,281,4938,4572,9517,51,52,105,5252,5005,10258,163,169,334,5469,5226,10694,60,50,107,6012,5753,11765,203,166,373,6275,5965,12242,38,46,86,5407,4915,10323,259,181,437,5709,5142,10848,26,27,53,4057,3748,7800,240,132,376,4319,3912,8226,20,28,54,3743,4037,7780,184,153,334,3956,4219,8172,22,27,47,4723,5002,9726,201,136,335,4945,5165,10108,25,30,50,5368,6065,11438,231,168,400,5620,6264,11884,18,28,43,5600,6351,11948,224,180,406,5841,6553,12394,29,24,50,5531,6180,11708,225,182,407,5786,6382,12168,12,13,22,5112,5368,10482,207,139,348,5324,5523,10847,7,8,20,4656,4569,9225,175,148,322,4836,4730,9569,12,10,17,7381,8525,15905,254,326,578,7644,8853,16501,427,452,876,72085,74212,146294,2867,2378,5246,75375,77049,152421,64,69,132,4307,4078,8378,144,123,264,4511,4271,8781,68,64,128,5116,4936,10051,158,140
