SA3_CODE_2021,C16_5_9_Indig_st_ns_P,C16_5_9_Tot_M,C16_5_9_Tot_F,C16_5_9_Tot_P,C16_10_14_Indigen_M,C16_10_14_Indigen_F,C16_10_14_Indigen_P,C16_10_14_NonInd_M,C16_10_14_NonInd_F,C16_10_14_NonInd_P,C16_10_14_Ind_st_ns_M,C16_10_14_Ind_st_ns_F,C16_10_14_Ind_st_ns_P,C16_10_14_Tot_M,C16_10_14_Tot_F,C16_10_14_Tot_P,C16_15_19_Indigen_M,C16_15_19_Indigen_F,C16_15_19_Indigen_P,C16_15_19_NonInd_M,C16_15_19_NonInd_F,C16_15_19_NonInd_P,C16_15_19_Ind_st_ns_M,C16_15_19_Ind_st_ns_F,C16_15_19_Ind_st_ns_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Indigen_M,C16_20_24_Indigen_F,C16_20_24_Indigen_P,C16_20_24_NonInd_M,C16_20_24_NonInd_F,C16_20_24_NonInd_P,C16_20_24_Ind_st_ns_M,C16_20_24_Ind_st_ns_F,C16_20_24_Ind_st_ns_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_29_Indigen_M,C16_25_29_Indigen_F,C16_25_29_Indigen_P,C16_25_29_NonInd_M,C16_25_29_NonInd_F,C16_25_29_NonInd_P,C16_25_29_Ind_st_ns_M,C16_25_29_Ind_st_ns_F,C16_25_29_Ind_st_ns_P,C16_25_29_Tot_M,C16_25_29_Tot_F,C16_25_29_Tot_P,C16_30_34_Indigen_M,C16_30_34_Indigen_F,C16_30_34_Indigen_P,C16_30_34_NonInd_M,C16_30_34_NonInd_F,C16_30_34_NonInd_P,C16_30_34_Ind_st_ns_M,C16_30_34_Ind_st_ns_F,C16_30_34_Ind_st_ns_P,C16_30_34_Tot_M,C16_30_34_Tot_F,C16_30_34_Tot_P,C16_35_39_Indigen_M,C16_35_39_Indigen_F,C16_35_39_Indigen_P,C16_35_39_NonInd_M,C16_35_39_NonInd_F,C16_35_39_NonInd_P,C16_35_39_Ind_st_ns_M,C16_35_39_Ind_st_ns_F,C16_35_39_Ind_st_ns_P,C16_35_39_Tot_M,C16_35_39_Tot_F,C16_35_39_Tot_P,C16_40_44_Indigen_M,C16_40_44_Indigen_F,C16_40_44_Indigen_P,C16_40_44_NonInd_M,C16_40_44_NonInd_F,C16_40_44_NonInd_P,C16_40_44_Ind_st_ns_M,C16_40_44_Ind_st_ns_F,C16_40_44_Ind_st_ns_P,C16_40_44_Tot_M,C16_40_44_Tot_F,C16_40_44_Tot_P,C16_45_49_Indigen_M,C16_45_49_Indigen_F,C16_45_49_Indigen_P,C16_45_49_NonInd_M,C16_45_49_NonInd_F,C16_45_49_NonInd_P,C16_45_49_Ind_st_ns_M,C16_45_49_Ind_st_ns_F,C16_45_49_Ind_st_ns_P,C16_45_49_Tot_M,C16_45_49_Tot_F,C16_45_49_Tot_P,C16_50_54_Indigen_M,C16_50_54_Indigen_F,C16_50_54_Indigen_P,C16_50_54_NonInd_M,C16_50_54_NonInd_F,C16_50_54_NonInd_P,C16_50_54_Ind_st_ns_M,C16_50_54_Ind_st_ns_F,C16_50_54_Ind_st_ns_P,C16_50_54_Tot_M,C16_50_54_Tot_F,C16_50_54_Tot_P,C16_55_59_Indigen_M,C16_55_59_Indigen_F,C16_55_59_Indigen_P,C16_55_59_NonInd_M,C16_55_59_NonInd_F,C16_55_59_NonInd_P,C16_55_59_Ind_st_ns_M,C16_55_59_Ind_st_ns_F,C16_55_59_Ind_st_ns_P,C16_55_59_Tot_M,C16_55_59_Tot_F,C16_55_59_Tot_P,C16_60_64_Indigen_M,C16_60_64_Indigen_F,C16_60_64_Indigen_P,C16_60_64_NonInd_M,C16_60_64_NonInd_F,C16_60_64_NonInd_P,C16_60_64_Ind_st_ns_M,C16_60_64_Ind_st_ns_F,C16_60_64_Ind_st_ns_P,C16_60_64_Tot_M,C16_60_64_Tot_F,C16_60_64_Tot_P,C16_65_over_Indigen_M,C16_65_over_Indigen_F,C16_65_over_Indigen_P,C16_65over_NonInd_M,C16_65over_NonInd_F,C16_65over_NonInd_P,C16_65over_Indig_st_ns_M,C16_65over_Indig_st_ns_F,C16_65over_Indig_st_ns_P,C16_65_over_Tot_M,C16_65_over_Tot_F,C16_65_over_Tot_P,C16_Tot_Indig_M,C16_Tot_Indig_F,C16_Tot_Indig_P,C16_Tot_NonInd_M,C16_Tot_NonInd_F,C16_Tot_NonInd_P,C16_Tot_Indig_st_ns_M,C16_Tot_Indig_st_ns_F,C16_Tot_Indig_st_ns_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_0_4_Indig_M,C21_0_4_Indig_F,C21_0_4_Indig_P,C21_0_4_NonInd_M,C21_0_4_NonInd_F,C21_0_4_NonInd_P,C21_0_4_Indig_st_ns_M,C21_0_4_Indig_st_ns_F,C21_0_4_Indig_st_ns_P,C21_0_4_Tot_M,C21_0_4_Tot_F,C21_0_4_Tot_P,C21_5_9_Indig_M,C21_5_9_Indig_F,C21_5_9_Indig_P,C21_5_9_NonInd_M,C21_5_9_NonInd_F,C21_5_9_NonInd_P,C21_5_9_Indig_st_ns_M,C21_5_9_Indig_st_ns_F,C21_5_9_Indig_st_ns_P,C21_5_9_Tot_M,C21_5_9_Tot_F,C21_5_9_Tot_P,C21_10_14_Indigen_M,C21_10_14_Indigen_F,C21_10_14_Indigen_P,C21_10_14_NonInd_M,C21_10_14_NonInd_F,C21_10_14_NonInd_P,C21_10_14_Ind_st_ns_M,C21_10_14_Ind_st_ns_F,C21_10_14_Ind_st_ns_P,C21_10_14_Tot_M,C21_10_14_Tot_F,C21_10_14_Tot_P,C21_15_19_Indigen_M,C21_15_19_Indigen_F,C21_15_19_Indigen_P,C21_15_19_NonInd_M
50101,238,1966,1810,3783,65,54,113,1610,1548,3158,118,120,234,1791,1719,3506,39,41,76,1349,1229,2577,85,89,174,1475,1356,2828,29,25,49,842,863,1706,63,74,134,932,961,1891,19,24,46,1032,1061,2094,104,91,197,1155,1172,2331,16,27,40,1317,1606,2925,126,100,227,1458,1737,3193,23,27,48,1498,1680,3174,131,103,234,1649,1806,3455,21,23,46,1684,1803,3492,143,138,283,1848,1968,3816,20,21,45,1617,1710,3323,160,120,276,1799,1848,3648,15,8,25,1480,1526,3006,124,101,229,1617,1645,3260,19,15,34,1412,1597,3014,135,138,272,1566,1756,3319,13,13,26,1455,1588,3046,125,116,242,1594,1713,3312,19,19,33,4096,4470,8567,316,343,659,4430,4825,9256,391,401,800,22726,23736,46464,1872,1741,3616,24994,25876,50875,85,41,127,1348,1372,2721,89,77,167,1521,1488,3016,63,72,129,1795,1665,3463,99,129,231,1955,1868,3824,71,65,130,1966,1851,3816,120,119,239,2146,2033,4182,58,51,109,1481
50102,438,3717,3518,7234,172,188,356,3205,3170,6379,232,203,433,3610,3557,7169,154,142,299,3137,2904,6039,229,220,447,3519,3269,6782,126,131,250,2434,2270,4703,175,170,339,2731,2566,5302,90,76,163,2597,2809,5411,215,214,430,2904,3096,6005,88,102,183,2809,3018,5827,231,206,435,3123,3324,6447,57,68,128,2933,2948,5881,235,206,438,3223,3225,6450,74,91,168,2957,3211,6169,249,203,459,3281,3504,6787,79,78,163,3229,3443,6675,249,242,497,3560,3765,7334,67,79,146,3209,3285,6490,276,215,492,3550,3579,7128,55,50,108,3106,3297,6402,258,251,511,3415,3605,7017,46,45,94,2770,2854,5622,223,204,429,3030,3105,6134,49,56,101,6945,7647,14595,686,800,1485,7679,8507,16183,1382,1436,2819,45734,46840,92576,3693,3561,7250,50804,51837,102642,207,192,396,2843,2615,5457,115,127,244,3167,2935,6104,237,190,426,3316,3047,6358,161,112,277,3718,3345,7061,219,217,431,3505,3275,6784,175,180,350,3898,3669,7569,196,213,411,2989
50103,98,712,705,1414,30,29,61,667,694,1362,60,51,114,761,779,1540,41,22,60,599,497,1095,55,53,100,687,565,1255,15,20,36,374,340,714,36,35,69,426,396,824,14,13,23,396,391,785,40,34,75,451,432,881,3,12,10,408,500,908,37,38,79,455,541,1000,9,18,26,469,524,1002,37,46,84,526,588,1108,13,15,30,622,658,1281,62,49,113,695,728,1421,17,22,39,664,744,1410,66,82,149,749,850,1598,17,23,30,806,832,1637,81,60,147,899,918,1817,4,13,17,850,860,1709,92,84,176,944,960,1904,12,12,28,880,895,1780,65,80,144,960,986,1944,10,16,32,2241,2113,4360,253,288,545,2508,2422,4930,260,258,516,10141,10180,20322,976,1002,1975,11371,11439,22813,27,20,50,496,507,1004,34,23,57,565,556,1116,35,35,70,607,561,1171,53,40,93,694,639,1337,34,42,75,673,602,1274,65,70,134,774,717,1487,27,43,67,554
50201,323,3130,3059,6190,133,118,250,2695,2583,5276,138,135,273,2968,2831,5805,109,127,239,2663,2627,5286,159,137,296,2934,2888,5820,90,90,182,2354,2302,4659,151,139,292,2595,2530,5128,73,77,152,2127,2363,4494,177,154,331,2376,2601,4974,66,70,135,2322,2565,4887,206,152,364,2595,2789,5380,41,49,89,2226,2523,4742,184,138,322,2446,2710,5154,34,57,91,2640,2827,5469,208,191,402,2879,3076,5960,44,60,100,2744,2979,5717,226,189,412,3004,3224,6230,39,45,87,2821,3016,5841,238,183,424,3104,3249,6351,38,44,75,2626,3016,5644,211,205,426,2877,3268,6142,34,35,65,2685,3083,5769,218,196,411,2932,3310,6246,34,47,83,9655,10508,20157,744,798,1546,10432,11356,21784,1025,1079,2101,42931,45599,88528,3196,2917,6110,47152,49589,96738,186,192,376,2537,2509,5049,145,101,243,2866,2800,5672,201,186,387,2833,2824,5661,120,159,282,3153,3174,6329,199,218,411,3077,2992,6073,173,175,347,3449,3387,6830,174,173,349,2704
50301,161,2239,2060,4300,24,24,44,2468,2378,4844,102,75,177,2591,2474,5067,37,50,83,2557,2628,5192,91,98,191,2692,2773,5467,34,26,60,2701,2376,5077,131,138,270,2867,2542,5409,11,14,27,1797,1657,3457,162,136,303,1973,1808,3788,10,4,18,1383,1541,2924,120,124,248,1513,1673,3185,3,7,8,1512,1647,3158,98,78,176,1614,1726,3339,8,8,14,1759,2111,3873,101,98,199,1868,2218,4084,5,10,11,2204,2538,4743,133,114,247,2340,2661,4998,6,7,11,2093,2278,4368,140,115,251,2237,2398,4632,8,9,12,1965,2122,4089,113,130,243,2086,2263,4347,6,3,11,1785,1891,3673,109,104,212,1898,1992,3896,6,5,10,5122,6282,11404,326,404,733,5458,6690,12149,180,175,353,30957,32787,63740,1786,1753,3544,32922,34709,67637,12,26,36,1469,1365,2840,35,32,73,1518,1422,2941,14,15,28,2120,1938,4058,41,54,91,2175,2005,4178,25,38,61,2622,2493,5113,55,55,109,2698,2585,5288,49,59,106,2838
50302,262,2392,2189,4577,15,22,39,1820,1780,3601,107,110,214,1940,1917,3858,26,40,64,1713,1907,3624,131,169,298,1869,2112,3982,31,51,86,3277,3713,6991,401,462,860,3718,4225,7940,43,27,69,5537,5747,11287,772,745,1511,6351,6520,12866,33,29,65,5614,5267,10880,735,645,1379,6380,5937,12318,24,22,45,4039,3762,7801,478,364,849,4542,4151,8696,26,22,46,3139,3123,6263,290,292,579,3451,3434,6888,27,29,52,2952,2858,5810,284,228,510,3264,3111,6377,26,17,45,2677,2660,5334,278,219,495,2979,2896,5873,10,10,17,2535,2510,5049,245,209,451,2793,2734,5521,15,11,32,2238,2218,4453,223,191,418,2475,2427,4898,24,19,40,5263,6224,11493,559,574,1130,5839,6815,12660,332,340,675,45487,46153,91636,4865,4493,9360,50684,50986,101670,34,18,52,2592,2401,4994,90,83,172,2716,2504,5222,30,22,54,2431,2339,4766,71,75,149,2531,2435,4968,24,38,60,2334,2289,4619,75,49,125,2430,2377,4807,20,39,54,1973
50401,190,2295,2139,4427,60,55,115,1815,1658,3473,83,78,158,1957,1793,3752,81,58,146,1883,1812,3692,88,83,177,2055,1959,4012,62,68,122,2433,2239,4673,150,134,279,2638,2443,5080,42,50,94,3111,3218,6328,207,189,392,3353,3462,6820,36,41,75,3427,3466,6891,229,195,427,3684,3705,7391,28,29,59,2878,2893,5773,197,155,352,3109,3072,6180,33,37,75,2704,2671,5374,150,131,287,2892,2842,5729,44,38,78,2552,2435,4986,145,142,286,2738,2616,5355,30,22,55,2364,2344,4715,131,132,263,2530,2504,5031,23,28,50,2171,2266,4434,145,135,282,2335,2431,4766,15,24,39,1999,2183,4179,122,114,236,2138,2321,4459,23,41,66,5333,6403,11738,341,434,774,5699,6879,12577,605,625,1234,37128,37746,74875,2213,2121,4338,39944,40501,80443,86,78,163,2425,2290,4714,82,67,148,2589,2428,5021,83,43,124,2143,2034,4180,97,76,168,2321,2153,4473,85,74,160,2092,1857,3953,83,71,148,2255,1998,4256,73,76,144,1861
50402,107,1326,1252,2579,70,64,130,1220,1190,2412,65,46,118,1361,1302,2660,57,51,110,1318,1158,2477,64,81,142,1441,1288,2724,155,37,193,1175,924,2095,67,57,127,1395,1021,2412,142,31,168,1114,903,2016,80,50,136,1343,987,2324,117,22,144,1171,1006,2176,71,56,124,1358,1082,2439,102,27,124,1174,1093,2269,59,54,118,1334,1172,2504,83,29,114,1327,1290,2618,81,67,148,1493,1380,2880,77,44,123,1522,1513,3031,101,79,182,1702,1639,3337,41,31,72,1508,1496,3003,94,85,180,1645,1616,3257,32,21,55,1405,1409,2818,98,66,169,1541,1494,3030,15,15,27,1264,1261,2525,76,66,142,1360,1339,2704,25,15,37,3210,3378,6590,183,214,395,3422,3606,7028,1037,466,1505,19644,18700,38347,1168,1016,2184,21855,20182,42035,69,65,134,1018,956,1972,29,36,67,1121,1054,2177,83,61,139,1153,1064,2219,48,45,96,1285,1174,2459,64,70,137,1313,1209,2517,73,53,124,1450,1333,2781,80,56,139,1230
50403,468,4816,4570,9382,229,218,442,4209,3782,7987,249,239,491,4680,4239,8921,213,154,365,4114,3792,7901,230,204,434,4551,4142,8696,141,184,325,4082,4076,8155,275,281,556,4497,4541,9037,124,176,296,4278,4766,9048,305,297,597,4705,5240,9950,93,145,240,4808,4802,9609,317,288,606,5224,5234,10456,82,118,201,4180,4368,8551,294,244,541,4558,4731,9293,79,124,209,4102,4517,8617,307,284,588,4490,4927,9411,72,69,146,4183,4392,8577,308,234,541,4556,4700,9259,63,65,133,3880,3995,7875,278,248,525,4222,4315,8534,49,58,110,3318,3475,6789,224,192,416,3587,3730,7318,26,40,66,2627,2688,5318,194,151,343,2843,2879,5730,33,65,100,5649,6250,11900,395,432,827,6078,6748,12826,1646,1866,3514,58300,59257,117558,3857,3611,7466,63803,64736,128540,319,269,585,5222,4825,10042,170,164,332,5705,5254,10956,347,284,628,5209,4910,10117,211,193,402,5764,5384,11149,301,326,631,4811,4454,9262,191,166,360,5300,4949,10250,234,246,487,4484
50501,298,5343,5138,10482,53,60,110,5110,4761,9876,156,153,308,5326,4972,10297,38,52,88,5321,4967,10284,219,155,372,5573,5173,10746,36,41,74,4960,4470,9431,204,170,367,5199,4673,9875,36,50,77,4089,3772,7864,238,160,394,4360,3983,8342,34,28,58,4226,4321,8553,223,146,376,4478,4501,8975,31,37,68,4394,4854,9247,210,170,382,4634,5061,9694,28,30,59,5146,5485,10630,244,190,430,5418,5700,11122,24,23,48,5566,5937,11500,223,182,410,5813,6145,11956,26,27,48,5279,5827,11105,228,192,424,5534,6044,11580,28,20,49,5075,5521,10599,255,212,465,5359,5757,11117,9,15,26,4589,4810,9392,218,197,417,4819,5018,9831,23,18,42,9877,11094,20968,425,501,927,10322,11617,21932,488,517,1004,73052,74835,147884,3145,2695,5837,76680,78045,154728,75,73,141,4280,4023,8302,67,71,136,4418,4166,8584,80,89,171,5071,4704,9776,96,99,193,5246,4896,10139,89,87,178,5580,5278,10862,104,97,205,5780,5467,11246,69,61,135,5181
