SA3_CODE_2021,Netherlands_C11_P,Netherlands_C16_M,Netherlands_C16_F,Netherlands_C16_P,Netherlands_C21_M,Netherlands_C21_F,Netherlands_C21_P,New_Zealand_C11_M,New_Zealand_C11_F,New_Zealand_C11_P,New_Zealand_C16_M,New_Zealand_C16_F,New_Zealand_C16_P,New_Zealand_C21_M,New_Zealand_C21_F,New_Zealand_C21_P,Pakistan_C11_M,Pakistan_C11_F,Pakistan_C11_P,Pakistan_C16_M,Pakistan_C16_F,Pakistan_C16_P,Pakistan_C21_M,Pakistan_C21_F,Pakistan_C21_P,Philippines_C11_M,Philippines_C11_F,Philippines_C11_P,Philippines_C16_M,Philippines_C16_F,Philippines_C16_P,Philippines_C21_M,Philippines_C21_F,Philippines_C21_P,Poland_C11_M,Poland_C11_F,Poland_C11_P,Poland_C16_M,Poland_C16_F,Poland_C16_P,Poland_C21_M,Poland_C21_F,Poland_C21_P,Singapore_C11_M,Singapore_C11_F,Singapore_C11_P,Singapore_C16_M,Singapore_C16_F,Singapore_C16_P,Singapore_C21_M,Singapore_C21_F,Singapore_C21_P,South_Africa_C11_M,South_Africa_C11_F,South_Africa_C11_P,South_Africa_C16_M,South_Africa_C16_F,South_Africa_C16_P,South_Africa_C21_M,South_Africa_C21_F,South_Africa_C21_P,Sri_Lanka_C11_M,Sri_Lanka_C11_F,Sri_Lanka_C11_P,Sri_Lanka_C16_M,Sri_Lanka_C16_F,Sri_Lanka_C16_P,Sri_Lanka_C21_M,Sri_Lanka_C21_F,Sri_Lanka_C21_P,Taiwan_C11_M,Taiwan_C11_F,Taiwan_C11_P,Taiwan_C16_M,Taiwan_C16_F,Taiwan_C16_P,Taiwan_C21_M,Taiwan_C21_F,Taiwan_C21_P,Thailand_C11_M,Thailand_C11_F,Thailand_C11_P,Thailand_C16_M,Thailand_C16_F,Thailand_C16_P,Thailand_C21_M,Thailand_C21_F,Thailand_C21_P,Unitd_Kingdom_C11_M,Unitd_Kingdom_C11_F,Unitd_Kingdom_C11_P,Unitd_Kingdom_C16_M,Unitd_Kingdom_C16_F,Unitd_Kingdom_C16_P,Unitd_Kingdom_C21_M,Unitd_Kingdom_C21_F,Unitd_Kingdom_C21_P,Unit_Sts_Amer_C11_M,Unit_Sts_Amer_C11_F,Unit_Sts_Amer_C11_P,Unit_Sts_Amer_C16_M,Unit_Sts_Amer_C16_F,Unit_Sts_Amer_C16_P,Unit_Sts_Amer_C21_M,Unit_Sts_Amer_C21_F,Unit_Sts_Amer_C21_P,Vietnam_C11_M,Vietnam_C11_F,Vietnam_C11_P,Vietnam_C16_M,Vietnam_C16_F,Vietnam_C16_P,Vietnam_C21_M,Vietnam_C21_F,Vietnam_C21_P,Born_elsewhere_C11_M,Born_elsewhere_C11_F,Born_elsewhere_C11_P,Born_elsewhere_C16_M,Born_elsewhere_C16_F,Born_elsewhere_C16_P,Born_elsewhere_C21_M,Born_elsewhere_C21_F,Born_elsewhere_C21_P,Country_birt_ns_C11_M,Country_birt_ns_C11_F,Country_birt_ns_C11_P,Country_birt_ns_C16_M,Country_birt_ns_C16_F,Country_birt_ns_C16_P,Country_birt_ns_C21_M,Country_birt_ns_C21_F,Country_birt_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
50101,159,93,110,205,100,112,215,578,494,1073,688,647,1333,745,686,1427,3,4,10,11,7,14,17,10,26,50,108,168,93,157,250,89,175,256,13,8,16,11,16,35,14,21,40,16,25,45,18,32,47,23,50,74,181,174,354,239,255,492,314,334,651,8,9,17,22,25,47,28,26,51,18,27,39,46,57,97,22,57,74,7,40,50,21,77,100,23,104,126,1740,1984,3728,2122,2298,4422,2407,2723,5132,90,84,171,108,92,199,152,137,286,17,18,31,23,37,64,37,51,86,356,382,741,452,497,948,649,701,1346,1284,1157,2446,2117,2004,4125,2093,1807,3902,20649,21398,42045,24994,25876,50875,28080,29249,57332
50102,370,204,192,395,203,186,383,1628,1391,3017,1646,1511,3159,1568,1454,3019,22,14,41,46,32,78,59,39,94,314,385,697,531,672,1201,636,867,1505,83,95,171,65,77,142,47,69,111,49,54,108,54,64,119,55,75,130,698,706,1400,778,853,1627,850,883,1731,18,19,38,38,35,71,31,38,70,26,28,53,68,95,163,64,123,184,21,93,117,27,114,141,38,170,202,3314,3463,6780,3280,3596,6872,3311,3588,6897,140,127,269,131,139,272,120,137,256,34,35,66,35,64,98,45,88,130,816,873,1692,848,1000,1846,974,1130,2104,3060,2639,5697,4213,4037,8255,3377,2786,6163,47409,46975,94384,50804,51837,102642,53276,54279,107549
50103,109,60,49,112,54,57,108,229,223,454,251,247,502,265,284,548,0,3,3,0,6,6,11,9,17,18,48,65,27,69,98,23,84,107,7,13,20,6,15,20,11,11,25,9,6,15,11,11,23,11,16,23,59,48,99,52,64,121,73,77,149,10,0,10,5,4,10,6,0,7,14,7,21,18,23,34,13,36,47,8,10,15,7,21,26,8,25,31,993,1093,2085,969,1008,1980,944,1005,1948,31,38,69,36,37,72,32,40,79,5,7,10,7,7,13,10,19,33,182,178,355,189,176,367,260,238,494,533,429,960,1137,1163,2306,1070,950,2019,10905,10768,21674,11371,11439,22813,11911,11949,23863
50201,503,254,273,527,245,264,509,1414,1454,2868,1825,1816,3641,1869,1930,3800,11,5,24,33,31,66,30,22,50,155,323,478,321,591,911,436,812,1241,33,35,63,38,51,97,40,54,90,58,87,146,71,92,162,68,93,154,490,559,1048,664,745,1413,776,903,1678,16,24,38,68,72,136,50,53,108,8,17,24,14,18,28,16,20,39,44,143,186,66,231,300,79,319,396,5291,5587,10889,6019,6413,12432,6508,7116,13628,131,110,237,157,144,302,153,162,315,18,32,49,23,60,84,58,102,156,732,757,1489,905,1055,1958,1056,1258,2313,2948,2511,5457,3633,3465,7105,3586,3020,6609,40868,42426,83294,47152,49589,96738,51979,55660,107641
50301,346,167,131,293,162,122,284,557,543,1098,524,501,1021,513,491,1008,35,25,59,61,40,95,58,46,108,61,108,167,61,100,159,48,124,165,56,95,145,56,110,168,71,108,179,477,548,1030,422,503,929,425,466,889,638,651,1291,668,739,1409,772,790,1557,84,112,200,109,136,245,151,152,298,38,66,105,49,76,119,44,79,124,44,70,112,47,66,117,45,95,137,3125,3054,6177,3146,2973,6123,3300,3034,6335,430,477,912,387,433,823,407,475,882,43,68,108,48,99,148,85,154,239,1251,1399,2651,1366,1550,2922,1484,1771,3253,1834,1679,3515,1964,1989,3949,1374,1369,2748,30983,33150,64138,32922,34709,67637,34905,36829,71735
50302,363,173,158,334,177,168,342,1261,1048,2304,1159,969,2128,1142,949,2092,120,53,170,141,91,230,154,92,244,209,341,548,249,443,699,336,571,907,189,244,427,167,231,397,164,215,380,373,449,814,423,489,911,478,621,1097,467,523,996,550,579,1129,712,720,1434,150,125,269,134,147,279,170,180,352,89,165,256,169,354,520,121,238,361,101,247,345,122,293,414,167,376,544,4557,3478,8035,4651,3662,8310,4885,3781,8660,381,397,775,413,473,887,418,500,919,400,505,907,425,568,989,463,648,1116,2745,2803,5549,3482,3705,7192,4154,4711,8863,4611,3688,8306,5110,4788,9894,3529,2660,6192,46745,45466,92215,50684,50986,101670,55115,55410,110530
50401,367,166,133,301,143,124,268,1210,1000,2214,1178,1006,2184,1007,903,1904,133,50,179,244,119,361,217,75,291,310,414,723,434,626,1058,418,648,1063,185,261,444,163,242,403,156,240,394,206,258,460,208,264,467,223,286,507,399,455,855,397,392,788,413,459,867,146,140,288,188,150,340,231,197,426,13,54,66,89,170,256,62,133,191,75,195,270,82,248,330,91,278,369,2960,2808,5767,2799,2658,5453,2853,2649,5495,116,110,224,125,125,252,161,152,314,808,942,1748,884,1077,1959,900,1167,2073,2356,2459,4814,2419,2491,4906,2530,2741,5267,2428,1918,4344,2594,2622,5220,2060,1697,3748,38235,38106,76338,39944,40501,80443,41790,42676,84462
50402,254,127,134,258,118,123,242,658,581,1240,710,576,1286,662,562,1224,3,8,10,8,16,19,3,14,18,65,116,177,134,174,312,245,309,556,39,53,90,29,45,75,27,45,74,20,41,53,15,36,59,31,46,72,152,148,293,188,195,387,231,217,455,16,12,24,24,11,30,22,22,49,3,0,3,15,20,29,5,19,23,12,43,58,18,63,88,24,96,114,2453,2460,4916,2375,2288,4662,2306,2305,4613,97,72,170,97,81,187,106,106,208,32,15,44,48,23,77,54,33,89,510,478,991,520,534,1054,555,585,1137,1113,1033,2147,1267,1168,2443,1168,879,2047,20733,19677,40415,21855,20182,42035,22643,21152,43792
50403,385,166,181,342,166,163,328,1966,1730,3697,2675,2470,5142,2758,2570,5334,64,69,125,108,81,199,229,162,395,485,656,1136,1145,1358,2507,1603,2091,3690,169,200,370,147,206,358,146,182,336,240,284,531,281,345,628,319,347,667,705,733,1438,961,951,1909,1049,1050,2098,152,130,277,242,210,450,275,250,523,12,18,27,22,52,74,39,91,131,74,192,268,117,315,427,175,455,623,4603,4689,9293,4934,4976,9913,5048,5112,10160,162,139,299,165,164,321,190,180,366,728,834,1562,869,1104,1977,977,1285,2261,2415,2512,4921,3604,3832,7436,4472,4921,9390,3094,2821,5914,4461,4385,8847,3738,3007,6744,51337,51799,103138,63803,64736,128540,73672,74650,148324
50501,692,326,298,625,330,307,634,2367,2170,4534,2301,2094,4397,2116,1953,4065,32,31,58,56,40,96,73,59,133,175,374,548,218,440,657,204,471,677,249,342,590,250,351,604,240,370,614,337,471,807,307,439,752,318,408,726,2523,2677,5196,2714,2848,5559,2771,2959,5726,72,76,148,83,69,157,110,113,224,24,35,58,50,83,138,39,84,120,51,204,260,89,270,359,71,320,392,14220,14075,28296,13985,13741,27720,13650,13672,27324,319,292,610,321,305,627,366,368,732,154,170,321,143,204,343,181,251,426,3053,3385,6437,3194,3489,6685,3216,3832,7050,3029,2605,5632,3419,3089,6512,2718,2016,4739,75375,77049,152421,76680,78045,154728,79502,81136,160641
