SA3_CODE_2021,C11_SH_FH_CF_no_ch,C11_SH_FH_CF_w_ch,C11_SH_FH_One_PFam,C11_SH_FH_oth_fa,C11_SH_FH_Tot,C11_SH_LP_H,C11_SH_GH,C11_SH_OH,C11_SH_Tot,C11_SDRTHT1S_FH_CF_no_ch,C11_SDRTHT1S_FH_CF_w_ch,C11_SDRTHT1S_FH_One_PFam,C11_SDRTHT1S_FH_oth_fa,C11_SDRTHT1S_FH_Tot,C11_SDRTHT1S_LP_H,C11_SDRTHT1S_GH,C11_SDRTHT1S_OH,C11_SDRTHT1S_Tot,C11_SDRTHT2S_FH_CF_no_ch,C11_SDRTHT2S_FH_CF_w_ch,C11_SDRTHT2S_FH_One_PFam,C11_SDRTHT2S_FH_oth_fa,C11_SDRTHT2S_FH_Tot,C11_SDRTHT2S_LP_H,C11_SDRTHT2S_GH,C11_SDRTHT2S_OH,C11_SDRTHT2S_Tot,C11_SDRTHT_FH_CF_no_ch,C11_SDRTHT_FH_CF_w_ch,C11_SDRTHT_FH_One_PFam,C11_SDRTHT_FH_oth_fa,C11_SDRTHT_FH_Tot,C11_SDRTHT_LP_H,C11_SDRTHT_GH,C11_SDRTHT_OH,C11_SDRTHT_Tot,C11_F_a_1_2_FH_CF_no_ch,C11_F_a_1_2_FH_CF_w_ch,C11_F_a_1_2_FH_One_PFam,C11_F_a_1_2_FH_oth_fa,C11_F_a_1_2_FH_Tot,C11_F_a_1_2_LP_H,C11_F_a_1_2_GH,C11_F_a_1_2_OH,C11_F_a_1_2_Tot,C11_F_a_3_FH_CF_no_ch,C11_F_a_3_FH_CF_w_ch,C11_F_a_3_FH_One_PFam,C11_F_a_3_FH_oth_fa,C11_F_a_3_FH_Tot,C11_F_a_3_LP_H,C11_F_a_3_GH,C11_F_a_3_OH,C11_F_a_3_Tot,C11_F_a_4_8_FH_CF_no_ch,C11_F_a_4_8_FH_CF_w_ch,C11_F_a_4_8_FH_One_PFam,C11_F_a_4_8_FH_oth_fa,C11_F_a_4_8_FH_Tot,C11_F_a_4_8_LP_H,C11_F_a_4_8_GH,C11_F_a_4_8_OH,C11_F_a_4_8_Tot,C11_F_a_9m_FH_CF_no_ch,C11_F_a_9m_FH_CF_w_ch,C11_F_a_9m_FH_One_PFam,C11_F_a_9m_FH_oth_fa,C11_F_a_9m_FH_Tot,C11_F_a_9m_LP_H,C11_F_a_9m_GH,C11_F_a_9m_OH,C11_F_a_9m_Tot,C11_F_a_a_h_FH_CF_no_ch,C11_F_a_a_h_FH_CF_w_ch,C11_F_a_a_h_FH_One_PFam,C11_F_a_a_h_FH_oth_fa,C11_F_a_a_h_FH_Tot,C11_F_a_a_h_LP_H,C11_F_a_a_h_GH,C11_F_a_a_h_OH,C11_F_a_a_h_Tot,C11_F_a_Tot_FH_CF_no_ch,C11_F_a_Tot_FH_CF_w_ch,C11_F_a_Tot_FH_One_PFam,C11_F_a_Tot_FH_oth_fa,C11_F_a_Tot_FH_Tot,C11_F_a_Tot_LP_H,C11_F_a_Tot_GH,C11_F_a_Tot_OH,C11_F_a_Tot_Tot,C11_OD_C_c_hb_FH_CF_no_ch,C11_OD_C_c_hb_FH_CF_w_ch,C11_OD_C_c_hb_FH_One_PFam,C11_OD_C_c_hb_FH_oth_fa,C11_OD_C_c_hb_FH_Tot,C11_OD_C_c_hb_LP_H,C11_OD_C_c_hb_GH,C11_OD_C_c_hb_OH,C11_OD_C_c_hb_Tot,C11_OD_Ih_t_s_FH_CF_no_ch,C11_OD_Ih_t_s_FH_CF_w_ch,C11_OD_Ih_t_s_FH_One_PFam,C11_OD_Ih_t_s_FH_oth_fa,C11_OD_Ih_t_s_FH_Tot,C11_OD_Ih_t_s_LP_H,C11_OD_Ih_t_s_GH,C11_OD_Ih_t_s_OH,C11_OD_Ih_t_s_Tot,C11_OD_H_f_so_FH_CF_no_ch,C11_OD_H_f_so_FH_CF_w_ch,C11_OD_H_f_so_FH_One_PFam,C11_OD_H_f_so_FH_oth_fa,C11_OD_H_f_so_FH_Tot,C11_OD_H_f_so_LP_H,C11_OD_H_f_so_GH,C11_OD_H_f_so_OH,C11_OD_H_f_so_Tot,C11_OD_Tot_FH_CF_no_ch,C11_OD_Tot_FH_CF_w_ch,C11_OD_Tot_FH_One_PFam,C11_OD_Tot_FH_oth_fa,C11_OD_Tot_FH_Tot,C11_OD_Tot_LP_H,C11_OD_Tot_GH,C11_OD_Tot_OH,C11_OD_Tot_Tot,C11_DS_ns_FH_CF_no_ch,C11_DS_ns_FH_CF_w_ch,C11_DS_ns_FH_One_PFam,C11_DS_ns_FH_oth_fa,C11_DS_ns_FH_Tot,C11_DS_ns_LP_H,C11_DS_ns_GH,C11_DS_ns_OH,C11_DS_NS_Tot,C11_Tot_FH_CF_no_ch,C11_Tot_FH_CF_w_ch,C11_Tot_FH_One_PFam,C11_Tot_FH_oth_fa,C11_Tot_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_Tot_Tot,C16_SH_FH_CF_no_ch,C16_SH_FH_CF_w_ch,C16_SH_FH_One_PFam,C16_SH_FH_oth_fa,C16_SH_FH_Tot,C16_SH_LP_H,C16_SH_GH,C16_SH_OH,C16_SH_Tot,C16_SDRTHT1S_FH_CF_no_ch,C16_SDRTHT1S_FH_CF_w_ch,C16_SDRTHT1S_FH_One_PFam,C16_SDRTHT1S_FH_oth_fa,C16_SDRTHT1S_FH_Tot,C16_SDRTHT1S_LP_H,C16_SDRTHT1S_GH,C16_SDRTHT1S_OH,C16_SDRTHT1S_Tot,C16_SDRTHT2S_FH_CF_no_ch,C16_SDRTHT2S_FH_CF_w_ch,C16_SDRTHT2S_FH_One_PFam,C16_SDRTHT2S_FH_oth_fa,C16_SDRTHT2S_FH_Tot,C16_SDRTHT2S_LP_H,C16_SDRTHT2S_GH,C16_SDRTHT2S_OH,C16_SDRTHT2S_Tot,C16_SDRTHT_Tot_FH_CF_no_ch,C16_SDRTHT_Tot_FH_CF_w_ch,C16_SDRTHT_Tot_FH_One_PFam,C16_SDRTHT_Tot_FH_oth_fa,C16_SDRTHT_Tot_FH_Tot,C16_SDRTHT_Tot_LP_H,C16_SDRTHT_Tot_GH,C16_SDRTHT_Tot_OH,C16_SDRTHT_Tot_Tot,C16_F_a_1_2_FH_CF_no_ch,C16_F_a_1_2_FH_CF_w_ch,C16_F_a_1_2_FH_One_PFam,C16_F_a_1_2_FH_oth_fa,C16_F_a_1_2_FH_Tot,C16_F_a_1_2_LP_H,C16_F_a_1_2_GH,C16_F_a_1_2_OH,C16_F_a_1_2_Tot,C16_F_a_3_FH_CF_no_ch,C16_F_a_3_FH_CF_w_ch,C16_F_a_3_FH_One_PFam,C16_F_a_3_FH_oth_fa,C16_F_a_3_FH_Tot,C16_F_a_3_LP_H,C16_F_a_3_GH,C16_F_a_3_OH,C16_F_a_3_Tot,C16_F_a_4_8_FH_CF_no_ch,C16_F_a_4_8_FH_CF_w_ch
50101,4383,4649,1393,74,10501,2570,413,830,14319,177,44,90,7,318,504,33,28,884,60,27,14,0,108,54,12,9,181,241,66,106,9,425,553,47,39,1065,80,26,40,0,141,207,13,30,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,7,..,..,..,..,..,..,..,..,..,4,0,0,0,8,5,0,0,12,86,30,38,0,149,220,13,37,411,89,12,7,0,101,141,4,161,407,0,4,0,0,9,6,0,24,43,11,7,0,0,15,4,0,4,25,99,26,7,0,126,150,9,189,472,5,5,6,0,10,0,0,13,25,4815,4771,1544,84,11216,3497,477,1108,16300,5173,5468,1667,85,12396,3080,480,1187,17140,260,86,111,12,466,613,30,115,1223,49,33,16,0,99,65,12,21,199,309,127,120,8,568,681,41,133,1422,17,6,4,0,28,59,0,10,103,0,0,0,0,0,0,0,0,0,0,0
50102,9183,10653,3365,228,23433,5598,797,1406,31241,502,170,205,14,892,1173,83,106,2259,76,36,18,5,131,82,20,33,271,573,211,229,15,1023,1256,107,143,2535,169,97,104,13,379,535,42,91,1036,26,6,8,0,35,69,15,36,161,11,4,0,0,16,17,0,8,38,..,..,..,..,..,..,..,..,..,4,7,4,0,14,20,0,4,39,209,107,113,13,447,635,60,135,1270,100,20,13,0,134,234,21,177,569,5,3,0,0,11,8,0,4,24,19,7,3,0,33,11,0,6,42,124,30,13,0,174,253,21,188,637,10,5,0,0,18,8,0,6,34,10112,11009,3721,261,25096,7756,984,1881,35716,9888,11187,3695,247,25014,6166,804,2041,34024,546,228,323,20,1112,1446,109,238,2907,144,59,42,0,248,125,28,61,457,690,285,363,25,1361,1570,133,302,3370,163,44,49,6,255,577,13,91,939,24,9,8,0,41,36,4,13,97,20,6
50103,2834,2282,722,45,5885,1877,143,299,8196,16,0,9,0,23,68,0,0,97,7,0,0,0,7,0,0,0,8,20,0,9,0,32,67,0,0,98,32,8,13,3,61,153,6,11,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,32,8,13,3,61,153,6,13,235,4,5,0,0,8,14,0,84,118,8,3,0,0,12,8,4,23,48,5,6,4,0,14,8,0,3,21,17,13,3,0,37,32,4,114,187,10,0,0,0,10,8,0,0,16,2912,2302,745,52,6011,2139,154,428,8739,2997,2124,680,60,5868,2083,180,759,8889,27,8,15,0,57,166,12,36,268,0,0,0,0,0,0,0,0,3,27,8,24,0,59,169,11,32,268,19,0,7,0,34,94,3,14,142,0,0,0,0,0,0,0,0,0,0,0
50201,8967,8042,3042,206,20260,5076,655,1203,27192,787,140,243,8,1179,1408,93,103,2780,221,71,52,5,348,197,32,69,651,1007,209,294,17,1527,1605,124,175,3429,367,76,125,13,582,676,45,85,1385,52,20,4,0,77,36,13,37,162,61,21,14,0,100,48,8,40,198,..,..,..,..,..,..,..,..,..,3,0,0,0,3,3,0,0,7,478,120,145,13,758,758,67,164,1748,144,8,26,3,187,269,7,47,509,0,14,0,0,19,4,0,45,64,4,3,3,0,7,0,0,3,17,152,23,31,3,207,280,7,94,587,14,3,0,0,16,4,0,0,20,10618,8402,3518,235,22766,7719,854,1635,32978,10028,9418,3596,239,23278,5980,785,1632,31671,1006,211,292,18,1520,1826,89,256,3696,314,136,118,9,570,351,45,83,1046,1318,345,408,21,2092,2169,136,332,4738,274,27,33,4,338,525,20,84,962,66,12,13,0,90,44,4,12,152,103,39
50301,4376,7497,1382,225,13489,2757,580,645,17466,220,111,80,20,427,504,56,62,1048,361,179,104,29,670,522,129,95,1421,582,287,185,52,1098,1027,181,158,2470,338,123,70,30,560,779,169,150,1663,245,57,23,22,354,765,99,175,1388,323,90,43,20,481,466,106,159,1203,..,..,..,..,..,..,..,..,..,0,0,0,0,3,0,0,0,9,915,276,132,74,1394,2010,373,481,4260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,3,0,5,10,0,4,0,0,6,3,0,5,10,6,4,0,0,13,7,0,6,25,5878,8067,1696,349,15994,5806,1143,1286,24232,4325,7576,1297,191,13381,2490,425,642,16941,328,230,126,14,707,658,78,103,1535,542,426,163,27,1160,567,177,139,2039,871,657,294,42,1860,1225,248,238,3570,311,101,68,22,497,707,129,114,1445,301,69,41,17,428,735,123,232,1518,387,103
50302,4263,5956,1305,241,11762,3552,1224,791,17330,527,265,148,40,980,1002,232,195,2416,1286,631,273,80,2268,1472,448,443,4632,1811,903,423,116,3253,2478,675,642,7047,880,320,194,62,1457,1953,364,443,4214,1284,286,146,93,1813,2295,515,830,5450,2056,447,153,130,2787,3195,591,1560,8130,..,..,..,..,..,..,..,..,..,0,0,0,0,0,5,0,4,9,4227,1056,491,292,6056,7446,1470,2830,17809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,188,51,15,4,0,70,44,13,30,157,51,15,4,0,70,44,13,217,345,12,4,0,0,20,17,5,3,46,10359,7932,2224,648,21165,13539,3395,4485,42582,4221,6279,1260,214,11980,3196,1035,794,17006,614,415,165,33,1224,1019,209,192,2639,1480,843,342,71,2733,1405,447,406,5002,2089,1256,506,107,3962,2426,654,596,7635,841,307,156,50,1357,1641,266,527,3795,1288,363,172,75,1899,2237,451,719,5308,3139,795
50401,6187,7116,2384,343,16020,4668,988,760,22445,837,549,403,61,1847,1662,218,186,3911,281,188,107,28,611,426,124,99,1254,1117,733,510,90,2451,2082,338,289,5164,472,233,202,30,935,1084,135,149,2306,168,81,44,11,305,394,97,85,878,169,54,38,8,265,371,49,84,776,..,..,..,..,..,..,..,..,..,8,4,4,0,13,3,0,0,12,817,368,282,44,1511,1853,285,319,3972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,0,0,0,6,7,0,0,14,4,0,0,0,6,7,0,8,25,4,0,0,0,7,9,4,0,19,8126,8221,3175,475,20002,8618,1617,1382,31618,6407,7566,2372,352,16702,4640,1069,943,23358,1016,692,494,54,2262,1840,252,319,4671,469,314,144,29,961,655,169,138,1914,1480,1011,635,88,3218,2496,416,456,6584,271,127,87,16,493,726,88,124,1429,140,50,20,17,229,294,37,47,611,128,62
50402,4114,4884,1479,114,10589,2317,271,584,13763,83,34,54,7,177,293,12,15,489,18,19,4,0,44,5,0,0,47,100,55,57,7,212,296,12,20,538,34,0,12,0,43,96,0,8,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,4,0,0,11,37,5,12,0,48,102,0,11,162,0,0,0,0,3,13,0,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,6,8,0,0,0,10,21,0,11,37,0,3,0,0,4,0,0,0,4,4249,4943,1548,118,10861,2742,284,621,14505,4232,4903,1491,117,10740,2492,287,682,14200,142,50,69,9,269,414,10,41,726,3,3,7,4,17,16,0,0,33,144,53,74,11,282,432,10,42,766,0,0,0,0,0,9,0,0,16,0,0,0,0,4,9,0,0,9,0,0
50403,7796,13250,3970,377,25390,4818,784,1316,32310,332,234,216,18,804,709,69,77,1659,100,77,52,11,243,127,11,64,446,431,312,266,28,1046,838,85,141,2109,261,113,157,7,536,590,49,119,1297,17,0,6,0,22,45,4,28,92,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,3,0,5,0,5,5,0,0,7,276,111,167,8,567,633,53,149,1404,90,5,0,0,92,175,10,83,366,0,0,4,0,11,7,0,8,27,0,0,0,0,6,4,0,0,13,90,7,4,0,108,183,18,94,395,3,7,0,0,16,14,0,18,39,8601,13690,4411,417,27118,6495,930,1716,36258,9312,15618,4690,431,30048,5617,945,1858,38472,1038,766,608,77,2489,1684,178,343,4694,161,128,95,6,390,249,46,83,763,1203,897,702,83,2884,1932,223,422,5459,44,15,16,0,77,115,9,52,257,59,22,31,9,121,110,19,44,298,4,3
50501,13523,21622,4796,507,40449,6802,1167,1217,49633,554,228,218,27,1028,898,75,62,2066,196,128,91,15,434,151,75,35,695,754,360,307,41,1463,1052,151,101,2765,253,63,69,8,390,613,32,56,1086,136,46,40,15,237,160,61,62,518,63,17,17,4,107,73,19,39,236,..,..,..,..,..,..,..,..,..,15,3,0,0,26,35,0,20,81,469,139,126,24,750,881,111,175,1921,39,4,4,0,47,110,3,28,186,0,0,0,0,0,0,0,4,4,3,3,0,0,4,0,0,9,14,45,4,4,0,53,112,5,35,207,3,0,0,0,10,5,0,0,12,14796,22116,5229,573,42721,8852,1439,1533,54543,13912,21351,4548,437,40243,6690,995,1463,49403,805,445,385,39,1675,1494,83,152,3408,422,257,139,20,837,326,86,76,1330,1225,701,523,61,2514,1825,174,233,4742,114,17,24,6,156,338,10,44,547,116,30,35,14,188,134,43,38,399,99,24
