SA3_CODE_2021,C21_1500_1999_R100_149,C21_1500_1999_R150_199,C21_1500_1999_R200_224,C21_1500_1999_R225_274,C21_1500_1999_R275_349,C21_1500_1999_R350_449,C21_1500_1999_R450_549,C21_1500_1999_R550_649,C21_1500_1999_R650more,C21_1500_1999_R_NS,C21_1500_1999_R_Tot,C21_2000_2499_R1_74,C21_2000_2499_R75_99,C21_2000_2499_R100_149,C21_2000_2499_R150_199,C21_2000_2499_R200_224,C21_2000_2499_R225_274,C21_2000_2499_R275_349,C21_2000_2499_R350_449,C21_2000_2499_R450_549,C21_2000_2499_R550_649,C21_2000_2499_R650more,C21_2000_2499_R_NS,C21_2000_2499_R_Tot,C21_2500_2999_R1_74,C21_2500_2999_R75_99,C21_2500_2999_R100_149,C21_2500_2999_R150_199,C21_2500_2999_R200_224,C21_2500_2999_R225_274,C21_2500_2999_R275_349,C21_2500_2999_R350_449,C21_2500_2999_R450_549,C21_2500_2999_R550_649,C21_2500_2999_R650more,C21_2500_2999_R_NS,C21_2500_2999_R_Tot,C21_3000_3999_R1_74,C21_3000_3999_R75_99,C21_3000_3999_R100_149,C21_3000_3999_R150_199,C21_3000_3999_R200_224,C21_3000_3999_R225_274,C21_3000_3999_R275_349,C21_3000_3999_R350_449,C21_3000_3999_R450_549,C21_3000_3999_R550_649,C21_3000_3999_R650more,C21_3000_3999_R_NS,C21_3000_3999_R_Tot,C21_4000more_R1_74,C21_4000more_R75_99,C21_4000more_R100_149,C21_4000more_R150_199,C21_4000more_R200_224,C21_4000more_R225_274,C21_4000more_R275_349,C21_4000more_R350_449,C21_4000more_R450_549,C21_4000more_R550_649,C21_4000more_R650more,C21_4000more_R_NS,C21_4000more_R_Tot,C21_PI_S_R1_74,C21_PI_S_R75_99,C21_PI_S_R100_149,C21_PI_S_R150_199,C21_PI_S_R200_224,C21_PI_S_R225_274,C21_PI_S_R275_349,C21_PI_S_R350_449,C21_PI_S_R450_549,C21_PI_S_R550_649,C21_PI_S_R650more,C21_PI_S_R_NS,C21_PI_S_R_Tot,C21_AI_NS_R1_74,C21_AI_NS_R75_99,C21_AI_NS_R100_149,C21_AI_NS_R150_199,C21_AI_NS_R200_224,C21_AI_NS_R225_274,C21_AI_NS_R275_349,C21_AI_NS_R350_449,C21_AI_NS_R450_549,C21_AI_NS_R550_649,C21_AI_NS_R650more,C21_AI_NS_R_NS,C21_AI_NS_R_Tot,C21_Tot_R1_74,C21_Tot_R75_99,C21_Tot_R100_149,C21_Tot_R150_199,C21_Tot_R200_224,C21_Tot_R225_274,C21_Tot_R275_349,C21_Tot_R350_449,C21_Tot_R450_549,C21_Tot_R550_649,C21_Tot_R650more,C21_Tot_R_NS,C21_Tot_R_Tot
50101,17,12,21,17,100,276,93,17,13,26,597,4,0,8,3,14,25,70,225,119,25,16,31,537,0,0,0,0,4,8,32,130,71,17,19,18,298,0,3,0,6,8,5,23,117,79,24,31,27,317,0,0,4,4,3,4,19,57,76,31,72,23,302,6,3,6,7,8,20,41,156,122,35,14,27,442,3,0,13,10,0,9,6,9,6,0,14,27,96,52,31,325,296,224,327,786,1676,785,207,225,287,5218
50102,18,49,64,140,412,380,54,5,5,39,1187,7,0,13,25,37,100,291,401,58,14,14,34,992,0,0,8,11,18,39,124,214,51,7,0,12,483,0,3,5,7,15,34,123,254,81,16,12,25,571,0,6,9,5,16,23,61,133,73,42,20,48,424,0,3,19,17,27,67,181,259,64,14,9,40,693,0,5,24,25,8,25,23,8,3,0,0,54,182,57,100,641,702,675,1395,2759,2627,486,113,79,470,10114
50103,8,24,12,30,63,38,10,0,0,14,211,0,0,0,9,17,25,44,26,8,0,4,18,160,3,0,3,4,4,4,16,19,3,0,0,12,75,3,0,0,4,7,16,16,18,0,0,0,9,72,3,0,0,0,7,5,10,12,5,0,8,3,64,0,0,7,0,6,9,29,21,6,0,3,10,85,0,0,5,7,9,5,5,0,0,0,0,15,43,58,20,165,280,194,286,445,229,38,7,25,138,1878
50201,10,24,38,134,337,342,67,14,11,25,1002,4,0,10,9,15,72,278,325,80,23,15,17,848,0,0,3,0,6,28,109,168,59,7,7,5,387,3,0,7,9,5,21,116,195,76,22,6,14,471,0,0,5,5,9,17,53,129,97,28,17,10,376,7,0,5,29,28,60,219,297,110,30,11,41,831,3,0,29,26,9,18,29,30,4,0,3,62,216,65,57,460,706,596,1514,3065,2599,649,155,100,379,10331
50301,8,18,8,45,88,156,111,70,76,14,600,0,0,3,6,10,56,85,143,124,77,130,14,647,5,0,0,4,4,22,41,60,85,44,77,6,341,0,0,6,5,10,42,38,79,126,83,217,10,613,0,0,10,6,0,12,28,73,137,139,971,33,1403,0,0,3,4,8,27,39,60,67,66,177,12,458,0,0,12,4,0,9,7,3,7,0,16,14,65,36,34,234,178,166,518,789,1032,921,607,1860,210,6588
50302,19,33,74,323,572,1071,444,145,107,57,2850,0,0,13,31,58,255,420,1107,662,264,172,41,3025,0,7,3,18,22,74,158,444,381,146,97,24,1369,0,0,12,19,23,62,183,604,664,317,279,37,2202,6,0,6,6,16,29,98,445,630,511,964,38,2758,0,0,15,21,24,47,115,300,321,174,154,49,1226,4,6,32,25,4,20,18,26,26,13,26,77,270,109,147,890,717,729,2142,3310,5888,3915,1815,2013,563,22248
50401,16,17,51,154,363,528,130,24,10,27,1329,0,0,11,23,32,94,250,575,196,35,20,25,1258,4,0,8,18,15,28,91,285,148,27,12,4,623,3,0,5,8,12,32,126,297,182,63,28,11,765,0,5,10,4,6,17,47,135,183,76,43,16,549,0,0,20,17,18,37,135,231,153,35,22,41,710,0,4,21,14,3,6,14,16,10,0,4,44,139,71,87,605,454,538,1188,2421,3185,1265,286,160,353,10606
50402,4,6,6,7,58,78,28,8,4,10,207,0,0,3,5,8,13,44,64,32,6,0,8,173,0,0,4,0,3,10,9,33,19,0,0,0,84,0,0,0,3,0,9,9,48,30,6,4,0,116,0,0,6,3,3,6,5,22,17,13,14,5,92,0,0,3,7,3,12,26,64,40,24,9,11,200,0,3,12,11,0,4,11,3,3,0,0,22,68,28,27,163,122,76,166,459,581,215,73,30,118,2052
50403,19,32,25,98,452,617,146,21,16,31,1450,3,0,3,14,10,74,335,581,178,23,13,27,1266,0,0,12,10,3,31,126,292,131,20,7,11,640,0,0,7,11,10,26,101,274,151,34,15,11,639,0,3,5,4,4,12,44,131,107,49,32,20,416,3,3,13,11,26,52,183,338,119,31,21,58,851,6,3,16,12,9,9,20,15,6,3,5,71,172,70,73,550,502,327,1004,3026,3761,1085,216,144,451,11219
50501,8,19,15,30,168,502,248,68,39,24,1140,0,0,8,16,19,24,129,551,259,115,68,23,1213,4,0,3,11,5,23,62,272,234,75,46,13,741,0,0,6,12,3,14,71,250,244,176,124,20,912,0,0,4,3,3,9,26,117,198,159,282,11,807,0,0,6,4,6,12,58,267,195,114,98,29,806,0,0,5,0,4,3,8,21,14,3,0,38,107,32,24,218,251,174,345,1294,3394,1822,807,741,289,9403
