SA3_CODE_2021,C16_CF_1P1NW_150_399,C16_CF_1P1NW_400_649,C16_CF_1P1NW_650_799,C16_CF_1P1NW_800_1249,C16_CF_1P1NW_1250_1999,C16_CF_1P1NW_2000_2499,C16_CF_1P1NW_2500_2999,C16_CF_1P1NW_3000_3999,C16_CF_1P1NW_4000more,C16_CF_1P1NW_Ns,C16_CF_1P1NW_Tot,C16_CF_1A1NW_Neg_ni_inc,C16_CF_1A1NW_1_149,C16_CF_1A1NW_150_399,C16_CF_1A1NW_400_649,C16_CF_1A1NW_650_799,C16_CF_1A1NW_800_1249,C16_CF_1A1NW_1250_1999,C16_CF_1A1NW_2000_2499,C16_CF_1A1NW_2500_2999,C16_CF_1A1NW_3000_3999,C16_CF_1A1NW_4000more,C16_CF_1A1NW_Ns,C16_CF_1A1NW_Tot,C16_CF_BA_Neg_ni_inc,C16_CF_BA_1_149,C16_CF_BA_150_399,C16_CF_BA_400_649,C16_CF_BA_650_799,C16_CF_BA_800_1249,C16_CF_BA_1250_1999,C16_CF_BA_2000_2499,C16_CF_BA_2500_2999,C16_CF_BA_3000_3999,C16_CF_BA_4000more,C16_CF_BA_Ns,C16_CF_BA_Tot,C16_CF_BNW_Neg_ni_inc,C16_CF_BNW_1_149,C16_CF_BNW_150_399,C16_CF_BNW_400_649,C16_CF_BNW_650_799,C16_CF_BNW_800_1249,C16_CF_BNW_1250_1999,C16_CF_BNW_2000_2499,C16_CF_BNW_2500_2999,C16_CF_BNW_3000_3999,C16_CF_BNW_4000more,C16_CF_BNW_Ns,C16_CF_BNW_Tot,C16_CF_LFns_Neg_ni_inc,C16_CF_LFns_1_149,C16_CF_LFns_150_399,C16_CF_LFns_400_649,C16_CF_LFns_650_799,C16_CF_LFns_800_1249,C16_CF_LFns_1250_1999,C16_CF_LFns_2000_2499,C16_CF_LFns_2500_2999,C16_CF_LFns_3000_3999,C16_CF_LFns_4000more,C16_CF_LFns_Ns,C16_CF_LFns_Tot,C16_C_f_c_Tot_Fi_Neg_ni_inc,C16_C_f_c_Tot_Fi_1_149,C16_C_f_c_Tot_Fi_150_399,C16_C_f_c_Tot_Fi_400_649,C16_CF_c_Tot_Fi_650_799,C16_CF_c_Tot_Fi_800_1249,C16_CF_c_Tot_Fi_1250_1999,C16_CF_c_Tot_Fi_2000_2499,C16_CF_c_Tot_Fi_2500_2999,C16_CF_c_Tot_Fi_3000_3999,C16_CF_c_Tot_Fi_4000more,C16_C_f_with_c_TotFI_Ns,C16_C_f_with_c_Tot_Tot,C16_1PF_F_Neg_ni_inc,C16_1PF_F_1_149,C16_1PF_F_150_399,C16_1PF_F_400_649,C16_1PF_F_650_799,C16_1PF_F_800_1249,C16_1PF_F_1250_1999,C16_1PF_F_2000_2499,C16_1PF_F_2500_2999,C16_1PF_F_3000_3999,C16_1PF_F_4000more,C16_1PF_F_Ns,C16_1PF_F_Tot,C16_1PF_P_Neg_ni_inc,C16_1PF_P_1_149,C16_1PF_P_150_399,C16_1PF_P_400_649,C16_1PF_P_650_799,C16_1PF_P_800_1249,C16_1PF_P_1250_1999,C16_1PF_P_2000_2499,C16_1PF_P_2500_2999,C16_1PF_P_3000_3999,C16_1PF_P_4000more,C16_1PF_P_Ns,C16_1PF_P_Tot,C16_1PF_A_Neg_ni_inc,C16_1PF_A_1_149,C16_1PF_A_150_399,C16_1PF_A_400_649,C16_1PF_A_650_799,C16_1PF_A_800_1249,C16_1PF_A_1250_1999,C16_1PF_A_2000_2499,C16_1PF_A_2500_2999,C16_1PF_A_3000_3999,C16_1PF_A_4000more,C16_1PF_A_Ns,C16_1PF_A_Tot,C16_1PF_U_Neg_ni_inc,C16_1PF_U_1_149,C16_1PF_U_150_399,C16_1PF_U_400_649,C16_1PF_U_650_799,C16_1PF_U_800_1249,C16_1PF_U_1250_1999,C16_1PF_U_2000_2499,C16_1PF_U_2500_2999,C16_1PF_U_3000_3999,C16_1PF_U_4000more,C16_1PF_U_Ns,C16_1PF_U_Tot,C16_1PF_N_lf_Fi_Neg_ni_inc,C16_1PF_N_lf_Fi_1_149,C16_1PF_N_lf_Fi_150_399,C16_1PF_N_lf_Fi_400_649,C16_1PF_N_lf_Fi_650_799,C16_1PF_N_lf_Fi_800_1249,C16_1PF_N_lf_Fi_1250_1999,C16_1PF_N_lf_Fi_2000_2499,C16_1PF_N_lf_Fi_2500_2999,C16_1PF_N_lf_Fi_3000_3999,C16_1PF_N_lf_Fi_4000more,C16_1PF_N_lf_Fi_Ns,C16_1PF_N_the_lf_Tot,C16_1PF_LFns_Neg_ni_inc,C16_1PF_LFns_1_149,C16_1PF_LFns_150_399,C16_1PF_LFns_400_649,C16_1PF_Lfns_Fi_650_799,C16_1PF_LFns_800_1249,C16_1PF_LFns_1250_1999,C16_1PF_LFns_2000_2499,C16_1PF_LFns_2500_2999,C16_1PF_Lfns_Fi_3000_3999,C16_1PF_LFns_4000more,C16_1PF_LFns_Ns,C16_1PF_LFns_Tot,C16_1PF_TotFI_Neg_ni_inc,C16_1PF_TotFI_1_149,C16_1PF_TotFI_150_399,C16_1PF_TotFI_400_649,C16_1PF_TotFI_650_799,C16_1PF_TotFI_800_1249,C16_1PF_TotFI_1250_1999,C16_1PF_TotFI_2000_2499,C16_1PF_TotFI_2500_2999,C16_1PF_TotFI_3000_3999,C16_1PF_TotFI_4000more,C16_One_par_f_TotFI_Ns,C16_One_parent_f_Tot_Tot,C16_TotFI_Neg_ni_inc,C16_TotFI_1_149,C16_TotFI_150_399,C16_TotFI_400_649,C16_TotFI_650_799,C16_TotFI_800_1249,C16_TotFI_1250_1999,C16_TotFI_2000_2499,C16_TotFI_2500_2999,C16_TotFI_3000_3999,C16_TotFI_4000more,C16_TotFI_Ns,C16_Tot_Tot,C21_CFNC_BF_Neg_ni_inc,C21_CFNC_BF_1_149,C21_CFNC_BF_150_399,C21_CFNC_BF_400_649,C21_CFNC_BF_650_799,C21_CFNC_BF_800_1249,C21_CFNC_BF_1250_1999,C21_CFNC_BF_2000_2499,C21_CFNC_BF_2500_2999,C21_CFNC_BF_3000_3999,C21_CFNC_BF_4000more,C21_CFNC_BF_Ns,C21_CFNC_BF_Tot,C21_CFNC_BPT_Neg_ni_inc,C21_CFNC_BPT_1_149,C21_CFNC_BPT_150_399,C21_CFNC_BPT_400_649,C21_CFNC_BPT_650_799,C21_CFNC_BPT_800_1249,C21_CFNC_BPT_1250_1999
50101,3,20,31,98,80,24,12,21,16,24,328,0,0,0,0,0,4,22,15,5,7,6,8,70,0,0,0,0,0,4,7,8,17,12,9,7,66,9,6,13,24,32,49,61,22,14,15,11,24,277,0,0,0,0,0,0,4,3,0,0,3,713,727,17,11,29,88,108,527,1379,820,612,589,398,1109,5690,3,0,5,23,30,142,151,47,16,12,6,66,501,3,9,51,152,91,157,68,21,4,6,0,45,605,0,0,3,10,7,12,9,4,0,6,0,10,61,5,0,30,33,12,18,0,6,0,0,0,3,108,27,12,57,145,60,112,57,15,0,8,4,64,565,0,0,6,0,0,0,0,0,0,0,0,6,15,35,18,142,366,201,440,287,87,26,28,13,203,1852,145,64,232,817,1073,1998,2943,1548,997,972,652,1929,13382,5,0,0,4,3,20,120,217,184,219,163,7,945,0,3,9,17,12,91,187
50102,6,35,48,137,141,51,27,32,15,44,538,3,0,6,11,0,25,60,42,8,28,16,22,220,0,0,0,0,0,6,18,12,20,11,19,20,108,18,12,26,91,84,162,152,58,18,16,14,89,742,0,0,0,0,0,5,10,4,0,4,0,1214,1238,28,25,50,169,199,858,2454,1877,1333,1457,1078,2105,11630,0,4,8,47,72,226,329,165,49,43,15,124,1082,3,6,63,250,216,302,152,35,13,8,3,100,1154,0,5,5,28,9,24,26,4,3,0,0,24,135,17,6,66,118,36,34,18,10,7,3,0,21,334,56,18,171,433,204,271,154,24,18,9,6,166,1520,0,0,4,5,7,0,6,0,0,0,0,26,56,80,37,315,880,541,862,684,228,85,72,34,464,4274,232,146,512,1792,2205,3521,5235,3335,2255,2375,1631,3826,27073,0,8,0,5,0,24,216,406,367,580,427,19,2050,0,3,4,10,24,106,137
50103,0,15,20,28,27,6,0,4,0,13,117,0,0,0,4,6,9,16,9,0,3,3,9,45,0,0,0,0,0,0,8,5,5,3,7,9,33,0,0,0,22,22,43,30,5,5,7,0,22,151,0,0,0,0,0,0,0,4,0,0,0,200,205,5,7,14,54,71,266,507,284,214,198,131,422,2166,0,0,5,8,11,43,45,15,7,5,0,21,171,0,0,21,48,33,41,21,6,0,0,0,17,185,0,0,0,8,0,6,0,5,0,0,0,3,29,0,0,19,23,8,8,4,0,0,0,0,6,53,15,6,44,71,40,52,17,5,4,0,3,30,286,0,0,0,0,0,0,0,0,0,0,0,9,12,17,3,92,154,95,151,89,30,15,9,4,87,733,70,42,153,476,647,973,1236,616,399,357,226,851,6046,3,4,5,7,11,39,81,109,73,110,78,12,531,4,0,0,11,11,59,65
50201,13,44,37,146,139,44,24,32,17,51,551,0,0,0,3,5,27,56,47,12,26,17,23,222,0,0,0,0,0,0,6,13,14,8,14,19,89,30,11,17,105,72,207,140,50,24,24,24,91,799,0,0,0,0,0,0,3,0,6,0,0,1298,1311,40,21,43,182,176,806,1848,1448,1076,1183,1060,2037,9933,0,0,9,29,45,225,294,118,55,56,16,120,961,0,8,74,215,161,242,142,30,9,6,0,88,979,0,0,9,16,17,18,32,13,4,7,0,18,123,21,13,74,118,33,34,21,0,0,0,0,25,353,77,31,191,478,239,327,159,36,12,13,15,187,1769,0,0,0,0,0,5,3,0,0,0,0,26,35,104,51,351,857,494,846,645,204,80,84,29,464,4217,331,187,592,1957,2795,3932,4581,2689,1803,1989,1606,3877,26342,3,0,0,4,4,33,124,261,285,443,350,13,1514,0,0,0,13,14,95,147
50301,13,17,19,43,55,38,32,52,131,45,442,0,0,0,0,0,3,4,10,6,15,14,12,66,0,0,0,0,0,0,5,4,9,5,23,8,46,21,6,7,30,16,46,65,32,32,47,76,68,444,4,0,0,0,0,0,0,0,0,0,6,719,726,38,7,21,58,56,199,471,492,495,1308,3992,1407,8543,0,6,3,8,12,56,120,87,34,100,83,92,595,7,3,16,38,41,97,100,40,17,25,27,55,461,0,0,0,0,3,3,6,0,4,3,7,12,35,13,4,14,9,4,13,10,0,3,0,0,11,80,68,15,35,65,47,80,100,39,23,26,24,81,599,0,0,0,0,0,0,0,0,0,0,0,6,10,83,27,64,126,99,247,335,170,79,159,141,257,1783,204,55,139,353,414,1070,1842,1245,1064,2241,5679,2310,16626,0,0,0,0,0,0,21,75,107,217,610,9,1047,0,0,0,3,9,54,76
50302,13,31,27,77,70,53,28,48,59,25,430,0,0,0,3,0,6,13,14,0,21,18,10,100,0,0,0,0,0,0,3,0,4,12,26,6,56,35,7,17,43,17,82,85,44,35,38,48,42,496,0,0,0,0,0,0,3,3,0,0,0,706,711,52,16,35,111,101,447,972,948,748,1558,2928,1163,9069,0,0,6,16,21,102,236,149,54,105,71,88,844,0,6,28,69,77,147,104,44,24,30,4,52,574,0,0,0,4,3,10,13,8,0,5,3,10,56,17,3,34,29,7,21,14,7,3,0,0,9,154,64,20,56,116,78,141,113,46,27,18,13,76,771,0,0,0,0,0,0,0,3,0,0,0,13,11,79,34,119,239,184,420,477,260,101,151,94,248,2411,287,113,251,737,854,2019,3306,2676,1969,3357,5106,2634,23302,0,0,0,3,3,21,170,511,566,1100,1779,19,4174,3,0,4,19,30,172,290
50401,11,45,53,111,117,42,28,28,13,40,500,0,0,0,0,9,17,30,17,6,15,9,16,117,0,0,0,0,0,0,11,4,9,23,11,8,69,42,8,32,66,46,154,182,69,27,39,19,70,762,0,0,0,0,0,5,4,0,0,3,0,566,579,58,22,61,152,185,796,1712,1324,1023,1332,1186,1069,8915,0,0,5,22,49,197,307,148,74,69,42,108,1011,0,6,53,132,101,192,148,40,14,11,7,68,780,5,0,3,3,4,13,13,6,6,4,0,12,74,23,4,36,67,19,18,14,10,0,7,0,18,208,49,16,100,221,127,222,178,45,34,11,9,134,1140,0,0,0,4,0,3,3,0,0,0,0,22,33,71,31,199,452,297,642,664,241,124,108,60,359,3246,270,105,362,1104,1417,2690,3890,2588,1949,2385,1860,2287,20909,0,0,0,0,0,10,132,410,433,765,691,5,2454,0,0,4,8,14,85,168
50402,4,19,14,44,61,19,17,11,16,24,240,0,0,0,3,5,5,12,21,4,10,10,13,88,0,0,0,0,0,5,6,4,3,3,10,3,42,9,5,11,26,20,70,78,30,15,13,5,43,324,0,0,0,0,0,0,6,0,0,0,0,492,504,21,10,26,56,60,331,912,756,590,699,687,874,5019,0,0,5,13,17,104,181,91,39,29,17,76,568,0,0,24,54,46,105,59,19,11,4,6,53,376,0,5,0,8,3,5,3,9,0,0,0,15,49,8,3,16,22,4,14,7,4,0,0,0,11,90,26,6,44,116,63,108,74,22,11,9,9,71,550,0,0,0,0,0,0,0,0,0,0,0,11,18,35,11,87,208,142,332,327,143,54,42,29,240,1645,102,54,168,564,733,1409,2054,1457,1019,1096,983,1600,11244,6,0,0,3,0,12,57,146,169,259,224,3,881,0,0,0,6,6,38,62
50403,19,77,66,214,218,77,44,37,19,68,849,0,0,3,10,11,40,77,44,19,17,13,27,261,0,0,0,0,0,10,35,22,13,29,21,27,161,59,24,41,148,114,238,237,87,46,28,23,132,1173,0,0,0,5,0,9,13,0,3,0,0,1398,1435,85,30,78,308,321,1500,3835,2818,1906,2050,1411,2470,16816,3,0,10,43,84,444,586,252,117,101,43,215,1900,3,7,78,272,154,365,223,58,23,16,4,108,1330,0,0,0,17,10,21,40,11,3,4,4,22,132,21,12,74,112,31,57,50,12,6,8,0,27,408,90,39,241,446,214,334,248,60,40,18,3,193,1921,0,3,0,5,0,4,0,0,0,0,0,46,57,127,62,414,900,486,1230,1146,392,190,145,55,607,5755,393,159,581,1838,1933,4199,7298,4932,3116,3213,1960,4253,33888,0,0,0,3,3,23,298,689,688,923,523,28,3178,3,0,3,15,24,101,207
50501,19,60,57,156,230,128,87,72,89,93,995,0,0,0,7,11,23,48,38,18,33,39,36,251,0,0,0,0,0,5,24,12,29,31,42,43,172,48,17,32,75,57,185,289,125,67,85,53,143,1177,0,0,0,0,0,5,6,0,0,0,0,1819,1841,67,25,65,178,166,890,3035,3069,2858,4064,4405,3463,22286,0,3,7,34,56,289,560,350,161,138,76,246,1919,0,14,65,228,163,407,285,79,39,27,17,122,1449,0,0,8,15,19,30,25,15,6,0,8,21,148,22,4,42,74,22,40,20,14,3,7,3,31,281,75,25,118,243,167,290,251,82,44,25,12,147,1475,0,0,0,0,0,3,0,0,0,0,0,16,23,99,47,235,587,431,1055,1142,540,250,195,121,591,5301,357,183,467,1517,2078,4582,7145,5541,4491,5833,5807,5634,43633,0,0,0,4,4,17,149,462,627,1014,963,25,3258,3,0,5,22,31,132,264
