SA3_CODE_2021,C21_F_Health_15_19,C21_F_Health_20_24,C21_F_Health_25_34,C21_F_Health_35_44,C21_F_Health_45_54,C21_F_Health_55_64,C21_F_Health_65_74,C21_F_Health_75_84,C21_F_Health_85over,C21_F_Health_Tot,C21_F_Educ_15_19,C21_F_Educ_20_24,C21_F_Educ_25_34,C21_F_Educ_35_44,C21_F_Educ_45_54,C21_F_Educ_55_64,C21_F_Educ_65_74,C21_F_Educ_75_84,C21_F_Educ_85over,C21_F_Educ_Tot,C21_F_MngtCom_15_19,C21_F_MngtCom_20_24,C21_F_MngtCom_25_34,C21_F_MngtCom_35_44,C21_F_MngtCom_45_54,C21_F_MngtCom_55_64,C21_F_MngtCom_65_74,C21_F_MngtCom_75_84,C21_F_MngtCom_85over,C21_F_MngtCom_Tot,C21_F_Soc_cult_15_19,C21_F_Soc_cult_20_24,C21_F_Soc_cult_25_34,C21_F_Soc_cult_35_44,C21_F_Soc_cult_45_54,C21_F_Soc_cult_55_64,C21_F_Soc_cult_65_74,C21_F_Soc_cult_75_84,C21_F_Soc_cult_85over,C21_F_Soc_cult_Tot,C21_F_Creative_art_15_19,C21_F_Creative_art_20_24,C21_F_Creative_art_25_34,C21_F_Creative_art_35_44,C21_F_Creative_art_45_54,C21_F_Creative_art_55_64,C21_F_Creative_art_65_74,C21_F_Creative_art_75_84,C21_F_Creative_art_85over,C21_F_Creative_art_Tot,C21_F_FoodHos_PS_15_19,C21_F_FoodHos_PS_20_24,C21_F_FoodHos_PS_25_34,C21_F_FoodHos_PS_35_44,C21_F_FoodHos_PS_45_54,C21_F_FoodHos_PS_55_64,C21_F_FoodHos_PS_65_74,C21_F_FoodHos_PS_75_84,C21_F_FoodHos_PS_85over,C21_F_FoodHos_PS_Tot,C21_F_MixFld_pr_15_19,C21_F_MixFld_pr_20_24,C21_F_MixFld_pr_25_34,C21_F_MixFld_pr_35_44,C21_F_MixFld_pr_45_54,C21_F_MixFld_pr_55_64,C21_F_MixFld_pr_65_74,C21_F_MixFld_pr_75_84,C21_F_MixFld_pr_85over,C21_F_MixFld_pr_Tot,C21_F_FldStu_ID_15_19,C21_F_FldStu_ID_20_24,C21_F_FldStu_ID_25_34,C21_F_FldStu_ID_35_44,C21_F_FldStu_ID_45_54,C21_F_FldStu_ID_55_64,C21_F_FldStu_ID_65_74,C21_F_FldStu_ID_75_84,C21_F_FldStu_ID_85over,C21_F_FldStu_ID_Tot,C21_F_FldStu_NS_15_19,C21_F_FldStu_NS_20_24,C21_F_FldStu_NS_25_34,C21_F_FldStu_NS_35_44,C21_F_FldStu_NS_45_54,C21_F_FldStu_NS_55_64,C21_F_FldStu_NS_65_74,C21_F_FldStu_NS_75_84,C21_F_FldStu_NS_85over,C21_F_FldStu_NS_Tot,C21_F_Tot_15_19,C21_F_Tot_20_24,C21_F_Tot_25_34,C21_F_Tot_35_44,C21_F_Tot_45_54,C21_F_Tot_55_64,C21_F_Tot_65_74,C21_F_Tot_75_84,C21_F_Tot_85over,C21_F_Tot_Tot,C11_P_NatPhy_sci_15_19,C11_P_NatPhy_sci_20_24,C11_P_NatPhy_sci_25_34,C11_P_NatPhy_sci_35_44,C11_P_NatPhy_sci_45_54,C11_P_NatPhy_sci_55_64,C11_P_NatPhy_sci_65_74,C11_P_NatPhy_sci_75_84,C11_P_NatPhy_sci_85over,C11_P_NatPhy_sci_Tot,C11_P_InfTec_15_19,C11_P_InfTec_20_24,C11_P_InfTec_25_34,C11_P_InfTec_35_44,C11_P_InfTec_45_54,C11_P_InfTec_55_64,C11_P_InfTec_65_74,C11_P_InfTec_75_84,C11_P_InfTec_85over,C11_P_InfTec_Tot,C11_P_EngRT_15_19,C11_P_EngRT_20_24,C11_P_EngRT_25_34,C11_P_EngRT_35_44,C11_P_EngRT_45_54,C11_P_EngRT_55_64,C11_P_EngRT_65_74,C11_P_EngRT_75_84,C11_P_EngRT_85over,C11_P_EngRT_Tot,C11_P_ArchBuild_15_19,C11_P_ArchBuild_20_24,C11_P_ArchBuild_25_34,C11_P_ArchBuild_35_44,C11_P_ArchBuild_45_54,C11_P_ArchBuild_55_64,C11_P_ArchBuild_65_74,C11_P_ArchBuild_75_84,C11_P_ArchBuild_85over,C11_P_ArchBuild_Tot,C11_P_AgEnv_RS_15_19,C11_P_AgEnv_RS_20_24,C11_P_AgEnv_RS_25_34,C11_P_AgEnv_RS_35_44,C11_P_AgEnv_RS_45_54,C11_P_AgEnv_RS_55_64,C11_P_AgEnv_RS_65_74,C11_P_AgEnv_RS_75_84,C11_P_AgEnv_RS_85over,C11_P_AgEnv_RS_Tot,C11_P_Health_15_19,C11_P_Health_20_24,C11_P_Health_25_34,C11_P_Health_35_44,C11_P_Health_45_54,C11_P_Health_55_64,C11_P_Health_65_74,C11_P_Health_75_84,C11_P_Health_85over,C11_P_Health_Tot,C11_P_Educ_15_19,C11_P_Educ_20_24,C11_P_Educ_25_34,C11_P_Educ_35_44,C11_P_Educ_45_54,C11_P_Educ_55_64,C11_P_Educ_65_74,C11_P_Educ_75_84,C11_P_Educ_85over,C11_P_Educ_Tot,C11_P_MngtCom_15_19,C11_P_MngtCom_20_24,C11_P_MngtCom_25_34,C11_P_MngtCom_35_44,C11_P_MngtCom_45_54,C11_P_MngtCom_55_64,C11_P_MngtCom_65_74,C11_P_MngtCom_75_84,C11_P_MngtCom_85over,C11_P_MngtCom_Tot,C11_P_Soc_cult_15_19,C11_P_Soc_cult_20_24,C11_P_Soc_cult_25_34,C11_P_Soc_cult_35_44,C11_P_Soc_cult_45_54,C11_P_Soc_cult_55_64,C11_P_Soc_cult_65_74,C11_P_Soc_cult_75_84,C11_P_Soc_cult_85over,C11_P_Soc_cult_Tot,C11_P_Creative_art_15_19,C11_P_Creative_art_20_24,C11_P_Creative_art_25_34,C11_P_Creative_art_35_44,C11_P_Creative_art_45_54,C11_P_Creative_art_55_64,C11_P_Creative_art_65_74,C11_P_Creative_art_75_84,C11_P_Creative_art_85over,C11_P_Creative_art_Tot
50101,33,84,371,532,458,514,396,206,63,2643,17,38,254,525,484,466,395,147,33,2359,49,97,417,644,614,462,323,118,40,2757,36,64,316,466,484,388,265,71,11,2097,18,29,143,187,145,112,80,35,7,753,26,73,252,276,247,159,101,28,9,1177,0,0,0,0,0,0,3,0,5,27,4,0,13,54,38,27,25,9,11,185,112,65,241,310,268,254,273,222,139,1886,313,499,2213,3347,3007,2541,1959,865,318,15067,0,14,119,133,89,60,40,26,3,494,8,14,34,39,27,17,6,3,0,153,32,105,392,578,589,510,338,154,41,2747,22,119,292,374,357,240,131,71,11,1619,9,38,241,224,142,96,60,32,0,844,6,41,247,390,431,325,256,105,25,1825,7,33,233,405,453,420,206,85,21,1875,73,143,465,614,481,372,206,70,19,2430,29,81,261,364,297,239,113,40,4,1437,11,31,122,152,110,66,41,29,4,568
50102,92,235,744,816,721,819,571,243,74,4326,77,140,507,763,896,712,469,174,42,3777,134,318,1095,1115,935,767,439,139,29,4975,165,268,639,913,871,702,371,96,14,4042,38,75,168,121,102,77,57,28,12,675,91,182,510,396,353,230,157,51,11,1987,9,11,4,4,4,8,0,0,0,55,10,20,56,44,68,51,19,12,5,276,212,190,449,425,433,446,479,402,274,3311,860,1590,4594,5081,4805,4103,2691,1185,471,25385,11,37,161,202,176,97,41,12,0,740,32,57,148,87,63,32,10,0,0,429,142,732,1775,1936,1939,1361,713,269,65,8934,84,314,529,431,540,398,215,82,15,2606,44,79,225,237,230,129,64,23,4,1024,32,135,584,681,868,656,324,117,21,3413,19,84,497,817,796,612,253,80,25,3186,196,455,1101,1194,977,639,256,85,22,4928,97,216,614,657,595,461,138,49,6,2831,19,73,145,133,102,80,37,13,0,603
50103,13,28,94,129,135,209,195,79,12,891,14,26,85,150,194,205,186,51,7,921,28,47,153,182,178,159,126,34,7,915,29,33,98,161,153,200,130,38,0,838,9,5,32,52,36,40,39,11,0,240,15,34,75,79,61,50,31,15,5,359,4,0,0,0,0,0,0,5,0,12,0,0,9,6,12,10,14,5,0,59,71,32,74,132,161,188,165,148,45,1021,198,235,721,1021,1049,1173,947,399,88,5831,0,8,20,44,46,43,12,3,0,174,5,10,16,28,15,24,0,0,0,93,37,73,154,282,388,353,231,74,12,1603,12,34,60,79,102,98,72,22,5,479,13,36,87,134,132,89,40,11,4,542,5,20,79,150,220,226,119,30,7,863,5,24,98,172,199,260,104,22,4,892,33,66,134,210,185,205,104,26,10,967,14,28,90,152,164,139,63,16,0,664,0,6,40,38,55,51,23,5,0,229
50201,74,212,637,624,632,737,614,306,89,3936,46,151,491,669,748,658,516,212,56,3545,98,248,754,975,1005,890,648,323,52,5002,94,280,728,849,782,803,426,123,19,4107,30,67,131,125,100,78,78,34,15,660,81,220,551,440,407,271,255,106,17,2358,13,5,8,4,7,5,8,0,0,54,6,14,33,42,44,45,23,13,5,229,202,208,414,442,460,436,549,601,455,3767,676,1520,4038,4542,4472,4166,3267,1790,739,25208,8,35,84,116,89,62,43,17,9,459,29,74,122,83,78,41,18,6,0,442,99,398,969,1287,1409,1278,1107,526,99,7177,66,208,362,420,440,363,406,205,36,2521,13,40,186,159,120,86,72,32,5,714,25,109,352,450,617,539,375,185,39,2696,15,97,366,572,602,527,302,144,32,2654,131,302,735,874,867,753,591,218,43,4524,79,212,447,541,590,366,187,82,19,2533,31,55,119,97,80,71,60,29,6,552
50301,23,224,758,787,955,951,656,397,172,4924,18,48,194,314,493,620,712,389,140,2926,71,244,595,1003,1244,731,429,234,89,4637,29,221,498,662,838,626,527,262,99,3765,29,113,219,210,223,131,93,88,30,1141,11,47,73,82,103,76,67,32,17,503,0,0,0,0,3,4,3,0,0,14,7,27,40,51,73,49,52,33,12,351,109,119,186,175,181,187,197,224,191,1571,326,1380,3118,3842,4692,3822,2959,1778,798,22718,6,203,430,344,521,387,234,116,37,2273,7,42,152,105,147,64,21,0,0,528,17,248,656,660,885,690,399,220,86,3858,13,144,199,227,251,222,133,69,26,1288,10,31,124,112,92,70,67,38,11,557,9,213,735,1108,1466,1074,748,405,141,5890,8,71,241,440,789,849,517,226,81,3211,33,484,1117,1627,1682,1096,627,259,125,7059,21,285,734,1024,1053,983,505,269,76,4953,21,175,301,200,213,157,99,42,24,1243
50302,29,360,2044,1245,942,812,554,273,131,6390,16,110,567,529,612,648,628,241,84,3443,81,530,2437,2082,1398,977,437,148,70,8162,39,470,1879,1518,963,784,512,160,40,6374,63,289,796,520,303,173,102,37,7,2301,32,193,438,279,195,143,90,43,24,1437,5,11,13,6,12,4,3,8,0,57,7,47,130,119,94,68,48,15,8,530,90,315,890,503,342,306,340,252,251,3280,378,2792,10949,8020,5576,4332,2938,1237,646,36876,6,280,1052,679,482,332,119,42,10,2995,7,119,755,409,251,85,20,0,0,1651,29,499,2437,1442,1179,907,431,193,73,7181,23,268,842,466,402,318,170,63,23,2566,0,44,254,142,98,68,47,17,4,676,10,400,1753,1259,1081,750,351,189,68,5856,8,118,631,668,762,791,331,125,60,3499,61,918,3725,2546,1770,996,443,180,70,10706,38,533,2227,1536,1156,956,351,112,39,6947,44,493,1175,592,346,199,79,26,4,2956
50401,16,229,991,752,490,451,348,142,42,3457,12,99,521,534,558,480,364,151,34,2755,65,274,1274,1318,983,668,381,160,35,5172,37,223,876,898,661,514,363,89,21,3696,30,150,427,355,207,117,63,27,11,1380,28,141,441,342,224,164,108,38,10,1494,4,6,8,0,6,6,5,0,0,35,0,26,72,89,75,43,31,11,8,349,86,120,402,343,280,234,231,261,191,2153,289,1436,5774,5320,3870,2918,2025,923,372,22919,3,97,417,365,220,132,60,19,5,1323,13,82,492,283,149,59,11,5,0,1097,47,429,1392,1244,1175,1084,612,297,110,6391,19,184,471,364,292,283,216,97,26,1958,9,41,148,115,80,52,22,11,0,483,10,202,736,613,542,442,205,103,28,2884,15,97,480,599,600,459,259,87,33,2635,68,584,1933,1549,1044,689,331,116,35,6350,44,275,1050,886,695,545,193,62,12,3759,32,224,535,380,203,129,64,21,13,1608
50402,16,91,302,352,326,375,260,136,38,1888,14,39,194,263,372,314,263,120,25,1609,35,98,288,439,444,377,221,76,27,2006,42,92,246,333,350,336,220,65,10,1693,22,45,88,99,84,72,63,19,3,486,29,80,177,143,135,87,55,31,9,749,0,0,0,0,3,0,5,0,0,15,5,10,16,30,31,22,20,3,0,147,61,54,134,144,153,149,145,156,115,1112,239,566,1624,2030,2154,1886,1336,635,238,10707,3,17,76,156,135,109,58,13,6,574,23,25,73,79,77,35,11,0,0,324,57,200,447,716,881,770,457,160,41,3728,22,89,135,176,207,196,106,48,11,984,7,32,82,118,91,68,26,13,3,428,10,69,158,299,420,343,199,80,22,1591,13,38,142,323,414,412,194,62,15,1610,52,142,349,559,589,410,187,67,19,2380,45,106,232,366,384,337,156,39,10,1671,30,66,109,121,111,97,52,18,0,601
50403,50,481,1399,1132,898,668,375,144,45,5177,39,203,951,936,878,678,334,120,26,4166,150,464,1905,2186,1519,978,406,169,34,7812,106,406,1327,1393,1107,785,346,83,7,5572,66,145,343,284,150,99,50,22,8,1159,125,332,932,654,441,274,140,50,6,2967,16,17,19,4,6,11,10,3,0,79,7,15,116,128,71,69,32,10,3,442,238,274,745,631,527,408,346,306,219,3684,831,2591,8611,8144,6112,4239,2183,946,364,34034,6,53,212,252,176,119,38,11,6,875,36,99,335,238,146,53,16,0,0,933,131,615,1576,1998,1940,1319,622,239,42,8486,53,248,416,433,423,331,180,57,8,2160,18,60,166,194,130,68,36,5,0,687,14,193,596,681,641,453,207,87,16,2891,37,138,539,733,684,430,195,53,14,2822,145,564,1666,1695,1251,673,285,96,23,6399,88,340,934,915,755,476,161,50,8,3732,55,160,373,206,124,96,32,10,0,1068
50501,56,434,1402,1512,1512,1500,861,316,80,7677,74,228,912,1408,1634,1438,989,320,58,7061,124,408,1347,2419,2330,1758,1059,340,102,9897,115,413,976,1402,1302,1030,657,156,23,6073,89,181,374,428,262,154,116,38,10,1656,100,258,593,589,542,396,276,94,22,2865,21,10,8,4,5,12,8,0,0,65,11,31,63,117,109,72,49,16,3,478,127,137,384,416,384,376,400,365,297,2889,739,2339,6753,9285,8904,7271,4661,1710,627,42283,5,202,443,611,538,371,131,40,5,2343,63,141,428,525,379,164,28,0,0,1732,134,812,1833,2743,3463,2962,1312,456,134,13849,113,533,886,1128,1143,858,355,147,35,5185,33,92,259,246,211,108,46,18,5,1016,33,463,1102,1650,1996,1165,477,183,50,7124,25,209,869,1511,1903,1483,529,181,54,6762,180,896,2266,3332,3139,2278,843,318,81,13315,170,590,1302,1482,1384,1019,346,87,17,6407,73,322,537,430,270,234,95,33,5,2005
