SA4_CODE_2021,Tot_persons_C11_M,Tot_persons_C11_F,Tot_persons_C11_P,Tot_persons_C16_M,Tot_persons_C16_F,Tot_persons_C16_P,Tot_persons_C21_M,Tot_persons_C21_F,Tot_persons_C21_P,Age_0_4_C11_M,Age_0_4_C11_F,Age_0_4_C11_P,Age_0_4_C16_M,Age_0_4_C16_F,Age_0_4_C16_P,Age_0_4_C21_M,Age_0_4_C21_F,Age_0_4_C21_P,Age_5_14_C11_M,Age_5_14_C11_F,Age_5_14_C11_P,Age_5_14_C16_M,Age_5_14_C16_F,Age_5_14_C16_P,Age_5_14_C21_M,Age_5_14_C21_F,Age_5_14_C21_P,Age_15_19_C11_M,Age_15_19_C11_F,Age_15_19_C11_P,Age_15_19_C16_M,Age_15_19_C16_F,Age_15_19_C16_P,Age_15_19_C21_M,Age_15_19_C21_F,Age_15_19_C21_P,Age_20_24_C11_M,Age_20_24_C11_F,Age_20_24_C11_P,Age_20_24_C16_M,Age_20_24_C16_F,Age_20_24_C16_P,Age_20_24_C21_M,Age_20_24_C21_F,Age_20_24_C21_P,Age_25_34_C11_M,Age_25_34_C11_F,Age_25_34_C11_P,Age_25_34_C16_M,Age_25_34_C16_F,Age_25_34_C16_P,Age_25_34_C21_M,Age_25_34_C21_F,Age_25_34_C21_P,Age_35_44_C11_M,Age_35_44_C11_F,Age_35_44_C11_P,Age_35_44_C16_M,Age_35_44_C16_F,Age_35_44_C16_P,Age_35_44_C21_M,Age_35_44_C21_F,Age_35_44_C21_P,Age_45_54_C11_M,Age_45_54_C11_F,Age_45_54_C11_P,Age_45_54_C16_M,Age_45_54_C16_F,Age_45_54_C16_P,Age_45_54_C21_M,Age_45_54_C21_F,Age_45_54_C21_P,Age_55_64_C11_M,Age_55_64_C11_F,Age_55_64_C11_P,Age_55_64_C16_M,Age_55_64_C16_F,Age_55_64_C16_P,Age_55_64_C21_M,Age_55_64_C21_F,Age_55_64_C21_P,Age_65_74_C11_M,Age_65_74_C11_F,Age_65_74_C11_P,Age_65_74_C16_M,Age_65_74_C16_F,Age_65_74_C16_P,Age_65_74_C21_M,Age_65_74_C21_F,Age_65_74_C21_P,Age_75_84_C11_M,Age_75_84_C11_F,Age_75_84_C11_P,Age_75_84_C16_M,Age_75_84_C16_F,Age_75_84_C16_P,Age_75_84_C21_M,Age_75_84_C21_F,Age_75_84_C21_P,Age_grp_85over_C11_M,Age_grp_85over_C11_F,Age_grp_85over_C11_P,Age_grp_85over_C16_M,Age_grp_85over_C16_F,Age_grp_85over_C16_P,Age_grp_85over_C21_M,Age_grp_85over_C21_F,Age_grp_85over_C21_P,OS_vis_C11_M,OS_vis_C11_F,OS_vis_C11_P,OS_vis_C16_M,OS_vis_C16_F,OS_vis_C16_P,OS_vis_C21_M,OS_vis_C21_F,OS_vis_C21_P,IP_Abor_C11_M,IP_Abor_C11_F,IP_Abor_C11_P,IP_Abor_C16_M,IP_Abor_C16_F,IP_Abor_C16_P,IP_Abor_C21_M,IP_Abor_C21_F,IP_Abor_C21_P,IP_Tor_Strt_Is_2011_Ce_M,IP_Tor_Strt_Is_2011_Ce_F,IP_Tor_Strt_Is_2011_Ce_P,IP_Tor_Strt_Is_2016_Ce_M,IP_Tor_Strt_Is_2016_Ce_F,IP_Tor_Strt_Is_2016_Ce_P,IP_Tor_Strt_Is_2021_Ce_M,IP_Tor_Strt_Is_2021_Ce_F,IP_Tor_Strt_Is_2021_Ce_P,IP_B_Ab_To_St_Is_2011_Ce_M,IP_B_Ab_To_St_Is_2011_Ce_F,IP_B_Ab_To_St_Is_2011_Ce_P,IP_B_Ab_To_St_Is_2016_Ce_M,IP_B_Ab_To_St_Is_2016_Ce_F,IP_B_Ab_To_St_Is_2016_Ce_P,IP_B_Ab_To_St_Is_2021_Ce_M,IP_B_Ab_To_St_Is_2021_Ce_F,IP_B_Ab_To_St_Is_2021_Ce_P,IP_Tot_2011_Ce_M,IP_Tot_2011_Ce_F,IP_Tot_2011_Ce_P,IP_Tot_2016_Ce_M,IP_Tot_2016_Ce_F,IP_Tot_2016_Ce_P,IP_Tot_2021_Ce_M,IP_Tot_2021_Ce_F,IP_Tot_2021_Ce_P,Brthplace_Aust_2011_Ce_M,Brthplace_Aust_2011_Ce_F,Brthplace_Aust_2011_Ce_P,Brthplace_Aust_2016_Ce_M,Brthplace_Aust_2016_Ce_F,Brthplace_Aust_2016_Ce_P,Brthplace_Aust_2021_Ce_M,Brthplace_Aust_2021_Ce_F,Brthplace_Aust_2021_Ce_P,Brthplace_Elsewhere_2011_Ce_M,Brthplace_Elsewhere_2011_Ce_F,Brthplace_Elsewhere_2011_Ce_P,Brthplace_Elsewhere_2016_Ce_M,Brthplace_Elsewhere_2016_Ce_F,Brthplace_Elsewhere_2016_Ce_P,Brthplace_Elsewhere_2021_Ce_M,Brthplace_Elsewhere_2021_Ce_F,Brthplace_Elsewhere_2021_Ce_P,LSH_Eng_only_2011_Ce_M,LSH_Eng_only_2011_Ce_F,LSH_Eng_only_2011_Ce_P,LSH_Eng_only_2016_Ce_M,LSH_Eng_only_2016_Ce_F,LSH_Eng_only_2016_Ce_P,LSH_Eng_only_2021_Ce_M,LSH_Eng_only_2021_Ce_F,LSH_Eng_only_2021_Ce_P,LSH_Oth_Lan_2011_Ce_M,LSH_Oth_Lan_2011_Ce_F,LSH_Oth_Lan_2011_Ce_P,LSH_Oth_Lan_2016_Ce_M,LSH_Oth_Lan_2016_Ce_F,LSH_Oth_Lan_2016_Ce_P,LSH_Oth_Lan_2021_Ce_M,LSH_Oth_Lan_2021_Ce_F,LSH_Oth_Lan_2021_Ce_P,Aust_citiz_C11_M,Aust_citiz_C11_F,Aust_citiz_C11_P,Aust_citiz_C16_M,Aust_citiz_C16_F,Aust_citiz_C16_P,Aust_citiz_C21_M,Aust_citiz_C21_F,Aust_citiz_C21_P
501,78957,79148,158106,87176,89149,176328,93269,95483,188747,5664,5304,10971,5754,5362,11116,5256,4976,10232,11657,11084,22738,12558,12085,24646,13184,12274,25456,5461,4871,10331,5678,5188,10870,5592,5373,10963,4095,3863,7957,4094,3922,8015,4170,3777,7948,9125,9263,18389,9552,10305,19854,9749,10211,19963,10999,11731,22733,11231,11814,23043,11545,12489,24032,11540,11506,23042,12182,12598,24778,12512,13035,25548,10090,10041,20122,11511,12125,23636,12506,13371,25879,6286,6224,12510,9182,9022,18205,11501,11586,23091,3149,3708,6858,4157,4694,8847,5652,5999,11650,891,1561,2453,1274,2039,3317,1602,2381,3986,573,608,1185,809,987,1793,233,169,401,1594,1713,3311,1951,2001,3952,2580,2556,5136,43,45,83,43,55,97,42,42,88,29,29,54,38,41,80,52,50,105,1661,1789,3448,2033,2098,4130,2672,2647,5324,59861,60168,120023,63840,64755,128593,69634,70872,140508,14224,14760,28983,15871,17185,33059,17090,19058,36146,70144,71267,141405,74988,77011,151995,80567,83346,163920,4128,4246,8375,5177,5821,10997,5845,6745,12588,67657,69081,136738,73746,75695,149447,80635,83567,164202
502,40868,42426,83294,47152,49589,96738,51979,55660,107641,2730,2503,5238,2862,2704,5570,2866,2800,5672,5364,5192,10554,6104,5889,11993,6601,6562,13159,2838,2655,5498,2934,2888,5820,3015,2971,5986,2208,2249,4457,2595,2530,5128,2623,2686,5306,4116,4405,8519,4970,5388,10361,5171,5715,10886,4906,5293,10196,5328,5785,11111,5653,6255,11904,5260,5697,10952,6107,6478,12582,6312,6833,13147,5283,5724,11008,5813,6580,12390,6760,7565,14327,4770,4742,9514,5952,6228,12174,7166,7731,14903,2706,2922,5629,3456,3736,7192,4504,4746,9248,693,1044,1731,1031,1384,2418,1301,1794,3095,179,215,395,178,285,462,51,59,116,739,753,1495,975,1031,2007,1450,1522,2967,25,26,56,34,23,52,36,36,73,9,9,22,15,18,37,18,31,52,781,795,1576,1025,1079,2101,1508,1590,3097,28242,29443,57685,31604,32902,64505,35488,37662,73150,9685,10477,20160,11907,13217,25126,12909,14969,27879,36449,38198,74651,41130,43273,84396,45485,48827,94318,1737,2002,3739,2675,3276,5949,2924,3793,6715,33842,35634,69477,38829,41056,79879,44688,48255,92950
503,77731,78619,156350,83609,85694,169299,90025,92241,182267,4106,3895,8005,4241,3940,8179,4233,3930,8158,7986,7854,15837,9158,8644,17807,9836,9407,19246,4549,4737,9285,4564,4890,9448,5030,5143,10172,7011,6961,13969,6578,6766,13352,6339,6927,13265,14631,13654,28281,16212,15939,32155,15555,15671,31226,10930,10798,21729,11475,11533,23009,13230,12980,26204,10476,10515,20997,10820,11058,21879,11574,11778,23348,8822,8658,17475,9253,9414,18668,10124,10317,20445,5252,5228,10478,6643,6747,13383,8013,8401,16415,2848,3840,6685,3311,4148,7459,4440,4927,9364,1126,2485,3611,1347,2613,3958,1644,2769,4406,3004,2675,5677,2760,3175,5932,817,551,1368,339,357,694,480,480,957,644,697,1344,17,10,28,14,21,39,20,18,40,8,24,29,23,17,35,9,18,25,362,391,753,514,519,1026,679,732,1411,43938,45836,89780,46789,48026,94811,53311,54198,107511,27338,27414,54754,29753,30889,60643,31805,34012,65814,58158,59046,117202,60476,61031,121510,67967,68087,136054,13351,14498,27850,16196,18127,34325,16931,19855,36791,58201,60745,118945,62274,64275,126548,72555,74183,146740
504,110308,109592,219894,125600,125416,251020,138101,138478,276573,7689,7116,14809,8650,8091,16744,9414,8738,18158,14954,13865,28815,16426,15293,31719,18377,16983,35364,7737,7212,14948,8046,7391,15437,8253,7566,15820,7841,7139,14981,8529,8003,16533,8574,7993,16571,15684,15270,30954,19671,19705,39378,20355,20893,41245,16606,16917,33524,17876,18123,36001,20498,20243,40744,15546,15732,31278,17392,17380,34775,17925,18368,36289,12287,12491,24783,13803,14197,28000,15859,16277,32139,7188,7458,14641,9314,9766,19083,11344,12181,23530,3695,4383,8076,4477,5103,9583,5771,6469,12238,1078,2007,3089,1407,2366,3766,1725,2763,4488,614,699,1315,817,1267,2083,229,280,505,2658,2565,5214,3112,2816,5925,4108,3696,7807,65,56,117,93,67,151,107,81,185,63,49,111,86,92,173,123,93,219,2782,2667,5450,3284,2961,6253,4342,3874,8212,69552,69231,138785,76563,75273,151833,87146,86004,173150,34121,34584,68707,40720,41962,82682,43992,46890,90886,84882,85508,170393,91478,91442,182920,101083,101354,202437,17972,18821,36788,24452,26055,50504,27807,30812,58614,90003,91567,181567,99984,100955,200941,115685,117657,233343
505,238244,244707,482951,263604,271511,535114,283068,294235,577297,17141,16480,33623,18483,17379,35862,18341,17456,35798,32628,30930,63556,35667,34026,69693,38981,36779,75758,17248,16292,33541,17357,16607,33969,17773,16665,34435,17325,16768,34094,17669,16926,34598,17578,16927,34506,34786,34801,69583,40888,41431,82319,38421,40983,79404,35819,37061,72880,37696,39030,76725,41088,43031,84122,32308,33960,66269,35902,37200,73100,38118,39387,77506,25519,27142,52662,27852,30039,57893,31802,33981,65784,14851,16115,30966,19278,21242,40521,24220,27168,51388,8079,10381,18457,9563,12038,21602,12573,15091,27668,2544,4770,7311,3243,5580,8827,4162,6762,10928,1604,2049,3657,1884,2925,4809,468,560,1028,2399,2732,5130,2626,2868,5487,3573,3790,7365,87,84,174,104,78,183,130,108,243,65,47,112,61,57,113,98,100,200,2548,2866,5415,2791,3002,5788,3800,4003,7802,135496,140470,275960,145658,149700,295363,163502,167855,331349,89247,92477,181722,102082,106254,208333,106801,115964,222764,184580,189863,374445,197010,201301,398314,213998,220381,434382,41257,44459,85716,52008,56100,108103,55525,62410,117941,190776,199253,390029,209418,217388,426810,238908,249543,488447
506,217065,216565,433627,244963,243388,488357,264141,265325,529466,14829,13855,28676,17006,16199,33200,17366,16559,33926,27053,25560,52615,30814,28934,59751,35682,33560,69242,15543,14537,30073,15698,14537,30240,15601,14847,30444,18965,17836,36798,19377,17687,37060,18590,17408,35999,35130,33096,68227,42251,40964,83212,40243,40585,80825,30592,30266,60856,34970,33889,68858,40310,40074,80385,27889,28683,56572,30739,30455,61191,33073,32455,65525,23934,24602,48539,24976,26714,51683,27636,28644,56276,13829,14397,28232,17836,18495,36330,21303,23153,44457,7058,9199,16258,8392,10346,18742,10792,12428,23222,2253,4531,6781,2904,5175,8080,3540,5616,9154,2072,2387,4460,2748,3840,6583,689,695,1379,4011,4073,8086,4436,4539,8972,5801,5850,11651,90,81,171,83,86,169,131,105,233,79,73,149,80,89,166,148,137,281,4176,4235,8410,4597,4712,9306,6076,6083,12162,124435,125393,249827,132758,131299,264062,148433,146743,295176,78196,78964,157156,95829,96682,192517,102092,106865,208956,159927,161775,321698,164791,164234,329026,175286,175081,350367,42618,43584,86210,63394,64668,128064,72855,77085,149942,165537,169355,334897,182404,183083,365487,209401,210922,420320
507,174089,178656,352746,198610,204729,403336,217864,225539,443407,12582,11885,24473,13801,13359,27158,14476,13415,27888,23633,22568,46200,26932,25710,52642,30049,28828,58876,12379,12023,24404,12803,12408,25209,13464,12995,26454,12673,12212,24890,13595,13170,26764,13576,13401,26979,24131,24031,48162,29197,30057,59253,29517,30801,60317,25515,26720,52234,28123,28781,56907,31073,32489,63557,23991,24947,48935,27100,28063,55164,28818,29928,58745,18873,19839,38718,21445,22884,44329,24857,26356,51211,11593,12236,23828,14964,15908,30876,18600,20661,39261,6717,8469,15183,7899,9527,17424,10027,11331,21356,1999,3729,5732,2740,4854,7598,3417,5338,8752,1444,1576,3016,1641,2355,3998,527,471,998,2708,2589,5296,3346,3125,6469,4642,4281,8924,67,57,125,70,61,129,100,97,195,46,44,87,78,70,142,148,119,274,2817,2688,5507,3494,3249,6744,4892,4497,9392,108617,112394,221010,119774,122950,242723,137381,140795,278175,55358,57526,112881,64737,68509,133247,69046,75710,144752,141451,145859,287311,154176,158494,312661,171403,177065,348470,22754,25140,47895,30245,33770,64014,33311,38885,72198,141015,147674,288697,157402,164162,321565,183154,191794,374947
509,65910,63530,129439,69060,66291,135356,69616,67561,137175,4447,4176,8626,4079,3781,7862,3633,3442,7079,9338,8850,18188,8944,8441,17383,8603,8222,16828,3971,3421,7390,3919,3372,7292,3866,3451,7320,3196,2672,5867,3299,2652,5951,3099,2607,5712,6499,6717,13214,7077,7030,14110,7044,6776,13823,8503,8719,17220,7839,7848,15690,7586,7693,15284,10023,9555,19577,9781,9652,19431,9033,9105,18137,9547,8915,18458,10508,10113,20615,10696,10511,21212,6307,5794,12101,8416,7684,16104,9744,9010,18757,3240,3319,6558,4006,4077,8082,4891,4831,9724,842,1394,2240,1188,1657,2841,1416,1888,3308,468,455,922,539,577,1113,194,106,301,2657,2746,5402,2801,2613,5415,2932,2856,5786,30,34,67,36,40,76,37,38,76,23,29,57,43,32,77,37,35,71,2716,2806,5527,2884,2682,5565,3003,2925,5931,51082,49215,100298,50538,48050,98586,51111,49037,100151,10548,11074,21619,11545,11787,23333,11518,12513,24031,58902,57805,116707,58502,57101,115601,58721,57872,116589,2903,3068,5967,3472,3565,7036,3680,4035,7717,56977,56143,113119,57553,56374,113923,58607,57919,116529
510,55390,39295,94682,53307,40614,93920,48124,41999,90128,3898,3609,7505,3972,3686,7660,3738,3408,7142,6491,6069,12558,6545,6230,12774,7085,6805,13889,2619,2191,4808,2330,2050,4381,2526,2308,4829,4417,3220,7633,3013,2714,5724,2731,2534,5265,11863,8227,20094,11632,8714,20348,8719,8365,17080,10779,6709,17485,10119,6647,16764,8683,7284,15963,8705,5222,13919,8261,5442,13704,6944,5377,12321,4949,2890,7841,5342,3573,8916,5191,3837,9031,1275,795,2067,1640,1123,2759,1923,1524,3443,317,287,600,372,331,704,508,448,949,81,83,163,80,100,186,91,113,204,1304,964,2275,1422,1046,2467,475,335,814,10067,10212,20279,10711,10860,21574,10699,10711,21411,202,134,338,226,195,417,204,166,370,249,269,520,306,312,619,322,325,650,10516,10613,21131,11240,11368,22611,11229,11205,22433,35290,28441,63740,34925,28487,63411,31830,28704,60535,10520,5802,16321,10135,6979,17112,7756,7203,14955,37309,28190,65499,36703,28341,65041,31360,27939,59297,6819,5951,12770,8005,7166,15167,7431,7579,15016,38679,30670,69350,39245,31573,70824,35365,31993,67352
511,62950,57413,120363,61395,57172,118568,61579,57177,118758,4640,4438,9080,4229,3995,8223,3775,3628,7403,8796,8593,17394,8299,7998,16303,8109,7631,15741,3999,3690,7694,3701,3471,7174,3438,3120,6553,4095,3626,7716,3536,3161,6689,3514,3161,6674,8943,8037,16979,8600,8144,16753,8276,7681,15956,9563,8586,18146,8125,7773,15904,7976,7608,15584,9321,8190,17513,9109,8180,17291,8504,7762,16262,7256,6188,13450,7871,7011,14884,8448,7475,15931,4089,3493,7586,5145,4435,9583,5993,5369,11367,1843,1872,3707,2161,2201,4365,2813,2732,5542,406,694,1097,610,796,1408,734,1015,1749,784,757,1545,700,845,1541,299,168,469,5651,6063,11717,5671,5924,11593,5539,5603,11141,74,63,137,59,33,91,65,50,116,63,74,136,89,84,173,90,79,166,5792,6202,11996,5820,6044,11860,5692,5735,11421,46553,43395,89948,44090,41176,85263,43483,40686,84169,10313,9493,19803,10023,9968,19990,9761,10115,19880,52323,48678,101000,49213,46241,95454,47559,45067,92630,4472,4534,9003,5128,5401,10527,5294,5673,10968,50600,47583,98180,49058,46341,95401,48417,46180,94593
