SA4_CODE_2021,C16_SH_3b_NPGH_4,C16_SH_3b_NPGH_5,C16_SH_3b_NPGH_6_mor,C16_SH_3b_Tot,C16_SH_4mb_NPGH_2,C16_SH_4mb_NPGH_3,C16_SH_4mb_NPGH_4,C16_SH_4mb_NPGH_5,C16_SH_4mb_NPGH_6_mor,C16_SH_4mb_Tot,C16_SH_NB_NS_NPGH_2,C16_SH_NB_NS_NPGH_3,C16_SH_NB_NS_NPGH_4,C16_SH_NB_NS_NPGH_5,C16_SH_NB_NS_NPGH_6_mor,C16_SH_NB_NS_Tot,C16_SH_Tot_NPGH_2,C16_SH_Tot_NPGH_3,C16_SH_Tot_NPGH_4,C16_SH_Tot_NPGH_5,C16_SH_Tot_NPGH_6_mor,C16_SH_Tot_Tot,C16_SDRTHT_0b_s_a_b_NPGH_2,C16_SDRTHT_0b_s_a_b_NPGH_3,C16_SDRTHT_0b_s_a_b_NPGH_4,C16_SDRTHT_0b_s_a_b_NPGH_5,C16_SDRTHT_0b_s_a_b_NPGH_6mor,C16_SDRTHT_0b_s_a_b_Tot,C16_SDRTHT_1b_NPGH_2,C16_SDRTHT_1b_NPGH_3,C16_SDRTHT_1b_NPGH_4,C16_SDRTHT_1b_NPGH_5,C16_SDRTHT_1b_NPGH_6_mor,C16_SDRTHT_1b_Tot,C16_SDRTHT_2b_NPGH_2,C16_SDRTHT_2b_NPGH_3,C16_SDRTHT_2b_NPGH_4,C16_SDRTHT_2b_NPGH_5,C16_SDRTHT_2b_NPGH_6_mor,C16_SDRTHT_2b_Tot,C16_SDRTHT_3b_NPGH_2,C16_SDRTHT_3b_NPGH_3,C16_SDRTHT_3b_NPGH_4,C16_SDRTHT_3b_NPGH_5,C16_SDRTHT_3b_NPGH_6_mor,C16_SDRTHT_3b_Tot,C16_SDRTHT_4mb_NPGH_2,C16_SDRTHT_4mb_NPGH_3,C16_SDRTHT_4mb_NPGH_4,C16_SDRTHT_4mb_NPGH_5,C16_SDRTHT_4mb_NPGH_6_mor,C16_SDRTHT_4mb_Tot,C16_SDRTHT_NB_NS_NPGH_2,C16_SDRTHT_NB_NS_NPGH_3,C16_SDRTHT_NB_NS_NPGH_4,C16_SDRTHT_NB_NS_NPGH_5,C16_SDRTHT_NB_NS_NPGH_6_mor,C16_SDRTHT_NB_NS_Tot,C16_SDRTHT_Tot_NPGH_2,C16_SDRTHT_Tot_NPGH_3,C16_SDRTHT_Tot_NPGH_4,C16_SDRTHT_Tot_NPGH_5,C16_SDRTHT_Tot_NPGH_6_mor,C16_SDRTHT_Tot_Tot,C16_F_a_0b_s_a_b_NPGH_2,C16_F_a_0b_s_a_b_NPGH_3,C16_F_a_0b_s_a_b_NPGH_4,C16_F_a_0b_s_a_b_NPGH_5,C16_F_a_0b_s_a_b_NPGH_6_mor,C16_F_a_0b_s_a_b_Tot,C16_F_a_1b_NPGH_2,C16_F_a_1b_NPGH_3,C16_F_a_1b_NPGH_4,C16_F_a_1b_NPGH_5,C16_F_a_1b_NPGH_6_mor,C16_F_a_1b_Tot,C16_F_a_2b_NPGH_2,C16_F_a_2b_NPGH_3,C16_F_a_2b_NPGH_4,C16_F_a_2b_NPGH_5,C16_F_a_2b_NPGH_6_mor,C16_F_a_2b_Tot,C16_F_a_3b_NPGH_2,C16_F_a_3b_NPGH_3,C16_F_a_3b_NPGH_4,C16_F_a_3b_NPGH_5,C16_F_a_3b_NPGH_6_mor,C16_F_a_3b_Tot,C16_F_a_4mb_NPGH_2,C16_F_a_4mb_NPGH_3,C16_F_a_4mb_NPGH_4,C16_F_a_4mb_NPGH_5,C16_F_a_4mb_NPGH_6_mor,C16_F_a_4mb_Tot,C16_F_a_NB_NS_NPGH_2,C16_F_a_NB_NS_NPGH_3,C16_F_a_NB_NS_NPGH_4,C16_F_a_NB_NS_NPGH_5,C16_F_a_NB_NS_NPGH_6_mor,C16_F_a_NB_NS_Tot,C16_F_a_Tot_NPGH_2,C16_F_a_Tot_NPGH_3,C16_F_a_Tot_NPGH_4,C16_F_a_Tot_NPGH_5,C16_F_a_Tot_NPGH_6_mor,C16_F_a_Tot_Tot,C16_OD_0b_s_a_b_NPGH_2,C16_OD_0b_s_a_b_NPGH_3,C16_OD_0b_s_a_b_NPGH_4,C16_OD_0b_s_a_b_NPGH_5,C16_OD_0b_s_a_b_NPGH_6_mor,C16_OD_0b_s_a_b_Tot,C16_OD_1b_NPGH_2,C16_OD_1b_NPGH_3,C16_OD_1b_NPGH_4,C16_OD_1b_NPGH_5,C16_OD_1b_NPGH_6_mor,C16_OD_1b_Tot,C16_OD_2b_NPGH_2,C16_OD_2b_NPGH_3,C16_OD_2b_NPGH_4,C16_OD_2b_NPGH_5,C16_OD_2b_NPGH_6_mor,C16_OD_2b_Tot,C16_OD_3b_NPGH_2,C16_OD_3b_NPGH_3,C16_OD_3b_NPGH_4,C16_OD_3b_NPGH_5,C16_OD_3b_NPGH_6_mor,C16_OD_3b_Tot,C16_OD_4mb_NPGH_2,C16_OD_4mb_NPGH_3,C16_OD_4mb_NPGH_4,C16_OD_4mb_NPGH_5,C16_OD_4mb_NPGH_6_mor,C16_OD_4mb_Tot,C16_OD_NB_NS_NPGH_2,C16_OD_NB_NS_NPGH_3,C16_OD_NB_NS_NPGH_4,C16_OD_NB_NS_NPGH_5,C16_OD_NB_NS_NPGH_6_mor,C16_OD_NB_NS_Tot,C16_OD_Tot_NPGH_2,C16_OD_Tot_NPGH_3,C16_OD_Tot_NPGH_4,C16_OD_Tot_NPGH_5,C16_OD_Tot_NPGH_6_mor,C16_OD_Tot_Tot,C16_DS_NS_NPGH_2,C16_DS_NS_NPGH_3,C16_DS_NS_NPGH_4,C16_DS_NS_NPGH_5,C16_DS_NS_NPGH_6_mor,C16_DS_NS_Tot,C16_Tot_NPGH_2,C16_Tot_NPGH_3,C16_Tot_NPGH_4,C16_Tot_NPGH_5,C16_Tot_NPGH_6_mor,C16_Tot_Tot,C21_SH_0b_s_a_b_NPGH_2,C21_SH_0b_s_a_b_NPGH_3,C21_SH_0b_s_a_b_NPGH_4,C21_SH_0b_s_a_b_NPGH_5,C21_SH_0b_s_a_b_NPGH_6_mor,C21_SH_0b_s_a_b_Tot,C21_SH_1b_NPGH_2,C21_SH_1b_NPGH_3,C21_SH_1b_NPGH_4,C21_SH_1b_NPGH_5,C21_SH_1b_NPGH_6_mor,C21_SH_1b_Tot,C21_SH_2b_NPGH_2,C21_SH_2b_NPGH_3,C21_SH_2b_NPGH_4,C21_SH_2b_NPGH_5,C21_SH_2b_NPGH_6_mor,C21_SH_2b_Tot,C21_SH_3b_NPGH_2,C21_SH_3b_NPGH_3,C21_SH_3b_NPGH_4,C21_SH_3b_NPGH_5,C21_SH_3b_NPGH_6_mor,C21_SH_3b_Tot,C21_SH_4mb_NPGH_2,C21_SH_4mb_NPGH_3,C21_SH_4mb_NPGH_4,C21_SH_4mb_NPGH_5,C21_SH_4mb_NPGH_6_mor,C21_SH_4mb_Tot,C21_SH_NB_NS_NPGH_2,C21_SH_NB_NS_NPGH_3,C21_SH_NB_NS_NPGH_4,C21_SH_NB_NS_NPGH_5,C21_SH_NB_NS_NPGH_6_mor,C21_SH_NB_NS_Tot,C21_SH_Tot_NPGH_2,C21_SH_Tot_NPGH_3,C21_SH_Tot_NPGH_4,C21_SH_Tot_NPGH_5
501,19,4,4,674,413,107,42,16,7,592,24,11,0,0,0,43,1153,211,63,23,14,1462,0,0,0,0,0,0,3,0,0,0,0,3,63,0,0,0,0,66,75,15,3,0,0,94,8,3,0,0,0,12,7,4,0,0,0,8,163,19,3,0,0,183,0,0,0,0,0,0,4,0,0,0,0,4,8,0,0,0,0,8,8,0,0,0,0,12,0,0,0,0,0,0,8,0,0,0,0,8,25,0,0,0,0,28,0,0,0,0,0,0,3,0,0,0,0,3,10,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,24,3,0,0,0,26,0,0,0,0,0,6,1359,233,71,24,14,1703,8,0,0,0,0,8,13,0,0,0,0,13,147,6,0,0,0,154,635,104,13,0,0,754,462,121,54,12,28,669,36,8,0,0,0,43,1291,235,71,15
502,0,0,0,315,270,57,20,8,3,358,28,0,3,0,0,39,656,92,28,13,3,785,0,0,0,0,0,0,6,0,0,0,0,6,39,0,0,0,0,39,66,7,6,0,0,81,0,0,0,0,0,0,9,0,0,0,0,9,124,9,6,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,32,3,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,3,813,103,32,13,3,964,0,0,0,0,0,0,3,0,0,0,0,3,57,7,0,0,0,65,302,33,0,0,0,338,299,64,17,13,0,396,15,5,0,0,0,17,682,108,21,11
503,42,3,6,689,140,117,173,61,24,521,26,17,4,0,0,49,690,446,224,73,32,1464,3,0,0,0,0,3,11,0,0,0,0,10,228,17,4,0,0,250,234,237,44,10,0,533,13,24,28,9,5,73,17,10,5,6,0,26,506,281,81,20,11,905,9,0,0,0,0,9,155,9,0,0,0,170,1101,162,37,8,3,1304,156,144,54,20,12,386,10,3,8,3,0,28,41,13,3,3,0,61,1463,332,102,26,16,1945,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,4,5,0,0,11,4,0,5,0,0,12,2672,1066,410,120,63,4331,0,0,0,0,0,0,4,0,0,0,0,3,181,13,0,0,0,194,281,291,36,6,0,615,124,119,206,41,10,498,14,0,0,3,0,17,601,424,248,47
504,24,14,3,1062,577,179,107,41,29,929,63,24,9,9,4,104,1673,394,141,62,37,2307,0,0,0,0,0,0,18,0,0,0,0,18,154,15,0,0,0,169,271,86,15,4,0,373,33,12,8,4,3,61,12,3,0,0,0,17,490,117,27,6,6,645,0,0,0,0,0,0,16,0,0,0,0,16,120,17,0,0,0,140,28,13,0,0,0,38,0,0,0,0,0,3,6,3,0,0,0,16,166,35,3,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,10,0,0,0,0,14,7,0,0,0,0,13,2349,545,174,69,43,3186,0,0,0,0,0,0,7,5,0,0,0,10,191,11,0,0,0,205,884,210,25,0,0,1126,675,195,98,50,22,1033,54,10,4,0,6,72,1815,432,125,57
505,75,16,6,1836,1042,350,227,83,42,1743,95,31,16,4,4,146,2723,736,330,112,60,3951,0,0,0,0,0,0,27,0,0,0,0,29,392,24,7,0,0,419,932,360,59,15,6,1367,82,37,52,21,18,207,47,21,4,0,0,78,1482,433,117,39,30,2100,0,0,0,0,0,0,24,0,0,0,0,24,212,19,0,0,0,229,47,32,5,0,0,86,0,0,0,4,0,4,16,9,3,0,0,23,291,51,9,7,4,362,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,8,3,0,0,0,9,8,5,3,0,0,20,4518,1232,451,156,90,6448,0,0,0,0,0,0,19,5,0,0,0,19,185,18,0,0,0,208,1547,404,53,7,0,2015,1067,349,198,65,32,1710,57,18,10,0,0,85,2875,790,266,71
506,127,41,21,2443,1108,486,393,198,125,2310,151,39,24,14,14,237,3368,1056,555,254,167,5403,5,0,0,0,0,0,25,4,0,3,0,30,340,26,0,0,0,371,617,356,64,21,0,1055,113,91,111,57,31,404,56,20,10,3,3,90,1156,495,187,83,35,1959,0,0,0,0,0,6,56,4,0,0,0,56,303,27,5,0,0,341,92,52,10,0,0,151,7,4,5,0,7,27,21,0,0,0,0,27,478,93,28,5,5,610,3,0,0,0,0,3,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,5,4,3,0,0,0,9,0,0,0,0,0,0,15,6,5,0,0,24,19,14,7,0,0,41,5034,1661,776,344,217,8022,0,0,0,0,0,6,24,5,3,0,0,32,338,28,0,0,0,369,1790,569,89,18,0,2466,1194,530,372,174,87,2361,90,24,13,8,3,138,3440,1160,480,200
507,36,4,5,1438,983,342,237,87,30,1674,87,24,13,7,0,130,2437,668,289,98,30,3525,0,0,0,0,0,0,24,0,0,0,0,23,240,15,4,0,0,254,344,91,14,0,0,447,29,24,32,3,3,93,17,0,0,0,0,23,649,136,52,6,4,847,0,0,0,0,0,0,17,0,0,0,0,17,197,9,0,0,0,208,38,10,3,0,0,53,5,3,0,0,0,3,8,0,0,0,0,9,263,25,3,4,0,289,0,0,0,0,0,0,6,0,0,0,0,6,9,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,20,0,0,0,0,19,11,3,0,0,0,16,3378,827,340,107,43,4694,6,0,0,0,0,4,22,0,3,0,0,28,248,15,0,0,0,264,1191,346,40,7,0,1584,1106,377,219,71,28,1800,77,12,3,0,0,95,2645,757,263,87
509,3,3,13,510,233,47,26,4,6,314,40,12,0,0,0,49,906,143,39,15,21,1115,0,0,0,0,0,0,6,0,0,0,0,6,27,0,0,0,0,28,13,0,0,0,0,19,3,0,0,0,0,3,0,0,0,0,0,3,49,7,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,7,5,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,18,4,0,0,0,22,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,15,10,3,0,0,4,10,990,152,42,14,22,1222,0,0,0,0,0,0,18,0,0,0,0,14,172,7,4,0,0,183,471,75,9,0,0,552,246,55,21,9,3,330,20,3,3,0,0,26,928,139,36,7
510,16,3,0,297,117,65,32,6,3,224,17,9,0,0,0,34,433,148,47,15,8,652,0,0,0,0,0,0,4,0,0,0,0,4,38,0,0,0,0,41,36,6,0,0,3,44,3,3,0,0,0,11,8,0,0,0,0,10,83,11,0,0,3,96,0,0,0,0,0,3,10,0,0,0,0,10,42,4,0,0,0,46,11,4,0,0,0,14,7,0,0,0,0,7,0,0,0,0,0,0,68,6,0,0,0,77,10,0,0,0,0,10,9,3,0,0,0,11,11,0,0,0,0,11,4,0,0,0,0,3,0,0,0,0,0,0,4,3,0,0,4,5,36,4,0,0,4,44,8,4,0,0,0,11,616,178,57,15,15,880,0,0,0,0,0,0,16,0,0,0,0,19,63,6,0,0,0,65,220,57,9,0,0,290,100,58,19,8,5,189,13,9,3,0,4,28,417,129,34,7
511,3,4,0,502,240,49,34,3,3,330,37,8,0,0,0,46,820,137,45,7,5,1018,0,0,0,0,0,0,8,0,0,0,0,4,60,0,0,0,0,62,57,16,0,0,0,72,7,0,4,0,0,14,5,0,0,0,0,5,124,18,9,0,0,152,0,0,0,0,0,0,8,0,0,0,0,6,14,6,0,0,0,20,15,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,33,6,0,6,0,41,10,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,3,4,0,0,0,8,7,0,0,0,0,7,27,0,0,0,0,25,3,0,0,0,0,6,1010,170,52,12,5,1247,5,0,0,0,0,5,19,0,0,0,0,19,104,7,0,0,0,107,394,64,7,4,0,474,247,60,18,10,6,339,25,11,0,0,0,39,788,143,29,15
