SA4_CODE_2021,C21_CFNC_BPT_2000_2499,C21_CFNC_BPT_2500_2999,C21_CFNC_BPT_3000_3999,C21_CFNC_BPT_4000more,C21_CFNC_BPT_Ns,C21_CFNC_BPT_Tot,C21_CFNC_1F1P_Neg_ni_inc,C21_CFNC_1F1P_1_149,C21_CFNC_1F1P_150_399,C21_CFNC_1F1P_400_649,C21_CFNC_1F1P_650_799,C21_CFNC_1F1P_800_1249,C21_CFNC_1F1P_1250_1999,C21_CFNC_1F1P_2000_2499,C21_CFNC_1F1P_2500_2999,C21_CFNC_1F1P_3000_3999,C21_CFNC_1F1P_4000more,C21_CFNC_1F1P_Ns,C21_CFNC_1F1P_Tot,C21_CFNC_1E1A_Neg_ni_inc,C21_CFNC_1E1A_1_149,C21_CFNC_1E1A_150_399,C21_CFNC_1E1A_400_649,C21_CFNC_1E1A_650_799,C21_CFNC_1E1A_800_1249,C21_CFNC_1E1A_1250_1999,C21_CFNC_1E1A_2000_2499,C21_CFNC_1E1A_2500_2999,C21_CFNC_1E1A_3000_3999,C21_CFNC_1E1A_4000more,C21_CFNC_1E1A_Ns,C21_CFNC_1E1A_Tot,C21_CFNC_1F1NW_Neg_ni_inc,C21_CFNC_1F1NW_1_149,C21_CFNC_1F1NW_150_399,C21_CFNC_1F1NW_400_649,C21_CFNC_1F1NW_650_799,C21_CFNC_1F1NW_800_1249,C21_CFNC_1F1NW_1250_1999,C21_CFNC_1F1NW_2000_2499,C21_CFNC_1F1NW_2500_2999,C21_CFNC_1F1NW_3000_3999,C21_CFNC_1F1NW_4000more,C21_CFNC_1F1NW_Ns,C21_CFNC_1F1NW_Tot,C21_CFNC_1P1NW_Neg_ni_inc,C21_CFNC_1P1NW_1_149,C21_CFNC_1P1NW_150_399,C21_CFNC_1P1NW_400_649,C21_CFNC_1P1NW_650_799,C21_CFNC_1P1NW_800_1249,C21_CFNC_1P1NW_1250_1999,C21_CFNC_1P1NW_2000_2499,C21_CFNC_1P1NW_2500_2999,C21_CFNC_1P1NW_3000_3999,C21_CFNC_1P1NW_4000more,C21_CFNC_1P1NW_Ns,C21_CFNC_1P1NW_Tot,C21_CFNC_1A1NW_Neg_ni_inc,C21_CFNC_1A1NW_1_149,C21_CFNC_1A1NW_150_399,C21_CFNC_1A1NW_400_649,C21_CFNC_1A1NW_650_799,C21_CFNC_1A1NW_800_1249,C21_CFNC_1A1NW_1250_1999,C21_CFNC_1A1NW_2000_2499,C21_CFNC_1A1NW_2500_2999,C21_CFNC_1A1NW_3000_3999,C21_CFNC_1A1NW_4000more,C21_CFNC_1A1NW_Ns,C21_CFNC_1A1NW_Tot,C21_CFNC_BA_Neg_ni_inc,C21_CFNC_BA_1_149,C21_CFNC_BA_150_399,C21_CFNC_BA_400_649,C21_CFNC_BA_650_799,C21_CFNC_BA_800_1249,C21_CFNC_BA_1250_1999,C21_CFNC_BA_2000_2499,C21_CFNC_BA_2500_2999,C21_CFNC_BA_3000_3999,C21_CFNC_BA_4000more,C21_CFNC_BA_Ns,C21_CFNC_BA_Tot,C21_CFNC_BNW_Neg_ni_inc,C21_CFNC_BNW_1_149,C21_CFNC_BNW_150_399,C21_CFNC_BNW_400_649,C21_CFNC_BNW_650_799,C21_CFNC_BNW_800_1249,C21_CFNC_BNW_1250_1999,C21_CFNC_BNW_2000_2499,C21_CFNC_BNW_2500_2999,C21_CFNC_BNW_3000_3999,C21_CFNC_BNW_4000more,C21_CFNC_BNW_Ns,C21_CFNC_BNW_Tot,C21_CFNC_LFns_Neg_ni_inc,C21_CFNC_LFns_1_149,C21_CFNC_LFns_150_399,C21_CFNC_LFns_400_649,C21_CFNC_LFns_650_799,C21_CFNC_LFns_800_1249,C21_CFNC_LFns_1250_1999,C21_CFNC_LFns_2000_2499,C21_CFNC_LFns_2500_2999,C21_CFNC_LFns_3000_3999,C21_CFNC_LFns_4000more,C21_CFNC_LFns_Ns,C21_CFNC_LFns_Tot,C21_CFNC_Tot_Neg_ni_inc,C21_CFNC_Tot_1_149,C21_CFNC_Tot_150_399,C21_CFNC_Tot_400_649,C21_CFNC_Tot_650_799,C21_CFNC_Tot_800_1249,C21_CFNC_Tot_1250_1999,C21_CFNC_Tot_2000_2499,C21_CFNC_Tot_2500_2999,C21_CFNC_Tot_3000_3999,C21_CFNC_Tot_4000more,C21_CFNC_Tot_Ns,C21_CFNC_Tot_Tot,C21_CF_BFT_Neg_ni_inc,C21_CF_BFT_1_149,C21_CF_BFT_150_399,C21_CF_BFT_400_649,C21_CF_BFT_650_799,C21_CF_BFT_800_1249,C21_CF_BFT_1250_1999,C21_CF_BFT_2000_2499,C21_CF_BFT_2500_2999,C21_CF_BFT_3000_3999,C21_CF_BFT_4000more,C21_CF_BFT_Ns,C21_CF_BFT_Tot,C21_CF_BPT_Neg_ni_inc,C21_CF_BPT_1_149,C21_CF_BPT_150_399,C21_CF_BPT_400_649,C21_CF_BPT_650_799,C21_CF_BPT_800_1249,C21_CF_BPT_1250_1999,C21_CF_BPT_2000_2499,C21_CF_BPT_2500_2999,C21_CF_BPT_3000_3999,C21_CF_BPT_4000more,C21_CF_BPT_Ns,C21_CF_BPT_Tot,C21_CF_1F1P_Neg_ni_inc,C21_CF_1F1P_1_149,C21_CF_1F1P_150_399,C21_CF_1F1P_400_649,C21_CF_1F1P_650_799,C21_CF_1F1P_800_1249,C21_CF_1F1P_1250_1999,C21_CF_1F1P_2000_2499,C21_CF_1F1P_2500_2999,C21_CF_1F1P_3000_3999,C21_CF_1F1P_4000more,C21_CF_1F1P_Ns,C21_CF_1F1P_Tot,C21_CF_1E1A_Neg_ni_inc,C21_CF_1E1A_1_149,C21_CF_1E1A_150_399,C21_CF_1E1A_400_649,C21_CF_1E1A_650_799,C21_CF_1E1A_800_1249,C21_CF_1E1A_1250_1999,C21_CF_1E1A_2000_2499,C21_CF_1E1A_2500_2999,C21_CF_1E1A_3000_3999,C21_CF_1E1A_4000more,C21_CF_1E1A_Ns,C21_CF_1E1A_Tot,C21_CF_1F1NW_Neg_ni_inc,C21_CF_1F1NW_1_149,C21_CF_1F1NW_150_399,C21_CF_1F1NW_400_649,C21_CF_1F1NW_650_799,C21_CF_1F1NW_800_1249,C21_CF_1F1NW_1250_1999,C21_CF_1F1NW_2000_2499,C21_CF_1F1NW_2500_2999,C21_CF_1F1NW_3000_3999,C21_CF_1F1NW_4000more,C21_CF_1F1NW_Ns,C21_CF_1F1NW_Tot,C21_CF_1P1NW_Neg_ni_inc,C21_CF_1P1NW_1_149,C21_CF_1P1NW_150_399,C21_CF_1P1NW_400_649,C21_CF_1P1NW_650_799,C21_CF_1P1NW_800_1249,C21_CF_1P1NW_1250_1999,C21_CF_1P1NW_2000_2499,C21_CF_1P1NW_2500_2999,C21_CF_1P1NW_3000_3999,C21_CF_1P1NW_4000more,C21_CF_1P1NW_Ns
501,169,83,73,87,18,1184,7,0,3,22,16,127,894,698,625,533,323,27,3278,0,0,3,9,8,39,117,117,93,140,83,15,628,4,3,9,34,47,278,622,387,116,148,178,30,1845,3,20,50,181,218,510,433,104,45,34,55,19,1665,8,0,7,19,36,67,75,54,21,21,20,13,336,0,0,0,3,8,19,52,36,33,35,29,10,229,328,146,195,808,2254,2211,1417,293,122,119,98,184,8176,7,4,6,20,36,35,26,14,3,3,5,1684,1831,378,201,270,1141,2683,3623,4446,2598,1767,2014,1549,2032,22712,8,4,0,7,11,44,215,413,551,1048,1031,336,3673,4,0,0,7,17,82,255,155,115,119,89,72,917,6,0,0,6,16,136,1093,1193,1291,1507,973,380,6590,6,0,0,3,4,39,143,172,186,258,257,81,1143,8,0,3,16,22,261,936,672,242,326,316,155,2961,6,3,10,35,46,163,263,98,52,55,40,59
502,66,39,24,25,4,441,0,0,0,0,3,55,353,296,272,245,165,17,1410,0,0,0,0,0,18,47,49,49,66,51,9,289,3,0,0,16,20,138,375,269,75,97,134,14,1148,3,12,21,92,109,306,194,66,22,22,36,10,901,0,5,3,14,8,36,45,38,11,19,26,5,211,0,0,0,0,0,8,3,12,17,15,18,13,97,272,97,141,576,1908,1914,1115,196,79,83,90,188,6651,0,3,0,10,13,17,11,0,0,4,8,1124,1204,286,122,175,728,2081,2621,2425,1255,847,1015,896,1403,13868,5,0,0,0,0,7,64,175,212,549,679,127,1819,0,0,0,3,4,42,108,67,58,52,53,24,408,0,0,0,3,3,37,363,458,519,694,580,151,2815,0,0,0,0,0,17,64,80,108,135,140,34,580,0,0,0,0,7,153,489,376,133,223,234,94,1717,0,0,4,21,30,105,148,58,46,45,26,33
503,157,109,121,272,7,1319,0,0,0,0,9,77,590,483,476,518,942,17,3119,0,0,0,5,9,24,52,40,50,79,185,23,475,4,0,3,11,18,135,415,303,128,238,727,26,2016,3,19,36,93,98,258,355,163,140,158,338,21,1687,4,0,3,6,7,28,34,21,14,24,37,11,194,0,0,0,0,0,4,12,11,8,19,42,24,114,277,91,93,317,535,937,1147,453,292,308,503,102,5051,3,0,0,6,5,3,11,10,0,0,3,1222,1273,307,111,139,454,718,1721,3178,2223,1889,2791,5455,1469,20459,0,0,4,0,0,13,71,152,198,632,3161,194,4427,0,6,0,10,7,54,130,80,84,148,391,44,943,3,0,0,0,14,37,277,353,515,1060,3981,261,6512,0,0,0,0,0,9,33,39,76,207,543,34,941,8,3,3,20,12,107,383,428,152,374,1929,116,3532,0,4,11,22,27,90,137,89,50,91,227,54
504,174,99,84,56,11,1163,5,0,0,9,12,143,1099,930,708,728,453,36,4117,5,0,0,7,6,23,117,136,105,174,148,34,754,3,0,10,39,73,459,912,543,186,203,268,45,2740,8,23,49,183,211,568,463,131,60,48,43,23,1810,5,0,7,14,23,36,77,51,23,16,25,19,293,0,0,0,0,4,9,21,22,40,54,39,24,211,486,155,161,760,2162,1983,1231,231,113,103,95,185,7674,5,0,4,10,20,15,21,6,0,8,0,1982,2086,526,188,234,1060,2566,3507,4870,3483,2612,3355,2567,2392,27357,5,0,0,3,6,35,383,879,1075,2039,2459,387,7274,0,3,4,9,28,133,390,222,171,212,147,62,1383,4,0,0,10,13,166,1612,1809,1923,2363,2063,359,10327,0,0,4,4,5,42,240,287,296,468,409,103,1862,9,0,0,41,58,586,1785,1185,446,688,815,228,5842,0,0,32,62,101,331,451,214,117,103,105,86
505,434,246,215,217,21,2777,6,3,0,23,20,251,2075,1773,1549,1540,1108,55,8403,0,0,0,12,14,61,241,245,260,360,292,62,1553,3,7,18,46,126,734,1634,1008,329,499,672,50,5122,26,39,130,360,429,1124,1104,320,141,141,201,55,4059,13,9,21,35,40,98,164,100,38,46,52,37,637,3,0,0,7,7,7,49,52,39,83,87,59,389,1057,349,416,1727,4141,4965,3357,749,325,289,299,400,18084,18,3,3,12,49,40,50,18,10,15,8,3804,4034,1148,419,596,2296,4939,7829,10419,6927,5347,6864,6318,4616,57730,17,0,6,8,13,68,591,1401,1872,4194,6954,881,16010,3,0,5,19,44,246,821,525,406,509,488,176,3232,10,0,3,14,42,299,2970,3501,4144,6166,6892,948,24990,0,0,0,7,7,64,392,482,613,1061,1148,227,4002,12,3,14,50,137,965,2951,2190,866,1481,2631,410,11710,11,15,51,183,184,581,851,400,252,302,282,206
506,319,172,185,130,23,2422,5,3,4,15,36,251,2202,1679,1306,1131,824,50,7504,3,0,6,9,13,58,224,215,205,253,219,50,1247,22,5,8,53,121,849,1852,1009,307,417,587,60,5294,17,38,125,376,411,1016,903,282,138,115,159,39,3624,8,5,12,34,33,84,163,79,26,38,43,35,549,9,0,0,4,5,24,52,55,66,80,59,40,385,1144,341,378,1404,3788,3778,2450,504,238,217,209,340,14788,21,3,0,14,58,55,35,17,9,12,9,3305,3527,1230,401,554,1978,4579,6700,9624,6366,4636,5570,4819,4008,50463,10,0,4,7,12,65,655,1627,2014,3778,4946,613,13735,0,0,3,20,43,296,736,433,351,389,354,108,2735,9,6,9,20,24,298,2963,3173,3343,4228,4038,624,18717,0,0,0,10,7,69,403,467,530,805,709,174,3176,13,6,24,67,176,1419,3955,2602,882,1420,1922,400,12870,7,5,56,212,211,736,935,407,178,237,235,172
507,256,180,187,166,6,1812,4,0,0,10,24,166,1501,1276,1183,1186,942,47,6345,0,0,0,8,6,49,188,196,227,280,256,54,1255,5,4,5,47,91,574,1338,918,292,416,600,59,4350,13,25,92,252,312,827,806,316,124,141,178,34,3127,0,5,7,14,34,89,118,103,34,47,51,21,523,0,0,0,0,0,14,40,24,43,81,63,20,293,789,309,352,1301,3309,3672,2631,592,238,269,268,304,14032,9,0,6,13,32,22,38,13,8,6,9,3158,3309,841,350,465,1707,3881,5792,7817,5220,3963,5406,5057,3751,44251,3,0,0,11,9,50,351,1009,1366,3171,5044,640,11651,4,3,9,15,31,151,448,343,293,344,351,97,2081,12,4,4,7,24,176,1932,2435,3096,4344,4780,602,17413,3,0,0,11,5,36,281,410,473,788,893,162,3065,3,4,6,35,57,598,2489,1964,758,1223,1979,354,9483,3,4,26,89,130,381,596,324,162,219,253,124
509,128,68,68,70,14,1012,3,4,10,20,41,154,706,517,384,363,257,30,2493,3,0,4,3,8,24,95,105,87,86,59,10,492,6,5,5,33,60,350,471,261,82,104,110,29,1515,0,10,41,121,191,414,295,84,46,32,32,23,1302,8,3,5,14,18,66,66,39,15,18,17,11,269,3,0,0,3,3,24,43,40,22,23,22,26,216,229,121,132,561,1760,1388,856,169,79,77,93,182,5655,8,0,0,10,40,28,21,10,0,10,3,1290,1423,304,154,210,848,2206,2820,3338,1972,1320,1415,1146,1668,17399,10,5,0,9,10,58,204,324,403,624,595,403,2648,0,0,6,3,3,64,171,89,72,68,40,48,574,8,3,4,20,27,138,856,722,686,732,495,403,4107,0,0,0,8,0,17,117,110,109,135,103,69,675,4,0,8,19,34,210,686,361,146,176,191,116,1956,0,3,8,21,44,121,157,61,26,35,27,43
510,22,28,32,19,0,170,0,0,0,3,7,15,83,119,154,211,193,11,795,0,0,0,0,0,7,13,22,27,71,99,9,251,0,0,3,10,12,58,132,107,48,90,98,8,569,0,0,7,25,23,37,32,16,13,4,15,0,177,0,0,0,0,7,10,16,14,5,18,14,7,81,0,0,0,0,0,3,9,8,10,22,33,15,105,51,16,18,168,145,134,72,22,9,15,11,33,699,6,0,0,0,0,3,5,4,0,0,0,675,697,61,18,33,224,197,301,498,625,663,1272,1404,785,6087,3,0,0,0,0,6,45,146,222,611,1106,165,2301,0,0,0,4,0,18,44,28,30,44,57,19,244,0,0,0,5,5,15,138,212,377,570,707,84,2110,0,0,0,0,5,9,26,66,67,166,227,43,597,0,0,3,9,10,65,219,278,86,221,343,65,1304,0,0,0,26,20,48,50,37,17,15,21,16
511,74,40,45,34,10,507,3,0,3,10,14,69,411,357,311,309,211,30,1735,6,0,0,3,4,8,62,44,70,93,71,19,386,3,3,5,17,34,182,395,253,62,109,117,14,1189,5,9,19,94,80,201,169,55,22,20,14,12,705,0,4,0,12,14,19,40,26,8,11,11,9,155,0,0,0,0,3,10,26,21,24,22,22,17,145,161,65,68,331,952,727,467,91,53,53,49,124,3143,4,0,0,7,12,15,9,0,0,9,3,1094,1159,204,82,102,499,1152,1416,2022,1456,1113,1475,1285,1363,12164,0,0,0,8,4,21,117,236,306,732,913,247,2593,7,0,0,5,3,36,80,62,67,48,55,29,384,9,4,3,3,10,37,452,541,630,745,595,206,3233,0,0,0,0,0,12,69,92,95,165,156,48,640,6,0,4,8,15,123,477,425,135,254,237,87,1758,5,5,3,25,23,63,119,58,29,26,25,24
