POW_LGA_CODE_2021,OM_IEs_45_49_HW_0,OM_IEs_45_49_HW_1_19,OM_IEs_45_49_HW_20_29,OM_IEs_45_49_HW_30_34,OM_IEs_45_49_HW_35_39,OM_IEs_45_49_HW_40_44,OM_IEs_45_49_HW_45_49,OM_IEs_45_49_HW_50mor,OM_IEs_45_49_HW_NS,OM_IEs_45_49_Tot,OM_IEs_50_54_HW_0,OM_IEs_50_54_HW_1_19,OM_IEs_50_54_HW_20_29,OM_IEs_50_54_HW_30_34,OM_IEs_50_54_HW_35_39,OM_IEs_50_54_HW_40_44,OM_IEs_50_54_HW_45_49,OM_IEs_50_54_HW_50mor,OM_IEs_50_54_HW_NS,OM_IEs_50_54_Tot,OM_IEs_55_59_HW_0,OM_IEs_55_59_HW_1_19,OM_IEs_55_59_HW_20_29,OM_IEs_55_59_HW_30_34,OM_IEs_55_59_HW_35_39,OM_IEs_55_59_HW_40_44,OM_IEs_55_59_HW_45_49,OM_IEs_55_59_HW_50mor,OM_IEs_55_59_HW_NS,OM_IEs_55_59_Tot,OM_IEs_60_64_HW_0,OM_IEs_60_64_HW_1_19,OM_IEs_60_64_HW_20_29,OM_IEs_60_64_HW_30_34,OM_IEs_60_64_HW_35_39,OM_IEs_60_64_HW_40_44,OM_IEs_60_64_HW_45_49,OM_IEs_60_64_HW_50mor,OM_IEs_60_64_HW_NS,OM_IEs_60_64_Tot,OM_IEs_65_69_HW_0,OM_IEs_65_69_HW_1_19,OM_IEs_65_69_HW_20_29,OM_IEs_65_69_HW_30_34,OM_IEs_65_69_HW_35_39,OM_IEs_65_69_HW_40_44,OM_IEs_65_69_HW_45_49,OM_IEs_65_69_HW_50mor,OM_IEs_65_69_HW_NS,OM_IEs_65_69_Tot,OM_IEs_70_74_HW_0,OM_IEs_70_74_HW_1_19,OM_IEs_70_74_HW_20_29,OM_IEs_70_74_HW_30_34,OM_IEs_70_74_HW_35_39,OM_IEs_70_74_HW_40_44,OM_IEs_70_74_HW_45_49,OM_IEs_70_74_HW_50mor,OM_IEs_70_74_HW_NS,OM_IEs_70_74_Tot,OM_IEs_75ov_HW_0,OM_IEs_75ov_HW_1_19,OM_IEs_75ov_HW_20_29,OM_IEs_75ov_HW_30_34,OM_IEs_75ov_HW_35_39,OM_IEs_75ov_HW_40_44,OM_IEs_75ov_HW_45_49,OM_IEs_75ov_HW_50mor,OM_IEs_75ov_HW_NS,OM_IEs_75ov_Tot,OM_IEs_Tot_HW_0,OM_IEs_Tot_HW_1_19,OM_IEs_Tot_HW_20_29,OM_IEs_Tot_HW_30_34,OM_IEs_Tot_HW_35_39,OM_IEs_Tot_HW_40_44,OM_IEs_Tot_HW_45_49,OM_IEs_Tot_HW_50mor,OM_IEs_Tot_HW_NS,OM_IEs_Tot_Tot,OM_UIE_15_19_HW_0,OM_UIE_15_19_HW_1_19,OM_UIE_15_19_HW_20_29,OM_UIE_15_19_HW_30_34,OM_UIE_15_19_HW_35_39,OM_UIE_15_19_HW_40_44,OM_UIE_15_19_HW_45_49,OM_UIE_15_19_HW_50mor,OM_UIE_15_19_HW_NS,OM_UIE_15_19_Tot,OM_UIE_20_24_HW_0,OM_UIE_20_24_HW_1_19,OM_UIE_20_24_HW_20_29,OM_UIE_20_24_HW_30_34,OM_UIE_20_24_HW_35_39,OM_UIE_20_24_HW_40_44,OM_UIE_20_24_HW_45_49,OM_UIE_20_24_HW_50mor,OM_UIE_20_24_HW_NS,OM_UIE_20_24_Tot,OM_UIE_25_29_HW_0,OM_UIE_25_29_HW_1_19,OM_UIE_25_29_HW_20_29,OM_UIE_25_29_HW_30_34,OM_UIE_25_29_HW_35_39,OM_UIE_25_29_HW_40_44,OM_UIE_25_29_HW_45_49,OM_UIE_25_29_HW_50mor,OM_UIE_25_29_HW_NS,OM_UIE_25_29_Tot,OM_UIE_30_34_HW_0,OM_UIE_30_34_HW_1_19,OM_UIE_30_34_HW_20_29,OM_UIE_30_34_HW_30_34,OM_UIE_30_34_HW_35_39,OM_UIE_30_34_HW_40_44,OM_UIE_30_34_HW_45_49,OM_UIE_30_34_HW_50mor,OM_UIE_30_34_HW_NS,OM_UIE_30_34_Tot,OM_UIE_35_39_HW_0,OM_UIE_35_39_HW_1_19,OM_UIE_35_39_HW_20_29,OM_UIE_35_39_HW_30_34,OM_UIE_35_39_HW_35_39,OM_UIE_35_39_HW_40_44,OM_UIE_35_39_HW_45_49,OM_UIE_35_39_HW_50mor,OM_UIE_35_39_HW_NS,OM_UIE_35_39_Tot,OM_UIE_40_44_HW_0,OM_UIE_40_44_HW_1_19,OM_UIE_40_44_HW_20_29,OM_UIE_40_44_HW_30_34,OM_UIE_40_44_HW_35_39,OM_UIE_40_44_HW_40_44,OM_UIE_40_44_HW_45_49,OM_UIE_40_44_HW_50mor,OM_UIE_40_44_HW_NS,OM_UIE_40_44_Tot,OM_UIE_45_49_HW_0,OM_UIE_45_49_HW_1_19,OM_UIE_45_49_HW_20_29,OM_UIE_45_49_HW_30_34,OM_UIE_45_49_HW_35_39,OM_UIE_45_49_HW_40_44,OM_UIE_45_49_HW_45_49,OM_UIE_45_49_HW_50mor,OM_UIE_45_49_HW_NS,OM_UIE_45_49_Tot,OM_UIE_50_54_HW_0,OM_UIE_50_54_HW_1_19,OM_UIE_50_54_HW_20_29,OM_UIE_50_54_HW_30_34,OM_UIE_50_54_HW_35_39,OM_UIE_50_54_HW_40_44,OM_UIE_50_54_HW_45_49,OM_UIE_50_54_HW_50mor,OM_UIE_50_54_HW_NS,OM_UIE_50_54_Tot,OM_UIE_55_59_HW_0,OM_UIE_55_59_HW_1_19,OM_UIE_55_59_HW_20_29,OM_UIE_55_59_HW_30_34,OM_UIE_55_59_HW_35_39,OM_UIE_55_59_HW_40_44,OM_UIE_55_59_HW_45_49,OM_UIE_55_59_HW_50mor,OM_UIE_55_59_HW_NS,OM_UIE_55_59_Tot,OM_UIE_60_64_HW_0,OM_UIE_60_64_HW_1_19,OM_UIE_60_64_HW_20_29,OM_UIE_60_64_HW_30_34,OM_UIE_60_64_HW_35_39,OM_UIE_60_64_HW_40_44,OM_UIE_60_64_HW_45_49,OM_UIE_60_64_HW_50mor,OM_UIE_60_64_HW_NS,OM_UIE_60_64_Tot,OM_UIE_65_69_HW_0,OM_UIE_65_69_HW_1_19,OM_UIE_65_69_HW_20_29,OM_UIE_65_69_HW_30_34,OM_UIE_65_69_HW_35_39,OM_UIE_65_69_HW_40_44,OM_UIE_65_69_HW_45_49,OM_UIE_65_69_HW_50mor,OM_UIE_65_69_HW_NS,OM_UIE_65_69_Tot,OM_UIE_70_74_HW_0,OM_UIE_70_74_HW_1_19,OM_UIE_70_74_HW_20_29,OM_UIE_70_74_HW_30_34,OM_UIE_70_74_HW_35_39,OM_UIE_70_74_HW_40_44,OM_UIE_70_74_HW_45_49,OM_UIE_70_74_HW_50mor,OM_UIE_70_74_HW_NS,OM_UIE_70_74_Tot
LGA50080,4,5,11,5,6,23,20,33,0,116,3,6,9,4,10,28,6,38,0,109,0,5,10,5,7,32,7,54,3,130,9,13,13,4,10,18,4,34,0,101,4,17,8,3,9,11,10,15,0,78,0,4,7,3,6,4,3,5,0,31,0,4,0,0,0,0,0,3,0,14,31,88,73,51,83,145,75,283,10,834,0,0,0,0,0,0,0,0,0,0,0,5,0,4,5,0,0,3,0,19,5,11,4,3,5,9,5,19,0,59,5,18,16,10,16,22,8,29,0,115,3,35,19,17,10,20,15,34,4,157,0,18,19,17,9,29,6,31,6,146,4,24,14,19,20,36,16,39,4,182,8,32,19,23,19,39,19,42,7,200,8,29,26,10,14,35,9,55,0,190,15,37,35,20,13,34,15,42,4,209,4,37,23,17,9,19,6,25,5,143,4,20,24,8,5,9,7,8,8,91
LGA50210,3,14,12,25,24,41,15,58,7,198,3,12,16,11,23,38,11,52,3,170,7,14,13,13,10,30,3,38,0,138,4,10,10,8,3,20,13,30,0,106,9,20,15,7,6,8,0,17,0,81,0,5,10,4,5,7,0,4,0,40,0,4,3,5,4,5,0,5,0,20,33,135,154,117,140,296,78,382,20,1366,0,5,3,0,0,0,0,0,0,6,0,19,4,8,13,5,3,5,0,59,6,34,25,9,3,22,9,13,4,128,4,49,35,26,14,38,13,41,0,218,7,47,39,21,24,30,10,42,4,231,0,35,31,23,16,41,8,42,3,214,0,48,31,17,26,39,5,34,0,204,3,41,35,25,22,39,21,40,0,226,6,44,31,21,12,38,13,45,3,215,6,40,25,11,11,22,0,29,0,152,12,24,19,8,10,11,7,14,0,100,3,23,7,5,0,4,0,3,0,55
LGA50250,0,0,0,0,0,4,0,6,0,13,4,0,0,0,0,4,0,13,0,23,0,0,0,0,0,0,0,22,0,19,0,0,0,0,0,0,0,13,0,14,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,6,6,0,0,12,21,6,104,5,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,5,3,6,0,0,0,0,0,9,0,29,0,12,0,3,0,0,0,9,0,21,0,3,0,4,0,3,0,5,0,16,3,0,0,0,3,3,0,4,0,20,0,0,0,0,0,0,0,4,0,9,3,0,0,0,0,3,0,9,0,17,0,0,0,5,0,3,0,4,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5
LGA50280,0,4,4,4,8,19,8,27,0,74,3,4,5,7,4,16,7,22,3,72,4,9,0,6,8,10,3,21,0,63,0,12,9,3,5,10,0,24,0,70,6,5,5,10,3,9,4,8,0,49,0,5,3,0,0,4,0,11,0,23,0,3,0,0,0,3,0,4,0,16,14,58,53,60,47,105,43,176,7,560,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,12,0,10,11,9,0,7,0,11,0,45,5,19,17,8,5,6,4,5,0,72,4,36,21,5,10,20,7,15,3,118,8,30,31,13,17,24,9,20,0,154,4,21,19,10,10,22,6,30,0,138,9,16,20,13,5,24,12,17,0,128,4,30,15,9,12,18,5,25,5,123,8,34,28,14,12,12,5,15,0,129,8,31,7,6,7,7,0,9,0,76,3,10,8,6,0,4,0,5,0,48
LGA50350,0,0,9,4,8,11,4,17,0,55,0,9,9,3,3,10,0,27,0,53,4,0,3,6,9,15,0,18,0,48,6,3,4,8,3,9,0,14,0,44,3,7,8,3,3,3,3,6,0,33,0,7,4,0,0,0,0,5,0,14,0,0,3,0,0,0,0,0,0,4,11,27,52,32,49,78,17,117,9,381,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,10,0,6,0,5,3,9,3,3,0,29,0,7,8,7,6,3,0,4,3,39,0,19,11,6,3,8,7,4,0,68,0,17,5,4,0,4,3,3,0,51,0,8,12,9,3,15,3,9,0,64,0,15,4,7,3,14,9,8,0,58,0,10,7,0,11,9,3,10,0,52,0,0,8,7,3,5,0,13,0,43,0,8,0,0,5,4,0,0,0,19,0,4,3,0,0,0,0,0,0,12
LGA50420,0,15,17,18,14,56,26,90,0,235,3,13,21,10,28,54,29,89,4,249,4,14,12,14,19,45,10,75,5,201,5,26,9,8,23,38,9,51,0,174,0,27,16,10,5,26,10,24,0,112,0,10,13,11,4,9,5,11,0,59,0,7,5,3,0,4,0,0,0,31,25,176,147,122,181,388,138,523,20,1725,0,13,4,0,0,0,0,0,0,12,0,24,12,7,4,11,6,0,0,61,6,17,29,15,20,18,5,17,7,127,0,48,36,12,17,21,8,33,5,182,7,46,41,23,32,42,13,38,3,243,3,39,24,19,16,31,12,35,0,174,8,32,24,25,19,38,16,49,0,212,0,42,34,28,21,53,17,47,0,236,0,46,34,31,13,40,17,63,7,247,0,49,39,22,23,31,14,39,5,227,7,39,28,16,5,21,8,15,0,149,0,31,14,4,7,5,3,8,0,74
LGA50490,4,8,10,13,14,35,19,80,0,184,4,12,16,10,19,44,19,79,4,204,11,13,20,16,22,42,12,95,4,232,3,17,20,5,20,42,15,33,5,161,0,7,10,4,4,24,9,28,0,85,0,10,9,3,4,8,0,8,0,39,0,5,7,0,0,7,0,3,0,27,34,115,128,98,166,388,118,538,30,1623,0,4,0,0,0,0,0,0,0,5,4,18,11,3,3,9,0,6,0,50,0,23,15,15,5,25,11,13,8,114,3,26,26,18,14,32,14,30,3,176,3,26,22,16,21,36,13,23,5,169,0,21,23,9,8,31,3,31,4,134,0,20,18,16,22,31,16,28,7,158,0,18,17,17,13,31,11,34,5,150,9,21,15,12,16,22,4,27,4,136,3,25,22,9,12,18,16,23,0,132,0,22,10,8,5,19,7,11,0,87,0,20,9,9,3,3,0,8,0,53
LGA50560,0,4,0,0,0,4,0,3,0,9,0,3,0,0,4,0,0,7,0,7,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,12,0,23,3,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,13,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,3,0,4,0,12,4,0,5,4,0,0,0,3,0,13,4,0,4,3,0,0,0,10,0,20,3,0,4,0,0,0,0,0,0,13
LGA50630,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,10,0,17,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,3,0,14,0,0,0,0,0,3,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
LGA50770,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,5,0,4,0,8,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,11,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,12,0,40,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,4,0,0,0,0,3,0,4,0,0,5,0,0,8,0,0,0,13,0,0,0,0,0,0,6,7,0,10,0,4,0,0,0,6,0,12,0,20,0,0,5,0,0,0,0,9,0,10,0,3,3,0,0,3,0,8,0,25,3,0,0,4,0,6,0,8,0,16,0,0,0,0,0,0,0,7,0,11,0,0,3,0,0,7,0,3,0,14
