POW_LGA_CODE_2021,Tot_65_69_HW_0,Tot_65_69_HW_1_19,Tot_65_69_HW_20_29,Tot_65_69_HW_30_34,Tot_65_69_HW_35_39,Tot_65_69_HW_40_44,Tot_65_69_HW_45_49,Tot_65_69_HW_50mor,Tot_65_69_HW_NS,Tot_65_69_Tot,Tot_70_74_HW_0,Tot_70_74_HW_1_19,Tot_70_74_HW_20_29,Tot_70_74_HW_30_34,Tot_70_74_HW_35_39,Tot_70_74_HW_40_44,Tot_70_74_HW_45_49,Tot_70_74_HW_50mor,Tot_70_74_HW_NS,Tot_70_74_Tot,Tot_75ov_HW_0,Tot_75ov_HW_1_19,Tot_75ov_HW_20_29,Tot_75ov_HW_30_34,Tot_75ov_HW_35_39,Tot_75ov_HW_40_44,Tot_75ov_HW_45_49,Tot_75ov_HW_50mor,Tot_75ov_HW_NS,Tot_75ov_Tot,Tot_Tot_HW_0,Tot_Tot_HW_1_19,Tot_Tot_HW_20_29,Tot_Tot_HW_30_34,Tot_Tot_HW_35_39,Tot_Tot_HW_40_44,Tot_Tot_HW_45_49,Tot_Tot_HW_50mor,Tot_Tot_HW_NS,Tot_Tot_Tot
LGA50080,49,188,106,73,88,87,31,75,10,715,26,129,52,21,22,27,20,40,9,337,23,66,24,15,5,24,6,13,12,170,818,2773,2176,1562,2900,2866,1010,1859,270,16248
LGA50210,45,160,112,62,92,93,27,64,5,665,11,99,36,22,24,28,5,18,0,244,4,39,22,12,5,12,0,11,3,103,844,3885,2983,2045,3869,3736,1162,2303,365,21189
LGA50250,57,5,9,0,13,14,11,163,4,282,9,3,0,0,0,3,0,22,0,51,0,5,0,0,0,3,0,8,0,20,1726,556,449,224,539,826,895,8193,322,13727
LGA50280,22,100,41,38,30,24,12,44,0,304,11,42,36,12,5,18,4,29,4,172,5,25,7,4,5,7,7,7,8,77,367,1275,1017,662,901,1077,333,747,102,6483
LGA50350,12,43,36,20,42,45,14,27,3,238,4,29,10,5,9,6,3,8,3,89,5,11,9,4,0,0,0,0,0,25,157,771,689,464,1399,1365,528,946,99,6420
LGA50420,32,201,131,78,105,107,36,69,12,770,16,128,65,27,45,28,7,32,0,350,4,60,29,14,8,10,5,8,4,144,703,4078,3088,1875,3978,3825,1266,2423,355,21593
LGA50490,66,187,176,77,198,227,81,153,10,1181,20,119,65,26,55,57,16,33,7,395,12,58,27,9,9,17,3,11,8,154,2146,4594,4332,2791,9330,10823,3698,7493,780,45984
LGA50560,8,8,10,3,0,3,0,7,3,51,5,8,6,6,0,0,0,10,0,29,3,3,3,0,0,4,0,0,0,18,31,67,75,33,50,87,21,105,14,490
LGA50630,8,6,4,3,4,12,3,25,3,70,0,3,0,0,0,3,0,4,0,20,3,5,4,0,0,3,0,0,0,14,272,116,128,43,141,296,204,1144,66,2411
LGA50770,4,7,0,3,0,6,0,9,0,35,0,5,12,4,0,11,0,8,0,31,0,11,9,3,6,6,0,13,0,44,29,96,68,56,41,136,41,190,11,666
LGA50840,7,32,26,12,13,13,3,35,6,143,7,18,10,5,0,10,0,12,0,66,4,7,5,6,6,6,3,7,0,35,119,306,265,130,268,346,119,582,57,2199
LGA50910,0,6,3,0,0,3,0,8,0,36,0,8,4,0,0,0,0,4,0,20,0,4,0,0,6,0,0,3,0,8,18,56,54,33,39,69,29,111,11,421
LGA50980,20,45,35,24,49,38,9,58,3,287,5,25,5,9,7,14,4,11,4,82,0,12,7,0,8,3,0,3,0,29,382,757,667,647,1731,1572,532,1520,191,7995
LGA51080,0,9,3,0,3,6,4,12,0,25,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,4,0,8,23,35,32,11,22,69,39,122,3,361
LGA51120,8,0,5,0,0,3,4,11,0,27,0,6,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,6,19,42,35,23,37,71,42,155,8,432
LGA51190,68,203,142,85,99,102,47,95,10,844,11,106,47,28,16,37,11,32,6,290,7,58,12,5,4,6,5,4,7,100,1221,3529,3022,2190,4864,4726,1682,3316,376,24932
LGA51260,40,224,136,47,71,63,20,57,3,666,13,116,47,19,15,15,6,24,3,266,13,48,18,10,8,10,8,12,6,128,797,3067,2410,1657,2561,2670,876,1680,242,15954
LGA51310,27,150,110,53,71,51,26,39,3,524,7,85,48,18,21,17,3,13,4,212,5,66,15,12,10,13,3,6,5,131,550,2668,2378,1370,2485,2402,641,1342,161,13993
LGA51330,71,327,291,142,354,316,107,208,15,1836,25,197,114,45,66,88,20,66,9,634,17,118,47,16,17,25,11,13,16,273,1850,8112,6602,3889,12859,13519,4497,8757,1005,61088
LGA51400,6,26,27,13,12,16,5,27,0,127,3,17,17,4,4,10,0,5,0,62,0,8,5,0,0,4,0,4,0,30,144,617,428,272,461,546,216,495,63,3240
LGA51470,0,0,3,0,4,0,0,9,0,22,0,0,4,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,5,17,23,27,15,31,53,21,100,5,287
LGA51540,7,8,16,6,15,23,12,32,3,112,0,13,10,5,3,3,7,10,0,55,0,5,5,0,0,0,0,5,3,18,113,230,227,165,463,460,154,525,71,2420
LGA51610,0,0,4,0,4,0,4,5,0,15,0,7,4,0,3,0,3,5,0,17,0,0,0,0,0,3,0,3,0,12,13,45,31,14,26,57,26,99,0,323
LGA51680,0,12,20,3,11,8,3,17,0,75,0,7,13,0,0,3,0,10,0,38,5,5,6,0,0,3,0,11,0,38,73,228,190,99,225,248,133,321,39,1549
LGA51710,0,9,5,0,16,13,4,9,8,63,3,8,0,0,11,4,0,4,0,29,0,0,0,0,0,0,0,0,0,0,32,102,41,31,224,180,64,159,28,854
LGA51750,12,76,45,34,38,23,5,26,0,259,5,51,22,9,12,12,0,15,3,136,5,33,20,16,3,7,0,8,4,94,216,1713,1181,622,1046,980,332,679,75,6847
LGA51820,62,290,196,97,208,231,72,161,20,1342,20,136,65,42,56,57,16,44,7,427,6,76,35,15,13,31,0,15,6,192,1651,6910,5391,3342,9276,11492,3625,7615,743,50040
LGA51860,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,43,15,16,42,37,10,59,0,230
LGA51890,8,30,20,6,17,29,9,22,3,150,4,13,9,0,0,3,0,0,0,31,0,3,0,4,0,5,0,9,3,29,289,527,433,245,612,1328,436,800,115,4774
LGA51960,3,3,0,0,9,4,4,27,0,59,0,6,3,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,4,165,143,113,60,149,232,163,1285,69,2385
LGA52030,0,3,4,4,4,0,0,11,0,29,0,0,5,0,0,5,0,4,0,17,0,3,4,0,0,0,0,5,0,18,16,45,45,36,27,47,13,133,0,361
