POW_LGA_CODE_2021,F_EWFT_25_29_OM_UIE,F_EWFT_25_29_CFW,F_EWFT_25_29_ES_NS,F_EWFT_25_29_Tot,F_EWFT_30_34_E,F_EWFT_30_34_OM_IE,F_EWFT_30_34_OM_UIE,F_EWFT_30_34_CFW,F_EWFT_30_34_ES_NS,F_EWFT_30_34_Tot,F_EWFT_35_39_E,F_EWFT_35_39_OM_IE,F_EWFT_35_39_OM_UIE,F_EWFT_35_39_CFW,F_EWFT_35_39_ES_NS,F_EWFT_35_39_Tot,F_EWFT_40_44_E,F_EWFT_40_44_OM_IE,F_EWFT_40_44_OM_UIE,F_EWFT_40_44_CFW,F_EWFT_40_44_ES_NS,F_EWFT_40_44_Tot,F_EWFT_45_49_E,F_EWFT_45_49_OM_IE,F_EWFT_45_49_OM_UIE,F_EWFT_45_49_CFW,F_EWFT_45_49_ES_NS,F_EWFT_45_49_Tot,F_EWFT_50_54_E,F_EWFT_50_54_OM_IE,F_EWFT_50_54_OM_UIE,F_EWFT_50_54_CFW,F_EWFT_50_54_ES_NS,F_EWFT_50_54_Tot,F_EWFT_55_59_E,F_EWFT_55_59_OM_IE,F_EWFT_55_59_OM_UIE,F_EWFT_55_59_CFW,F_EWFT_55_59_ES_NS,F_EWFT_55_59_Tot,F_EWFT_60_64_E,F_EWFT_60_64_OM_IE,F_EWFT_60_64_OM_UIE,F_EWFT_60_64_CFW,F_EWFT_60_64_ES_NS,F_EWFT_60_64_Tot,F_EWFT_65_69_E,F_EWFT_65_69_OM_IE,F_EWFT_65_69_OM_UIE,F_EWFT_65_69_CFW,F_EWFT_65_69_ES_NS,F_EWFT_65_69_Tot,F_EWFT_70_74_E,F_EWFT_70_74_OM_IE,F_EWFT_70_74_OM_UIE,F_EWFT_70_74_CFW,F_EWFT_70_74_ES_NS,F_EWFT_70_74_Tot,F_EWFT_75ov_E,F_EWFT_75ov_OM_IE,F_EWFT_75ov_OM_UIE,F_EWFT_75ov_CFW,F_EWFT_75ov_ES_NS,F_EWFT_75ov_Tot,F_EWFT_Tot_E,F_EWFT_Tot_OM_IE,F_EWFT_Tot_OM_UIE,F_EWFT_Tot_CFW,F_EWFT_Tot_ES_NS,F_EWFT_Tot_Tot,F_EWPT_15_19_E,F_EWPT_15_19_OM_IE,F_EWPT_15_19_OM_UIE,F_EWPT_15_19_CFW,F_EWPT_15_19_ES_NS,F_EWPT_15_19_Tot,F_EWPT_20_24_E,F_EWPT_20_24_OM_IE,F_EWPT_20_24_OM_UIE,F_EWPT_20_24_CFW,F_EWPT_20_24_ES_NS,F_EWPT_20_24_Tot,F_EWPT_25_29_E,F_EWPT_25_29_OM_IE,F_EWPT_25_29_OM_UIE,F_EWPT_25_29_CFW,F_EWPT_25_29_ES_NS,F_EWPT_25_29_Tot,F_EWPT_30_34_E,F_EWPT_30_34_OM_IE,F_EWPT_30_34_OM_UIE,F_EWPT_30_34_CFW,F_EWPT_30_34_ES_NS,F_EWPT_30_34_Tot,F_EWPT_35_39_E,F_EWPT_35_39_OM_IE,F_EWPT_35_39_OM_UIE,F_EWPT_35_39_CFW,F_EWPT_35_39_ES_NS,F_EWPT_35_39_Tot,F_EWPT_40_44_E,F_EWPT_40_44_OM_IE,F_EWPT_40_44_OM_UIE,F_EWPT_40_44_CFW,F_EWPT_40_44_ES_NS,F_EWPT_40_44_Tot,F_EWPT_45_49_E,F_EWPT_45_49_OM_IE,F_EWPT_45_49_OM_UIE,F_EWPT_45_49_CFW,F_EWPT_45_49_ES_NS,F_EWPT_45_49_Tot,F_EWPT_50_54_E,F_EWPT_50_54_OM_IE,F_EWPT_50_54_OM_UIE,F_EWPT_50_54_CFW,F_EWPT_50_54_ES_NS,F_EWPT_50_54_Tot,F_EWPT_55_59_E,F_EWPT_55_59_OM_IE,F_EWPT_55_59_OM_UIE,F_EWPT_55_59_CFW,F_EWPT_55_59_ES_NS,F_EWPT_55_59_Tot,F_EWPT_60_64_E,F_EWPT_60_64_OM_IE,F_EWPT_60_64_OM_UIE,F_EWPT_60_64_CFW,F_EWPT_60_64_ES_NS,F_EWPT_60_64_Tot,F_EWPT_65_69_E,F_EWPT_65_69_OM_IE,F_EWPT_65_69_OM_UIE,F_EWPT_65_69_CFW,F_EWPT_65_69_ES_NS,F_EWPT_65_69_Tot,F_EWPT_70_74_E,F_EWPT_70_74_OM_IE,F_EWPT_70_74_OM_UIE,F_EWPT_70_74_CFW,F_EWPT_70_74_ES_NS,F_EWPT_70_74_Tot,F_EWPT_75ov_E,F_EWPT_75ov_OM_IE,F_EWPT_75ov_OM_UIE,F_EWPT_75ov_CFW,F_EWPT_75ov_ES_NS,F_EWPT_75ov_Tot,F_EWPT_Tot_E,F_EWPT_Tot_OM_IE,F_EWPT_Tot_OM_UIE,F_EWPT_Tot_CFW,F_EWPT_Tot_ES_NS,F_EWPT_Tot_Tot,F_EAFW_E,F_EAFW_OM_IE,F_EAFW_OM_UIE,F_EAFW_CFW,F_EAFW_ES_NS,F_EAFW_Tot,F_H_NS_E,F_H_NS_OM_IE,F_H_NS_OM_UIE,F_H_NS_CFW,F_H_NS_ES_NS,F_H_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_EWFT_15_19_E,P_EWFT_15_19_OM_IE,P_EWFT_15_19_OM_UIE,P_EWFT_15_19_CFW,P_EWFT_15_19_ES_NS,P_EWFT_15_19_Tot,P_EWFT_20_24_E,P_EWFT_20_24_OM_IE,P_EWFT_20_24_OM_UIE,P_EWFT_20_24_CFW,P_EWFT_20_24_ES_NS,P_EWFT_20_24_Tot,P_EWFT_25_29_E,P_EWFT_25_29_OM_IE,P_EWFT_25_29_OM_UIE,P_EWFT_25_29_CFW,P_EWFT_25_29_ES_NS,P_EWFT_25_29_Tot,P_EWFT_30_34_E,P_EWFT_30_34_OM_IE,P_EWFT_30_34_OM_UIE,P_EWFT_30_34_CFW,P_EWFT_30_34_ES_NS,P_EWFT_30_34_Tot,P_EWFT_35_39_E,P_EWFT_35_39_OM_IE,P_EWFT_35_39_OM_UIE,P_EWFT_35_39_CFW
LGA50080,6,0,0,299,234,9,15,0,0,256,258,18,22,0,3,296,313,28,23,0,0,366,406,25,47,8,0,485,429,17,47,7,13,508,330,31,40,10,5,410,227,13,31,9,4,278,69,4,15,11,0,100,10,0,9,0,0,20,3,0,0,0,0,3,2972,145,256,45,23,3435,498,0,0,3,0,505,235,0,5,0,0,243,264,3,14,4,4,289,312,9,33,12,4,363,404,5,41,17,0,468,411,11,40,14,0,472,403,20,48,9,4,482,393,14,41,8,3,455,375,12,37,22,6,454,401,21,41,11,6,484,151,17,37,11,0,215,56,3,22,12,3,100,11,0,7,8,0,37,3915,111,376,134,36,4571,410,11,29,13,10,464,87,3,11,5,13,121,7382,266,670,197,71,8591,328,0,0,0,0,328,665,0,12,0,0,675,681,11,40,3,0,737,682,48,65,4,5,808,665,62,77,6
LGA50210,9,3,0,686,511,16,41,0,4,569,471,36,37,3,6,553,483,21,34,5,0,534,497,31,42,3,0,573,487,29,37,3,0,562,340,19,36,0,0,397,247,12,14,3,0,274,98,12,6,0,0,118,10,5,3,0,0,17,0,0,0,0,0,4,4294,192,269,20,18,4793,810,0,3,5,0,823,629,0,17,0,0,656,414,4,43,3,0,466,572,26,80,15,5,693,639,32,78,12,7,765,587,42,69,20,3,720,497,32,56,15,0,600,440,21,60,11,0,531,415,17,49,15,0,499,332,17,40,8,9,405,154,16,28,3,0,204,47,7,12,3,0,73,4,3,3,8,0,18,5553,223,538,111,24,6444,530,17,24,4,7,582,147,11,10,6,12,186,10518,442,844,146,61,12008,283,0,0,0,0,283,885,9,28,3,0,925,1259,47,52,6,6,1367,1218,94,101,4,6,1425,1111,146,112,10
LGA50250,3,0,0,289,280,0,3,0,0,288,216,0,0,0,0,218,196,3,4,0,0,202,191,0,0,0,0,197,216,5,0,0,0,225,172,3,0,0,0,180,94,3,4,0,0,105,34,5,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,1915,33,20,8,6,1985,37,0,0,0,0,38,34,0,0,0,0,36,64,0,4,0,0,68,90,0,12,0,0,100,91,0,14,0,0,102,53,0,5,0,0,65,42,0,0,0,0,41,27,0,0,0,0,32,27,0,3,0,0,29,19,0,0,0,0,24,11,0,0,0,0,11,5,0,0,0,0,5,5,0,5,0,0,3,502,0,42,9,0,556,329,0,7,3,6,342,75,0,3,0,5,86,2826,31,71,19,18,2967,92,0,0,0,0,92,555,0,0,0,0,561,1091,3,0,0,6,1098,1431,18,9,0,0,1458,1417,33,8,3
LGA50280,4,0,0,104,88,6,7,0,0,95,108,11,10,5,5,137,107,15,20,0,0,146,111,16,25,4,5,157,115,15,24,0,3,158,97,13,19,3,0,127,63,5,13,4,0,92,12,3,4,6,0,33,3,5,4,4,0,15,0,0,4,0,0,8,877,89,128,34,12,1139,168,0,0,0,0,170,77,0,0,0,0,77,90,0,14,0,0,111,124,9,31,3,3,169,190,18,43,8,4,268,209,13,57,9,0,289,180,8,37,6,0,232,136,9,27,4,0,177,126,8,31,10,0,166,135,13,41,8,0,199,47,10,24,8,0,89,20,3,10,12,5,44,11,0,0,7,0,13,1504,97,308,81,10,2004,182,8,31,8,0,234,30,6,5,6,0,44,2596,191,483,120,32,3428,74,0,0,0,0,74,157,0,10,0,0,170,236,3,16,0,0,256,242,20,24,3,4,290,265,39,55,8
LGA50350,0,0,0,110,106,3,3,4,0,117,122,5,0,0,0,131,104,10,4,0,0,113,115,10,16,3,0,146,142,5,10,0,0,160,101,5,8,0,0,118,60,7,4,0,0,74,18,6,4,0,0,25,8,0,0,0,0,8,0,0,0,0,0,0,1000,51,59,12,0,1123,114,0,0,0,0,112,91,0,3,0,0,97,70,0,4,0,0,74,83,4,13,0,0,102,109,5,29,4,3,142,105,4,22,0,0,133,106,8,16,3,0,134,77,9,15,0,0,109,97,4,7,0,0,114,74,8,5,0,0,90,42,6,0,4,3,57,20,0,0,0,0,24,3,0,0,4,0,10,996,54,123,26,7,1199,81,3,9,0,4,94,28,3,0,0,4,32,2100,105,188,34,15,2444,110,0,0,0,0,110,341,0,6,0,3,352,394,11,14,0,0,422,409,22,14,7,0,450,462,28,21,0
LGA50420,17,5,0,539,463,15,28,4,0,514,371,36,35,0,0,442,397,35,27,4,0,464,407,44,43,3,0,503,437,30,38,6,0,516,342,26,24,5,0,396,219,23,22,3,0,269,75,9,8,0,0,86,21,6,9,5,0,39,0,0,0,0,0,3,3663,250,254,29,7,4199,722,0,4,0,0,725,705,3,17,0,5,726,449,5,29,8,0,487,444,26,57,10,0,541,519,29,71,16,3,641,479,32,47,15,0,574,423,18,47,3,0,504,454,27,55,11,0,543,406,24,61,11,8,501,349,21,41,9,4,422,161,18,38,14,3,234,65,9,15,8,0,93,21,8,13,8,3,44,5194,212,503,102,30,6037,390,14,17,0,5,426,119,8,14,4,16,153,9364,473,783,143,60,10823,235,0,0,0,6,238,883,16,20,3,0,920,1173,46,58,3,8,1278,1197,89,83,3,3,1380,1054,164,122,9
LGA50490,16,0,3,1236,1182,19,16,6,5,1224,1047,16,9,3,0,1078,944,34,14,7,0,996,1061,22,22,6,0,1109,913,23,25,0,8,968,731,26,17,3,0,779,408,17,7,0,0,436,127,3,8,0,0,143,29,0,4,0,0,35,3,0,0,0,0,9,8515,176,141,24,15,8865,628,0,5,3,0,631,889,0,7,0,0,898,637,0,19,0,0,658,725,17,37,11,0,788,751,25,34,9,0,819,648,17,27,4,4,705,561,21,37,0,4,618,468,19,17,3,0,509,486,24,17,3,0,537,338,18,25,5,0,377,197,3,10,0,0,216,74,3,13,3,0,87,14,3,5,9,0,25,6398,147,253,46,19,6864,893,11,10,6,10,932,246,7,6,12,29,302,16053,337,413,95,67,16965,354,0,0,0,0,354,1996,7,20,3,0,2021,3355,43,59,3,6,3467,4113,136,94,10,10,4362,4181,174,97,8
LGA50560,0,0,0,3,3,0,0,0,0,0,7,0,0,0,0,8,9,0,3,0,0,14,9,0,0,0,0,9,12,0,4,0,0,17,6,0,3,0,0,6,3,0,0,0,0,5,0,0,5,0,0,5,0,0,5,0,0,4,0,0,0,0,0,0,58,4,21,7,3,83,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,5,3,0,0,0,0,10,11,0,3,0,0,12,12,0,0,0,0,8,10,4,0,0,0,12,5,3,0,3,0,13,11,0,4,0,0,16,11,0,0,0,0,16,4,0,6,0,0,14,0,0,0,3,0,5,0,0,0,0,0,5,77,4,17,15,0,117,8,0,4,0,4,18,0,0,0,4,3,5,147,10,37,26,7,225,6,0,0,0,0,8,6,0,0,0,0,6,9,5,0,0,0,12,7,3,0,0,0,14,8,7,5,0
LGA50630,0,0,0,37,35,0,0,0,0,35,43,0,0,0,0,43,41,0,0,4,0,42,36,0,0,0,0,35,40,0,0,0,0,44,40,0,5,0,0,37,14,0,3,0,0,19,10,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,316,0,10,3,0,332,3,0,0,0,0,7,12,0,0,0,0,12,8,0,0,0,0,3,8,0,0,0,0,12,18,0,0,0,0,17,14,6,0,0,0,15,17,0,0,0,0,16,10,0,4,0,0,13,18,0,4,0,0,15,11,0,0,0,0,19,3,0,0,4,0,6,3,0,0,0,0,4,0,0,0,5,0,8,126,4,12,11,0,159,59,0,0,0,0,61,19,0,0,0,4,21,524,7,20,18,4,574,23,0,0,0,0,23,74,0,0,0,0,77,156,5,4,0,0,160,197,0,0,0,0,204,250,4,4,0
LGA50770,0,0,0,9,6,0,0,4,0,7,8,0,4,0,0,9,10,0,3,0,0,18,21,0,0,0,0,21,9,5,3,4,4,20,7,0,6,3,0,20,5,4,5,3,0,16,0,0,0,0,0,4,0,0,5,0,0,7,0,0,4,3,0,8,81,12,22,24,4,145,7,0,0,0,0,7,8,0,0,0,0,8,3,0,0,5,0,3,9,0,0,0,0,14,6,0,3,3,0,13,12,0,0,0,0,15,7,6,6,0,0,9,11,0,3,0,0,16,13,0,3,3,0,15,13,0,0,0,0,19,4,0,0,3,0,4,0,0,0,0,0,6,7,0,0,0,0,10,103,6,23,19,3,154,6,0,3,0,0,14,3,0,0,3,0,3,193,18,53,38,8,313,9,0,0,0,0,9,21,0,0,0,0,24,18,0,3,0,0,22,13,0,5,3,0,18,15,12,8,3
