POW_LGA_CODE_2021,Tot_HC_SA_Bf_91,Tot_HC_SA_91_95,Tot_HC_SA_96_00,Tot_HC_SA_01_05,Tot_HC_SA_06_10,Tot_HC_SA_11_15,Tot_HC_SA_16_20,Tot_HC_SA_2021,Tot_HC_SA_NS,Tot_HC_SA_Tot,Tot_ArtsR_Bf_91,Tot_ArtsR_91_95,Tot_ArtsR_96_00,Tot_ArtsR_01_05,Tot_ArtsR_06_10,Tot_ArtsR_11_15,Tot_ArtsR_16_20,Tot_ArtsR_2021,Tot_ArtsR_NS,Tot_ArtsR_Tot,Tot_OthSvs_Bf_91,Tot_OthSvs_91_95,Tot_OthSvs_96_00,Tot_OthSvs_01_05,Tot_OthSvs_06_10,Tot_OthSvs_11_15,Tot_OthSvs_16_20,Tot_OthSvs_2021,Tot_OthSvs_NS,Tot_OthSvs_Tot,Tot_IDNS_Bf_91,Tot_IDNS_91_95,Tot_IDNS_96_00,Tot_IDNS_01_05,Tot_IDNS_06_10,Tot_IDNS_11_15,Tot_IDNS_16_20,Tot_IDNS_2021,Tot_IDNS_NS,Tot_IDNS_Tot,Tot_Tot_Bf_91,Tot_Tot_91_95,Tot_Tot_96_00,Tot_Tot_01_05,Tot_Tot_06_10,Tot_Tot_11_15,Tot_Tot_16_20,Tot_Tot_2021,Tot_Tot_NS,Tot_Tot_Tot
LGA50080,305,53,58,94,192,142,81,4,13,948,16,3,0,3,5,7,0,0,0,39,41,3,0,10,26,21,11,0,0,115,28,0,8,13,20,14,6,0,3,101,1346,169,196,298,595,436,292,4,69,3402
LGA50210,457,89,128,242,538,429,173,6,9,2066,25,0,3,6,16,13,7,0,0,80,90,23,15,21,65,64,24,0,3,302,86,23,35,41,136,99,55,0,23,495,2111,405,525,881,2027,1597,778,18,96,8424
LGA50250,12,0,3,5,12,20,8,0,0,63,0,0,0,0,3,0,0,0,0,6,0,4,0,4,15,6,0,0,0,35,19,7,9,17,49,41,17,3,14,170,1048,220,321,434,1016,879,431,15,77,4443
LGA50280,57,15,14,18,26,22,19,0,4,179,20,0,0,3,5,8,0,0,0,33,22,5,0,0,7,15,5,0,0,58,34,3,4,7,12,9,12,0,4,84,576,108,137,181,269,289,254,3,88,1893
LGA50350,63,5,14,31,56,48,49,0,0,274,5,3,0,0,0,6,0,0,0,21,28,6,5,20,31,26,9,0,0,129,49,19,15,14,56,35,25,0,8,226,689,156,187,298,630,498,262,7,21,2747
LGA50420,360,117,113,153,382,328,265,0,15,1739,36,6,9,12,19,19,22,0,0,114,158,29,41,53,125,119,85,0,13,615,108,35,47,57,108,99,91,8,27,579,2273,554,641,825,1799,1708,1261,14,121,9205
LGA50490,400,98,117,174,460,413,232,5,35,1927,35,6,8,14,19,21,15,0,0,128,122,29,45,56,140,131,75,0,8,599,202,43,80,129,279,224,164,0,57,1178,4256,1064,1392,2147,4922,4162,2638,34,260,20891
LGA50560,6,0,0,0,4,3,5,0,0,21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,46,9,4,5,13,10,8,0,0,103
LGA50630,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,3,0,0,0,6,0,3,0,3,23,174,32,50,58,125,102,22,0,16,584
LGA50770,3,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,53,0,8,14,10,5,4,0,4,98
LGA50840,34,5,0,5,5,5,3,0,0,65,9,0,0,0,0,0,0,0,0,9,12,0,0,0,6,0,0,0,0,19,8,0,0,0,5,0,0,0,0,13,241,26,23,35,74,39,17,0,6,470
LGA50910,3,0,0,0,3,5,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,3,12,13,11,10,0,3,71
LGA50980,91,21,24,38,94,84,44,0,10,393,12,0,0,0,9,0,4,0,0,32,21,0,0,0,13,11,13,3,5,63,10,0,8,4,19,20,18,0,11,84,456,76,90,146,362,360,482,16,51,2039
LGA51080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,5,8,3,7,0,3,34
LGA51120,0,0,3,0,5,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,9,11,17,4,0,0,57
LGA51190,441,61,97,181,364,311,210,7,25,1691,12,0,3,5,11,8,5,0,0,45,58,10,10,26,50,27,14,0,7,201,48,3,11,18,43,29,22,0,14,187,1688,218,370,636,1346,1131,687,13,97,6186
LGA51260,203,37,50,70,120,102,66,0,8,654,22,3,5,6,0,6,3,0,7,49,38,5,11,22,19,24,16,0,0,132,41,9,4,10,24,17,9,0,12,127,1174,181,253,361,634,636,429,12,76,3753
LGA51310,609,145,213,254,506,407,296,9,15,2451,21,5,7,24,30,22,14,0,0,125,44,12,17,17,30,29,28,0,0,176,32,14,20,35,30,35,40,0,13,218,1405,344,466,651,1085,977,822,9,61,5819
LGA51330,621,140,192,305,739,554,339,0,18,2909,45,7,13,18,41,35,21,0,0,170,283,58,88,93,337,310,207,4,19,1398,405,106,133,208,562,463,331,3,85,2290,6106,1317,1727,2735,6819,5532,3950,45,335,28572
LGA51400,19,7,6,6,16,18,5,0,0,75,9,0,7,4,4,0,3,0,0,20,19,5,5,17,9,10,6,0,0,70,8,0,0,0,10,5,3,0,0,32,207,38,48,83,168,131,70,0,11,755
LGA51470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,10,7,5,6,3,9,11,0,0,46
LGA51540,24,0,5,6,16,15,9,0,3,82,3,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,4,0,0,10,11,0,0,3,0,3,13,0,0,25,229,21,40,48,85,94,160,5,23,714
LGA51610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,15,3,0,3,9,10,0,0,0,39
LGA51680,0,0,0,3,0,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,7,0,0,0,14,6,0,0,4,0,4,8,0,5,27,151,19,37,40,78,64,35,3,11,441
LGA51710,5,0,0,3,0,0,6,0,0,20,6,0,0,0,0,0,0,0,0,5,3,0,0,0,0,4,0,0,0,3,6,0,0,3,0,0,0,0,4,21,194,21,15,34,45,47,16,0,10,392
