POW_LGA_CODE_2021,M_AgFF_H_0,M_AgFF_H_1_19,M_AgFF_H_20_29,M_AgFF_H_30_34,M_AgFF_H_35_39,M_AgFF_H_40_44,M_AgFF_H_45_49,M_AgFF_H_50ov,M_AgFF_H_NS,M_AgFF_H_Tot,M_Min_H_0,M_Min_H_1_19,M_Min_H_20_29,M_Min_H_30_34,M_Min_H_35_39,M_Min_H_40_44,M_Min_H_45_49,M_Min_H_50ov,M_Min_H_NS,M_Min_H_Tot,M_Mnf_H_0,M_Mnf_H_1_19,M_Mnf_H_20_29,M_Mnf_H_30_34,M_Mnf_H_35_39,M_Mnf_H_40_44,M_Mnf_H_45_49,M_Mnf_H_50ov,M_Mnf_H_NS,M_Mnf_H_Tot,M_EGWWS_H_0,M_EGWWS_H_1_19,M_EGWWS_H_20_29,M_EGWWS_H_30_34,M_EGWWS_H_35_39,M_EGWWS_H_40_44,M_EGWWS_H_45_49,M_EGWWS_H_50ov,M_EGWWS_H_NS,M_EGWWS_H_Tot,M_Const_H_0,M_Const_H_1_19,M_Const_H_20_29,M_Const_H_30_34,M_Const_H_35_39,M_Const_H_40_44,M_Const_H_45_49,M_Const_H_50ov,M_Const_H_NS,M_Const_H_Tot,M_WST_H_0,M_WST_H_1_19,M_WST_H_20_29,M_WST_H_30_34,M_WST_H_35_39,M_WST_H_40_44,M_WST_H_45_49,M_WST_H_50ov,M_WST_H_NS,M_WST_H_Tot,M_RetT_H_0,M_RetT_H_1_19,M_RetT_H_20_29,M_RetT_H_30_34,M_RetT_H_35_39,M_RetT_H_40_44,M_RetT_H_45_49,M_RetT_H_50ov,M_RetT_H_NS,M_RetT_H_Tot,M_AcFd_H_0,M_AcFd_H_1_19,M_AcFd_H_20_29,M_AcFd_H_30_34,M_AcFd_H_35_39,M_AcFd_H_40_44,M_AcFd_H_45_49,M_AcFd_H_50ov,M_AcFd_H_NS,M_AcFd_H_Tot,M_TPW_H_0,M_TPW_H_1_19,M_TPW_H_20_29,M_TPW_H_30_34,M_TPW_H_35_39,M_TPW_H_40_44,M_TPW_H_45_49,M_TPW_H_50ov,M_TPW_H_NS,M_TPW_H_Tot,M_IMT_H_0,M_IMT_H_1_19,M_IMT_H_20_29,M_IMT_H_30_34,M_IMT_H_35_39,M_IMT_H_40_44,M_IMT_H_45_49,M_IMT_H_50ov,M_IMT_H_NS,M_IMT_H_Tot,M_FinIns_H_0,M_FinIns_H_1_19,M_FinIns_H_20_29,M_FinIns_H_30_34,M_FinIns_H_35_39,M_FinIns_H_40_44,M_FinIns_H_45_49,M_FinIns_H_50ov,M_FinIns_H_NS,M_FinIns_H_Tot,M_RHRE_H_0,M_RHRE_H_1_19,M_RHRE_H_20_29,M_RHRE_H_30_34,M_RHRE_H_35_39,M_RHRE_H_40_44,M_RHRE_H_45_49,M_RHRE_H_50ov,M_RHRE_H_NS,M_RHRE_H_Tot,M_ProSTS_H_0,M_ProSTS_H_1_19,M_ProSTS_H_20_29,M_ProSTS_H_30_34,M_ProSTS_H_35_39,M_ProSTS_H_40_44,M_ProSTS_H_45_49,M_ProSTS_H_50ov,M_ProSTS_H_NS,M_ProSTS_H_Tot,M_AdSup_H_0,M_AdSup_H_1_19,M_AdSup_H_20_29,M_AdSup_H_30_34,M_AdSup_H_35_39,M_AdSup_H_40_44,M_AdSup_H_45_49,M_AdSup_H_50ov,M_AdSup_H_NS,M_AdSup_H_Tot,M_PubAS_H_0,M_PubAS_H_1_19,M_PubAS_H_20_29,M_PubAS_H_30_34,M_PubAS_H_35_39,M_PubAS_H_40_44,M_PubAS_H_45_49,M_PubAS_H_50ov,M_PubAS_H_NS,M_PubAS_H_Tot,M_EdTrn_H_0,M_EdTrn_H_1_19,M_EdTrn_H_20_29,M_EdTrn_H_30_34,M_EdTrn_H_35_39,M_EdTrn_H_40_44,M_EdTrn_H_45_49,M_EdTrn_H_50ov,M_EdTrn_H_NS,M_EdTrn_H_Tot,M_HltHC_SA_H_0,M_HltHC_SA_H_1_19,M_HltHC_SA_H_20_29,M_HltHC_SA_H_30_34,M_HltHC_SA_H_35_39,M_HltHC_SA_H_40_44,M_HltHC_SA_H_45_49,M_HltHC_SA_H_50ov,M_HltHC_SA_H_NS,M_HltHC_SA_H_Tot,M_ArtsR_H_0,M_ArtsR_H_1_19,M_ArtsR_H_20_29,M_ArtsR_H_30_34,M_ArtsR_H_35_39,M_ArtsR_H_40_44,M_ArtsR_H_45_49,M_ArtsR_H_50ov,M_ArtsR_H_NS,M_ArtsR_H_Tot,M_OthSvs_H_0,M_OthSvs_H_1_19,M_OthSvs_H_20_29,M_OthSvs_H_30_34,M_OthSvs_H_35_39,M_OthSvs_H_40_44,M_OthSvs_H_45_49,M_OthSvs_H_50ov,M_OthSvs_H_NS,M_OthSvs_H_Tot,M_IDNS_H_0,M_IDNS_H_1_19,M_IDNS_H_20_29,M_IDNS_H_30_34,M_IDNS_H_35_39,M_IDNS_H_40_44,M_IDNS_H_45_49,M_IDNS_H_50ov,M_IDNS_H_NS,M_IDNS_H_Tot
LGA50080,37,63,49,38,60,122,62,224,15,666,3,3,0,0,0,0,11,14,4,37,17,28,14,17,77,117,62,105,4,440,9,3,6,6,56,38,16,18,0,160,52,43,52,67,188,313,136,193,13,1066,3,11,10,3,30,107,46,73,4,290,30,163,95,51,175,166,55,94,3,828,14,178,81,47,65,61,30,62,11,542,28,40,35,29,52,91,62,117,7,458,4,4,4,0,10,10,8,18,0,52,4,6,6,3,21,18,7,15,0,91,0,5,6,3,10,33,11,21,5,95,10,36,29,27,48,64,25,44,0,278,16,36,19,15,28,23,16,13,8,170,55,40,22,17,140,226,52,67,9,624,13,62,33,41,105,103,40,51,6,448,35,55,66,72,144,125,26,66,7,607,3,17,14,5,15,11,4,18,0,88,14,32,19,20,70,118,37,66,6,374,11,33,29,23,37,63,21,52,62,337
LGA50210,7,25,12,10,22,37,18,42,0,175,6,6,9,3,26,46,20,90,0,207,18,36,25,20,170,175,105,151,0,702,10,6,3,9,36,28,10,15,0,116,35,71,74,78,205,460,163,348,16,1450,10,18,3,14,97,93,43,105,0,385,32,255,151,77,188,156,36,87,14,1000,18,329,94,34,68,60,17,42,8,665,23,36,69,32,89,148,63,162,6,630,0,17,5,3,17,17,0,7,0,71,0,0,3,3,10,15,5,9,0,51,0,11,15,8,20,26,13,28,0,116,5,38,30,26,39,74,13,62,0,278,5,47,38,15,57,66,11,40,3,280,32,35,34,19,155,190,58,57,3,577,19,60,51,40,119,153,71,117,0,625,30,58,53,76,153,175,42,85,3,683,0,23,16,8,11,7,0,9,0,82,9,40,28,36,88,112,38,81,8,445,15,51,39,28,133,142,39,92,101,633
LGA50250,0,0,0,0,3,3,0,28,0,38,1052,178,155,32,197,291,527,4546,120,7101,15,0,3,0,5,0,8,69,3,113,4,0,7,5,7,4,5,61,8,99,134,42,33,11,38,56,38,1072,21,1447,12,8,10,0,4,5,10,106,3,160,0,14,4,6,0,3,3,9,0,44,32,15,9,25,17,36,21,255,0,417,36,6,8,3,8,18,12,129,5,234,0,0,0,0,0,6,0,6,0,10,0,0,0,0,0,0,0,0,0,3,12,3,3,0,3,5,0,51,0,78,10,15,3,4,4,11,5,116,7,167,20,0,9,8,8,12,25,140,3,230,7,4,0,0,0,39,10,35,0,107,0,0,0,4,0,6,4,10,0,37,0,0,0,0,0,0,0,16,0,26,0,0,0,0,0,3,0,4,0,9,6,9,8,0,8,7,8,52,3,102,29,15,5,4,22,19,16,178,60,348
LGA50280,18,28,31,28,43,125,20,125,5,429,4,6,0,0,0,3,4,7,0,26,8,22,31,30,96,103,26,59,6,381,0,0,0,0,10,5,0,3,0,16,25,29,40,33,67,138,44,87,12,466,3,6,9,10,16,23,3,4,0,77,5,61,34,29,41,37,19,24,3,250,15,87,43,33,39,69,17,54,0,370,0,23,23,8,4,12,0,16,0,92,0,0,0,0,4,5,0,5,0,18,0,3,0,0,9,8,0,3,0,23,0,8,4,0,5,10,3,8,0,36,0,18,10,17,20,30,6,23,0,132,4,21,19,10,14,14,6,21,0,111,9,5,9,0,43,24,4,6,0,90,6,15,8,11,19,25,16,29,0,132,8,14,12,14,11,15,9,13,0,90,5,14,7,10,12,6,0,8,0,51,3,10,7,6,26,25,7,18,3,112,3,15,16,8,21,25,8,21,19,138
LGA50350,0,0,0,0,0,4,0,4,0,3,3,0,0,3,15,26,24,59,3,126,22,39,32,42,340,299,182,276,9,1234,0,0,0,0,4,10,6,15,0,40,10,27,34,32,104,196,71,143,8,623,6,18,9,8,60,78,24,47,3,250,3,48,30,10,37,26,12,19,3,188,0,32,25,10,7,16,7,17,0,119,0,10,15,14,70,58,14,34,0,220,0,0,4,6,0,4,0,0,0,16,0,3,0,0,0,4,0,6,0,12,0,5,3,5,24,23,4,20,0,77,5,12,15,8,28,28,7,21,0,127,0,12,14,9,5,13,3,6,0,72,3,5,3,9,28,23,3,9,0,86,3,13,9,9,17,18,4,15,0,91,0,15,24,12,42,27,3,12,0,147,0,6,0,9,4,11,0,7,0,37,8,13,7,8,39,62,17,35,0,180,8,27,7,20,79,83,19,50,33,328
LGA50420,0,0,8,3,4,6,5,9,0,42,12,13,11,8,32,81,27,90,0,276,23,56,41,39,277,305,120,221,7,1091,3,6,4,0,27,33,24,42,3,148,33,86,78,70,223,511,183,391,19,1591,6,28,15,25,56,73,33,53,5,295,29,331,177,93,229,211,71,168,14,1322,19,256,144,59,92,81,30,72,12,765,10,52,51,30,83,102,43,93,13,478,4,16,15,4,20,19,8,15,0,107,3,9,11,5,17,27,4,24,0,99,5,17,15,11,26,37,15,38,0,160,11,43,43,47,87,152,46,93,3,523,8,55,34,22,65,68,10,43,0,298,44,32,25,14,143,193,70,72,4,594,15,89,78,37,104,114,37,69,0,543,16,76,66,85,150,111,35,71,6,613,3,73,28,17,41,22,4,21,0,219,19,64,74,52,159,209,77,134,8,812,9,86,57,37,134,194,42,130,95,783
LGA50490,3,0,11,0,15,21,5,20,0,71,316,98,77,36,324,854,392,1589,57,3742,45,61,53,42,458,556,196,337,3,1758,14,10,0,6,98,86,14,66,0,292,92,99,60,68,369,821,268,765,29,2576,53,61,47,41,451,593,211,472,12,1950,69,312,268,217,679,676,156,222,21,2610,24,249,135,60,172,144,38,75,12,905,309,411,477,391,1296,1605,700,1242,73,6503,6,26,15,9,83,80,16,37,0,278,5,8,9,8,23,54,9,33,6,149,9,25,19,11,85,92,38,92,0,376,37,72,68,56,279,556,175,315,5,1564,43,115,108,52,192,203,59,152,9,931,39,64,66,47,267,343,170,189,13,1193,5,45,22,16,69,78,29,51,0,315,64,88,85,66,267,211,144,160,12,1101,3,51,35,17,29,41,12,28,4,218,33,47,52,29,180,236,97,197,11,893,37,106,69,59,308,459,107,240,205,1592
LGA50560,7,9,12,8,7,35,5,62,3,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,6,0,0,0,17,0,0,0,4,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,6,0,4,3,0,0,4,12
LGA50630,4,6,4,0,4,11,6,17,0,46,161,29,34,4,40,101,90,695,26,1189,10,3,9,0,21,59,37,74,5,220,0,0,0,0,0,0,0,0,0,4,9,3,3,0,6,13,17,72,0,131,6,3,0,5,0,7,0,43,0,54,0,0,0,0,0,0,0,9,0,13,3,0,0,0,0,0,0,15,0,22,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,8,0,10,6,4,5,4,0,0,5,14,0,29,0,4,0,0,10,3,0,6,0,22,0,3,3,4,0,0,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,3,14,0,28,4,4,0,0,3,3,3,9,11,37
LGA50770,9,14,15,21,7,49,12,112,6,240,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,4,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,4,5,0,18,0,0,0,0,0,5,0,3,0,10,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,18,0,0,0,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,0,16,0,0,0,0,0,3,0,0,0,3
