POW_LGA_CODE_2021,Pvte_1250_1499_Mng,Pvte_1250_1499_Pro,Pvte_1250_1499_TecTW,Pvte_1250_1499_CoPSW,Pvte_1250_1499_ClAW,Pvte_1250_1499_SWks,Pvte_1250_1499_MaOpDv,Pvte_1250_1499_Lab,Pvte_1250_1499_IDNS,Pvte_1250_1499_Tot,Pvte_1500_1749_Mng,Pvte_1500_1749_Pro,Pvte_1500_1749_TecTW,Pvte_1500_1749_CoPSW,Pvte_1500_1749_ClAW,Pvte_1500_1749_SWks,Pvte_1500_1749_MaOpDv,Pvte_1500_1749_Lab,Pvte_1500_1749_IDNS,Pvte_1500_1749_Tot,Pvte_1750_1999_Mng,Pvte_1750_1999_Pro,Pvte_1750_1999_TecTW,Pvte_1750_1999_CoPSW,Pvte_1750_1999_ClAW,Pvte_1750_1999_SWks,Pvte_1750_1999_MaOpDv,Pvte_1750_1999_Lab,Pvte_1750_1999_IDNS,Pvte_1750_1999_Tot,Pvte_2000_2999_Mng,Pvte_2000_2999_Pro,Pvte_2000_2999_TecTW,Pvte_2000_2999_CoPSW,Pvte_2000_2999_ClAW,Pvte_2000_2999_SWks,Pvte_2000_2999_MaOpDv,Pvte_2000_2999_Lab,Pvte_2000_2999_IDNS,Pvte_2000_2999_Tot,Pvte_3000_3499_Mng,Pvte_3000_3499_Pro,Pvte_3000_3499_TecTW,Pvte_3000_3499_CoPSW,Pvte_3000_3499_ClAW,Pvte_3000_3499_SWks,Pvte_3000_3499_MaOpDv,Pvte_3000_3499_Lab,Pvte_3000_3499_IDNS,Pvte_3000_3499_Tot,Pvte_3500mo_Mng,Pvte_3500mo_Pro,Pvte_3500mo_TecTW,Pvte_3500mo_CoPSW,Pvte_3500mo_ClAW,Pvte_3500mo_SWks,Pvte_3500mo_MaOpDv,Pvte_3500mo_Lab,Pvte_3500mo_IDNS,Pvte_3500mo_Tot,Pvte_PINS_Mng,Pvte_PINS_Pro,Pvte_PINS_TecTW,Pvte_PINS_CoPSW,Pvte_PINS_ClAW,Pvte_PINS_SWks,Pvte_PINS_MaOpDv,Pvte_PINS_Lab,Pvte_PINS_IDNS,Pvte_PINS_Tot,Pvte_Tot_Mng,Pvte_Tot_Pro,Pvte_Tot_TecTW,Pvte_Tot_CoPSW,Pvte_Tot_ClAW,Pvte_Tot_SWks,Pvte_Tot_MaOpDv,Pvte_Tot_Lab,Pvte_Tot_IDNS,Pvte_Tot_Tot,NS_NNI_Mng,NS_NNI_Pro,NS_NNI_TecTW,NS_NNI_CoPSW,NS_NNI_ClAW,NS_NNI_SWks,NS_NNI_MaOpDv,NS_NNI_Lab,NS_NNI_IDNS,NS_NNI_Tot,NS_1_149_Mng,NS_1_149_Pro,NS_1_149_TecTW,NS_1_149_CoPSW,NS_1_149_ClAW,NS_1_149_SWks,NS_1_149_MaOpDv,NS_1_149_Lab,NS_1_149_IDNS,NS_1_149_Tot,NS_150_299_Mng,NS_150_299_Pro,NS_150_299_TecTW,NS_150_299_CoPSW,NS_150_299_ClAW,NS_150_299_SWks,NS_150_299_MaOpDv,NS_150_299_Lab,NS_150_299_IDNS,NS_150_299_Tot,NS_300_399_Mng,NS_300_399_Pro,NS_300_399_TecTW,NS_300_399_CoPSW,NS_300_399_ClAW,NS_300_399_SWks,NS_300_399_MaOpDv,NS_300_399_Lab,NS_300_399_IDNS,NS_300_399_Tot,NS_400_499_Mng,NS_400_499_Pro,NS_400_499_TecTW,NS_400_499_CoPSW,NS_400_499_ClAW,NS_400_499_SWks,NS_400_499_MaOpDv,NS_400_499_Lab,NS_400_499_IDNS,NS_400_499_Tot,NS_500_649_Mng,NS_500_649_Pro,NS_500_649_TecTW,NS_500_649_CoPSW,NS_500_649_ClAW,NS_500_649_SWks,NS_500_649_MaOpDv,NS_500_649_Lab,NS_500_649_IDNS,NS_500_649_Tot,NS_650_799_Mng,NS_650_799_Pro,NS_650_799_TecTW,NS_650_799_CoPSW,NS_650_799_ClAW,NS_650_799_SWks,NS_650_799_MaOpDv,NS_650_799_Lab,NS_650_799_IDNS,NS_650_799_Tot,NS_800_999_Mng,NS_800_999_Pro,NS_800_999_TecTW,NS_800_999_CoPSW,NS_800_999_ClAW,NS_800_999_SWks,NS_800_999_MaOpDv,NS_800_999_Lab,NS_800_999_IDNS,NS_800_999_Tot,NS_1000_1249_Mng,NS_1000_1249_Pro,NS_1000_1249_TecTW,NS_1000_1249_CoPSW,NS_1000_1249_ClAW,NS_1000_1249_SWks,NS_1000_1249_MaOpDv,NS_1000_1249_Lab,NS_1000_1249_IDNS,NS_1000_1249_Tot,NS_1250_1499_Mng,NS_1250_1499_Pro,NS_1250_1499_TecTW,NS_1250_1499_CoPSW,NS_1250_1499_ClAW,NS_1250_1499_SWks,NS_1250_1499_MaOpDv,NS_1250_1499_Lab,NS_1250_1499_IDNS,NS_1250_1499_Tot,NS_1500_1749_Mng,NS_1500_1749_Pro,NS_1500_1749_TecTW,NS_1500_1749_CoPSW,NS_1500_1749_ClAW,NS_1500_1749_SWks,NS_1500_1749_MaOpDv,NS_1500_1749_Lab,NS_1500_1749_IDNS,NS_1500_1749_Tot,NS_1750_1999_Mng,NS_1750_1999_Pro,NS_1750_1999_TecTW,NS_1750_1999_CoPSW,NS_1750_1999_ClAW,NS_1750_1999_SWks,NS_1750_1999_MaOpDv,NS_1750_1999_Lab,NS_1750_1999_IDNS,NS_1750_1999_Tot
LGA50080,198,247,259,127,155,84,120,84,19,1288,169,282,196,70,90,50,106,59,8,1033,124,214,104,22,40,20,51,26,3,605,246,326,109,22,45,36,68,20,6,896,48,49,26,3,8,10,3,7,0,156,102,136,19,5,15,27,11,7,4,328,21,11,11,11,5,15,11,11,6,102,1778,2038,2063,1774,1402,1607,860,1673,117,13302,0,0,0,0,0,0,0,0,7,13,0,0,0,3,0,0,0,0,6,9,0,0,0,0,0,0,0,3,3,13,5,0,0,0,0,0,0,4,7,14,0,6,3,6,0,0,0,6,4,15,0,0,0,4,0,0,0,5,7,18,0,0,0,0,0,0,0,0,7,7,0,0,3,0,0,0,0,0,6,11,0,0,3,0,0,0,0,0,6,18,0,0,5,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3
LGA50210,218,312,336,153,151,97,169,103,15,1544,200,372,317,70,98,44,100,60,9,1270,137,290,177,37,53,27,82,29,6,832,253,445,206,35,68,36,73,30,13,1160,87,70,45,0,13,6,16,4,0,239,88,152,30,0,29,14,10,8,10,339,7,19,23,22,9,20,5,14,13,124,1722,2525,2769,2353,1628,2294,1210,2001,166,16663,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,9,18,0,0,0,0,0,0,0,0,4,11,0,0,0,3,0,0,0,0,7,16,0,0,0,5,0,0,0,4,8,14,0,0,0,8,0,0,0,8,17,21,0,0,0,3,0,0,0,0,5,19,0,0,11,0,0,0,4,3,10,22,0,0,0,3,0,0,5,3,12,29,0,5,3,0,0,0,3,5,7,19,0,7,3,3,3,0,0,0,3,29,0,0,0,0,0,0,0,0,5,11
LGA50250,28,32,130,51,61,15,177,207,13,724,37,47,228,45,79,10,328,194,21,976,41,82,321,22,60,4,459,130,8,1123,121,387,1610,73,168,15,1888,408,77,4742,94,295,941,13,40,8,510,80,40,2017,302,332,1162,3,37,0,235,61,46,2189,0,4,38,0,8,0,29,13,8,107,692,1257,4600,360,591,151,3840,1420,241,13152,0,0,0,0,0,0,0,3,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,4,3,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,3,6,14,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,4,0,0,5
LGA50280,118,76,117,31,46,24,31,59,4,508,107,88,78,24,33,22,25,28,3,410,70,63,43,13,13,5,9,13,0,234,113,90,48,14,10,12,16,18,6,328,29,23,8,0,8,5,4,0,0,69,43,55,4,0,6,9,5,5,3,126,15,4,9,8,0,4,0,5,0,49,1103,732,906,668,515,609,231,889,52,5720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,5,0,0,3,13,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,4,6,0,0,6,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA50350,61,97,220,41,92,42,77,69,9,705,79,80,166,27,57,36,51,38,9,545,61,69,138,12,32,10,36,20,9,378,178,117,198,3,45,25,48,17,6,644,50,26,29,0,0,3,7,4,0,118,84,20,10,0,6,10,4,0,3,139,7,0,6,0,0,5,3,0,3,39,664,652,1440,536,684,400,606,727,76,5779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,3
LGA50420,263,407,456,179,237,130,147,129,23,1979,227,376,365,85,154,79,109,62,16,1468,184,283,247,47,71,45,58,47,10,991,368,438,259,36,88,62,62,27,13,1358,130,102,38,4,21,8,7,6,4,320,177,195,34,6,27,21,15,11,3,471,16,19,28,17,16,19,11,22,5,148,2288,2984,3364,2556,1992,2519,1222,2003,163,19096,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,5,4,9,0,0,0,0,3,0,0,3,10,13,0,0,0,3,0,0,0,4,4,14,0,0,3,0,0,0,0,4,8,15,0,0,3,3,0,4,0,4,13,28,0,0,9,5,0,0,3,4,13,28,0,0,7,0,4,0,0,4,11,24,0,0,4,0,0,0,0,0,6,17,0,0,0,0,0,0,0,0,3,7,0,3,0,0,0,0,0,0,0,0
LGA50490,496,709,739,451,1019,315,841,259,58,4899,504,847,777,319,708,198,664,201,51,4276,489,729,616,181,357,112,458,141,38,3136,1426,1909,1307,299,466,161,874,172,64,6682,573,571,400,28,107,23,164,27,16,1909,1225,884,346,14,111,39,115,22,20,2775,33,33,54,21,24,29,47,23,28,289,5792,6972,6114,4338,5646,3437,6365,3351,516,42524,0,0,0,0,0,0,0,5,14,18,0,0,0,0,0,4,0,5,10,14,0,0,0,4,0,0,0,3,9,21,0,0,0,5,0,0,0,4,16,23,0,0,0,3,0,0,0,4,8,24,0,0,0,0,0,0,0,3,23,35,0,0,8,3,3,0,0,0,15,36,3,5,8,7,0,4,10,8,24,59,0,4,11,5,3,0,3,0,21,44,0,4,3,0,3,0,0,0,22,32,3,9,4,0,0,0,0,0,8,24,4,6,3,0,0,0,0,0,7,19
LGA50560,23,5,3,0,0,0,5,3,0,40,19,6,6,0,0,0,0,3,0,30,13,4,0,0,0,0,0,0,0,18,26,4,6,0,0,3,0,0,0,35,3,0,0,0,0,0,0,0,0,7,7,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,167,32,43,22,40,22,24,56,3,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50630,6,9,20,8,14,0,46,20,3,122,6,9,46,8,20,0,77,30,11,196,8,30,71,5,12,0,157,23,0,313,22,78,344,16,19,0,384,32,7,890,12,38,94,0,3,0,65,0,4,219,48,40,56,0,9,0,25,0,0,176,0,0,11,0,0,0,8,0,4,32,162,211,693,58,116,22,821,172,32,2285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50770,17,0,4,3,4,3,3,9,0,49,13,7,8,0,3,0,0,5,0,43,23,5,6,0,3,0,3,3,0,42,16,7,0,0,0,0,0,4,0,33,7,0,0,0,0,0,0,0,0,10,16,0,0,0,0,0,0,0,0,16,5,0,0,0,0,0,0,0,0,10,267,32,46,27,53,29,33,83,5,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
