POW_LGA_CODE_2021,Mng_NNI_A_15_19,Mng_NNI_A_20_24,Mng_NNI_A_25_34,Mng_NNI_A_35_44,Mng_NNI_A_45_54,Mng_NNI_A_55_64,Mng_NNI_A_65_74,Mng_NNI_A_75ov,Mng_NNI_Tot,Mng_1_149_A_15_19,Mng_1_149_A_20_24,Mng_1_149_A_25_34,Mng_1_149_A_35_44,Mng_1_149_A_45_54,Mng_1_149_A_55_64,Mng_1_149_A_65_74,Mng_1_149_A_75ov,Mng_1_149_Tot,Mng_150_299_A_15_19,Mng_150_299_A_20_24,Mng_150_299_A_25_34,Mng_150_299_A_35_44,Mng_150_299_A_45_54,Mng_150_299_A_55_64,Mng_150_299_A_65_74,Mng_150_299_A_75ov,Mng_150_299_Tot,Mng_300_399_A_15_19,Mng_300_399_A_20_24,Mng_300_399_A_25_34,Mng_300_399_A_35_44,Mng_300_399_A_45_54,Mng_300_399_A_55_64,Mng_300_399_A_65_74,Mng_300_399_A_75ov,Mng_300_399_Tot,Mng_400_499_A_15_19,Mng_400_499_A_20_24,Mng_400_499_A_25_34,Mng_400_499_A_35_44,Mng_400_499_A_45_54,Mng_400_499_A_55_64,Mng_400_499_A_65_74,Mng_400_499_A_75ov,Mng_400_499_Tot,Mng_500_649_A_15_19,Mng_500_649_A_20_24,Mng_500_649_A_25_34,Mng_500_649_A_35_44,Mng_500_649_A_45_54,Mng_500_649_A_55_64,Mng_500_649_A_65_74,Mng_500_649_A_75ov,Mng_500_649_Tot,Mng_650_799_A_15_19,Mng_650_799_A_20_24,Mng_650_799_A_25_34,Mng_650_799_A_35_44,Mng_650_799_A_45_54,Mng_650_799_A_55_64,Mng_650_799_A_65_74,Mng_650_799_A_75ov,Mng_650_799_Tot,Mng_800_999_A_15_19,Mng_800_999_A_20_24,Mng_800_999_A_25_34,Mng_800_999_A_35_44,Mng_800_999_A_45_54,Mng_800_999_A_55_64,Mng_800_999_A_65_74,Mng_800_999_A_75ov,Mng_800_999_Tot,Mng_1000_1249_A_15_19,Mng_1000_1249_A_20_24,Mng_1000_1249_A_25_34,Mng_1000_1249_A_35_44,Mng_1000_1249_A_45_54,Mng_1000_1249_A_55_64,Mng_1000_1249_A_65_74,Mng_1000_1249_A_75ov,Mng_1000_1249_Tot,Mng_1250_1499_A_15_19,Mng_1250_1499_A_20_24,Mng_1250_1499_A_25_34,Mng_1250_1499_A_35_44,Mng_1250_1499_A_45_54,Mng_1250_1499_A_55_64,Mng_1250_1499_A_65_74,Mng_1250_1499_A_75ov,Mng_1250_1499_Tot,Mng_1500_1749_A_15_19,Mng_1500_1749_A_20_24,Mng_1500_1749_A_25_34,Mng_1500_1749_A_35_44,Mng_1500_1749_A_45_54,Mng_1500_1749_A_55_64,Mng_1500_1749_A_65_74,Mng_1500_1749_A_75ov,Mng_1500_1749_Tot,Mng_1750_1999_A_15_19,Mng_1750_1999_A_20_24,Mng_1750_1999_A_25_34,Mng_1750_1999_A_35_44,Mng_1750_1999_A_45_54,Mng_1750_1999_A_55_64,Mng_1750_1999_A_65_74,Mng_1750_1999_A_75ov,Mng_1750_1999_Tot,Mng_2000_2999_A_15_19,Mng_2000_2999_A_20_24,Mng_2000_2999_A_25_34,Mng_2000_2999_A_35_44,Mng_2000_2999_A_45_54,Mng_2000_2999_A_55_64,Mng_2000_2999_A_65_74,Mng_2000_2999_A_75ov,Mng_2000_2999_Tot,Mng_3000_3499_A_15_19,Mng_3000_3499_A_20_24,Mng_3000_3499_A_25_34,Mng_3000_3499_A_35_44,Mng_3000_3499_A_45_54,Mng_3000_3499_A_55_64,Mng_3000_3499_A_65_74,Mng_3000_3499_A_75ov,Mng_3000_3499_Tot,Mng_3500mo_A_15_19,Mng_3500mo_A_20_24,Mng_3500mo_A_25_34,Mng_3500mo_A_35_44,Mng_3500mo_A_45_54,Mng_3500mo_A_55_64,Mng_3500mo_A_65_74,Mng_3500mo_A_75ov,Mng_3500mo_Tot,Mng_PINS_A_15_19,Mng_PINS_A_20_24,Mng_PINS_A_25_34,Mng_PINS_A_35_44,Mng_PINS_A_45_54,Mng_PINS_A_55_64,Mng_PINS_A_65_74,Mng_PINS_A_75ov,Mng_PINS_Tot,Mng_Tot_A_15_19,Mng_Tot_A_20_24,Mng_Tot_A_25_34,Mng_Tot_A_35_44,Mng_Tot_A_45_54,Mng_Tot_A_55_64,Mng_Tot_A_65_74,Mng_Tot_A_75ov,Mng_Tot_Tot,Pro_NNI_A_15_19,Pro_NNI_A_20_24,Pro_NNI_A_25_34,Pro_NNI_A_35_44,Pro_NNI_A_45_54,Pro_NNI_A_55_64,Pro_NNI_A_65_74,Pro_NNI_A_75ov,Pro_NNI_Tot,Pro_1_149_A_15_19,Pro_1_149_A_20_24,Pro_1_149_A_25_34,Pro_1_149_A_35_44,Pro_1_149_A_45_54,Pro_1_149_A_55_64,Pro_1_149_A_65_74,Pro_1_149_A_75ov,Pro_1_149_Tot,Pro_150_299_A_15_19,Pro_150_299_A_20_24,Pro_150_299_A_25_34,Pro_150_299_A_35_44,Pro_150_299_A_45_54,Pro_150_299_A_55_64,Pro_150_299_A_65_74,Pro_150_299_A_75ov,Pro_150_299_Tot,Pro_300_399_A_15_19,Pro_300_399_A_20_24,Pro_300_399_A_25_34,Pro_300_399_A_35_44,Pro_300_399_A_45_54,Pro_300_399_A_55_64,Pro_300_399_A_65_74,Pro_300_399_A_75ov,Pro_300_399_Tot,Pro_400_499_A_15_19,Pro_400_499_A_20_24,Pro_400_499_A_25_34,Pro_400_499_A_35_44,Pro_400_499_A_45_54,Pro_400_499_A_55_64,Pro_400_499_A_65_74,Pro_400_499_A_75ov,Pro_400_499_Tot,Pro_500_649_A_15_19,Pro_500_649_A_20_24
LGA50080,0,0,0,6,5,9,5,0,26,4,0,3,7,4,5,4,0,27,3,0,0,9,3,14,18,0,43,3,0,4,3,9,8,19,4,47,0,3,0,9,5,12,23,0,53,0,6,12,15,11,21,33,7,112,0,6,18,26,34,34,21,6,142,3,13,32,25,37,33,33,7,188,0,12,40,34,53,56,32,6,237,0,4,34,54,62,42,15,0,217,0,0,23,43,68,44,11,6,195,0,0,9,37,47,43,4,7,149,0,0,17,98,128,100,26,3,375,0,0,9,13,25,22,6,0,78,0,3,8,16,35,35,17,0,115,0,0,3,3,4,0,0,3,24,17,44,216,396,541,486,254,69,2026,0,0,0,0,0,3,0,0,6,3,0,6,8,0,3,3,0,29,0,0,0,15,0,4,7,0,35,5,3,6,10,0,15,4,0,42,0,3,7,19,11,8,5,0,51,0,3
LGA50210,0,0,0,3,8,0,3,0,16,0,0,5,7,0,0,0,0,11,0,0,7,9,11,8,8,0,39,0,0,3,11,3,4,9,0,38,8,3,9,10,15,5,4,0,55,0,6,13,18,9,9,3,3,70,3,21,16,31,16,23,8,3,122,4,17,41,41,27,20,11,0,161,0,20,66,56,52,36,18,0,243,0,10,74,63,45,35,11,0,240,0,4,49,63,66,46,15,0,240,0,0,29,47,44,32,3,0,159,0,0,56,103,112,72,15,5,357,0,0,6,22,29,31,5,0,101,0,0,9,30,34,26,12,0,108,0,0,3,3,0,3,0,0,11,25,84,379,507,468,351,120,22,1962,0,0,3,8,3,8,0,0,20,3,3,16,4,6,0,0,0,47,5,4,17,11,6,9,0,0,56,0,7,5,19,10,10,5,0,65,0,9,20,23,13,7,12,0,84,0,11
LGA50250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,13,0,3,3,3,0,0,0,0,15,0,0,3,4,0,10,0,0,22,0,0,11,9,0,9,0,0,31,0,3,14,3,10,13,0,0,38,0,0,7,16,17,9,0,0,47,0,3,24,38,44,24,3,0,144,0,0,20,23,36,21,0,0,100,0,0,42,111,103,50,6,0,310,0,0,0,0,0,0,0,0,0,0,13,139,215,217,136,20,4,748,0,0,0,0,4,0,0,0,6,0,0,0,4,0,0,0,0,5,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0
LGA50280,0,0,3,3,3,0,6,0,15,0,0,3,0,4,0,7,0,15,0,0,6,7,4,0,4,0,26,0,0,0,3,5,3,10,7,34,0,0,3,6,9,9,16,3,47,0,0,7,11,23,14,19,3,70,0,0,4,21,13,20,12,0,72,0,10,30,35,34,29,18,7,160,0,0,40,46,41,35,24,5,194,0,6,16,37,36,18,4,6,131,0,0,11,31,41,24,12,5,120,0,0,3,18,23,14,10,0,77,0,0,13,34,34,35,13,0,126,0,0,4,3,17,5,4,0,31,0,0,0,4,13,18,9,0,46,0,0,3,0,5,4,0,0,18,9,27,142,266,309,235,155,42,1174,0,0,0,0,0,0,0,0,4,0,0,0,5,3,0,0,0,11,0,0,0,6,9,0,0,0,22,0,0,4,14,3,9,0,0,30,0,0,8,12,3,14,9,0,37,0,0
LGA50350,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,3,0,3,0,0,0,5,0,0,4,0,0,3,7,0,11,0,0,0,0,8,3,6,0,21,0,0,6,6,6,10,0,0,34,0,3,11,17,14,10,6,0,66,0,0,12,21,20,13,4,0,70,0,0,8,31,27,24,3,0,84,0,0,9,18,14,9,6,0,62,0,0,22,52,58,40,22,0,196,0,0,10,13,11,12,3,0,51,0,0,3,16,35,26,4,7,88,0,0,0,0,3,0,0,0,7,0,16,93,183,213,160,48,6,711,0,0,0,8,0,3,0,0,10,0,0,3,3,0,0,0,0,11,0,0,4,6,4,0,0,0,13,0,4,5,4,0,3,3,0,17,0,0,3,4,3,0,0,0,17,0,4
LGA50420,0,0,5,6,3,8,5,0,19,4,0,0,0,0,3,0,0,15,4,3,4,4,3,6,7,0,30,0,5,15,9,10,7,5,0,47,0,0,10,6,19,6,5,0,56,5,7,13,26,8,9,4,3,75,5,10,31,37,21,23,23,4,158,0,23,66,54,39,32,9,0,235,0,33,71,74,67,56,16,0,322,0,9,70,76,65,46,13,0,280,0,4,40,75,63,54,10,3,249,0,0,22,50,53,56,15,0,198,0,0,41,138,138,87,19,5,429,0,0,9,46,50,28,0,6,140,0,0,6,48,83,37,11,8,189,0,3,4,3,4,5,0,0,14,20,103,409,650,631,456,140,24,2435,0,0,5,3,0,0,0,0,9,12,11,7,11,7,10,0,0,46,6,21,9,7,10,11,4,0,63,6,14,13,15,15,16,8,4,96,0,10,23,19,15,15,12,3,88,0,10
LGA50490,0,3,10,3,4,5,0,0,23,4,0,4,6,0,0,0,0,17,0,3,4,3,0,0,5,0,22,3,0,6,11,4,3,0,0,26,6,9,4,10,3,8,0,5,40,5,13,15,15,10,6,3,3,77,0,18,30,36,22,14,5,0,128,3,35,96,70,47,20,9,0,280,0,41,148,115,73,45,11,3,444,0,24,158,147,98,71,13,5,513,0,15,135,157,115,95,23,0,538,0,0,102,147,173,99,11,0,531,0,6,214,513,475,289,50,3,1551,0,0,55,197,219,114,25,0,606,0,0,60,383,498,275,46,7,1262,0,0,4,6,10,4,5,3,33,16,175,1036,1808,1753,1049,223,30,6088,0,0,4,5,0,0,0,0,18,14,3,8,4,6,3,3,0,46,5,11,8,11,11,0,0,0,40,5,8,14,11,11,9,8,0,59,0,13,20,15,3,11,6,0,74,0,19
LGA50560,0,0,0,4,0,3,0,0,9,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,3,0,5,0,0,0,0,3,0,0,0,7,0,0,0,0,0,4,3,0,9,0,0,0,0,0,0,4,0,12,0,0,0,0,0,0,6,0,9,3,0,0,4,0,4,0,0,18,0,0,0,4,4,0,5,0,19,0,0,3,0,4,8,4,3,19,0,0,3,5,3,3,4,0,19,0,0,0,0,6,5,0,0,13,0,0,0,9,12,5,3,0,28,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,15,25,41,41,37,12,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0
LGA50630,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,4,3,0,9,0,0,0,0,3,3,3,0,10,0,0,0,0,0,0,4,4,10,0,0,0,7,4,0,0,0,9,0,0,0,5,5,0,0,0,8,0,0,0,4,3,0,4,0,9,0,0,7,9,12,0,0,0,28,0,0,0,11,3,4,0,0,15,0,0,0,13,18,5,0,0,48,0,0,0,0,0,0,0,0,0,0,0,16,55,47,26,19,16,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50770,0,0,0,0,7,3,0,0,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,6,0,17,0,0,0,3,0,0,0,0,3,0,0,0,0,3,4,3,5,14,0,0,0,0,6,7,4,3,17,0,0,0,0,3,3,3,3,24,0,0,0,3,3,9,4,4,29,0,0,6,7,12,10,8,3,47,0,0,4,3,5,4,0,0,21,0,0,8,0,0,3,0,0,20,0,0,3,0,10,10,3,0,27,0,0,0,8,3,3,4,0,16,0,0,0,0,0,4,0,0,8,0,0,0,0,6,4,4,0,11,0,0,0,0,3,0,0,0,5,0,4,18,53,61,65,46,27,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
