POW_LGA_CODE_2021,FTS_None_Mng,FTS_None_Pro,FTS_None_TecTW,FTS_None_CoPSW,FTS_None_ClAW,FTS_None_SWks,FTS_None_MaOpDv,FTS_None_Lab,FTS_None_IDNS,FTS_None_Tot,FTS_1_15_Mng,FTS_1_15_Pro,FTS_1_15_TecTW,FTS_1_15_CoPSW,FTS_1_15_ClAW,FTS_1_15_SWks,FTS_1_15_MaOpDv,FTS_1_15_Lab,FTS_1_15_IDNS,FTS_1_15_Tot,FTS_16_24_Mng,FTS_16_24_Pro,FTS_16_24_TecTW,FTS_16_24_CoPSW,FTS_16_24_ClAW,FTS_16_24_SWks,FTS_16_24_MaOpDv,FTS_16_24_Lab,FTS_16_24_IDNS,FTS_16_24_Tot,FTS_25_34_Mng,FTS_25_34_Pro,FTS_25_34_TecTW,FTS_25_34_CoPSW,FTS_25_34_ClAW,FTS_25_34_SWks,FTS_25_34_MaOpDv,FTS_25_34_Lab,FTS_25_34_IDNS,FTS_25_34_Tot,FTS_35_39_Mng,FTS_35_39_Pro,FTS_35_39_TecTW,FTS_35_39_CoPSW,FTS_35_39_ClAW,FTS_35_39_SWks,FTS_35_39_MaOpDv,FTS_35_39_Lab,FTS_35_39_IDNS,FTS_35_39_Tot,FTS_40_Mng,FTS_40_Pro,FTS_40_TecTW,FTS_40_CoPSW,FTS_40_ClAW,FTS_40_SWks,FTS_40_MaOpDv,FTS_40_Lab,FTS_40_IDNS,FTS_40_Tot,FTS_41_48_Mng,FTS_41_48_Pro,FTS_41_48_TecTW,FTS_41_48_CoPSW,FTS_41_48_ClAW,FTS_41_48_SWks,FTS_41_48_MaOpDv,FTS_41_48_Lab,FTS_41_48_IDNS,FTS_41_48_Tot,FTS_49ov_Mng,FTS_49ov_Pro,FTS_49ov_TecTW,FTS_49ov_CoPSW,FTS_49ov_ClAW,FTS_49ov_SWks,FTS_49ov_MaOpDv,FTS_49ov_Lab,FTS_49ov_IDNS,FTS_49ov_Tot,FTS_NS_Mng,FTS_NS_Pro,FTS_NS_TecTW,FTS_NS_CoPSW,FTS_NS_ClAW,FTS_NS_SWks,FTS_NS_MaOpDv,FTS_NS_Lab,FTS_NS_IDNS,FTS_NS_Tot,FTS_Tot_Mng,FTS_Tot_Pro,FTS_Tot_TecTW,FTS_Tot_CoPSW,FTS_Tot_ClAW,FTS_Tot_SWks,FTS_Tot_MaOpDv,FTS_Tot_Lab,FTS_Tot_Inad_des_Tot,FTS_Tot_Tot,PTS_None_Mng,PTS_None_Pro,PTS_None_TecTW,PTS_None_CoPSW,PTS_None_ClAW,PTS_None_SWks,PTS_None_MaOpDv,PTS_None_Lab,PTS_None_IDNS,PTS_None_Tot,PTS_1_15_Mng,PTS_1_15_Pro,PTS_1_15_TecTW,PTS_1_15_CoPSW,PTS_1_15_ClAW,PTS_1_15_SWks,PTS_1_15_MaOpDv,PTS_1_15_Lab,PTS_1_15_IDNS,PTS_1_15_Tot,PTS_16_24_Mng,PTS_16_24_Pro,PTS_16_24_TecTW,PTS_16_24_CoPSW,PTS_16_24_ClAW,PTS_16_24_SWks,PTS_16_24_MaOpDv,PTS_16_24_Lab,PTS_16_24_IDNS,PTS_16_24_Tot,PTS_25_34_Mng,PTS_25_34_Pro,PTS_25_34_TecTW,PTS_25_34_CoPSW,PTS_25_34_ClAW,PTS_25_34_SWks,PTS_25_34_MaOpDv,PTS_25_34_Lab,PTS_25_34_IDNS,PTS_25_34_Tot,PTS_35_39_Mng,PTS_35_39_Pro,PTS_35_39_TecTW,PTS_35_39_CoPSW,PTS_35_39_ClAW,PTS_35_39_SWks,PTS_35_39_MaOpDv,PTS_35_39_Lab,PTS_35_39_IDNS,PTS_35_39_Tot,PTS_40_Mng,PTS_40_Pro,PTS_40_TecTW,PTS_40_CoPSW,PTS_40_ClAW,PTS_40_SWks,PTS_40_MaOpDv,PTS_40_Lab,PTS_40_IDNS,PTS_40_Tot,PTS_41_48_Mng,PTS_41_48_Pro,PTS_41_48_TecTW,PTS_41_48_CoPSW,PTS_41_48_ClAW,PTS_41_48_SWks,PTS_41_48_MaOpDv,PTS_41_48_Lab,PTS_41_48_IDNS,PTS_41_48_Tot,PTS_49ov_Mng,PTS_49ov_Pro,PTS_49ov_TecTW,PTS_49ov_CoPSW,PTS_49ov_ClAW,PTS_49ov_SWks,PTS_49ov_MaOpDv,PTS_49ov_Lab,PTS_49ov_IDNS,PTS_49ov_Tot,PTS_NS_Mng,PTS_NS_Pro,PTS_NS_TecTW,PTS_NS_CoPSW,PTS_NS_ClAW,PTS_NS_SWks,PTS_NS_MaOpDv,PTS_NS_Lab,PTS_NS_IDNS,PTS_NS_Tot,PTS_Tot_Mng,PTS_Tot_Pro,PTS_Tot_TecTW,PTS_Tot_CoPSW,PTS_Tot_ClAW,PTS_Tot_SWks,PTS_Tot_MaOpDv,PTS_Tot_Lab,PTS_Tot_Inad_des_Tot,PTS_Tot_Tot
LGA50080,0,5,0,10,0,14,0,6,0,39,6,8,5,120,11,245,9,159,0,555,0,0,0,23,0,33,6,19,0,85,0,0,4,8,3,10,0,7,0,28,0,0,12,4,0,0,0,3,0,17,0,0,3,3,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,8,0,0,0,4,0,3,0,4,6,15,7,13,27,173,13,303,15,198,13,760,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,5,0,25,0,0,9,5,0,6,0,5,0,30,0,5,12,19,0,8,0,4,0,41,5,0,40,9,7,0,6,0,0,70,0,4,39,3,4,0,0,0,0,56,0,4,29,0,3,0,0,0,0,41,0,0,9,0,0,0,0,0,0,13,0,0,4,0,0,0,0,0,0,4,6,13,140,47,20,26,8,16,4,277
LGA50210,0,0,3,6,0,27,3,24,0,58,3,29,18,176,30,477,38,282,8,1051,7,10,15,60,18,135,11,58,0,321,3,3,7,29,9,46,4,19,0,128,0,0,13,13,0,10,0,0,0,39,0,0,6,0,0,0,0,0,0,11,0,0,7,0,0,0,0,0,0,8,0,0,3,4,0,0,0,0,0,14,0,0,5,0,0,8,0,5,7,19,24,43,74,290,61,700,56,394,20,1656,0,0,0,0,0,3,0,3,0,7,0,5,0,19,6,34,0,15,0,76,0,3,7,14,4,25,4,3,0,59,9,3,11,19,8,20,0,10,0,73,7,0,32,12,4,4,0,0,0,65,0,4,32,5,3,4,0,0,0,51,0,4,26,0,0,0,0,0,0,35,0,0,17,0,0,0,0,0,0,19,0,0,3,4,0,0,0,0,0,8,13,15,130,76,24,87,13,35,4,400
LGA50250,0,0,5,3,0,0,0,4,0,10,0,0,0,11,5,16,3,12,6,52,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,6,0,0,9,0,0,0,0,7,0,16,0,0,0,0,0,0,0,0,6,6,0,7,18,14,5,27,6,24,8,103,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,22,0,3,0,0,6,0,33,0,0,0,0,0,0,0,0,0,3,0,0,33,4,0,0,0,8,5,57
LGA50280,0,0,0,6,0,0,0,12,0,17,0,3,0,67,7,98,0,51,0,229,0,0,0,0,0,0,0,8,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,6,84,7,107,0,72,0,280,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,6,0,0,8,0,0,0,0,3,0,14,0,0,9,4,0,0,0,3,0,10,0,0,11,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,11,0,5,0,12,0,65
LGA50350,0,0,0,0,0,0,0,6,0,9,0,0,0,45,3,39,5,50,0,145,0,3,4,9,0,18,3,10,0,53,0,0,0,5,0,5,0,3,0,22,0,0,3,0,0,0,0,0,0,4,0,0,4,3,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,9,3,7,25,71,8,65,10,73,3,258,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,8,0,17,0,0,3,0,3,5,0,10,0,23,0,4,0,5,0,0,0,0,0,10,0,0,23,0,0,0,0,4,0,26,0,0,17,0,0,0,6,0,0,25,0,0,13,0,0,0,0,0,0,13,0,0,23,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,4,80,17,4,10,5,17,0,142
LGA50420,0,0,3,11,9,23,0,15,6,70,11,47,18,275,41,491,33,223,7,1140,12,9,20,108,17,132,14,76,5,402,8,4,9,22,8,47,0,13,0,113,4,0,12,6,4,4,0,4,0,38,4,4,10,3,4,3,0,4,0,26,0,0,11,0,0,0,0,0,0,12,0,0,12,0,0,0,0,0,0,16,0,0,4,5,0,12,0,9,12,32,31,69,90,433,78,716,57,344,24,1849,0,0,3,0,0,0,0,5,0,8,0,0,3,22,5,25,4,9,0,79,0,3,3,16,3,26,3,15,0,74,5,4,11,21,4,15,0,3,0,61,3,4,40,8,3,8,0,0,0,65,4,3,49,5,0,0,3,0,0,60,3,3,27,0,0,0,5,0,0,38,0,0,15,3,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,4,11,20,155,69,18,71,17,37,0,404
LGA50490,0,0,3,9,4,26,5,20,0,71,10,37,17,161,51,432,49,223,8,987,12,31,20,89,40,132,53,80,4,463,5,3,6,45,15,59,21,19,0,175,0,8,15,18,9,4,3,3,0,65,0,7,19,8,4,9,4,4,0,53,0,0,11,3,0,0,0,0,0,19,0,0,16,8,3,0,0,0,0,28,0,0,0,7,0,13,0,6,11,42,32,92,103,345,126,676,145,366,27,1908,0,0,9,0,0,4,8,0,0,13,0,4,7,20,3,37,9,15,0,99,3,4,5,21,15,33,17,21,0,121,0,7,5,24,4,30,16,11,0,99,10,8,38,20,7,10,7,4,0,103,6,10,74,4,12,3,3,4,0,112,6,5,27,8,4,4,0,3,0,51,0,8,42,3,4,0,0,0,0,57,0,0,0,0,4,3,0,0,0,14,21,34,211,91,57,115,60,59,9,666
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,4,4,0,0,0,0,4,15,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,22
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8
