POW_LGA_CODE_2021,EWFT_15_TertVE_TPTP_FT,EWFT_15_TertVE_TPTP_PT,EWFT_15_TertVE_TPTP_NS,EWFT_15_TertVE_TPTP_Tot,EWFT_15_TertUni_or_OHE_FT,EWFT_15_TertUni_or_OHE_PT,EWFT_15_TertUni_or_OHE_NS,EWFT_15_TertUni_or_OHE_Tot,EWFT_15_Other_FT,EWFT_15_Other_PT,EWFT_15_Other_NS,EWFT_15_Other_Tot,EWFT_15_Not_Stated,EWFT_15_Tot,EWFT_16_TertVE_TPTP_FT,EWFT_16_TertVE_TPTP_PT,EWFT_16_TertVE_TPTP_NS,EWFT_16_TertVE_TPTP_Tot,EWFT_16_TertUni_or_OHE_FT,EWFT_16_TertUni_or_OHE_PT,EWFT_16_TertUni_or_OHE_NS,EWFT_16_TertUni_or_OHE_Tot,EWFT_16_Other_FT,EWFT_16_Other_PT,EWFT_16_Other_NS,EWFT_16_Other_Tot,EWFT_16_Not_Stated,EWFT_16_Tot,EWFT_17_TertVE_TPTP_FT,EWFT_17_TertVE_TPTP_PT,EWFT_17_TertVE_TPTP_NS,EWFT_17_TertVE_TPTP_Tot,EWFT_17_TertUni_or_OHE_FT,EWFT_17_TertUni_or_OHE_PT,EWFT_17_TertUni_or_OHE_NS,EWFT_17_TertUni_or_OHE_Tot,EWFT_17_Other_FT,EWFT_17_Other_PT,EWFT_17_Other_NS,EWFT_17_Other_Tot,EWFT_17_Not_Stated,EWFT_17_Tot,EWFT_18_TertVE_TPTP_FT,EWFT_18_TertVE_TPTP_PT,EWFT_18_TertVE_TPTP_NS,EWFT_18_TertVE_TPTP_Tot,EWFT_18_TertUni_or_OHE_FT,EWFT_18_TertUni_or_OHE_PT,EWFT_18_TertUni_or_OHE_NS,EWFT_18_TertUni_or_OHE_Tot,EWFT_18_Other_FT,EWFT_18_Other_PT,EWFT_18_Other_NS,EWFT_18_Other_Tot,EWFT_18_Not_Stated,EWFT_18_Tot,EWFT_19_TertVE_TPTP_FT,EWFT_19_TertVE_TPTP_PT,EWFT_19_TertVE_TPTP_NS,EWFT_19_TertVE_TPTP_Tot,EWFT_19_TertUni_or_OHE_FT,EWFT_19_TertUni_or_OHE_PT,EWFT_19_TertUni_or_OHE_NS,EWFT_19_TertUni_or_OHE_Tot,EWFT_19_Other_FT,EWFT_19_Other_PT,EWFT_19_Other_NS,EWFT_19_Other_Tot,EWFT_19_Not_Stated,EWFT_19_Tot,EWFT_20_24_TertVE_TPTP_FT,EWFT_20_24_TertVE_TPTP_PT,EWFT_20_24_TertVE_TPTP_NS,EWFT_20_24_TertVE_TPTP_Tot,EWFT_20_24_TertUni_or_OHE_FT,EWFT_20_24_TertUni_or_OHE_PT,EWFT_20_24_TertUni_or_OHE_NS,EWFT_20_24_TertUni_or_OHE_Tot,EWFT_20_24_Other_FT,EWFT_20_24_Other_PT,EWFT_20_24_Other_NS,EWFT_20_24_Other_Tot,EWFT_20_24_Not_Stated,EWFT_20_24_Tot,EWFT_25_29_TertVE_TPTP_FT,EWFT_25_29_TertVE_TPTP_PT,EWFT_25_29_TertVE_TPTP_NS,EWFT_25_29_TertVE_TPTP_Tot,EWFT_25_29_TertUni_or_OHE_FT,EWFT_25_29_TertUni_or_OHE_PT,EWFT_25_29_TertUni_or_OHE_NS,EWFT_25_29_TertUni_or_OHE_Tot,EWFT_25_29_Other_FT,EWFT_25_29_Other_PT,EWFT_25_29_Other_NS,EWFT_25_29_Other_Tot,EWFT_25_29_Not_Stated,EWFT_25_29_Tot,EWFT_30ov_TertVE_TPTP_FT,EWFT_30ov_TertVE_TPTP_PT,EWFT_30ov_TertVE_TPTP_NS,EWFT_30ov_TertVE_TPTP_Tot,EWFT_30ov_TertUni_or_OHE_FT,EWFT_30ov_TertUni_or_OHE_PT,EWFT_30ov_TertUni_or_OHE_NS,EWFT_30ov_TertUni_or_OHE_Tot,EWFT_30ov_Other_FT,EWFT_30ov_Other_PT,EWFT_30ov_Other_NS,EWFT_30ov_Other_Tot,EWFT_30ov_Not_Stated,EWFT_30ov_Tot,EWFT_Tot_TertVE_TPTP_FT,EWFT_Tot_TertVE_TPTP_PT,EWFT_Tot_TertVE_TPTP_NS,EWFT_Tot_TertVE_TPTP_Tot,EWFT_Tot_TertUni_or_OHE_FT,EWFT_Tot_TertUni_or_OHE_PT,EWFT_Tot_TertUni_or_OHE_NS,EWFT_Tot_TertUni_or_OHE_Tot,EWFT_Tot_Other_FT,EWFT_Tot_Other_PT,EWFT_Tot_Other_NS,EWFT_Tot_Other_Tot,EWFT_Tot_Not_Stated,EWFT_Tot_Tot,EWPT_15_TertVE_TPTP_FT,EWPT_15_TertVE_TPTP_PT,EWPT_15_TertVE_TPTP_NS,EWPT_15_TertVE_TPTP_Tot,EWPT_15_TertUni_or_OHE_FT,EWPT_15_TertUni_or_OHE_PT,EWPT_15_TertUni_or_OHE_NS,EWPT_15_TertUni_or_OHE_Tot,EWPT_15_Other_FT,EWPT_15_Other_PT,EWPT_15_Other_NS,EWPT_15_Other_Tot,EWPT_15_Not_Stated,EWPT_15_Tot,EWPT_16_TertVE_TPTP_FT,EWPT_16_TertVE_TPTP_PT,EWPT_16_TertVE_TPTP_NS,EWPT_16_TertVE_TPTP_Tot,EWPT_16_TertUni_or_OHE_FT,EWPT_16_TertUni_or_OHE_PT,EWPT_16_TertUni_or_OHE_NS,EWPT_16_TertUni_or_OHE_Tot,EWPT_16_Other_FT,EWPT_16_Other_PT,EWPT_16_Other_NS,EWPT_16_Other_Tot,EWPT_16_Not_Stated,EWPT_16_Tot,EWPT_17_TertVE_TPTP_FT,EWPT_17_TertVE_TPTP_PT,EWPT_17_TertVE_TPTP_NS,EWPT_17_TertVE_TPTP_Tot,EWPT_17_TertUni_or_OHE_FT,EWPT_17_TertUni_or_OHE_PT,EWPT_17_TertUni_or_OHE_NS,EWPT_17_TertUni_or_OHE_Tot,EWPT_17_Other_FT,EWPT_17_Other_PT,EWPT_17_Other_NS,EWPT_17_Other_Tot,EWPT_17_Not_Stated,EWPT_17_Tot,EWPT_18_TertVE_TPTP_FT,EWPT_18_TertVE_TPTP_PT,EWPT_18_TertVE_TPTP_NS,EWPT_18_TertVE_TPTP_Tot,EWPT_18_TertUni_or_OHE_FT,EWPT_18_TertUni_or_OHE_PT,EWPT_18_TertUni_or_OHE_NS,EWPT_18_TertUni_or_OHE_Tot,EWPT_18_Other_FT,EWPT_18_Other_PT,EWPT_18_Other_NS,EWPT_18_Other_Tot,EWPT_18_Not_Stated,EWPT_18_Tot,EWPT_19_TertVE_TPTP_FT,EWPT_19_TertVE_TPTP_PT,EWPT_19_TertVE_TPTP_NS,EWPT_19_TertVE_TPTP_Tot,EWPT_19_TertUni_or_OHE_FT,EWPT_19_TertUni_or_OHE_PT,EWPT_19_TertUni_or_OHE_NS,EWPT_19_TertUni_or_OHE_Tot,EWPT_19_Other_FT,EWPT_19_Other_PT,EWPT_19_Other_NS,EWPT_19_Other_Tot,EWPT_19_Not_Stated,EWPT_19_Tot,EWPT_20_24_TertVE_TPTP_FT,EWPT_20_24_TertVE_TPTP_PT,EWPT_20_24_TertVE_TPTP_NS,EWPT_20_24_TertVE_TPTP_Tot
LGA50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,8,0,0,0,0,0,0,0,0,0,12,0,15,0,21,0,0,0,0,0,0,0,0,0,22,3,30,0,35,0,4,0,5,0,0,0,0,0,41,8,23,0,32,0,4,0,3,0,5,0,3,0,43,5,63,0,67,7,18,0,23,0,3,0,5,0,98,7,31,0,39,10,17,0,30,0,9,0,11,3,78,11,104,0,117,16,134,0,150,4,36,0,37,24,325,47,276,0,318,35,174,0,210,9,50,0,59,27,621,0,0,0,0,0,0,0,0,158,0,0,158,0,161,15,9,0,20,0,0,0,0,155,0,0,155,0,180,19,9,0,26,0,0,0,0,209,0,0,207,0,228,6,12,0,21,10,5,0,18,34,3,0,34,0,72,11,9,0,18,12,4,0,16,0,0,0,0,0,35,9,22,0,31
LGA50210,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,4,0,8,0,0,0,0,0,0,0,0,0,8,0,12,0,11,0,0,0,0,0,0,0,0,0,15,0,18,0,21,0,0,0,0,0,0,0,0,0,21,4,16,0,17,3,3,0,4,0,0,0,0,0,23,27,80,0,113,32,25,0,55,0,3,0,0,0,171,10,26,0,39,22,40,0,68,0,9,0,9,0,118,23,131,0,156,47,158,0,207,13,32,0,42,13,425,70,295,7,369,102,232,0,334,21,43,0,57,18,780,3,0,0,6,0,0,0,0,211,0,0,208,0,215,3,5,0,7,0,0,0,0,248,0,0,248,0,256,15,8,0,21,0,4,0,4,293,0,0,298,0,327,23,17,0,42,103,19,0,118,40,3,0,42,0,199,14,23,0,39,113,13,0,128,3,4,0,3,0,170,43,36,0,78
LGA50250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,7,3,5,0,12,0,0,0,0,0,0,0,0,0,12,3,32,0,34,8,8,0,17,5,0,0,0,0,60,6,27,0,29,11,24,0,34,0,8,0,5,5,69,18,120,0,135,13,126,0,142,12,27,0,42,33,357,35,181,0,217,31,163,0,196,18,31,0,51,45,503,0,0,0,0,0,0,0,0,15,0,0,15,0,18,0,0,0,0,0,0,0,0,12,0,0,12,0,12,0,0,0,0,0,0,0,0,22,0,0,22,0,22,0,0,0,0,0,0,0,0,5,0,0,5,0,9,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0
LGA50280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,5,0,3,0,5,0,0,0,0,0,0,0,0,0,5,0,9,0,15,0,0,0,0,0,0,0,0,0,15,3,14,0,20,0,6,0,3,0,0,0,0,0,23,0,13,0,17,0,6,0,6,0,0,0,0,0,19,3,40,0,41,0,33,0,38,0,12,0,10,5,101,13,78,0,93,4,43,0,46,5,12,0,18,10,163,0,0,0,0,0,0,0,0,58,0,0,58,0,65,0,0,0,0,0,0,0,0,84,0,0,84,0,87,0,6,0,6,0,0,0,0,65,0,0,68,0,76,0,0,0,0,3,0,0,3,7,0,0,7,0,15,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,9,0,11
LGA50350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,7,0,7,0,0,0,0,0,0,0,0,0,7,3,13,0,10,0,0,0,0,0,0,0,0,0,17,0,10,0,9,0,0,0,3,0,0,0,0,0,17,13,48,0,61,9,9,0,19,0,0,0,4,0,77,5,9,0,19,8,16,0,26,0,4,0,4,0,43,7,55,0,63,9,27,0,41,18,16,0,30,5,134,33,144,0,176,25,56,0,79,20,20,0,39,8,296,0,0,0,0,0,0,0,0,20,0,0,20,0,20,0,0,0,0,0,0,0,0,29,0,0,29,0,31,0,0,0,4,0,0,0,0,41,0,0,41,0,48,4,0,0,4,19,0,0,25,3,0,0,3,0,28,0,3,0,6,27,3,0,26,0,0,0,5,0,35,9,12,0,17
LGA50420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,5,0,7,0,0,0,0,0,0,0,0,0,7,3,15,0,21,0,0,0,0,0,0,0,3,3,29,11,31,0,38,5,0,0,5,0,0,0,0,0,44,33,87,0,124,36,37,0,71,0,7,0,9,4,204,20,35,0,60,25,41,0,69,0,8,0,12,3,140,36,124,0,163,36,120,0,158,17,35,0,55,20,387,104,302,6,409,98,197,3,298,23,55,0,81,29,816,0,0,0,0,0,0,0,0,139,0,0,139,0,145,6,4,0,5,0,0,0,0,204,0,0,204,0,213,4,0,0,3,4,0,0,4,224,0,0,224,0,232,18,10,0,27,149,11,0,158,36,0,0,37,0,225,21,13,0,32,179,15,0,195,14,0,0,13,0,242,69,57,0,123
LGA50490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,3,0,0,3,0,8,0,4,0,6,0,0,0,0,0,0,0,0,0,6,9,25,0,26,3,0,0,3,0,3,0,3,0,36,8,32,0,42,7,8,0,12,0,3,0,3,0,61,46,151,0,203,80,81,0,160,10,16,0,25,0,384,29,106,0,140,54,108,0,163,12,28,0,35,5,342,52,333,5,387,106,404,6,513,29,118,3,143,40,1076,149,654,3,810,251,594,6,849,48,160,3,208,45,1914,0,0,0,0,0,0,0,0,112,0,0,112,0,112,0,0,0,0,0,0,0,0,171,0,0,171,0,169,3,5,0,11,4,0,0,4,190,0,0,190,0,201,16,8,0,25,118,15,0,138,35,3,0,36,0,201,19,12,0,33,163,12,0,175,0,3,0,3,0,206,84,58,0,145
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,9,6,3,0,3,0,6,0,6,0,0,0,0,3,11,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,11,0,0,0,0,0,0,0,0,0,14,0,4,0,4,0,0,0,0,0,0,0,0,0,8,0,12,0,10,0,18,0,22,0,7,0,7,3,42,3,26,0,29,0,23,0,27,0,7,0,7,8,67,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,9,0,8,0,11,0,4,0,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
