POW_LGA_CODE_2021,Ag_For_Fish_ATSI,Ag_For_Fish_Non_Indig,Ag_For_Fish_Indig_Status_NS,Ag_For_Fish_Tot,Min_ATSI,Min_Non_Indig,Min_Indig_Status_NS,Min_Total,Mnf_ATSI,Mnf_Non_Indig,Mnf_Indig_Status_NS,Mnf_Tot,EGWWS_ATSI,EGWWS_Non_Indig,EGWWS_Indig_Status_NS,EGWWS_Tot,Const_ATSI,Const_Non_Indig,Const_Indig_Status_NS,Const_Tot,WST_ATSI,WST_Non_Indig,WST_Indig_Status_NS,WST_Tot,RetT_ATSI,RetT_Non_Indig,RetT_Indig_Status_NS,RetT_Tot,AcFd_ATSI,AcFd_Non_Indig,AcFd_Indig_Status_NS,AcFd_Tot,TPW_ATSI,TPW_Non_Indig,TPW_Indig_Status_NS,TPW_Tot,IMT_ATSI,IMT_Non_Indig,IMT_Indig_Status_NS,IMT_Tot,FinIns_ATSI,FinIns_Non_Indig,FinIns_Indig_Status_NS,FinIns_Tot,RHRE_ATSI,RHRE_Non_Indig,RHRE_Indig_Status_NS,RHRE_Tot,ProSTS_ATSI,ProSTS_Non_Indig,ProSTS_Indig_Status_NS,ProSTS_Tot,AdSup_ATSI,AdSup_Non_Indig,AdSup_Indig_Status_NS,AdSup_Tot,PubAS_ATSI,PubAS_Non_Indig,PubAS_Indig_Status_NS,PubAS_Tot,EdTrn_ATSI,EdTrn_Non_Indig,EdTrn_Indig_Status_NS,EdTrn_Tot,HltHC_SA_ATSI,HltHC_SA_Non_Indig,HltHC_SA_Indig_Status_NS,HltHC_SA_Tot,ArtsR_ATSI,ArtsR_Non_Indig,ArtsR_Indig_Status_NS,ArtsR_Tot,OthSvs_ATSI,OthSvs_Non_Indig,OthSvs_Indig_Status_NS,OthSvs_Tot,IDNS_ATSI,IDNS_Non_Indig,IDNS_Indig_Status_NS,IDNS_Tot,Tot_ATSI,Tot_Non_Indig,Tot_Indig_Status_NS,Tot_Tot
LGA50080,9,942,4,954,0,45,0,45,11,587,0,598,9,191,0,201,31,1242,0,1273,6,381,0,389,43,1970,3,2015,29,1334,3,1371,13,568,5,587,0,109,0,111,9,220,0,224,0,232,0,232,11,626,3,642,11,362,0,370,30,1037,6,1072,35,1637,7,1673,60,2942,16,3016,3,195,0,200,19,688,3,713,14,543,5,566,351,15836,56,16248
LGA50210,5,292,0,298,9,258,0,261,3,1001,0,1007,10,133,0,139,29,1718,3,1746,8,490,0,497,54,2547,8,2603,34,1534,0,1574,8,827,4,836,0,124,3,125,5,142,0,148,0,222,0,224,7,608,0,618,12,577,0,589,18,1077,0,1101,57,3124,5,3188,54,3974,10,4035,4,224,0,232,16,920,0,939,15,1011,16,1039,336,20803,50,21189
LGA50250,0,73,6,78,566,7773,36,8371,0,136,0,140,5,104,0,111,57,1522,7,1587,0,176,0,179,8,114,0,125,23,735,3,768,11,294,0,305,0,18,0,18,0,3,0,3,5,150,0,153,4,206,0,204,30,355,0,389,9,202,0,206,25,256,0,279,13,170,0,187,0,15,0,16,13,137,0,148,34,425,4,461,804,12863,62,13727
LGA50280,0,600,5,606,3,38,0,36,8,627,0,639,3,19,0,22,9,534,3,546,4,115,0,123,11,742,7,761,14,876,7,900,0,132,0,137,0,21,0,21,0,55,0,55,0,96,0,96,0,274,4,280,4,244,0,249,4,222,0,227,6,601,3,609,0,549,0,551,5,108,3,114,0,229,0,226,7,269,6,277,75,6376,32,6483
LGA50350,0,8,0,8,0,150,5,147,12,1480,4,1503,0,55,0,55,11,721,9,734,3,382,0,383,3,393,0,402,3,303,0,302,3,271,0,271,0,22,0,27,0,37,0,37,4,142,0,145,0,217,0,222,0,119,0,119,3,190,0,191,10,457,0,461,4,576,4,579,0,69,0,69,4,284,0,287,8,462,4,471,70,6329,17,6420
LGA50420,0,60,0,61,8,335,0,348,19,1491,4,1510,3,173,0,180,22,1823,9,1853,4,421,0,430,34,3120,11,3164,13,1715,0,1736,3,578,0,582,0,163,0,161,3,252,0,260,6,298,0,299,4,1005,0,1010,7,575,0,587,20,970,4,990,25,2069,6,2096,40,3148,6,3196,13,471,0,484,16,1397,3,1413,20,1208,10,1241,264,21276,58,21593
LGA50490,0,110,0,110,139,4725,11,4876,25,2292,4,2321,3,389,0,396,51,3046,6,3097,13,2590,4,2605,53,4629,9,4692,26,2036,0,2061,75,9013,13,9104,0,379,0,381,0,335,4,335,11,669,0,676,21,2255,4,2277,34,1644,5,1684,37,1976,0,2017,29,1219,0,1245,27,3870,3,3906,3,450,0,458,19,1367,3,1391,35,2294,23,2351,607,45288,91,45984
LGA50560,3,196,0,200,0,3,0,0,0,17,0,20,0,0,0,0,0,18,0,18,0,6,0,6,0,28,0,28,0,14,0,14,0,17,0,17,0,8,0,8,0,3,0,3,0,0,0,0,0,11,0,11,0,3,0,3,0,27,0,27,0,37,0,43,0,42,0,42,0,3,0,3,0,11,0,11,0,16,4,23,6,478,3,490
LGA50630,0,68,0,71,67,1350,6,1424,6,270,4,275,0,8,0,8,0,146,0,153,0,60,0,62,0,28,0,30,10,64,0,78,0,13,0,13,0,0,0,0,0,0,0,0,0,7,0,7,0,17,0,17,0,38,0,40,0,42,0,48,0,55,0,55,0,34,0,33,0,0,0,0,0,40,0,42,4,52,0,56,104,2298,19,2411
LGA50770,7,338,0,345,0,4,0,4,0,9,0,9,0,0,0,0,0,23,0,23,0,20,0,20,0,31,0,32,0,23,0,23,0,16,0,16,0,0,0,0,0,0,0,0,0,3,0,3,0,15,0,15,0,0,0,3,0,30,0,33,0,52,0,52,0,42,0,42,0,0,0,0,0,19,0,19,0,14,0,14,7,653,5,666
